kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10025875,뜰안채주상복합 아파트,3011010100,대전광역시,동구,원동,,대전광역시 동구 원동 35-3 뜰안채주상복합 아파트,분양,개별난방,12111.35,1,69.0,교진건설,디엔디 산업개발,0422862600,,아파트,대전광역시 동구 대전로 758,자치관리,복도식,20070612,0422862601,69,75156.28,0.0,67.0,2.0,0.0,5260.068,15,15,4,2,34629,36.327592520446,127.435069565447
A10020521,대전스카이자이르네,3011010200,대전광역시,동구,인동,,대전광역시 동구 인동 72-1 대전스카이자이르네,분양,개별난방,34294.844,1,175.0,자이에스앤디(주),워너프로퍼티(주),0427101571,,주상복합,대전광역시 동구 대전로 719,위탁관리,계단식,20250723,0427101572,175,20098.512,0.0,175.0,0.0,0.0,14873.8695,1,39,0,0,,36.3243335420173,127.435949729146
A10022215,세강듀오빌아파트,3011010200,대전광역시,동구,인동,,대전광역시 동구 인동 78-4 세강듀오빌아파트,분양,개별난방,13058.0,1,125.0,세강토건(주),세강토건(주),0422857887,,아파트,대전광역시 동구 대전천동로 478,자치관리,복도식,20040901,0422857887,125,10687.35,125.0,0.0,0.0,0.0,7490.8,0,15,2,0,,36.3245149250557,127.434545628519
A10026863,인동누리보듬아파트,3011010200,대전광역시,동구,인동,,대전광역시 동구 인동 175-50 인동누리보듬아파트,임대,개별난방,10756.223,4,244.0,금성건설,대전광역시,0422712801,,아파트,대전광역시 동구 계족로51번길 38,위탁관리,복도식,20170731,0422712801,244,10756.215,244.0,0.0,0.0,0.0,5943.5712,7,7,0,6,34635,36.3200176893965,127.44104157443
A30002004,어진마을,3011010200,대전광역시,동구,인동,,대전광역시 동구 인동 353 어진마을,분양,개별난방,86371.27,9,813.0,대한토지주택공사,계룡건설.고려산업,0422861900,어진마을.ma-um.co.kr,아파트,대전광역시 동구 계족로 65,위탁관리,계단식,20070413,0422861901,813,75051.28,454.0,359.0,0.0,0.0,56821.73,25,25,1,20,34639,36.3212224022076,127.442182915785
A30074001,인동참좋은,3011010200,대전광역시,동구,인동,,대전광역시 동구 인동 18-1 인동참좋은,임대,개별난방,45409.684,1,280.0,RDM산업개발(주),(주)건강건설,0422710065,,주상복합,대전광역시 동구 대전로 706,위탁관리,복도식,20101209,0422710061,291,32621.26,0.0,280.0,0.0,0.0,23420.5874,15,15,4,5,34632,36.323382121761,127.437393509571
A30076903,인동현대아파트,3011010200,대전광역시,동구,인동,,대전광역시 동구 인동 179-1 인동현대아파트,분양,개별난방,69741.4,10,728.0,현대산업개발(주),현대산업개발(주),0422845326,인동현대apti.co.kr,아파트,대전광역시 동구 대전로 664,위탁관리,혼합식,19870611,0423315326,728,68579.68,52.0,676.0,0.0,0.0,54580.5,13,13,0,27,34635,36.3196821071374,127.440108049477
A30082701,인동모닝빌아파트,3011010200,대전광역시,동구,인동,,대전광역시 동구 인동 29-2 인동모닝빌아파트,혼합,개별난방,22279.0,1,162.0,나성종합건설(주),나성종합건설(주),0422859811,인동모닝빌아파트.ma-um.co.kr,아파트,대전광역시 동구 대전천동로 458,위탁관리,복도식,20060608,0422859811,162,17262.71,0.0,162.0,0.0,0.0,13329.8136,15,15,4,2,34633,36.3230289402632,127.435842012212
A30082702,인동한울,3011010200,대전광역시,동구,인동,,대전광역시 동구 인동 73-1 인동한울,분양,개별난방,25962.0,2,225.0,부성건설(주),부성건설(주),0422858400,,아파트,대전광역시 동구 대흥로206번길 54,위탁관리,혼합식,20030625,0422858401,225,19150.95,150.0,75.0,0.0,0.0,14334.093,15,15,2,0,34631,36.324019504399,127.435176883361
A30078301,효동현대,3011010300,대전광역시,동구,효동,,대전광역시 동구 효동 135-1 효동현대,분양,개별난방,127369.85,9,1056.0,현대산업개발,현대산업개발,0422719391,효동현대.apti.co.kr/default.asp,아파트,대전광역시 동구 대전로 646,위탁관리,계단식,19980919,0423421109,1056,109584.18,231.0,663.0,162.0,0.0,86169.2025,25,25,2,32,34636,36.3180549495173,127.440668271555
