kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020650,해링턴플레이스휴리움아파트,3014010200,대전광역시,중구,선화동,,대전광역시 중구 선화동 339-55 해링턴플레이스휴리움아파트,분양,개별난방,136349.45,12,997.0,"효성중공업(주), 다우건설(주)",선화재정비촉진구역 주택재개발정비사업조합,0422526686,해링턴플레이스휴리움.apti.co.kr,아파트,대전광역시 중구 선화로 57,위탁관리,계단식,20250429,0422526687,997,89945.2,499.0,498.0,0.0,0.0,68094.6769,25,25,3,27,,36.3278082332569,127.414227418826
A10020666,하늘채스카이앤2차,3014010200,대전광역시,중구,선화동,,대전광역시 중구 선화동 920- 하늘채스카이앤2차,분양,개별난방,147278.97,5,743.0,코오롱글로벌건설,케이비부동산신탁(주),0422230721,코오롱글로벌건설,주상복합,대전광역시 중구 대종로594번길 52,위탁관리,계단식,20250425,0422230722,743,85794.91,0.0,743.0,0.0,0.0,63050.5918,49,49,5,0,,36.3354862329288,127.42081277177
A10021505,대전 한신더휴 리저브,3014010200,대전광역시,중구,선화동,,대전광역시 중구 선화동 908- 대전 한신더휴 리저브,분양,개별난방,82209.0,3,418.0,한신공영(주),인본개발(주),0422211030,,주상복합,대전광역시 중구 대종로582번길 36,위탁관리,계단식,20241029,0422211031,418,47675.01,0.0,418.0,0.0,0.0,33944.4885,49,49,5,0,,36.3351746842159,127.421225547427
A10022439,하늘채스카이앤1차,3014010200,대전광역시,중구,선화동,,대전광역시 중구 선화동 903- 하늘채스카이앤1차,분양,개별난방,192698.0,5,998.0,코오롱글로벌주식회사,퍼스트씨앤디,0422235123,,주상복합,대전광역시 중구 대종로594번길 51,위탁관리,계단식,20240809,0422235124,998,115363.46,0.0,998.0,0.0,0.0,84664.6187,49,49,5,20,,36.3365042066403,127.419478191021
A10022763,해모로 더 센트라,3014010200,대전광역시,중구,선화동,,대전광역시 중구 선화동 207-16 해모로 더 센트라,혼합,개별난방,128690.35,7,862.0,HJ중공업,선화B구역 주택개발 정비사업조합,0422576874,haemoro.apti.co.kr/aptHomel,아파트,대전광역시 중구 선화서로 85,위탁관리,혼합식,20240228,0422576875,862,79762.22,399.0,463.0,0.0,0.0,59020.2153,29,29,2,29,34850,36.3306233257627,127.415915399469
A10022768,아르젠아파트,3014010200,대전광역시,중구,선화동,,대전광역시 중구 선화동 159-5 아르젠아파트,분양,개별난방,12393.0,1,100.0,(주)춘광건설,(주)천용주택건설,0422522773,,주상복합,대전광역시 중구 동서대로1440번길 5,위탁관리,복도식,20051227,0422522776,100,6860.92,46.0,48.0,6.0,0.0,6866.88,13,13,2,0,34840,36.3358383029806,127.416159983545
A10023908,에이스퀘어,3014010200,대전광역시,중구,선화동,,대전광역시 중구 선화동 379-1 에이스퀘어,분양,개별난방,14924.58,1,176.0,태한건설,h+시행사,0422237763,,도시형 생활주택(아파트),대전광역시 중구 선화서로 18,위탁관리,복도식,20220223,0422237723,176,7466.5405,176.0,0.0,0.0,0.0,4662.3186,16,16,5,0,34864,36.3255939850279,127.419565822824
A10025907,빌리프,3014010200,대전광역시,중구,선화동,,대전광역시 중구 선화동 283 빌리프,분양,개별난방,12998.82,1,240.0,(주)부원건설,"(주)제이플라자,(주)부원건설",0422539996,,주상복합,대전광역시 중구 대종로517번길 61,위탁관리,복도식,20161130,0422539997,240,12998.82,240.0,0.0,0.0,0.0,5748.47,12,12,3,3,34839,36.3283972655773,127.421260008487
A10027096,선화2참좋은아파트,3014010200,대전광역시,중구,선화동,,대전광역시 중구 선화동 82-1 선화2참좋은아파트,임대,개별난방,50751.375,1,392.0,알디엠산업개발(주),동건종합건설(주),0422420033,,아파트,대전광역시 중구 대전천서로 529,위탁관리,복도식,20170106,0422420034,400,36317.555,0.0,392.0,0.0,0.0,28125.531,15,15,4,2,34831,36.3339824781791,127.422793819547
A10027570,스마트284,3014010200,대전광역시,중구,선화동,,대전광역시 중구 선화동 284-4 스마트284,분양,개별난방,12016.0,1,286.0,"부원건설,드림월드종합건설(주)",(주)아이인,0422578212,,주상복합,대전광역시 중구 보문로 286,위탁관리,복도식,20130621,0422578213,286,4058.34,286.0,0.0,0.0,0.0,4058.3536,11,11,2,4,34839,36.3281582386268,127.421397713726
A30173201,선호아파트,3014010200,대전광역시,중구,선화동,,대전광역시 중구 선화동 152-1 선호아파트,분양,개별난방,25667.582,1,332.0,평화주택건설(주),평화주택건설(주),0423455050,,주상복합,대전광역시 중구 대종로 583,자치관리,복도식,20011119,0423455050,332,16588.0,332.0,0.0,0.0,0.0,11484.4588,15,15,2,3,34840,36.3338769363743,127.418907762432
A30173202,센트럴뷰,3014010200,대전광역시,중구,선화동,,대전광역시 중구 선화동 877 센트럴뷰,분양,개별난방,106917.28,8,662.0,진흥기업,LH토지주택공사,0422536500,,아파트,대전광역시 중구 중앙로 45,위탁관리,계단식,20120417,0422536501,662,76385.29,96.0,506.0,60.0,0.0,55778.14,28,28,0,0,34867,36.3238733665735,127.416396042272
A30182201,선화동현대아파트,3014010200,대전광역시,중구,선화동,,대전광역시 중구 선화동 151-1 선화동현대아파트,분양,개별난방,28179.0,4,212.0,현대건설,현대건설,0422566280,선화현대.apti.co.kr,아파트,대전광역시 중구 보문로 341,자치관리,계단식,19860910,0422565280,212,27939.72,0.0,116.0,96.0,0.0,22651.68,10,10,1,11,34845,36.332913397486,127.418805258916
A30182302,선화참좋은,3014010200,대전광역시,중구,선화동,,대전광역시 중구 선화동 83-1 선화참좋은,혼합,개별난방,45117.68,1,307.0,RDM산업개발㈜,동건종합건설주식회사,0422240055,http://www.cjeh.kr/,주상복합,대전광역시 중구 대종로 544,위탁관리,복도식,20080318,0422240056,316,33839.043,0.0,307.0,0.0,0.0,26081.0026,15,15,3,4,34831,36.3320527480324,127.422295782635
A10022667,모아엘가 그랑데아파트,3014010300,대전광역시,중구,목동,,대전광역시 중구 목동 34-11 모아엘가 그랑데아파트,혼합,개별난방,62759.027,5,420.0,혜림건설(주),목동4구역주택 재개발정비사업조합,0422528424,,아파트,대전광역시 중구 목동로22번길 45,위탁관리,계단식,20240328,0422528425,420,40726.816,27.0,393.0,0.0,0.0,31060.112,22,90,3,0,34816,36.3350699729934,127.410528007093
