kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10024210,공항마을 리베르하임,2644010200,부산광역시,강서구,대저2동,,부산광역시 강서구 대저2동 2033-1 공항마을 리베르하임,혼합,개별난방,21566.0,2,182.0,(주)남명건설,(주)만풍건설,0519840709,,주상복합,,자치관리,혼합식,20210709,0519840710,227,21565.678,28.0,154.0,0.0,0.0,11678.4276,15,15,2,7,46720,35.1782576194159,128.955350186749
A10020264,에코델타 더 베르힐 아파트,2644010300,부산광역시,강서구,강동동,,부산광역시 강서구 강동동 4685-1 에코델타 더 베르힐 아파트,분양,지역난방,186905.14,16,1120.0,디에스종합관리(주)  대성베르힐건설(주),(주)부산에코델타시티피에프브이,0518313990,,아파트,부산광역시 강서구 에코델타5로 60,위탁관리,계단식,20260116,0518313991,1120,130766.625,0.0,0.0,1120.0,0.0,130766.6274,21,0,1,32,,35.148743228502,128.914609008233
A10020378,에코델타시티 푸르지오린,2644010300,부산광역시,강서구,강동동,,부산광역시 강서구 강동동 27- 에코델타시티 푸르지오린,분양,지역난방,108757.86,14,886.0,주식회사 대우건설,명선종합건설,0519736663,,아파트,부산광역시 강서구 에코델타3로 43,위탁관리,계단식,20250926,0519739994,895,105708.5,0.0,444.0,442.0,0.0,81341.3847,21,21,1,31,,35.1428719245537,128.920043691156
A10020569,에코델타시티 푸르지오 센터파크,2644010300,부산광역시,강서구,강동동,,부산광역시 강서구 강동동 - 에코델타시티 푸르지오 센터파크,분양,지역난방,154062.64,13,972.0,대우건설,부산도시공사,0519410178,,아파트,부산광역시 강서구 에코델타1로 66,위탁관리,계단식,20250617,0519410179,972,107459.49,0.0,972.0,0.0,0.0,81127.1707,16,16,2,40,,35.1476705701951,128.91469842294
A10020645,강서자이 에코델타,2644010300,부산광역시,강서구,강동동,,부산광역시 강서구 강동동 - 강서자이 에코델타,분양,지역난방,133305.75,10,856.0,GS건설,부산도시공사,0517102653,,아파트,부산광역시 강서구 에코델타1로 24,위탁관리,계단식,20250429,0517102654,856,92412.99,0.0,856.0,0.0,0.0,69351.023,22,22,2,23,,35.1432134027804,128.914188933677
A10020649,e편한세상 에코델타 센터포인트,2644010300,부산광역시,강서구,강동동,,부산광역시 강서구 강동동 - e편한세상 에코델타 센터포인트,분양,지역난방,151396.72,15,953.0,DL E&C,도시개발공사,0519739735,,아파트,부산광역시 강서구 에코델타1로 42,위탁관리,계단식,20250429,0519739736,953,105146.12,0.0,953.0,0.0,0.0,79445.4798,1,19,0,34,,35.1453818415594,128.914411759665
A10022541,에코델타 스마트시티 수자인,2644010300,부산광역시,강서구,강동동,,부산광역시 강서구 강동동 5058-9 에코델타 스마트시티 수자인,분양,지역난방,78274.0,7,554.0,(주)한양,에코델타피에스피에프브이(주),0519722920,,아파트,부산광역시 강서구 에코중앙1로 33,위탁관리,계단식,20240628,0519722921,554,77470.195,0.0,0.0,554.0,0.0,62229.6415,24,24,2,16,,35.1396035183419,128.916467746097
A10022696,부산호반써밋스마트시티아파트,2644010300,부산광역시,강서구,강동동,,부산광역시 강서구 강동동 5076-5 부산호반써밋스마트시티아파트,분양,지역난방,58422.0,9,526.0,호반건설,호반앤리조트,0519735580,,아파트,부산광역시 강서구 에코대로 243,위탁관리,계단식,20240313,0519735581,526,57489.008,0.0,526.0,0.0,0.0,44664.9866,18,18,2,14,46716,35.1397424250911,128.907495574458
A10023943,명지행복주택,2644010400,부산광역시,강서구,명지동,,부산광역시 강서구 명지동 3227-2 명지행복주택,임대,개별난방,16771.0,2,284.0,(주)HJ중공업,한국토지주택공사,0512948433,,아파트,,위탁관리,복도식,20211229,0512948432,286,16647.271,284.0,0.0,0.0,0.0,7805.8,15,15,1,0,46726,35.0896887655181,128.899010551834
A10024664,더샵명지퍼스트월드3단지,2644010400,부산광역시,강서구,명지동,,부산광역시 강서구 명지동 3595-3 더샵명지퍼스트월드3단지,분양,지역난방,250035.97,9,1530.0,포스코,대한토지신탁 주식회사,0517100802,firstworldapt3.postown.net/,아파트,부산광역시 강서구 명지국제2로 41,위탁관리,계단식,20200728,0517100803,1530,179038.34,0.0,1326.0,204.0,0.0,133114.062,34,34,3,23,46726,35.0947817266961,128.906874174632
