kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020637,금정더유엘프리미엄,2641010300,부산광역시,금정구,청룡동,,부산광역시 금정구 청룡동 45-2 금정더유엘프리미엄,분양,개별난방,10289.17,1,113.0,희진개발,(주)신태양건설,0517501234,,주상복합,부산광역시 금정구 청룡로 42,위탁관리,계단식,20220531,,121,9258.763,37.0,76.0,0.0,0.0,6752.51,1,20,0,0,,35.2757997730239,129.087860707138
A60976902,청룡경동아파트,2641010300,부산광역시,금정구,청룡동,,부산광역시 금정구 청룡동 350 청룡경동아파트,분양,개별난방,93440.21,6,612.0,경동건설,경동건설,0515088012,https://kdapt.modoo.at/,아파트,부산광역시 금정구 청룡예전로 74,자치관리,계단식,19971025,0515088013,612,72886.35,196.0,272.0,0.0,144.0,58994.44,18,18,0,18,46201,35.2810265578512,129.086190756635
A60976903,청룡협성엠파이어,2641010300,부산광역시,금정구,청룡동,,부산광역시 금정구 청룡동 8-1 청룡협성엠파이어,분양,개별난방,51137.0,3,299.0,(주)협성건설,(주)협성건설,0515085991,,주상복합,부산광역시 금정구 중앙대로 2120,위탁관리,계단식,20131018,0515085992,299,31671.805,0.0,299.0,0.0,0.0,24489.8172,28,28,3,7,46213,35.2740052793085,129.09305577448
A60984401,금정산 경동 메르빌,2641010300,부산광역시,금정구,청룡동,,부산광역시 금정구 청룡동 380-5 금정산 경동 메르빌,분양,개별난방,34736.0,3,158.0,(주)경동건설,(주)경동건설,0515083071,,아파트,부산광역시 금정구 청룡예전로 100-12,자치관리,계단식,20070216,0515083072,158,25875.094,0.0,0.0,105.0,53.0,22484.7016,15,15,2,6,46201,35.2795698854979,129.085316979108
A10020806,남산동경동아파트,2641010400,부산광역시,금정구,남산동,,부산광역시 금정구 남산동 122-10 남산동경동아파트,분양,개별난방,16869.08,1,144.0,경동건설,경동건설,0515152363,,아파트,부산광역시 금정구 학산로 5,자치관리,계단식,19930826,0515152363,144,14526.6,56.0,70.0,8.0,10.0,11532.28,9,8,1,0,,35.2640916831223,129.091136343489
A10021544,남산우남이채롬아파트,2641010400,부산광역시,금정구,남산동,,부산광역시 금정구 남산동 9- 남산우남이채롬아파트,분양,개별난방,17172.0,1,126.0,우남건설,우남건설,0515831163,,주상복합,부산광역시 금정구 금단로 113-5,위탁관리,계단식,20060728,,164,13983.354,0.0,126.0,0.0,0.0,10488.6,1,20,0,0,,35.2594463269442,129.09218176213
A10024369,남산신화하니엘,2641010400,부산광역시,금정구,남산동,,부산광역시 금정구 남산동 23-2 남산신화하니엘,분양,개별난방,15229.42,1,115.0,신화종합건설,석천건전주식회사 주식회사 한진공영,0515185554,,아파트,부산광역시 금정구 중앙대로 2100-1,자치관리(직영),계단식,20140129,0515185559,161,10309.33,23.0,92.0,0.0,0.0,8390.17,24,24,3,3,46214,35.2718139670394,129.093186402581
A60976404,럭키남산아파트,2641010400,부산광역시,금정구,남산동,,부산광역시 금정구 남산동 115-30 럭키남산아파트,분양,개별난방,43004.75,4,410.0,한전주택조합,한전주택조합,0515171296,www.apthome.co.kr/2109,아파트,부산광역시 금정구 남산로37번길 52,자치관리,계단식,19910802,0515171297,410,41780.72,0.0,410.0,0.0,0.0,33572.92,15,15,0,15,46225,35.2645426115052,129.086038264481
A60981101,남산삼성아파트,2641010400,부산광역시,금정구,남산동,,부산광역시 금정구 남산동 35-8 남산삼성아파트,분양,개별난방,12810.6,2,180.0,(주)삼성종합건설,삼성,0515180483,,아파트,부산광역시 금정구 금단로 136,위탁관리,복도식,19921212,0515180483,180,12810.6,180.0,0.0,0.0,0.0,8845.2,16,16,1,2,46215,35.2610050646642,129.093346566951
A60981302,현대그레이스아파트,2641010400,부산광역시,금정구,남산동,,부산광역시 금정구 남산동 374-68 현대그레이스아파트,분양,개별난방,25045.0,1,207.0,현대건설,그레이스 주택(주),0515821822,,아파트,부산광역시 금정구 벅구산로 25-5,자치관리,혼합식,19940614,0515821823,207,24093.678,31.0,146.0,30.0,0.0,17589.55,25,25,1,4,46214,35.2691704424584,129.094218599076
