kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020395,정성재,2629010600,부산광역시,남구,대연동,,부산광역시 남구 대연동 1918- 정성재,분양,개별난방,6640.44,1,58.0,남아건설(주),(주)부산근대화체인,0516118731,,주상복합,부산광역시 남구 유엔로 211,위탁관리,계단식,20190927,,58,4427.146,58.0,0.0,0.0,0.0,3400.54,11,11,1,0,,35.1303385683753,129.099413005228
A10022581,힐스테이트대연센트럴,2629010600,부산광역시,남구,대연동,,부산광역시 남구 대연동 1536-12 힐스테이트대연센트럴,분양,개별난방+기타,66040.77,5,449.0,(주)현대엔지니어링,대연2구역재건축정비조합,0518610630,,아파트,부산광역시 남구 진남로 95,위탁관리,계단식,20240513,0516330630,449,43871.125,163.0,286.0,0.0,0.0,32276.7369,28,28,2,14,48451,35.1379415801896,129.083806234721
A10022847,더비치푸르지오써밋,2629010600,부산광역시,남구,대연동,,부산광역시 남구 대연동 1808 더비치푸르지오써밋,분양,개별난방,221954.0,8,1384.0,(주)대우건설,대연4구역주택재건축정비사업조합,0518530630,,아파트,부산광역시 남구 황령대로 504,위탁관리,계단식,20250523,0518530631,1384,143979.56,556.0,594.0,234.0,0.0,107625.7659,43,43,3,0,48514,35.1358668649776,129.110083623465
A10022958,리마크빌 대연,2629010600,부산광역시,남구,대연동,,부산광역시 남구 대연동 54-5 리마크빌 대연,임대,개별난방,6897.21,1,260.0,계룡건설산업(주),(주)케이티 에스테이트,0516268604,,도시형 생활주택(아파트),부산광역시 남구 수영로 324,위탁관리,복도식,20161230,0516268607,260,6897.21,260.0,0.0,0.0,0.0,6897.21,20,19,6,2,48508,35.1374998452167,129.101551369343
A10022999,대연푸르지오클라센트,2629010600,부산광역시,남구,대연동,,부산광역시 남구 대연동 1203-100 대연푸르지오클라센트,혼합,개별난방,102351.44,8,1057.0,(주)대우건설,대연4구역 주택재개발정비사업조합,0516267172,,아파트,부산광역시 남구 유엔로 81,위탁관리,혼합식,20240809,0516267173,1057,102351.44,329.0,728.0,0.0,0.0,76603.1708,36,36,4,34,,35.1290634154305,129.085064400067
A10023635,대연삼정그린코아더베스트,2629010600,부산광역시,남구,대연동,,부산광역시 남구 대연동 1920 대연삼정그린코아더베스트,분양,개별난방,43454.0,3,337.0,삼정,위드워킹,0516266824,,아파트,부산광역시 남구 수영로325번길 159-30,위탁관리,계단식,20220812,0516266825,337,42948.08,222.0,115.0,0.0,0.0,21517.5104,29,29,2,6,48431,35.145390567356,129.09628762855
A10024682,베르디하우스 아파트,2629010600,부산광역시,남구,대연동,,부산광역시 남구 대연동 1344-1 베르디하우스 아파트,분양,개별난방,7660.33,1,85.0,(주)동연종합건설,.,0516260490,.,아파트,부산광역시 남구 수영로249번길 3,자치관리,계단식,20030318,0516260490,91,295022.25,85.0,0.0,0.0,0.0,2737.7,9,9,2,0,48444,35.1357267751128,129.09357054893
A10025593,대연자이 아파트,2629010600,부산광역시,남구,대연동,,부산광역시 남구 대연동 630-1 대연자이 아파트,혼합,개별난방,85534.25,9,965.0,GS건설,대연5구역 주택재개발 정비사업조합,0517146422,v2admin.aptner.com,아파트,부산광역시 남구 유엔로 246,위탁관리,계단식,20190328,0517146423,965,84641.97,697.0,268.0,0.0,0.0,61404.9534,29,29,2,24,48530,35.1297154922914,129.101975964378
A10026094,대연sk뷰힐스아파트,2629010600,부산광역시,남구,대연동,,부산광역시 남구 대연동 1346-345 대연sk뷰힐스아파트,분양,개별난방,157529.53,11,994.0,sk건설,대연7구역 주택재개발정비사업조합,0516240831,,아파트,부산광역시 남구 수영로 261,위탁관리,계단식,20180711,0516240832,994,105924.02,226.0,686.0,82.0,0.0,79699.5759,26,26,4,29,48442,35.13824171926,129.093430256325
A10026184,대연파크푸르지오아파트,2629010600,부산광역시,남구,대연동,,부산광역시 남구 대연동 1160-1 대연파크푸르지오아파트,분양,개별난방,199950.75,14,1422.0,(주)대우건설,대연6구역 주택재개발정비사업조합,0516278882,dyparkprugio.com,아파트,부산광역시 남구 홍곡로 360,위탁관리,혼합식,20180628,0516278820,1422,148257.48,387.0,958.0,77.0,0.0,106849.9189,28,28,3,36,48532,35.1253456097927,129.090820034146
