kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021308,초량화신아파트,2617010100,부산광역시,동구,초량동,,부산광역시 동구 초량동 865-166 초량화신아파트,분양,개별난방,15292.54,4,216.0,화신주택,화신주택,0514672455,,아파트,부산광역시 동구 망양로 516-4,자치관리,계단식,19860603,07040242455,216,15292.528,152.0,64.0,0.0,0.0,12404.15,1,6,0,0,,35.1185346437742,129.032165033694
A10024393,초량베스티움센트럴베이,2617010100,부산광역시,동구,초량동,,부산광역시 동구 초량동 635-6 초량베스티움센트럴베이,혼합,개별난방,69001.0,7,449.0,(주)동부토건,DS동부건설,0514632102,,아파트,부산광역시 동구 홍곡로 37,위탁관리,계단식,20210826,0514632103,449,42584.703,136.0,313.0,0.0,0.0,32112.7422,28,28,3,12,48799,35.1244037750158,129.038362454203
A10024998,범양레우스 센트럴베이,2617010100,부산광역시,동구,초량동,,부산광역시 동구 초량동 1224 범양레우스 센트럴베이,분양,개별난방,141756.52,3,856.0,(주)범양건영,초량1-3구역도시환경정비사업조합,0514698892,byreus.aptner.com/,아파트,부산광역시 동구 초량중로 114,위탁관리,복도식,20200227,0514698894,856,92387.09,0.0,856.0,0.0,0.0,67737.1846,40,40,5,6,48795,35.121213153349,129.041661018536
A10025109,지원더뷰오션2차,2617010100,부산광역시,동구,초량동,,부산광역시 동구 초량동 1160-1 지원더뷰오션2차,분양,개별난방,40209.875,1,231.0,지원건설,지원홀딩스,0517102440,,주상복합,부산광역시 동구 중앙대로296번길 7-10,위탁관리,계단식,20191202,0517102445,231,25147.979,0.0,231.0,0.0,0.0,19580.7678,35,35,4,5,48730,35.1230249802826,129.045447674133
A10025359,e편한세상부산항,2617010100,부산광역시,동구,초량동,,부산광역시 동구 초량동 1218 e편한세상부산항,분양,개별난방,138872.0,4,752.0,대림산업주식회사,초량1다시1구역 도시환경정비사업조합,0514699507,http://ebusanhang.aptner.com/,주상복합,부산광역시 동구 홍곡로 50,위탁관리,계단식,20190723,0514699508,752,124467.16,0.0,752.0,0.0,0.0,60038.1637,36,36,4,24,48794,35.1230980159299,129.039977255617
A10025939,지원더뷰오션1차,2617010100,부산광역시,동구,초량동,,부산광역시 동구 초량동 1161-1 지원더뷰오션1차,분양,개별난방,24266.438,1,165.0,지원건설,지원홀딩스,0517152260,,주상복합,부산광역시 동구 중앙대로286번길 7-8,위탁관리,계단식,20181025,0517152272,165,18194.355,0.0,165.0,0.0,0.0,27931.7346,35,35,3,0,48730,35.1222513936208,129.045069993578
A10028104,부산역 유림줄리엣,2617010100,부산광역시,동구,초량동,,부산광역시 동구 초량동 1165-11 부산역 유림줄리엣,분양,개별난방,15767.0,1,286.0,유림E&C,무지개개발,0514428800,,주상복합,부산광역시 동구 중앙대로274번길 7-3,위탁관리,복도식,20140527,0514428881,286,9368.604,286.0,0.0,0.0,0.0,5265.416,17,17,4,0,48731,35.1211126355306,129.043881421296
A10028112,부산역 유림 로미오,2617010100,부산광역시,동구,초량동,,부산광역시 동구 초량동 1165-1 부산역 유림 로미오,분양,개별난방,15526.0,1,286.0,유림E&C,조은홈스,0514665066,,주상복합,부산광역시 동구 중앙대로274번길 7-7,위탁관리,복도식,20140527,0514665077,286,5776.706,286.0,0.0,0.0,0.0,5279.196,17,17,4,0,48731,35.1215041986968,129.044100149973
A60101001,센트럴베이동원로얄듀크비스타,2617010100,부산광역시,동구,초량동,,부산광역시 동구 초량동 1166-1 센트럴베이동원로얄듀크비스타,분양,개별난방,40965.69,1,270.0,(주)동원개발,(주)신세기건설,0514411199,,주상복합,부산광역시 동구 중앙대로286번길 10,위탁관리,계단식,20110616,0514411588,274,28328.03,0.0,270.0,0.0,0.0,22910.388,37,37,4,4,48731,35.1213977977104,129.044734083364
A60183601,초량동반도보라스카이뷰,2617010100,부산광역시,동구,초량동,,부산광역시 동구 초량동 1155 초량동반도보라스카이뷰,분양,개별난방,38656.74,1,256.0,(주)반도건설,(주)반도주택,0514641515,,주상복합,부산광역시 동구 중앙대로320번길 10,위탁관리,계단식,20060113,0514641516,256,26852.854,38.0,218.0,0.0,0.0,19370.58,35,35,3,0,48729,35.1240567322223,129.045949183432
A10020980,북항에코하임센트럴뷰,2617010200,부산광역시,동구,수정동,,부산광역시 동구 수정동 389-20 북항에코하임센트럴뷰,분양,개별난방,9640.03,1,105.0,(주)익수종합건설,(주)동해주택,0514651228,,도시형 생활주택(주상복합),부산광역시 동구 초량상로 138,위탁관리,계단식,20230831,0514661228,180,6740.355,105.0,0.0,0.0,0.0,3935.856,1,19,2,2,,35.1234235553713,129.041157573806
A10025380,협성휴포레부산진역오션뷰아파트,2617010200,부산광역시,동구,수정동,,부산광역시 동구 수정동 1352 협성휴포레부산진역오션뷰아파트,분양,개별난방,121938.69,3,788.0,(주)협성건설,수정1구역 도시환경정비사업조합,0514610311,,주상복합,부산광역시 동구 중앙대로 357,위탁관리,복도식,20190730,0514610313,788,77493.945,263.0,525.0,0.0,0.0,53936.917,47,47,5,6,48790,35.1273388202404,129.046454260579
A60181401,아르미나,2617010200,부산광역시,동구,수정동,,부산광역시 동구 수정동 1048-35 아르미나,분양,개별난방,30531.17,2,292.0,정우종건(주),부산도시공사,0514414477,,아파트,부산광역시 동구 홍곡남로 50,위탁관리,계단식,20010409,0519694477,292,25163.16,180.0,112.0,0.0,0.0,20067.6,18,18,2,9,48787,35.1256556769999,129.037575169341
A10021208,린다스마트포레,2617010300,부산광역시,동구,좌천동,,부산광역시 동구 좌천동 548- 린다스마트포레,분양,개별난방,7645.0,1,101.0,박홍재(주)지노종합건설,(주)참편한,0516217333,,도시형 생활주택(아파트),부산광역시 동구 정공단로 8,위탁관리,계단식,20180419,0517817334,113,6683.92,101.0,0.0,0.0,0.0,4392.6104,20,20,1,2,,35.1338289490993,129.053042174713
A10023963,부산항일동미라주더오션아파트,2617010300,부산광역시,동구,좌천동,,부산광역시 동구 좌천동 120 부산항일동미라주더오션아파트,분양,개별난방,91994.69,5,546.0,(주)일동,좌천2구역도시환경정비사업조합,0516479866,,주상복합,부산광역시 동구 자성로 2,위탁관리,계단식,20211230,0516479868,614,53922.188,102.0,444.0,0.0,0.0,61563.1314,39,38,4,14,48728,35.13172851113,129.05245707811
A10026146,좌천 서린엘마르더뷰,2617010300,부산광역시,동구,좌천동,,부산광역시 동구 좌천동 1170 좌천 서린엘마르더뷰,분양,개별난방,30691.205,4,257.0,서린건설(주),주식회사자연과도시,0516325503,,아파트,부산광역시 동구 망양로 850,위탁관리,계단식,20180803,0516325504,257,22112.701,257.0,0.0,0.0,0.0,15051.3067,23,23,0,0,48769,35.1358411351987,129.04739977759
A60105001,좌천동원드림타운,2617010300,부산광역시,동구,좌천동,,부산광역시 동구 좌천동 808 좌천동원드림타운,분양,개별난방,42142.523,3,298.0,동원개발,동원개발,0516341478,,아파트,부산광역시 동구 고관로 173,위탁관리,계단식,20020328,0519673980,298,36290.914,0.0,248.0,50.0,0.0,26504.8468,25,25,1,6,48773,35.13261800509,129.05138518465
A60105002,두산위브범일뉴타운,2617010300,부산광역시,동구,좌천동,,부산광역시 동구 좌천동 1168 두산위브범일뉴타운,분양,개별난방,61437.84,3,466.0,두산산업개발(주),좌천 범일구역 제1지구 도심지재개발조합,0516448355,www.cafe.daum.net/wevebeomill,아파트,부산광역시 동구 성남일로 5,위탁관리,계단식,20060627,0516378455,466,47226.39,191.0,275.0,0.0,0.0,34751.4748,25,25,3,10,48756,35.1322625319397,129.055439517713
A10020596,범일역신화하니엘팔라시오,2617010400,부산광역시,동구,범일동,,부산광역시 동구 범일동 830-179 범일역신화하니엘팔라시오,분양,개별난방,20616.89,1,232.0,주식회사헤븐리치,주식회사 신화종합건설,0516355888,,도시형 생활주택(아파트),부산광역시 동구 조방로34번길 5,위탁관리,계단식,20241226,0516326888,232,15809.7,232.0,0.0,0.0,0.0,11454.4,26,26,2,4,,35.1401631336689,129.061787235395
A10022650,부산 범일퀸즈W에디션,2617010400,부산광역시,동구,범일동,,부산광역시 동구 범일동 120-2 부산 범일퀸즈W에디션,분양,,5412.0,1,54.0,(주)대성문,(주)대성문,0516335479,,아파트,부산광역시 동구 중앙대로 493,위탁관리,복도식,20230328,,54,3557.2085,54.0,0.0,0.0,0.0,2388.0384,19,19,0,0,48723,35.1373203821136,129.056110597541
A10023208,두산위브더제니스 하버시티,2617010400,부산광역시,동구,범일동,,부산광역시 동구 범일동 252-1562 두산위브더제니스 하버시티,분양,개별난방,336605.0,7,2040.0,(주)두산건설,좌천.범일구역 통합3지구 도시환경정비사업,0517140188,,아파트,부산광역시 동구 범일로 21,위탁관리,혼합식,20230525,0517140189,2040,221731.05,392.0,1648.0,0.0,0.0,154276.2519,49,49,5,28,48753,35.1326704859309,129.057266019849
A10026746,오션브릿지,2617010400,부산광역시,동구,범일동,,부산광역시 동구 범일동 1655 오션브릿지,분양,개별난방,110992.89,2,652.0,(주)삼부건설,한국토지주택공사,0516477531,,아파트,부산광역시 동구 범일로 41,위탁관리,복도식,20170725,0516477532,652,99345.266,326.0,240.0,86.0,0.0,50156.24,48,48,4,12,48752,35.1334492882699,129.059079172546
A60106001,한성기린프라자,2617010400,부산광역시,동구,범일동,,부산광역시 동구 범일동 62-720 한성기린프라자,분양,개별난방,85572.56,1,547.0,한성기린건설,한성기린건설,0516334597,,주상복합,부산광역시 동구 중앙대로 514,위탁관리,복도식,19971025,0516334598,547,59622.05,249.0,198.0,100.0,0.0,42299.58,28,28,8,6,48726,35.1390138078844,129.056962489301
A60106002,두산위브포세이돈Ⅱ,2617010400,부산광역시,동구,범일동,,부산광역시 동구 범일동 825-7 두산위브포세이돈Ⅱ,분양,개별난방,159076.27,4,690.0,두산건설,두산건설,0516467060,,주상복합,부산광역시 동구 자성로116번길 2,위탁관리,계단식,20061229,0516467061,690,98085.36,0.0,330.0,270.0,90.0,76233.69,47,47,4,17,48748,35.1362311780235,129.063459403768
A60172001,진흥마제스타워범일,2617010400,부산광역시,동구,범일동,,부산광역시 동구 범일동 830-296 진흥마제스타워범일,분양,개별난방,84860.5,2,305.0,진흥기업(주),엠엔에프개발(주),0516320763,www.joyapt.com/home/user/2870/,주상복합,부산광역시 동구 자성로133번길 6,위탁관리,계단식,20101109,0516320765,305,44948.758,0.0,135.0,101.0,69.0,34900.716,40,40,5,8,48742,35.1373765407774,129.065570144261
