kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021497,아림파크맨션,2626010100,부산광역시,동래구,명장동,,부산광역시 동래구 명장동 497-76 아림파크맨션,분양,개별난방,3036.0,2,144.0,주)삼림,주)아림주택,0515290033,,아파트,부산광역시 동래구 명서로 140,자치관리,계단식,19880727,07081000051,144,3036.0,72.0,72.0,0.0,0.0,8439.12,1,6,1,0,,35.2101427655171,129.102149476573
A10021516,명장우성타운아파트,2626010100,부산광역시,동래구,명장동,,부산광역시 동래구 명장동 611-1 명장우성타운아파트,분양,개별난방,11635.0,7,150.0,(주)우성건설,대영건설(주),0515279087,,아파트,부산광역시 동래구 안락로101번길 35,자치관리(직영),계단식,19881230,,150,9707.4,60.0,90.0,0.0,0.0,9707.4,3,3,0,0,,35.2006838405872,129.107607620942
A10021914,삼보APT,2626010100,부산광역시,동래구,명장동,,부산광역시 동래구 명장동 290-2 삼보APT,분양,개별난방,11888.88,3,174.0,오래된 아피트라 자료 없음,오래된 아파트라 자료 멊음,0515221752,,아파트,부산광역시 동래구 시실로 202,자치관리,계단식,19860411,,174,9335.12,140.0,34.0,0.0,0.0,9335.12,5,5,0,0,,35.206032380709,129.099651295817
A10022163,명장 동양맨션,2626010100,부산광역시,동래구,명장동,,부산광역시 동래구 명장동 300-55 명장 동양맨션,분양,개별난방,13566.0,4,220.0,오래된 아파트여서 잘 모름,오래된 아파트여서 잘 모름,0515273144,,아파트,부산광역시 동래구 명서로 160,자치관리,계단식,19820215,0515273140,220,11234.0,220.0,0.0,0.0,0.0,11257.19,0,5,1,0,,35.2089685907854,129.101660572011
A10022509,명장일양아파트,2626010100,부산광역시,동래구,명장동,,부산광역시 동래구 명장동 461-1 명장일양아파트,분양,개별난방,15461.0,2,149.0,해강종합건설,일양주택,0515310311,,아파트,,자치관리,계단식,19920208,,149,15425.37,0.0,121.0,28.0,0.0,12327.53,15,15,1,5,,35.2077681885416,129.105708677327
A10025342,e편한세상동래명장,2626010100,부산광역시,동래구,명장동,,부산광역시 동래구 명장동 431 e편한세상동래명장,혼합,개별난방,212770.38,17,1384.0,대림산업(주),명장1구역 주택재개발정비사업조합,0515329107,epdm9107.aptner.com/,아파트,부산광역시 동래구 명장로 65,위탁관리,계단식,20190805,0515329108,1384,143105.77,152.0,1232.0,0.0,0.0,215509.06,29,29,3,35,47767,35.2051196931617,129.105513244994
A10026360,동래동일스위트,2626010100,부산광역시,동래구,명장동,,부산광역시 동래구 명장동 617 동래동일스위트,분양,개별난방,96532.28,9,702.0,(주)동일,(주)동일,0515215301,,아파트,부산광역시 동래구 시실로 119,위탁관리,계단식,20180202,0515215335,702,67083.08,0.0,702.0,0.0,0.0,50843.83,26,26,3,20,47758,35.2134812754542,129.094163965264
A60711001,명장조양아파트,2626010100,부산광역시,동래구,명장동,,부산광역시 동래구 명장동 24-1 명장조양아파트,분양,개별난방,27462.13,7,380.0,조양개발주식회사,조양개발주식회사,0515242482,,아파트,부산광역시 동래구 반송로273번길 2,자치관리,계단식,19831022,0519032482,397,27458.848,160.0,220.0,0.0,0.0,23550.75,5,5,0,0,47751,35.2059409006853,129.101215043535
A60711002,명장삼성타운,2626010100,부산광역시,동래구,명장동,,부산광역시 동래구 명장동 63-9 명장삼성타운,분양,개별난방,59751.0,2,471.0,삼성건설,삼성건설,0515224390,,아파트,부산광역시 동래구 명장로20번길 90,위탁관리,계단식,19960801,0519274390,471,45045.45,215.0,256.0,0.0,0.0,34513.95,25,25,2,10,47781,35.2026966821831,129.099963388662
A60780701,영산무지개타운,2626010100,부산광역시,동래구,명장동,,부산광역시 동래구 명장동 25-1 영산무지개타운,분양,개별난방,19640.71,1,186.0,백일건설(주),(주)영산주택,0515254916,,아파트,부산광역시 동래구 충렬사로67번길 13,자치관리,혼합식,19930626,0515254917,186,19557.027,0.0,186.0,0.0,0.0,14390.69,20,20,1,4,47750,35.204982211851,129.098579243599
A60780702,명장동유림노르웨이숲,2626010100,부산광역시,동래구,명장동,,부산광역시 동래구 명장동 300-106 명장동유림노르웨이숲,분양,개별난방,28438.09,3,221.0,"대건주택, 유림건설(주)",대건주택,0515243337,,아파트,부산광역시 동래구 시실로 181,위탁관리,계단식,20040604,0515233447,226,23213.629,28.0,193.0,0.0,0.0,17285.7077,23,23,1,6,47763,35.2075794008096,129.099868348115
A60780703,명장국제파크아파트,2626010100,부산광역시,동래구,명장동,,부산광역시 동래구 명장동 26-24 명장국제파크아파트,분양,개별난방,27252.82,1,255.0,(주)대륭주택,(주)대륭주택,0515263221,,아파트,부산광역시 동래구 충렬사로 81,자치관리,혼합식,19960523,0515263221,258,23761.31,130.0,125.0,0.0,0.0,18159.1,18,18,2,8,47750,35.205797845905,129.100225846451
A60781204,명장경동타운,2626010100,부산광역시,동래구,명장동,,부산광역시 동래구 명장동 326-4 명장경동타운,분양,개별난방,41812.65,4,335.0,경동건설,부산광역시 공무원 주택조합,0519272435,,아파트,부산광역시 동래구 명서로 182,위탁관리,계단식,19920525,0519282435,335,37538.8,0.0,335.0,0.0,0.0,28070.02,14,14,1,14,47764,35.2070824492915,129.101808154632
A10021261,안락 한우아파트,2626010200,부산광역시,동래구,안락동,,부산광역시 동래구 안락동 465-1 안락 한우아파트,분양,개별난방,10362.0,3,190.0,한우주택,한우주택,0515298493,앖음,아파트,부산광역시 동래구 충렬대로457번길 72,자치관리,계단식,19830126,000,190,8947.1,190.0,0.0,0.0,0.0,8947.1,5,5,1,0,,35.1985091619307,129.109642254355
A10022074,안락남흥아파트,2626010200,부산광역시,동래구,안락동,,부산광역시 동래구 안락동 600-6 안락남흥아파트,분양,개별난방,15600.0,2,140.0,남흥건설,남흥건설,0515273941,,아파트,부산광역시 동래구 충렬대로428번가길 19,자치관리,계단식,19891017,,140,12143.46,0.0,126.0,14.0,0.0,12143.46,14,14,0,0,,35.1950773339408,129.105122794473
