kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10027989,신화명리버뷰자이아파트,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 1021 신화명리버뷰자이아파트,분양,개별난방,115725.47,8,792.0,GS건설,GS건설,0513639331,http://shmrvxi.aptner.com/,아파트,부산광역시 북구 금곡대로470번길 29,위탁관리,계단식,20150619,0513639334,792,83225.96,125.0,667.0,0.0,0.0,62725.836,29,29,2,18,46508,35.2512280459782,129.012371521078
A10028138,동원역삼정그린코아,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 832 동원역삼정그린코아,분양,개별난방,77532.0,6,526.0,(주)삼정,(주)삼정지씨 건설,0513657506,,아파트,부산광역시 북구 효열로 135,위탁관리,계단식,20141211,0513657507,531,50738.273,199.0,327.0,0.0,0.0,36937.6654,29,29,3,2,46507,35.2580364464243,129.014187207907
A61673901,이안금곡아파트,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 1909 이안금곡아파트,분양,개별난방,29778.86,3,215.0,대우자동차판매/건설부문,대우,0513613752,,아파트,부산광역시 북구 금곡대로550번길 6,위탁관리,계단식,20060728,0513613753,215,23608.16,0.0,215.0,0.0,0.0,18252.6891,25,25,0,5,46508,35.2565111028652,129.011931841894
A61673902,율리벽산블루밍,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 1915 율리벽산블루밍,분양,개별난방,92327.89,8,589.0,(주)벽산건설,금곡제2구역주택재개발정비사업조합,0513619914,,아파트,부산광역시 북구 효열로 1,위탁관리,혼합식,20140329,0513615700,597,64345.99,104.0,485.0,0.0,0.0,46408.509,25,25,2,1,46509,35.2489684522194,129.014089697572
A61674824,부산율리마을,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 1882 부산율리마을,임대,개별난방,70999.34,5,840.0,한국토지주택공사,한국토지주택공사,0513618454,kohom.or.kr,아파트,부산광역시 북구 화명신도시로 255,위탁관리,계단식,20040524,0513618455,840,70496.445,840.0,0.0,0.0,0.0,44813.34,24,24,1,15,46521,35.2453932447009,129.010592292094
A61674912,화명뜨란채,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 1895 화명뜨란채,분양,개별난방,106361.13,9,981.0,두산중공업,주택공사,0513346618,www.joyapt.com/2255,아파트,부산광역시 북구 화명신도시로 219,위탁관리,계단식,20040702,0519396618,987,68479.89,441.0,540.0,0.0,0.0,68479.89,25,25,1,0,46522,35.242884949859,129.010879993085
A61676006,금곡한솔아파트,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 56-1 금곡한솔아파트,분양,개별난방,69549.07,6,532.0,"벽산, 삼협","벽산, 삼협",0513623254,www.joyapt.com/2805,아파트,부산광역시 북구 효열로 265,위탁관리,계단식,19950527,0513624957,532,62307.08,0.0,0.0,532.0,0.0,49836.235,20,20,0,14,46505,35.2660364322743,129.018303147659
A61676118,금곡주공1단지,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 53-1 금곡주공1단지,임대,중앙난방,49521.05,5,1099.0,"한라건설(주),(주)동신주택,마이즈(주) 등.",한국토지주택공사,0513632116,www.kohom.co.kr,아파트,부산광역시 북구 효열로 268,위탁관리,복도식,19940813,0513632119,1116,45770.33,1099.0,0.0,0.0,0.0,31193.28,15,15,1,14,46510,35.2677341935495,129.018995206358
A61676215,금곡주공2단지,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 98-1 금곡주공2단지,임대,중앙난방,66386.36,10,1460.0,"기계(옥내) 삼협개발(주),(주)해걍",한국토지주택공사,0513612010,www.kohom.or.kr,아파트,부산광역시 북구 금곡대로616번길 10-9,위탁관리,복도식,19940813,0513612011,1460,42152.2,1460.0,0.0,0.0,0.0,42187.95,15,15,0,20,46507,35.2598827791739,129.015196459368
A61676316,금곡주공3단지아파트,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 57-1 금곡주공3단지아파트,분양,개별난방,100534.0,14,1484.0,국제종합토건,대한주택공사,0513632126,,아파트,부산광역시 북구 효열로220번길 23,위탁관리,복도식,19940829,0513632127,1491,96386.62,1484.0,0.0,0.0,0.0,70234.74,15,15,0,21,46512,35.2645788964271,129.021859138241
A61676422,금곡주공4단지,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 1108 금곡주공4단지,임대,중앙난방,84192.0,13,1937.0,한국토지주택공사,한국토지주택공사,0513612115,www.kohom.co.kr,아파트,부산광역시 북구 효열로 76,위탁관리,복도식,19940708,0513612117,1937,79418.49,1937.0,0.0,0.0,0.0,53291.34,15,15,0,26,46514,35.2536085912779,129.01534596506
A61676509,금곡주공5단지아파트,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 1112-2 금곡주공5단지아파트,분양,개별난방,47228.0,7,713.0,한라건설,한라건설,0513612035,,아파트,부산광역시 북구 효열로37번길 22,위탁관리,복도식,19941105,0513612036,713,44008.71,713.0,0.0,0.0,0.0,31110.75,20,20,1,4,46509,35.2499619789442,129.013375171263
A61676605,금곡주공6단지아파트,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 1110 금곡주공6단지아파트,분양,개별난방,38182.0,4,504.0,대한주택공사,대한주택공사,0513622010,wwww.joyapt.com/home/user/764,아파트,부산광역시 북구 효열로 40,위탁관리,복도식,19950816,0513622011,504,37165.44,504.0,0.0,0.0,0.0,24761.82,25,25,0,8,46514,35.2489583498651,129.015421319804
A61676723,금곡주공7단지,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 811 금곡주공7단지,임대,개별난방,47701.0,8,802.0,한국토지주택공사,한국토지주택공사,0513622602,www.kohom.co.kr,아파트,부산광역시 북구 금곡대로550번길 23,위탁관리,복도식,19960506,0513622603,802,45039.25,802.0,0.0,0.0,0.0,31615.72,20,20,1,11,46507,35.2567697648929,129.013284080271
A61676814,금곡9단지주공,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 810 금곡9단지주공,분양,개별난방,87209.0,14,1366.0,대한주택공사,대한주택공사,0513622061,cafe.daum.net/kg810,아파트,부산광역시 북구 효열로 134,위탁관리,복도식,19960506,0513622062,1366,87194.8,1366.0,0.0,0.0,0.0,57010.44,20,20,1,18,46513,35.2582359902722,129.015202701014
A61677013,화명한일유앤아이,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 1898 화명한일유앤아이,분양,개별난방,124244.266,12,1026.0,한일건설,부산도시개발공사,0513610444,,아파트,부산광역시 북구 화명신도시로 194,위탁관리,계단식,20020208,0513610414,1026,107930.05,314.0,712.0,0.0,0.0,78309.58,25,25,1,24,46523,35.2425002245561,129.012496205717
A61681001,"금곡유림2차아파트(205동,206동)",2632010100,부산광역시,북구,금곡동,,"부산광역시 북구 금곡동 94-1 금곡유림2차아파트(205동,206동)",분양,개별난방,31432.65,2,240.0,유림종합건설,유림종합건설,0513631265,,아파트,부산광역시 북구 금곡대로616번길 57,위탁관리(직영+위탁),계단식,19941206,0513631265,240,30447.0,0.0,0.0,210.0,30.0,24552.6,15,15,1,8,46505,35.2632688745984,129.015996918577
A61681003,금곡유림2차아파트(201-203),2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 96-1 금곡유림2차아파트(201-203),분양,개별난방,32362.19,3,240.0,유림건설,유림건설,0513620244,,아파트,부산광역시 북구 효열로 193,위탁관리,계단식,19941130,0519390244,240,29851.8,0.0,0.0,240.0,0.0,23975.4,15,15,1,8,46506,35.2627469857172,129.017068871206
A61681107,금곡화목타운,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 97-10 금곡화목타운,분양,개별난방,51632.54,5,576.0,(주)화목주택,(주)화목주택,0513616767,,아파트,부산광역시 북구 효열로220번길 22,위탁관리,계단식,19941111,0519376767,576,51621.12,0.0,576.0,0.0,0.0,39232.12,18,18,1,16,46512,35.2619495613495,129.019930267402
A61681108,금곡조성협진아파트,2632010100,부산광역시,북구,금곡동,,부산광역시 북구 금곡동 97-11 금곡조성협진아파트,분양,개별난방,51079.68,6,576.0,"(주)협진주택,조성건설(주)","(주)협진주택,조성건설(주)",0513614405,,아파트,부산광역시 북구 효열로162번길 41,위탁관리,계단식,19941017,0513624510,576,51079.68,0.0,576.0,0.0,0.0,39150.72,18,18,0,16,46512,35.2615892682778,129.019418223118
