kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10024328,동대신역비스타동원아파트,2614010100,부산광역시,서구,동대신동1가,,부산광역시 서구 동대신동1가 24 동대신역비스타동원아파트,분양,개별난방,71907.68,6,503.0,(주)동원개발,동대신2구역주택재개발조합,0512545558,,아파트,부산광역시 서구 보수대로154번길 29,위탁관리,혼합식,20210330,0512545559,503,48834.004,212.0,291.0,0.0,0.0,35045.5856,29,29,3,15,49220,35.1103728686337,129.022816608344
A60275001,삼익,2614010200,부산광역시,서구,동대신동2가,,부산광역시 서구 동대신동2가 313 삼익,분양,개별난방,52066.0,12,410.0,삼익건설,삼익건설,0512428031,,아파트,부산광역시 서구 대영로85번길 34-47,자치관리,계단식,19760619,0519758031,418,48572.4,0.0,0.0,300.0,110.0,48595.235,5,5,0,0,49216,35.112825105996,129.020096423424
A10022287,구덕금호아파트,2614010300,부산광역시,서구,동대신동3가,,부산광역시 서구 동대신동3가 140- 구덕금호아파트,분양,개별난방,0.0,1,112.0,금호개발,금호개발,0512573447,,아파트,부산광역시 서구 보수대로242번길 6,자치관리,혼합식,20010514,0512573447,113,9924.62,78.0,34.0,0.0,0.0,7543.64,17,17,3,0,,35.1158361893629,129.018377589786
A10024875,동대신동 브라운스톤하이포레아파트,2614010300,부산광역시,서구,동대신동3가,,부산광역시 서구 동대신동3가 63-2 동대신동 브라운스톤하이포레아파트,혼합,개별난방,82203.45,6,554.0,이수건설,동대신1구역주택재개발정비사업조합,0512572920,https://v2admin.aptner.com/,아파트,부산광역시 서구 동대로19번길 32,위탁관리,계단식,20200922,0512572921,554,56614.21,79.0,475.0,0.0,0.0,42489.85,27,27,2,13,49201,35.1184561607383,129.019216891509
A60281201,대신문화아파트,2614010300,부산광역시,서구,동대신동3가,,부산광역시 서구 동대신동3가 173 대신문화아파트,분양,개별난방,17818.25,1,180.0,부산시,부산시 건설국,0512431203,,주상복합,부산광역시 서구 구덕로 350,자치관리,복도식,19711217,0512431202,248,13638.81,72.0,108.0,0.0,0.0,11187.35,10,10,1,3,49211,35.1150726941653,129.01590480137
A10026034,대신푸르지오아파트,2614010400,부산광역시,서구,서대신동1가,,부산광역시 서구 서대신동1가 212 대신푸르지오아파트,혼합,개별난방,154017.0,8,959.0,대우건설,서대신7구역주택재개발정비사업조합,0512578652,,아파트,부산광역시 서구 대영로38번길 11,위탁관리,혼합식,20180427,0512578653,959,79714.19,139.0,638.0,182.0,0.0,79714.1912,34,34,3,19,49232,35.1073974230548,129.01613473633
A10023704,대신해모로센트럴아파트,2614010500,부산광역시,서구,서대신동2가,,부산광역시 서구 서대신동2가 394-7 대신해모로센트럴아파트,혼합,개별난방,113336.01,8,733.0,HJ중공업 건설,서대신5구역주택재개발 정비사업조합,0512436011,,아파트,부산광역시 서구 대티로 178,위탁관리,복도식,20220729,0512436013,733,74664.12,243.0,433.0,57.0,0.0,55745.7195,29,29,6,24,49230,35.1113590671005,129.011559245152
A10024535,대신2차푸르지오,2614010500,부산광역시,서구,서대신동2가,,부산광역시 서구 서대신동2가 414-1 대신2차푸르지오,분양,개별난방,123548.06,7,815.0,(주)대우건설,서대신6구역주택재개발정비사업조합,0512430815,,아파트,부산광역시 서구 고운들로 181,위탁관리,계단식,20210122,0512430816,815,87988.89,146.0,474.0,195.0,0.0,65395.6975,31,31,3,19,49229,35.1084567309889,129.013588861488
A60282001,보람더하임아파트,2614010500,부산광역시,서구,서대신동2가,,부산광역시 서구 서대신동2가 270 보람더하임아파트,분양,개별난방,35371.97,3,200.0,보람건설,보람건설,0512421261,,주상복합,부산광역시 서구 대영로 24,위탁관리,계단식,20051209,0512421262,200,23576.86,0.0,158.0,42.0,0.0,18381.25,15,15,4,7,49228,35.1097432165804,129.01397057466
A10022281,구덕자유아파트,2614010600,부산광역시,서구,서대신동3가,,부산광역시 서구 서대신동3가 566-5 구덕자유아파트,분양,개별난방,10992.0,1,116.0,자유건설(주),자유건설(주),0512484627,,아파트,부산광역시 서구 망양로33번길 27,위탁관리,계단식,19960418,0512484627,116,10215.54,85.0,31.0,0.0,0.0,7692.95,21,21,1,3,,35.1137812674724,129.012448357479
A10026510,대신더샵아파트,2614010600,부산광역시,서구,서대신동3가,,부산광역시 서구 서대신동3가 117-1 대신더샵아파트,분양,개별난방,64987.0,5,429.0,포스코건설,서대2구역주택조합,0512572100,,아파트,부산광역시 서구 꽃마을로 48,위탁관리,계단식,20180130,0512572101,429,45032.44,80.0,301.0,48.0,0.0,33653.54,24,24,3,0,49203,35.1183783315399,129.012199836572
A10028182,대신롯데캐슬아파트,2614010600,부산광역시,서구,서대신동3가,,부산광역시 서구 서대신동3가 650 대신롯데캐슬아파트,분양,개별난방,119013.62,10,753.0,(주)롯데건설,서대신1구역 주택재개발 정비사업,0512449002,,아파트,부산광역시 서구 대티로 161,위탁관리,계단식,20141030,0512449008,753,83758.086,204.0,388.0,161.0,0.0,63135.2395,22,22,4,23,49208,35.1166687298821,129.010292961723
A60275104,남성한빛아파트,2614010600,부산광역시,서구,서대신동3가,,부산광역시 서구 서대신동3가 161-13 남성한빛아파트,분양,개별난방,68401.62,2,564.0,남성건설,남성건설,0512462806,,아파트,부산광역시 서구 꽃마을로 43,위탁관리,혼합식,19961010,0512543934,564,59280.2,244.0,228.0,92.0,0.0,44831.88,23,23,2,11,49207,35.1175411470475,129.011309173693
A60275105,대신공원한신휴플러스,2614010600,부산광역시,서구,서대신동3가,,부산광역시 서구 서대신동3가 752 대신공원한신휴플러스,혼합,개별난방,48972.0,5,321.0,한신공영(주),서대신3구역주택재개발정비조합,0512314266,,아파트,부산광역시 서구 보수대로 284,위탁관리,계단식,20140214,0512314267,321,34868.51,106.0,142.0,73.0,0.0,26601.4542,24,24,2,10,49202,35.1199077692217,129.013064779413
A60275303,협성르네상스타운,2614010600,부산광역시,서구,서대신동3가,,부산광역시 서구 서대신동3가 694-1 협성르네상스타운,분양,개별난방,92720.7,8,490.0,(주) 협성종합건업,협성르네상스 (주),0512566434,,아파트,부산광역시 서구 대티로 159,위탁관리,계단식,20011122,0512566436,490,74292.1,0.0,110.0,306.0,74.0,54941.24,20,20,1,13,49208,35.1130974382768,129.010538391209
A60282101,유진대림아파트,2614010600,부산광역시,서구,서대신동3가,,부산광역시 서구 서대신동3가 19-9 유진대림아파트,분양,개별난방,26933.62,1,218.0,(주)대림산업,(주)유진산업개발,0512546023,,아파트,부산광역시 서구 보수대로320번길 11,위탁관리,계단식,19980309,0512446023,218,22818.914,88.0,86.0,44.0,0.0,17635.14,23,23,2,5,49202,35.1206903785565,129.01203767895
A60282202,금호어울림아파트,2614010600,부산광역시,서구,서대신동3가,,부산광역시 서구 서대신동3가 31-57 금호어울림아파트,분양,개별난방,45136.0,3,256.0,금호건설,금호어울림,0512414060,,아파트,부산광역시 서구 꽃마을로 57,위탁관리,계단식,20040204,0512414061,256,30809.914,0.0,78.0,137.0,41.0,27217.11,21,21,3,7,49207,35.1186786594296,129.011219457035
A10027586,한웅드리머스아파트,2614010700,부산광역시,서구,부용동1가,,부산광역시 서구 부용동1가 46-8 한웅드리머스아파트,분양,개별난방,16534.3,2,152.0,한웅건설(주),한웅레포츠(주),0512438600,,주상복합,부산광역시 서구 구덕로 238,위탁관리,계단식,20150911,0512438668,200,14724.21,24.0,128.0,0.0,0.0,10616.4,17,17,0,4,49223,35.1059210551071,129.020315727808
A60270501,부민e-편한세상아파트,2614011100,부산광역시,서구,부민동3가,,부산광역시 서구 부민동3가 76 부민e-편한세상아파트,분양,개별난방,81507.0,8,613.0,대림산업,부민동주택재개발조합,0512551603,,아파트,부산광역시 서구 해돋이로 313,위탁관리,계단식,20040916,07082601605,613,61357.04,202.0,299.0,112.0,0.0,50705.304,20,20,5,18,49239,35.1043130996166,129.016549041957
A10025793,토성동경동리인타워,2614011200,부산광역시,서구,토성동1가,,부산광역시 서구 토성동1가 25-1 토성동경동리인타워,분양,개별난방,79835.39,2,452.0,경동건설,토성맨션및 상가 재건축정비사업조합,0512579450,,주상복합,부산광역시 서구 보수대로 27,위탁관리,기타,20180727,0512579451,452,35636.168,0.0,446.0,6.0,0.0,35636.1736,49,49,7,3,49247,35.0992716554642,129.024246029705
A60276401,봄여름가을겨울아파트,2614011200,부산광역시,서구,토성동1가,,부산광역시 서구 토성동1가 51-1 봄여름가을겨울아파트,분양,개별난방,38594.51,1,201.0,수백건설,수백건설,0512431088,,주상복합,부산광역시 서구 보수대로 15,위탁관리,계단식,20050420,0519041088,201,24502.479,0.0,167.0,34.0,0.0,18326.86,20,20,3,5,49247,35.0983169479534,129.024461900083
