kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10025433,수영sk뷰 1단지,2650010100,부산광역시,수영구,망미동,,부산광역시 수영구 망미동 1176 수영sk뷰 1단지,분양,개별난방,168493.72,11,1147.0,sk건설,망미1구역주택재개발정비사업조합,0517546614,https://www.joyapt.com/7735,아파트,부산광역시 수영구 망미배산로 56,위탁관리,계단식,20190603,0517546615,1147,116763.56,483.0,664.0,0.0,0.0,84578.669,35,35,5,25,48206,35.1767886824248,129.101455155274
A10025468,수영sk뷰2차아파트,2650010100,부산광역시,수영구,망미동,,부산광역시 수영구 망미동 1168 수영sk뷰2차아파트,혼합,,10757.009,2,98.0,sk건설,망미1구역주택재개발정비사업조합,0517541534,,아파트,부산광역시 수영구 망미배산로 56,위탁관리,혼합식,20190603,0517541535,98,6470.0757,98.0,0.0,0.0,0.0,4511.8796,11,11,3,3,48206,35.1767886824248,129.101455155274
A10025719,망미한성기린아파트,2650010100,부산광역시,수영구,망미동,,부산광역시 수영구 망미동 209-4 망미한성기린아파트,분양,개별난방,12228.52,1,113.0,(주)한성기린,(주)한성기린,0517562743,,아파트,부산광역시 수영구 수미로71번길 20,자치관리,복도식,19941230,0517562746,113,11114.41,47.0,66.0,0.0,0.0,8344.92,19,19,2,2,48215,35.1741877981349,129.118812173918
A10026821,망미 이진캐스빌 아파트,2650010100,부산광역시,수영구,망미동,,부산광역시 수영구 망미동 1159 망미 이진캐스빌 아파트,분양,개별난방,47124.145,6,343.0,주식회사 이진주택,주식회사이진주택,0517537736,,아파트,부산광역시 수영구 망미로30번길 51,위탁관리,계단식,20170830,0517527738,343,32110.006,0.0,343.0,0.0,0.0,23185.8005,26,26,5,11,48239,35.1700008969317,129.101130180846
A61313001,망미삼성아파트,2650010100,부산광역시,수영구,망미동,,부산광역시 수영구 망미동 777 망미삼성아파트,분양,중앙난방,90171.78,13,672.0,삼성물산,삼성물산,0517582157,,아파트,부산광역시 수영구 망미로30번길 23,위탁관리,계단식,19911128,0517579786,672,75675.93,0.0,300.0,240.0,132.0,75676.98,15,15,0,22,48238,35.1686144727757,129.100818604991
A61313002,망미동the#파크리치,2650010100,부산광역시,수영구,망미동,,부산광역시 수영구 망미동 693-1 망미동the#파크리치,분양,개별난방,181148.6,8,862.0,포스코건설(주),(주)대경산업개발,0517525969,cafe.naver.com/parkrich862,아파트,부산광역시 수영구 연수로315번길 16,위탁관리,계단식,20070905,0517525970,862,136292.64,0.0,96.0,602.0,164.0,106857.4214,28,28,2,22,48211,35.1736824174031,129.107339690735
A61313201,센텀수영강변1차e-편한세상아파트,2650010100,부산광역시,수영구,망미동,,부산광역시 수영구 망미동 1154 센텀수영강변1차e-편한세상아파트,분양,개별난방,62948.83,6,480.0,수영구,메리츠화재해상보험주식회사,0517591877,www.samsungtms.co.kr,아파트,부산광역시 수영구 좌수영로 176,위탁관리,계단식,20040624,0517611870,480,51460.8,0.0,480.0,0.0,0.0,40769.136,23,23,1,12,48213,35.1793315555201,129.117663405744
A61313202,센텀수영강변2차e-편한세상아파트,2650010100,부산광역시,수영구,망미동,,부산광역시 수영구 망미동 1128 센텀수영강변2차e-편한세상아파트,분양,개별난방,59311.0,7,486.0,"대림,우남",신라개발,0517592934,cafe.daum.net/ssr2-e,아파트,부산광역시 수영구 좌수영로 204,위탁관리,계단식,20040825,0517592935,486,47429.95,169.0,317.0,0.0,0.0,37048.932,25,25,0,11,48213,35.1819093168633,129.116440491449
A61313203,수영강변대림3차 e-편한세상아파트,2650010100,부산광역시,수영구,망미동,,부산광역시 수영구 망미동 1136 수영강변대림3차 e-편한세상아파트,분양,개별난방,72465.0,4,530.0,대림산업(주),(주)트렌드코리아건설,0517572552,,아파트,부산광역시 수영구 좌수영로 192,위탁관리,계단식,20050704,0517571552,530,57616.406,0.0,530.0,0.0,0.0,45011.84,29,29,1,12,48213,35.1820724535399,129.116974870884
A61376503,망미로얄베스토피아아파트,2650010100,부산광역시,수영구,망미동,,부산광역시 수영구 망미동 941-1 망미로얄베스토피아아파트,분양,개별난방,59326.4,5,490.0,로얄건설,로얄건설,0517590020,,아파트,부산광역시 수영구 과정로85번길 70,위탁관리,계단식,19930604,0517585152,490,59326.4,0.0,402.0,44.0,44.0,45248.14,14,14,1,21,48201,35.1787482625696,129.102626672718
