kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021235,화랑아파트,2647010100,부산광역시,연제구,거제동,,부산광역시 연제구 거제동 867-5 화랑아파트,분양,개별난방,11299.0,5,105.0,(주)화랑주택,(주)화랑주택,0515020576,,아파트,부산광역시 연제구 아시아드대로 31,자치관리,계단식,19850710,05040389387,105,8638.654,0.0,105.0,0.0,0.0,8638.65,5,5,0,0,,35.1875174168096,129.068323057944
A10021493,벧엘아파트,2647010100,부산광역시,연제구,거제동,,부산광역시 연제구 거제동 1466-19 벧엘아파트,분양,개별난방,9278.0,1,105.0,서린종합건설,서린종합건설,0518625720,,도시형 생활주택(아파트),부산광역시 연제구 거제천로255번길 53,자치관리,복도식,19960502,,105,7283.25,30.0,75.0,0.0,0.0,7283.25,15,15,1,1,,35.1943065052519,129.084658066637
A10021495,다뉴브하이타운아파트,2647010100,부산광역시,연제구,거제동,,부산광역시 연제구 거제동 1088-5 다뉴브하이타운아파트,분양,개별난방,4584.0,2,144.0,확인안됨,확인안됨,0515063158,,아파트,부산광역시 연제구 월드컵대로252번길 5,자치관리,계단식,19931106,,144,257472.0,0.0,144.0,0.0,0.0,11560.464,1,24,0,0,,35.1911794896905,129.069696645825
A10021577,온천천2차동원로얄듀크아파트,2647010100,부산광역시,연제구,거제동,,부산광역시 연제구 거제동 1513- 온천천2차동원로얄듀크아파트,분양,개별난방,0.0,2,118.0,동원개발,동양맨션주택재건축정비사업소,0518519851,,아파트,부산광역시 연제구 거제천로269번길 41,위탁관리,계단식,20130516,0518519854,118,11770.027,0.0,118.0,0.0,0.0,9233.1106,21,21,1,0,,35.193809094964,129.086063687925
A10022565,거제 미소지움 더퍼스트 아파트,2647010100,부산광역시,연제구,거제동,,부산광역시 연제구 거제동 43 거제 미소지움 더퍼스트 아파트,분양,개별난방,32088.04,2,192.0,SG 신성건설,거제동 가로주택정비사업조합,0517172550,,아파트,부산광역시 연제구 거제대로 275,위탁관리,계단식,20240531,0517172576,192,20156.59,59.0,133.0,0.0,0.0,14830.9755,27,27,2,6,47512,35.1914725516544,129.077398339259
A10022890,레이카운티 아파트,2647010100,부산광역시,연제구,거제동,,부산광역시 연제구 거제동 1536- 레이카운티 아파트,혼합,개별난방,706214.0,34,4470.0,"삼성, 대림, 현산",거제2구역 재개발조합,0515038512,,아파트,부산광역시 연제구 아시아드대로 39,위탁관리,계단식,20240913,0515039712,4470,480870.94,1100.0,2898.0,472.0,0.0,355244.8221,35,35,3,120,47529,35.1886761249471,129.064775522816
A10023405,쌍용더플래티넘거제아시아드,2647010100,부산광역시,연제구,거제동,,부산광역시 연제구 거제동 860-1 쌍용더플래티넘거제아시아드,분양,개별난방,70990.0,5,482.0,쌍용건설,거제동지역주택조합,0515031213,ssaga7.aptner.com,아파트,부산광역시 연제구 아시아드대로 7,위탁관리,계단식,20230130,0515031214,482,47746.312,130.0,352.0,0.0,0.0,37080.8825,33,33,3,10,47530,35.1860667163788,129.069078260326
A10025258,아시아드코오롱하늘채,2647010100,부산광역시,연제구,거제동,,부산광역시 연제구 거제동 890-1 아시아드코오롱하늘채,분양,개별난방,106521.75,4,660.0,코오롱 건설,(주)성지시앤디,0515079777,,아파트,부산광역시 연제구 종합운동장로28번길 7,위탁관리,계단식,20191008,0515079776,660,76646.805,0.0,660.0,0.0,0.0,55807.156,42,42,3,18,47501,35.1935398467592,129.064828479989
A10025950,거제센트럴자이,2647010100,부산광역시,연제구,거제동,,부산광역시 연제구 거제동 307-6 거제센트럴자이,분양,개별난방,123334.805,10,878.0,GS건설,거제1구역주택재개발정비사업조합,0518669451,,아파트,부산광역시 연제구 법원북로 93,위탁관리,계단식,20181029,0518669452,878,87351.71,278.0,593.0,7.0,0.0,65863.3682,29,29,0,21,47507,35.193410924204,129.075544485213
A10026994,거제동2차 월드메르디앙아파트,2647010100,부산광역시,연제구,거제동,,부산광역시 연제구 거제동 1469-1 거제동2차 월드메르디앙아파트,분양,개별난방,26242.0,2,142.0,주)월드건설,주)월드건설,0518535999,,아파트,부산광역시 연제구 중앙대로 1188,위탁관리,계단식,20070802,0519445999,142,18129.986,0.0,94.0,48.0,0.0,28498.5996,25,25,2,0,47515,35.1934740331339,129.080042153189
