kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020216,역삼우정에쉐르2,1168010100,서울특별시,강남구,역삼동,,서울특별시 강남구 역삼동 707-18 역삼우정에쉐르2,분양,개별난방,5441.45,1,0.0,우정건설(주),(주)태승플래닝,025681135,,주상복합,서울특별시 강남구 테헤란로48길 10,위탁관리,혼합식,20040806,025681136,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,37.502652453062,127.045872920554
A10021281,대림역삼아파트,1168010100,서울특별시,강남구,역삼동,,서울특별시 강남구 역삼동 761-10 대림역삼아파트,분양,개별난방,15199.0,1,129.0,희훈건설,희훈건설,025660407,,아파트,서울특별시 강남구 언주로 316,위탁관리,혼합식,19971001,,129,9269.03,67.0,62.0,0.0,0.0,9269.03,1,18,2,1,,37.496232263246,127.046284915927
A10022749,원에디션강남,1168010100,서울특별시,강남구,역삼동,,서울특별시 강남구 역삼동 653-4 원에디션강남,분양,지역난방,45633.0,2,229.0,현대 엔지니어링(주),지엘스포월드피에프브이(주),025655800,,,서울특별시 강남구 언주로 563,위탁관리,기타,20240206,025655801,229,30296.256,229.0,0.0,0.0,0.0,9636.344,15,15,5,8,06135,37.5079337330229,127.038168392484
A10023825,강남센트럴아이파크,1168010100,서울특별시,강남구,역삼동,,서울특별시 강남구 역삼동 712-1 강남센트럴아이파크,혼합,지역난방,102103.0,5,499.0,현대산업개발,개나리4차 재건축조합,025087504,admin.aptner.co.kr,아파트,서울특별시 강남구 테헤란로44길 26,위탁관리,계단식,20220428,025087506,499,47840.06,100.0,208.0,166.0,25.0,47840.27,35,35,3,0,06214,37.5012057685259,127.045717100228
A10024813,롯데캐슬노블,1168010100,서울특별시,강남구,역삼동,,서울특별시 강남구 역삼동 835-68 롯데캐슬노블,분양,개별난방,37453.3,2,117.0,롯데건설,롯데건설,025564992,,아파트,서울특별시 강남구 도곡로13길 19,위탁관리,계단식,20070226,025564993,117,23289.34,0.0,0.0,0.0,117.0,20122.92,15,15,2,5,06255,37.4926412119382,127.03562324031
A10024820,현대까르띠에710아파트,1168010100,서울특별시,강남구,역삼동,,서울특별시 강남구 역삼동 710 현대까르띠에710아파트,분양,개별난방,39097.0,3,137.0,현대건설,현대건설,025586562,,아파트,서울특별시 강남구 언주로86길 12,위탁관리,계단식,20011109,025586563,137,28976.0,0.0,0.0,0.0,137.0,22010.896,24,24,2,0,06214,37.5017083711733,127.044956522424
A10027474,역삼자이아파트,1168010100,서울특별시,강남구,역삼동,,서울특별시 강남구 역삼동 711-1 역삼자이아파트,혼합,지역난방,74559.65,3,408.0,GS건설,개나리6차아파트주택재건축정비사업조합,025697651,,아파트,서울특별시 강남구 언주로 420,위탁관리,혼합식,20160622,025653655,408,51177.508,104.0,156.0,148.0,0.0,36393.78,31,31,3,10,06214,37.500962635548,127.044168622231
A13508001,역삼휴먼터치빌,1168010100,서울특별시,강남구,역삼동,,서울특별시 강남구 역삼동 606-18 역삼휴먼터치빌,분양,개별난방,12415.23,1,160.0,현대산업개발,현대산업개발,025530050,www.humantouch.co.kr,주상복합,서울특별시 강남구 논현로 565,자치관리,복도식,19990619,025526839,160,4784.64,160.0,0.0,0.0,0.0,4784.64,18,18,3,2,06125,37.5065208505908,127.033785182489
A13508002,역삼경남,1168010100,서울특별시,강남구,역삼동,,서울특별시 강남구 역삼동 722 역삼경남,분양,개별난방,30232.0,1,164.0,경남기업,역삼 주상복합조합,025080500,,주상복합,서울특별시 강남구 언주로85길 13,위탁관리,계단식,20020501,025080566,164,18521.2,0.0,164.0,0.0,0.0,13661.44,17,17,3,0,06222,37.5005673881078,127.042381786191
A13508003,대우디오빌플러스,1168010100,서울특별시,강남구,역삼동,,서울특별시 강남구 역삼동 824-25 대우디오빌플러스,분양,개별난방,12448.08,1,168.0,대우건설,플러스하우징,0220500001,,아파트,서울특별시 강남구 강남대로84길 33,위탁관리,복도식,20040525,0220500005,168,12448.08,168.0,0.0,0.0,0.0,6700.56,13,13,4,6,06233,37.4975461306128,127.031093425879
