kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021408,형인허브빌,1174010100,서울특별시,강동구,명일동,,서울특별시 강동구 명일동 354- 형인허브빌,분양,개별난방,13992.0,1,103.0,형인산업개발,"홍익,동광재거축  조합",0230136369,,아파트,서울특별시 강동구 상암로49길 13,위탁관리,계단식,20021104,,103,10647.04,0.0,103.0,0.0,0.0,8666.56,15,15,1,0,,37.5470552421548,127.144432355393
A10025415,래미안솔베뉴,1174010100,서울특별시,강동구,명일동,,서울특별시 강동구 명일동 359 래미안솔베뉴,혼합,개별난방,256091.9,13,1900.0,삼성물산(주),삼익그린맨션아파트 주택재건축정비사업조합,0269534980,rmasol.xisnd.co.kr,아파트,서울특별시 강동구 양재대로 1650,위탁관리,계단식,20190624,0269534981,1900,167138.81,1443.0,445.0,12.0,0.0,119768.6,35,35,3,42,05266,37.5524804591506,127.145208524251
A10026002,삼환고덕아파트,1174010100,서울특별시,강동구,명일동,,서울특별시 강동구 명일동 41 삼환고덕아파트,분양,중앙난방,14584.71,1,120.0,삼환기업(주)까뮈,삼환까뮈,024816832,,아파트,서울특별시 강동구 고덕로62길 126,위탁관리,계단식,19870627,0262806870,120,14584.71,0.0,75.0,45.0,0.0,11837.715,15,15,1,0,05268,37.5494891843664,127.151840596585
A13407002,"명일삼익가든1,2차",1174010100,서울특별시,강동구,명일동,,"서울특별시 강동구 명일동 270 명일삼익가든1,2차",분양,개별난방,88071.72,10,768.0,(주)삼익주택,(주)삼익주택,0234260087,,아파트,서울특별시 강동구 상암로 224,위탁관리,혼합식,19841016,0234262242,768,84555.74,66.0,516.0,126.0,60.0,64102.16,15,15,0,18,05297,37.5472156002521,127.147148298089
A13407104,명일삼익그린2차,1174010100,서울특별시,강동구,명일동,,서울특별시 강동구 명일동 15 명일삼익그린2차,분양,중앙난방,221766.27,18,2400.0,삼익그린맨션,삼익건설,0234276454,samik2apt.com,아파트,서울특별시 강동구 고덕로 210,위탁관리,혼합식,19831217,024293969,2400,221766.27,765.0,1215.0,420.0,0.0,176252.97,15,15,0,49,05267,37.5532947928121,127.148458988794
A13407201,명일삼익그린11차,1174010100,서울특별시,강동구,명일동,,서울특별시 강동구 명일동 38 명일삼익그린11차,분양,개별난방,18346.0,1,152.0,삼익주택,삼익주택,024287062,,아파트,서울특별시 강동구 명일로 376,위탁관리,혼합식,19860630,0264261451,152,18345.78,0.0,92.0,60.0,0.0,14833.98,15,15,1,5,05268,37.5518669273055,127.150495327898
A13407202,명일삼환아파트,1174010100,서울특별시,강동구,명일동,,서울특별시 강동구 명일동 47 명일삼환아파트,분양,개별난방,36500.0,2,306.0,삼환기업,삼환기업,024286492,www.gdsw.kr,아파트,서울특별시 강동구 고덕로62길 29,자치관리,계단식,19920630,0234268331,306,33375.42,0.0,306.0,0.0,0.0,25985.9,17,17,0,9,05269,37.5536971641562,127.153819433886
A13407204,명일신동아,1174010100,서울특별시,강동구,명일동,,서울특별시 강동구 명일동 44 명일신동아,분양,중앙난방,77635.0,7,570.0,신동아건설,신동아건설,024289655,www.gsda.co.kr,아파트,서울특별시 강동구 고덕로 240,자치관리,계단식,19860208,024282655,570,75780.0,0.0,120.0,450.0,0.0,64434.9,15,15,0,19,05268,37.5537388436088,127.152109058036
A13478601,고덕현대아파트,1174010100,서울특별시,강동구,명일동,,서울특별시 강동구 명일동 56 고덕현대아파트,분양,중앙난방,73374.4,7,524.0,한국도시개발(주),한국도시개발(주),024816061,,아파트,서울특별시 강동구 동남로71길 41,위탁관리,계단식,19860207,024426062,527,73154.4,0.0,164.0,360.0,0.0,61384.04,15,15,0,18,05270,37.5505038708259,127.153526109123
A13478602,명일진로,1174010100,서울특별시,강동구,명일동,,서울특별시 강동구 명일동 47-12 명일진로,,,0.0,1,68.0,,,,,주상복합,,기타,,,,0,0.0,0.0,0.0,68.0,0.0,8053.92,1,17,0,0,,37.5532422593823,127.154778066661
