kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020169,지안타워,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 868-12 지안타워,임대,개별난방,0.0,,0.0,,,028833313,,도시형 생활주택(아파트),서울특별시 관악구 남부순환로218길 17,,,20260129,,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,,37.4805005122461,126.950661761932
A10020559,낙성대현대아파트,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 296- 낙성대현대아파트,분양,개별난방,17960.0,2,122.0,현대견설(주),범우연립주택조합,028844076,,아파트,서울특별시 관악구 낙성대로 37,자치관리,혼합식,19981123,028844075,122,12827.37,60.0,32.0,30.0,0.0,9755.24,1,16,2,3,,37.47523653554,126.959396476881
A10020665,반석푸른숲아파트,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1723- 반석푸른숲아파트,분양,개별난방,13078.0,1,137.0,반석종합건설,반석종합건설,028839920,,아파트,서울특별시 관악구 인헌16다길 14,위탁관리,계단식,20060519,028848540,137,13078.0,45.0,92.0,0.0,0.0,10379.19,1,12,0,0,,37.4682146790737,126.96622912508
A10020718,LH관악봉천행복주택,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1739- LH관악봉천행복주택,임대,개별난방,7629.8574,1,236.0,양우종합건설(주),LH토지주택공사,028771723,,아파트,서울특별시 관악구 인헌16가길 38,위탁관리,복도식,20250313,028771724,238,7629.8574,236.0,0.0,0.0,0.0,4126.19,4,4,1,7,,37.4687545802637,126.968234369739
A10020964,힐스테이트관악센트씨엘,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1699-1 힐스테이트관악센트씨엘,분양,개별난방,154393.53,9,997.0,현대건설,봉천제 4-1-2구역 주택재개발 정비사업 조합,028771060,,아파트,서울특별시 관악구 구암5길 28,위탁관리,계단식,20241230,028771061,997,93461.21,552.0,445.0,0.0,0.0,68117.08,28,28,3,30,,37.4904233317703,126.946158010411
A10021647,마에스트로캠퍼스타운,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 893-12 마에스트로캠퍼스타운,분양,개별난방,0.0,1,117.0,(주)한미글로벌건축사사무소,한국자산신탁(주),0261058690,,주상복합,서울특별시 관악구 남부순환로 1773,위탁관리,복도식,20121019,0261058691,117,3207.23,117.0,0.0,0.0,0.0,1608.23,1,15,2,1,,37.48213912809,126.947212611798
A10021687,동아타운아파트,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1629-2 동아타운아파트,분양,개별난방,20053.26,1,121.0,동아건설산업(주),새한연립 재건축 조합,028727637,,주상복합,서울특별시 관악구 봉천로 576,위탁관리,복도식,19991030,028727400,121,10049.63,79.0,14.0,28.0,0.0,6868.8,16,16,0,1,,37.4769738774324,126.961320975076
A10021724,프라비다 M,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 893-1 프라비다 M,분양,개별난방,0.0,1,114.0,대호아이피종합건설(주),대호아이피개발(주),0261058690,,주상복합,서울특별시 관악구 남부순환로 1777-7,위탁관리,복도식,20141107,0261058691,114,4053.84,114.0,0.0,0.0,0.0,2882.11,20,20,2,1,,37.4823862782126,126.947625231145
A10023372,BX201 청년주택,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 854-3 BX201 청년주택,임대,개별난방,8239.52,1,201.0,강남건영(주),라온스테이2030,028760203,www.bx201.co.kr,,,위탁관리,복도식,20220510,028760204,202,6626.4,201.0,0.0,0.0,0.0,4158,20,20,2,0,08788,37.4797506113066,126.953345373244
A10023490,일두아파트,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1021 일두아파트,분양,,0.0,1,204.0,,,028771985,,연립주택,,,,19851120,,0,0.0,204.0,0.0,0.0,0.0,9701.76,1,6,0,0,08726,37.4889701928515,126.954067603784
A10024514,관악위버폴리스,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 859-17 관악위버폴리스,분양,개별난방,32278.865,1,108.0,(주)풍성주택,(주)풍성주택,028830120,,주상복합,서울특별시 관악구 관악로 195,위탁관리,계단식,20100222,028830320,108,22273.19,0.0,2.0,104.0,2.0,11560.932,20,20,6,2,08745,37.4825638239353,126.953098728924
A10024638,관악월드메르디앙아파트,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1724 관악월드메르디앙아파트,분양,개별난방,12368.98,2,118.0,월드건설(주),미주연립재건축조합,028733148,,아파트,서울특별시 관악구 관악로28길 80,위탁관리,계단식,20051202,028733138,118,12179.0,0.0,118.0,0.0,0.0,9729,14,14,1,6,08736,37.4835249228558,126.959145284638
A10024666,서희스타힐스,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1729 서희스타힐스,분양,개별난방,33910.17,1,142.0,주식회사 서희건설,봉천신시장재개발정비사업조합,01075611563,,주상복합,서울특별시 관악구 청림3길 10,위탁관리,혼합식,20150910,028711563,142,14430.6,71.0,71.0,0.0,0.0,10082.58,15,15,4,5,08731,37.4886505222551,126.95950602146
A10024894,이편한세상서울대입구2차(5단지),1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1733 이편한세상서울대입구2차(5단지),혼합,개별난방,81591.57,10,519.0,삼호건설,봉천제12의1구역주택재개발조합,0269521780,e-snu2.xisnd.co.kr,아파트,서울특별시 관악구 참숯1길 19,위탁관리,혼합식,20200429,0269521781,519,50986.19,191.0,276.0,52.0,0.0,38982.52,18,18,3,17,08830,37.477304218918,126.94238244228
A10025092,e편한세상서울대입구아파트,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1540-37 e편한세상서울대입구아파트,혼합,개별난방,200806.56,19,1276.0,대림산업,봉천제12-2구역 주택재개발정비사업조합,028829891,e-seoulapt.co.kr,아파트,서울특별시 관악구 청룡16길 43,위탁관리,계단식,20190625,028829893,1278,135792.86,351.0,827.0,98.0,0.0,102533.92,20,20,3,49,08830,37.4766334506936,126.943195705239
A10025428,e편한세상서울대입구 3단지,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1540-37 e편한세상서울대입구 3단지,임대,개별난방,17045.62,2,206.0,대림산업,봉천12-2구역 주택재개발정비사업조함,028839891,,아파트,서울특별시 관악구 참숯5길 7,위탁관리,복도식,20190625,028839892,206,10882.687,206.0,0.0,0.0,0.0,7569.73,14,14,2,4,08830,37.4773564837839,126.940755420806
A10026710,프라비다2,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 867-12 프라비다2,분양,개별난방,10936.04,1,208.0,대호아이피종합건설,대호아이피종합건설,028821333,,주상복합,서울특별시 관악구 남부순환로218길 37,위탁관리,복도식,20130227,028899524,208,7385.12,208.0,0.0,0.0,0.0,4093.11,15,15,4,1,08787,37.4796436603018,126.950464811358
A15105002,봉천인헌아파트,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1725 봉천인헌아파트,혼합,개별난방,17200.08,3,216.0,s.h공사,sh,028881217,,아파트,서울특별시 관악구 낙성대로15길 66,위탁관리,복도식,19981022,028761216,216,17200.08,216.0,0.0,0.0,0.0,10037.86,7,7,0,0,08800,37.468034829997,126.961769042702
A15105004,보라매삼성,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1698-1 보라매삼성,분양,개별난방,93237.0,8,710.0,삼성중공업,외환은행 주택조합,028854777,www.보라매삼성.com,아파트,서울특별시 관악구 보라매로 62,위탁관리,계단식,19960425,028854778,710,86842.94,0.0,710.0,0.0,0.0,60240.45,15,15,0,25,08709,37.4948015028766,126.927602560192
A15105005,서울대입구삼성아파트,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1591-2 서울대입구삼성아파트,분양,개별난방,35903.0,3,254.0,삼성중공업,삼성중공업,028718982,,아파트,서울특별시 관악구 관악로 125,위탁관리,계단식,19991028,0262788982,254,26742.58,119.0,72.0,63.0,0.0,20465,18,18,3,6,08833,37.4764721426091,126.952079961311
A15105006,낙성대현대홈타운,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1713 낙성대현대홈타운,분양,개별난방,52610.465,2,297.0,현대산업개발,현대산업개발,028731984,,아파트,서울특별시 관악구 솔밭로7길 16,위탁관리,계단식,20020225,028731985,297,39182.72,0.0,156.0,141.0,0.0,29449.943,21,21,0,10,08741,37.4798859472233,126.963907514458
A15105007,부미아띠랑스힐,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1715 부미아띠랑스힐,,,0.0,1,53.0,,,028724195,,아파트,,기타,,,028724195,0,0.0,0.0,53.0,0.0,0.0,4438.95,1,12,0,0,,37.4747740367494,126.954426300774
A15105008,관악파크푸르지오,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1728 관악파크푸르지오,분양,개별난방,37249.48,7,363.0,대우건설,까치산공원주택재건축정비사업조합,028899790,,아파트,서울특별시 관악구 행운10길 21,위탁관리,계단식,20140919,028899791,371,37240.9,95.0,268.0,0.0,0.0,28354.25,22,22,5,11,08735,37.4822590156576,126.962151071938
A15105301,관악푸르지오제2단지,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1717-1 관악푸르지오제2단지,임대,개별난방,28443.52,1,392.0,대우건설(주),대우,028823225,happy.i-sh.co.kr/main.do?deptid=70198,아파트,서울특별시 관악구 청림5길 28,위탁관리,복도식,20040826,028823226,392,28443.52,392.0,0.0,0.0,0.0,12689.04,20,20,0,0,08734,37.4895955788785,126.960271587162
