kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020191,백악관타워,1121510100,서울특별시,광진구,중곡동,,서울특별시 광진구 중곡동 93-13 백악관타워,임대,개별난방,16324.614,1,261.0,우암건설,주식회사 더블유앤홀딩스,024565570,,주상복합,서울특별시 광진구 천호대로 643,위탁관리,복도식,20250708,024565573,261,16324.614,160.0,69.0,32.0,0.0,16324.6139,16,0,4,3,,37.5537590579311,127.089214234459
A10020402,중곡아파트2단지,1121510100,서울특별시,광진구,중곡동,,서울특별시 광진구 중곡동 190-26 중곡아파트2단지,분양,개별난방,790221.0,3,120.0,확인불가,확인불가,024692265,,아파트,서울특별시 광진구 긴고랑로1길 55,자치관리,계단식,19761020,,120,7362.0,120.0,0.0,0.0,0.0,6704.79,5,5,1,0,,37.5667790083924,127.078414410781
A10023395,리마크빌 군자,1121510100,서울특별시,광진구,중곡동,,서울특별시 광진구 중곡동 637-5 리마크빌 군자,임대,개별난방,14965.17,1,299.0,한양산업개발주식회사,케이리얼티임대주택제3호위탁관리부동산투자회사,024627701,,아파트,서울특별시 광진구 천호대로 517,위탁관리,혼합식,20220830,024627702,309,13339.229,299.0,0.0,0.0,0.0,6158.18,19,19,3,3,04920,37.5588819324758,127.076249404252
A14322001,중곡SK,1121510100,서울특별시,광진구,중곡동,,서울특별시 광진구 중곡동 292 중곡SK,분양,개별난방,25412.83,3,182.0,(주)SK건설,대진연립 재건축조합,0234374185,,아파트,서울특별시 광진구 용마산로 174,위탁관리,혼합식,19991130,0234374184,182,18802.78,76.0,66.0,40.0,0.0,14377.48,21,21,3,0,,37.5685684109405,127.086381803739
A14322002,성원상떼빌,1121510100,서울특별시,광진구,중곡동,,서울특별시 광진구 중곡동 681 성원상떼빌,분양,개별난방,8072.0,1,91.0,성원건설,성원건설,024929505,,아파트,서울특별시 광진구 동일로 459,자치관리,계단식,19980410,024929505,91,2594.0,46.0,44.0,1.0,0.0,6590.4,24,24,3,0,04900,37.5712053276067,127.079626865015
A10020269,구의새한,1121510300,서울특별시,광진구,구의동,,서울특별시 광진구 구의동 656 구의새한,분양,개별난방,18345.8,5,126.0,(주)새한,(주)새한,07081519109,,아파트,서울특별시 광진구 자양로26길 71,자치관리,계단식,20000930,,126,13622.04,0.0,18.0,108.0,0.0,13622.04,9,0,1,7,,37.5412876569611,127.087837362694
A10021381,아차산포레안아파트,1121510300,서울특별시,광진구,구의동,,서울특별시 광진구 구의동 663- 아차산포레안아파트,분양,개별난방,19556.0,3,125.0,유호산업개발,한국토지주택공사,024550126,,아파트,서울특별시 광진구 천호대로 716,위탁관리,혼합식,20101230,,125,19555.86,29.0,85.0,11.0,0.0,10124.67,12,12,1,4,,37.5482752750724,127.093571130276
A10023951,광진그랜드파크,1121510300,서울특별시,광진구,구의동,,서울특별시 광진구 구의동 680 광진그랜드파크,분양,개별난방,130538.6,11,730.0,디엘이앤씨,한국투자신탁,024470991,,아파트,서울특별시 광진구 광나루로 458,위탁관리,계단식,20211230,024470992,730,86973.67,0.0,481.0,249.0,0.0,69744.3544,35,35,2,22,05022,37.55781913114262,127.10984386746753
A10024667,구의세양아파트,1121510300,서울특별시,광진구,구의동,,서울특별시 광진구 구의동 658 구의세양아파트,분양,개별난방,19247.8,2,130.0,(주)세양건설,(주)세양건설,0234379190,없음.,아파트,서울특별시 광진구 구의강변로 84,위탁관리,계단식,20020123,0234379198,130,19247.8,0.0,130.0,0.0,0.0,10961.6,22,22,2,0,05117,37.5373408739933,127.093866467203
A10025573,세림리오빌아파트,1121510300,서울특별시,광진구,구의동,,서울특별시 광진구 구의동 659 세림리오빌아파트,분양,개별난방,5875.65,1,60.0,이연건설,구의은마재건축조합,024582229,,아파트,서울특별시 광진구 아차산로 451,위탁관리,혼합식,20050902,024582226,60,7299.48,0.0,36.0,24.0,0.0,5875.65,12,12,2,20,05046,37.5392349158728,127.092202046312
