kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020550,크라운빌,1153010100,서울특별시,구로구,신도림동,,서울특별시 구로구 신도림동 694- 크라운빌,임대,개별난방,16162.0,1,232.0,계룡건설,관정재단,0226713291,,도시형 생활주택(아파트),서울특별시 구로구 경인로61길 21,자치관리(직영),계단식,20150916,0226332238,234,8339.2,232.0,0.0,0.0,0.0,5376.24,16,16,4,2,,37.5077209938211,126.884144736768
A10020771,신도림아르디에,1153010100,서울특별시,구로구,신도림동,,서울특별시 구로구 신도림동 695- 신도림아르디에,분양,개별난방,8275.235,1,149.0,명주산업개발(주),수양종합건설주식회사,0226345500,,도시형 생활주택(아파트),서울특별시 구로구 경인로66길 19,위탁관리,혼합식,20181102,0236672200,149,8275.235,149.0,0.0,0.0,0.0,3397.9,10,10,2,0,,37.5072696872106,126.887602012587
A10021030,신도림팰러티움,1153010100,서울특별시,구로구,신도림동,,서울특별시 구로구 신도림동 412-3 신도림팰러티움,분양,개별난방,26554.76,1,96.0,(주)고속도로관리공단,(주)고속도로관리공단,0226721300,,주상복합,서울특별시 구로구 경인로 584,위탁관리,기타,20061009,0226723003,139,15526.8,0.0,96.0,0.0,0.0,8136.48,26,26,5,2,,37.5038211816766,126.881697047054
A10022406,신성은하수아파트,1153010100,서울특별시,구로구,신도림동,,서울특별시 구로구 신도림동 640- 신성은하수아파트,분양,개별난방,1745650.0,1,120.0,(주)신성건설,(주)신성건설,0226713534,,,서울특별시 구로구 경인로66길 5,위탁관리,복도식,19970701,,120,12764.55,68.0,52.0,0.0,0.0,8466.63,17,17,0,0,,37.5076249285371,126.88738681414
A10022522,신도림2차 푸르지오 아파트,1153010100,서울특별시,구로구,신도림동,,서울특별시 구로구 신도림동 338- 신도림2차 푸르지오 아파트,분양,개별난방,29683.0,2,90.0,대우건설,대우건설,0236672496,,아파트,서울특별시 구로구 경인로67길 23,위탁관리,계단식,20080926,0236672498,90,3630.0,0.0,30.0,60.0,0.0,9824.7,19,19,4,2,,37.5104826397728,126.889481191271
A10028063,신도림아이파크아파트,1153010100,서울특별시,구로구,신도림동,,서울특별시 구로구 신도림동 332-1 신도림아이파크아파트,임대,개별난방,23583.44,3,189.0,(주)아이앤콘스,일양테라,0226780052,,아파트,서울특별시 구로구 경인로67길 33,위탁관리,계단식,20150206,0226780053,189,15103.44,189.0,0.0,0.0,0.0,10793.0905,27,27,2,5,08208,37.5112823029264,126.888069346869
A15277302,신도림디큐브시티,1153010100,서울특별시,구로구,신도림동,,서울특별시 구로구 신도림동 692 신도림디큐브시티,분양,기타,120062.81,2,524.0,대성산업,대성산업,0236679001,www.d3cityapt.com,아파트,서울특별시 구로구 경인로 662,위탁관리,혼합식,20110718,0236679002,524,76538.8,105.0,103.0,288.0,28.0,54208.19,51,51,7,6,08209,37.5081230677129,126.888212953215
A15288611,신도림미성,1153010100,서울특별시,구로구,신도림동,,서울특별시 구로구 신도림동 290 신도림미성,분양,중앙난방,71796.16,6,824.0,라이프건설,라이프건설,0226714933,,아파트,서울특별시 구로구 신도림로11가길 36,위탁관리,복도식,19871211,0226327424,824,71796.16,352.0,472.0,0.0,0.0,52343.88,13,13,1,7,08205,37.5062634637578,126.876348360484
A15288801,신도림우성5차,1153010100,서울특별시,구로구,신도림동,,서울특별시 구로구 신도림동 638 신도림우성5차,분양,개별난방,16328.0,1,154.0,우성건설(주),우성건설(주),0226764981,,아파트,서울특별시 구로구 신도림로21길 21,위탁관리,복도식,19941215,0263264981,155,14775.88,56.0,98.0,0.0,0.0,11151.84,11,11,1,2,08201,37.5129451536261,126.883460948295
A15288802,신도림대림3차,1153010100,서울특별시,구로구,신도림동,,서울특별시 구로구 신도림동 691 신도림대림3차,분양,개별난방,31419.58,3,204.0,20220321,대림산업,0263477288,,아파트,서울특별시 구로구 신도림로 11,위탁관리,계단식,20010920,0226796167,204,18501.72,0.0,162.0,42.0,0.0,18501.72,22,22,2,5,08206,37.507275213775,126.878180956047
