kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10023288,LH서울금천 행복주택아파트,1154510100,서울특별시,금천구,가산동,,서울특별시 금천구 가산동 219-25 LH서울금천 행복주택아파트,임대,개별난방,17616.2,2,282.0,동일토건,LH서울지역본부,028665670,,아파트,서울특별시 금천구 디지털로10길 55,위탁관리,복도식,20230630,028665671,285,17481.547,282.0,0.0,0.0,0.0,6365.3,18,18,2,5,08516,37.4760135849005,126.890198871817
A10023956,어바니엘가산,1154510100,서울특별시,금천구,가산동,,서울특별시 금천구 가산동 775 어바니엘가산,임대,개별난방,25483.76,1,299.0,(주)케이씨씨건설,한국후지필름(주),028632802,,주상복합,,위탁관리,복도식,20171201,028632806,409,16280.9,299.0,0.0,0.0,0.0,6320.85,18,18,2,4,08502,37.4850133257876,126.880111548311
A10025913,가산지웰에스테이트2차,1154510100,서울특별시,금천구,가산동,,서울특별시 금천구 가산동 143-6 가산지웰에스테이트2차,분양,개별난방,12007.0,1,238.0,신영건설,에덴퍼유한회사,0262680710,,주상복합,서울특별시 금천구 가산로9길 12-8,자치관리,복도식,20180829,0262680711,238,4578.65,238.0,0.0,0.0,0.0,3367.83,12,12,3,4,08515,37.4774170148555,126.890899119445
A15380101,가산삼익아파트,1154510100,서울특별시,금천구,가산동,,서울특별시 금천구 가산동 234-46 가산삼익아파트,분양,개별난방,27874.77,2,210.0,삼익건설,삼익건설,028530043,없음,아파트,서울특별시 금천구 두산로9길 56,위탁관리,혼합식,19980721,028550043,210,20394.553,114.0,96.0,0.0,0.0,14963.4,19,19,2,3,08521,37.472693266739,126.892741100741
A15380403,가산두산위브,1154510100,서울특별시,금천구,가산동,,서울특별시 금천구 가산동 769 가산두산위브,분양,개별난방,194383.0,18,1495.0,두산건https://www.k-apt.go.kr/kaptinfo/mng/mng_getKaptBasic.do?menu=1#m2설,두산건설,028575630,gsdsweve.aptner.com,아파트,서울특별시 금천구 가산로 99,위탁관리,계단식,19980309,028575691,1495,152615.02,654.0,567.0,274.0,0.0,120921.96,25,25,4,33,08520,37.4761567725398,126.891289403751
A10020894,독산동삼익아파트,1154510200,서울특별시,금천구,독산동,,서울특별시 금천구 독산동 956- 독산동삼익아파트,분양,개별난방,16672.56,1,124.0,삼익건설(주),대한연립재건축주택조합,028529560,,아파트,서울특별시 금천구 남부순환로120길 22,위탁관리,혼합식,19980902,028529700,124,11588.72,56.0,68.0,0.0,0.0,8370.02,1,13,2,1,,37.4783056912353,126.900720886861
A10022155,청광플러스원아파트,1154510200,서울특별시,금천구,독산동,,서울특별시 금천구 독산동 1139- 청광플러스원아파트,분양,개별난방,16503.605,1,136.0,청광건설,대흥 재건축 주택조합,028515344,,,서울특별시 금천구 두산로11길 22,위탁관리,계단식,20030722,028641534,136,13111.01,30.0,106.0,0.0,0.0,10553.362,16,16,1,0,,37.4714312820159,126.894106244993
A10024179,독산동태영아파트,1154510200,서울특별시,금천구,독산동,,서울특별시 금천구 독산동 1003-21 독산동태영아파트,분양,개별난방,16216.17,1,90.0,태영건설,태영건설,028940042,,,,위탁관리,혼합식,20010427,028940042,90,10132.38,36.0,36.0,18.0,0.0,7141.5,19,19,3,0,,37.4662831209543,126.890484397234
A10024302,독산역 롯데캐슬아파트,1154510200,서울특별시,금천구,독산동,,서울특별시 금천구 독산동 1160 독산역 롯데캐슬아파트,임대,개별난방+기타,136510.64,8,927.0,롯데건설,롯데알미늄,028038576,,아파트,서울특별시 금천구 벚꽃로 100,위탁관리,계단식,20210429,028038577,927,88857.27,610.0,317.0,0.0,0.0,63375.1247,35,35,3,24,08606,37.4641706487518,126.891110756716
A10025116,e편한세상독산더타워아파트,1154510200,서울특별시,금천구,독산동,,서울특별시 금천구 독산동 1007-13 e편한세상독산더타워아파트,분양,개별난방,59622.78,2,432.0,대림산업,국제자산신탁(주),028024041,,주상복합,서울특별시 금천구 범안로 1212,위탁관리,계단식,20191128,028070307,432,41029.344,280.0,152.0,0.0,0.0,28705.598,39,39,6,13,08603,37.4660352420573,126.896264072547
