kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020255,월계건양 노블레스 아파트,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 938 월계건양 노블레스 아파트,혼합,개별난방,148510.0,1,132.0,건양종합건설(주),건양종합건설(주),029738484,,아파트,서울특별시 노원구 화랑로45길 42-18,위탁관리,계단식,20031230,029763632,132,14530.56,0.0,132.0,0.0,0.0,11174.988,23,23,2,0,,37.6172054322533,127.066401242979
A10020305,광운대역 현대프라힐스,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 410-3 광운대역 현대프라힐스,임대,개별난방,12062.202,1,275.0,현대아산(주),현대아산(주),0262646366,,아파트,서울특별시 노원구 석계로15길 14,위탁관리,복도식,20250521,0262646367,275,12062.202,275.0,0.0,0.0,0.0,5939.31,14,14,2,4,,37.6223973421846,127.060774745914
A10021254,장은하이빌아파트,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 931- 장은하이빌아파트,분양,개별난방,14576.14,2,105.0,장은건설,확인중,0243210915,,도시형 생활주택(아파트),서울특별시 노원구 석계로13길 6-9,위탁관리(직영+위탁),혼합식,20020513,029412737,105,321.825,33.0,72.0,0.0,0.0,7733.8785,19,19,3,0,,37.6206406103183,127.061789932887
A10024636,세양청마루,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 943 세양청마루,분양,개별난방,15521.6,1,115.0,세양건설,..,029142224,,아파트,서울특별시 노원구 석계로13길 35,위탁관리,계단식,20051027,029142223,115,11822.0,0.0,115.0,0.0,0.0,9499.543,15,15,1,4,01896,37.6207224637927,127.060663621701
A10024812,월계우남아파트,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 930 월계우남아파트,분양,개별난방,20567.76,2,138.0,우남건설,우남건설,029498897,,아파트,서울특별시 노원구 화랑로 355,위탁관리,계단식,20011204,029490100,138,14645.94,0.0,138.0,0.0,0.0,11692.74,22,22,2,4,01914,37.6158487589869,127.067452153473
A10025097,월계센트럴아이파크아파트,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 633-31 월계센트럴아이파크아파트,혼합,개별난방,134402.75,7,859.0,현대산업개발,인덕마을주택재건축정비사업조합,029980861,wgidipark.apter.com,아파트,서울특별시 노원구 초안산로2라길 26,위탁관리,혼합식,20200130,029980862,859,91139.8,296.0,563.0,0.0,0.0,65606.41,30,30,2,21,01879,37.6300099286586,127.05667170993
A10027121,녹천역두산위브아파트,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 672 녹천역두산위브아파트,혼합,개별난방,47860.68,10,326.0,두산건설주식회사,월계4구역재개발조합,029088771,,아파트,서울특별시 노원구 마들로5길 25,위탁관리,혼합식,20171020,029088772,326,31900.129,97.0,215.0,14.0,0.0,24905.6,9,9,2,17,01866,37.6409838052553,127.052256470187
A10027716,꿈의숲 SK뷰 아파트,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 507-8 꿈의숲 SK뷰 아파트,분양,개별난방,80003.43,6,504.0,SK건설,월계3주택재건축정비사업조합,029117551,dreamsk.aptner.co.kr,아파트,서울특별시 노원구 월계로42길 97,위탁관리,계단식,20160127,029117553,504,51863.043,163.0,341.0,0.0,0.0,38734.93,20,20,2,17,01889,37.6220051183575,127.053173730089
A13905003,월계풍림아이원,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 944 월계풍림아이원,분양,개별난방,59974.477,8,484.0,풍림건설(주),지인개발(주),029778951,월계풍림.apti.co.kr,아파트,서울특별시 노원구 화랑로47길 38,위탁관리,계단식,20051216,029778901,484,45211.0,166.0,318.0,0.0,0.0,36630.848,25,25,2,0,01914,37.6166125600718,127.066759655645
A13905101,월계한일1차,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 926 월계한일1차,분양,개별난방,29399.08,1,190.0,한일건설(주),신아연립,029111074,,아파트,서울특별시 노원구 석계로15길 25,위탁관리,혼합식,19991209,029110712,190,21581.484,38.0,114.0,38.0,0.0,16330.082,19,19,3,5,01894,37.6219706775366,127.061560974006
A13905102,월계대동,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 925 월계대동,분양,개별난방,33781.285,3,258.0,(주)대동,월계신아연립주택조합,029197986,,아파트,서울특별시 노원구 광운로 46,위탁관리,혼합식,19970930,029159764,258,25090.66,148.0,102.0,8.0,0.0,18414.78,17,17,2,7,01894,37.621772863049,127.060433283371
A13905105,월계동현대,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 929 월계동현대,분양,개별난방,174649.34,11,1281.0,현대산업개발,현대산업개발,029112329,www.ipark.co.kr,아파트,서울특별시 노원구 석계로 49,위탁관리,혼합식,20001125,029112328,1281,137093.53,544.0,441.0,296.0,0.0,104126.02,27,27,1,0,01901,37.6185519738013,127.062581879712
A13905202,월계흥화브라운빌,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 939 월계흥화브라운빌,분양,개별난방,31044.97,4,233.0,흥화공업,흥화공업,029901489,,아파트,서울특별시 노원구 우이천로2나길 14,위탁관리,계단식,20040924,029901486,233,24310.46,26.0,207.0,0.0,0.0,18923.61,15,15,1,8,01871,37.6316105424881,127.04396713928
A13905204,월계6-1초안,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 923 월계6-1초안,분양,중앙난방,34910.55,3,410.0,서울도시개발공사,서울도시개발공사,029066113,,아파트,서울특별시 노원구 덕릉로60길 185,위탁관리,복도식,19980430,029066112,410,29649.6,410.0,0.0,0.0,0.0,21281.1,15,15,0,6,01870,37.6329811765686,127.04430328766
A13905208,월계6-2초안,1135010200,서울특별시,노원구,월계동,,서울특별시 노원구 월계동 924 월계6-2초안,분양,중앙난방,47158.22,4,571.0,도시개발공사,삼익건설,029956092,,아파트,서울특별시 노원구 우이천로 102,위탁관리,복도식,19971120,029956093,571,40811.65,571.0,0.0,0.0,0.0,28253.35,15,15,0,8,01872,37.6313218014175,127.04292063833
