kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020222,힐스테이트장승배기역,1159010100,서울특별시,동작구,노량진동,,서울특별시 동작구 노량진동 328 힐스테이트장승배기역,혼합,개별난방,71600.99,3,370.0,현대엔지니어링,상도현대메트로센터파크지역주택조합,028111383,,주상복합,서울특별시 동작구 상도로 195,위탁관리,계단식,20260213,028111385,370,370.0,370.0,0.0,0.0,0.0,370,29,0,6,0,,37.505422071137,126.940976070604
A10022416,더써밋타워,1159010100,서울특별시,동작구,노량진동,,서울특별시 동작구 노량진동 54-4 더써밋타워,임대,개별난방,13907.0,1,299.0,강남건영(주),코레이트노량진역청년주택전문투자형사모부동산투자 유한회사,0226639656,,주상복합,서울특별시 동작구 장승배기로 174,위탁관리,복도식,20240329,028169274,305,12120.29,299.0,0.0,0.0,0.0,7677.8,27,27,2,2,,37.5130276783933,126.940710722146
A10023966,어바니엘한강,1159010100,서울특별시,동작구,노량진동,,서울특별시 동작구 노량진동 333 어바니엘한강,임대,개별난방,14680.19,1,207.0,(주)이테크건설,(주)마스턴제14호,028522805,,도시형 생활주택(주상복합),,위탁관리,계단식,20180724,028522809,207,5425.34,207.0,0.0,0.0,0.0,10850.68,19,19,3,3,06913,37.5129574445121,126.946862445323
A10024524,더클래식동작,1159010100,서울특별시,동작구,노량진동,,서울특별시 동작구 노량진동 37-1 더클래식동작,임대,개별난방,8517.85,1,272.0,강남건영,더클래식동작,028130361,,도시형 생활주택(주상복합),서울특별시 동작구 노량진로8길 55,위탁관리,복도식,20201117,028130362,272,7342.24,272.0,0.0,0.0,0.0,4372.64,18,18,2,0,06928,37.5123712815087,126.938564785768
A15603205,상도건영,1159010100,서울특별시,동작구,노량진동,,서울특별시 동작구 노량진동 324 상도건영,분양,중앙난방,142301.19,6,824.0,(주)건영,본동2구역주택재개발조합,028136445,,아파트,서울특별시 동작구 만양로 26,위탁관리,혼합식,19970912,028249344,824,93417.32,162.0,340.0,322.0,0.0,71696.86,18,18,0,21,06918,37.5076264776599,126.949547851693
A15605001,노량진삼익,1159010100,서울특별시,동작구,노량진동,,서울특별시 동작구 노량진동 330 노량진삼익,분양,개별난방,34982.89,1,175.0,주-삼익,주-삼익,028156850,,주상복합,서울특별시 동작구 만양로 84,위탁관리(총액관리제),복도식,20010711,028156851,175,17845.23,82.0,93.0,0.0,0.0,12709.96,19,19,3,3,06914,37.5113671453073,126.945225673807
A15605002,노량진우성,1159010100,서울특별시,동작구,노량진동,,서울특별시 동작구 노량진동 323 노량진우성,분양,중앙난방,127834.08,7,901.0,본동 제2-1 재개발조합,본동 제2-1 재개발조합,028234532,,아파트,서울특별시 동작구 만양로8길 50,위탁관리,혼합식,19971216,028234531,901,104876.19,255.0,358.0,288.0,0.0,81597.06,18,18,2,21,06917,37.5103042588159,126.946865796584
A15605003,노량진쌍용예가,1159010100,서울특별시,동작구,노량진동,,서울특별시 동작구 노량진동 332 노량진쌍용예가,분양,개별난방,49333.84,5,299.0,쌍용건설(주),노량진1구역재개발정비사업조합,028137510,,아파트,서울특별시 동작구 장승배기로16길 134,위탁관리,혼합식,20100826,028137544,299,31281.0,118.0,136.0,45.0,0.0,23774.055,15,15,3,10,06926,37.5103212176243,126.943794074144
A15605103,신동아리버파크,1159010100,서울특별시,동작구,노량진동,,서울특별시 동작구 노량진동 325 신동아리버파크,분양,중앙난방,240235.69,7,1696.0,신동아건설(주),신동아건설(주),028120322,신동아리버파크.apti.co.kr,아파트,서울특별시 동작구 만양로 19,위탁관리,혼합식,20010215,028122133,1696,193621.6,386.0,786.0,524.0,0.0,149877.5,28,28,2,34,06920,37.5070717430905,126.945718197277
A15676701,신동아리버파크제2관리사무소,1159010100,서울특별시,동작구,노량진동,,서울특별시 동작구 노량진동 326 신동아리버파크제2관리사무소,임대,개별난방,54276.78,3,925.0,신동아,상도제1구역 재개발조합,0232805300,www.i-sh.co.kr/apthomepage/MB01_main.jsp?deptid=70162,아파트,서울특별시 동작구 만양로 19,위탁관리,복도식,20010215,0232805301,925,54256.16,925.0,0.0,0.0,0.0,30303,25,25,0,12,06920,37.5070717430905,126.945718197277
A10021490,건영약수맨션,1159010200,서울특별시,동작구,상도동,,서울특별시 동작구 상도동 211-1 건영약수맨션,분양,개별난방,17664.46,3,130.0,건영건설,건영건설,028232975,,아파트,서울특별시 동작구 양녕로26길 15,자치관리(직영),혼합식,19800331,028232975,130,15953.24,0.0,0.0,130.0,0.0,15953.24,1,10,0,0,,37.4975768878269,126.944623500398
A10022456,상도2차갑을명가아파트,1159010200,서울특별시,동작구,상도동,,서울특별시 동작구 상도동 459- 상도2차갑을명가아파트,분양,,18172.0,1,118.0,..,..,028111705,,아파트,서울특별시 동작구 국사봉길 175,위탁관리,계단식,20060922,02,119,12319.04,0.0,118.0,0.0,0.0,9668.3,1,12,0,0,,37.4934714995122,126.935321085018
A10022720,상도 푸르지오 클라베뉴,1159010200,서울특별시,동작구,상도동,,서울특별시 동작구 상도동 906 상도 푸르지오 클라베뉴,분양,개별난방,121475.0,10,771.0,(주)대우건설,(주)포스트개발,028230771,,아파트,서울특별시 동작구 성대로 164,위탁관리,기타,20240229,028230772,771,76513.17,261.0,510.0,0.0,0.0,114729.1055,18,18,4,26,07046,37.4981622716681,126.939480444315
A10022916,상도1차갑을명가아파트,1159010200,서울특별시,동작구,상도동,,서울특별시 동작구 상도동 458 상도1차갑을명가아파트,분양,개별난방,17948.0,2,123.0,갑을건설(주),조합,0232804434,,,서울특별시 동작구 국사봉길 178,위탁관리,계단식,20061016,0232800116,123,12827.42,0.0,123.0,0.0,0.0,10141.39,13,13,0,4,07051,37.4937475179445,126.934089290819
A10024365,상도역롯데캐슬파크엘,1159010200,서울특별시,동작구,상도동,,서울특별시 동작구 상도동 904 상도역롯데캐슬파크엘,분양,개별난방,139978.0,13,950.0,롯데건설,태려건설,0232806667,,아파트,서울특별시 동작구 양녕로 220,위탁관리,계단식,20210218,0232806668,950,89570.71,467.0,451.0,32.0,0.0,68120.5232,20,20,5,31,07032,37.5006923608129,126.945536442321
A10024777,상도동 롯데캐슬 비엔,1159010200,서울특별시,동작구,상도동,,서울특별시 동작구 상도동 530 상도동 롯데캐슬 비엔,분양,개별난방,26307.51,4,141.0,롯데건설,약수아파트 재건축 조합,028157522,,,서울특별시 동작구 양녕로 170,위탁관리(직영+위탁),계단식,20101230,028157524,141,16235.3,0.0,99.0,42.0,0.0,12830.68,10,10,2,0,07037,37.4970019422426,126.943642572569
A10025768,이편한세상 상도노빌리티,1159010200,서울특별시,동작구,상도동,,서울특별시 동작구 상도동 903 이편한세상 상도노빌리티,혼합,개별난방,141262.73,8,893.0,대림산업,상도노빌리티재건축조합,028270181,cafe.naver.com/sdnobilityapt,아파트,서울특별시 동작구 만양로 6,위탁관리,혼합식,20181203,028270183,893,94471.74,253.0,584.0,56.0,0.0,70828.56,29,29,4,21,06919,37.5049818982281,126.946788478219
