kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020303,삼환나띠르빌,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 1002-7 삼환나띠르빌,분양,개별난방,18548.07,5,15.0,삼환까뮤,삼환카뮤(주),0234735328,,아파트,서울특별시 서초구 명달로 33,자치관리,계단식,20030401,0234735327,126,15772.17,0.0,0.0,15.0,0.0,1393.95,10,9,0,0,,37.4804724004827,127.005327169807
A10020358,래미안 원페를라,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 818-14 래미안 원페를라,분양,지역난방,219510.16,16,1097.0,삼성물산,방배6구역주택재건축정비사업조합,025326493,,아파트,서울특별시 서초구 서초대로19길 77,위탁관리,계단식,20251125,025236494,1097,123099.48,0.0,348.0,485.0,264.0,123099.48,22,0,3,45,,37.4912989217014,126.987559323302
A10020361,방배한진로즈힐아파트,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 3276- 방배한진로즈힐아파트,분양,개별난방,15340.13,2,84.0,한진중공업건설부문,한진중공업건설부문,025375615,,아파트,서울특별시 서초구 서초대로1길 2,위탁관리,계단식,20050121,025375614,84,9709.884,0.0,48.0,36.0,0.0,7602.511,140,14,2,4,,37.4866419023534,126.983330957794
A10021518,방배아이파크아파트,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 3277- 방배아이파크아파트,분양,개별난방,2932690.0,2,138.0,현대I'PARK,현대개발,025320127,,아파트,서울특별시 서초구 동광로3길 18,위탁관리,계단식,20060605,,138,35073.24,0.0,56.0,70.0,12.0,15408.68,15,15,2,7,,37.4915062575633,126.984617934843
A10021884,방배동부센트레빌아파트,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 3275- 방배동부센트레빌아파트,분양,개별난방,0.0,3,122.0,동부건설(주),-,025919748,,아파트,서울특별시 서초구 방배로 278,위탁관리,계단식,20041112,025919749,122,21042.621,0.0,0.0,86.0,36.0,17199.564,22,22,2,3,,37.4973445558695,126.988117641915
A10023272,방배롯데캐슬로제,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 849-30 방배롯데캐슬로제,분양,개별난방,48452.09,4,130.0,롯데건설(주),한국자산신탁(주),025340974,,아파트,,자치관리,기타,20090701,025340976,130,29459.84,0.0,0.0,0.0,130.0,24996.44,12,12,0,7,06586,37.490333916315,126.994233398753
A10023620,방배 현대멤피스 2차 아파트,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 982-1 방배 현대멤피스 2차 아파트,분양,개별난방,2621438.0,2,90.0,현대산업개발 주식회사,삼도물산주식회사,025813972,,아파트,서울특별시 서초구 방배로 63,위탁관리,계단식,20020727,025823972,90,16935.3,0.0,0.0,0.0,90.0,14652,15,15,3,0,06695,37.4802341835571,126.997820432668
A10024171,방배그랑자이아파트,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 1028-1 방배그랑자이아파트,혼합,지역난방,157182.25,8,758.0,GS건설주식회사,GS건설주식회사,0269561662,bbgran.xisad.co.kr,아파트,서울특별시 서초구 방배로 21,위탁관리,계단식,20210723,0269561663,758,85597.54,134.0,465.0,153.0,6.0,65873.3409,20,20,5,30,06703,37.4755723803846,126.999846135135
A10024322,삼호한숲아파트,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 1030-1 삼호한숲아파트,분양,개별난방,16923.72,1,116.0,(주)삼호,(주)삼호,025859670,,아파트,서울특별시 서초구 방배로3길 10-3,위탁관리,혼합식,19981017,025859670,116,12015.94,47.0,44.0,25.0,0.0,9415.79,15,15,2,0,06703,37.4777093902816,126.998912627175
A10024857,방배아크로타워아파트,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 923-6 방배아크로타워아파트,분양,개별난방,23556.8,1,116.0,대림산업,대림산업,025812322,,주상복합,서울특별시 서초구 방배로13길 18,자치관리,복도식,20070419,025811432,116,10089.12,46.0,70.0,0.0,0.0,7364.48,10,10,4,1,06683,37.4831366198927,126.995288953995
A10024942,방배서리풀그랑블아파트,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 903-17 방배서리풀그랑블아파트,분양,개별난방,17194.146,3,99.0,서해종합건설(주),서해종합건설(주),0234870195,,아파트,서울특별시 서초구 서초대로34가길 52,위탁관리,계단식,20191226,0234870196,99,9793.284,20.0,79.0,0.0,0.0,7709.579,7,7,2,0,06663,37.4863329317817,126.997856550654
A10025472,신동아럭스빌아파트,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 1026-14 신동아럭스빌아파트,분양,개별난방,16188.0,1,55.0,신동아건설,신동아건설,025888355,www.seoildc.com,아파트,서울특별시 서초구 방배로1길 9,위탁관리,복도식,20030930,025848355,55,3440.0,0.0,0.0,0.0,55.0,9705.77,14,14,0,2,06703,37.4754745286716,127.000711440364
A10025927,방배아트자이,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 3278 방배아트자이,혼합,지역난방,68442.83,5,353.0,GS건설,방배3구역주택재건축정비사업조합,0234873741,bbaxi.xisnd.co.kr,아파트,서울특별시 서초구 명달로9길 57,위탁관리,계단식,20181029,0234873742,357,37790.22,133.0,178.0,42.0,0.0,28413.2211,15,15,4,16,,37.4793436199376,127.00248886948
A10026154,디오슈페리움1차,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 3001-2 디오슈페리움1차,분양,개별난방,40658.68,2,80.0,(주)대우건설,(주)델코디자인,0234832100,,주상복합,서울특별시 서초구 서초대로 3-4,위탁관리,기타,20061130,0234832110,80,18369.59,0.0,57.0,23.0,0.0,7737.53,25,25,7,3,06568,37.4860317945544,126.983083699338
A10027016,방배자이아파트,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 888-53 방배자이아파트,분양,개별난방,39125.0,3,136.0,LG건설,한국토지신탁,025875633,,아파트,서울특별시 서초구 방배로18길 67,위탁관리,계단식,20031101,025875634,136,27368.68,0.0,0.0,0.0,136.0,24381.96,13,13,2,6,06663,37.4859662363174,126.998962822981
A10027585,방배3차 현대 홈 타운 아파트,1165010100,서울특별시,서초구,방배동,,서울특별시 서초구 방배동 2233 방배3차 현대 홈 타운 아파트,분양,개별난방,27598.0,3,123.0,현대건설(주),현대건설(주),0234825826,,아파트,서울특별시 서초구 방배중앙로21길 55,위탁관리,계단식,20040701,0234825821,123,15934.0,0.0,26.0,97.0,0.0,14030.797,15,15,2,5,06560,37.4918229812702,126.984085728162
