kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A13373301,텐즈힐2구역,1120010100,서울특별시,성동구,상왕십리동,,서울특별시 성동구 상왕십리동 811 텐즈힐2구역,분양,개별난방,195447.98,13,937.0,"GS건설,현대산업개발,삼성물산,대림산업",왕십리뉴타운제2구역주택재개발 정비사업조합,0222973102,tenshill2.apti.co.kr,아파트,서울특별시 성동구 마장로 137,위탁관리,계단식,20140626,0222973103,937,111637.04,148.0,563.0,182.0,44.0,86644.16,25,25,2,33,04700,37.5693369136369,127.025374102832
A13373302,왕십리텐즈힐2구역214동,1120010100,서울특별시,성동구,상왕십리동,,서울특별시 성동구 상왕십리동 811 왕십리텐즈힐2구역214동,임대,개별난방,18667.56,1,211.0,대림산업건설,왕십리뉴타운2구역조합,0222979901,,아파트,서울특별시 성동구 마장로 137,위탁관리,복도식,20140626,0222979902,211,7678.29,211.0,0.0,0.0,0.0,7678.29,13,25,0,4,04700,37.5693369136369,127.025374102832
A10026900,왕십리 자이 아파트,1120010200,서울특별시,성동구,하왕십리동,,서울특별시 성동구 하왕십리동 1071 왕십리 자이 아파트,분양,개별난방,99726.07,6,713.0,GS건설,하왕 제1-5구역 주택재개발정비사업조합,0222914256,www.wangsimnixi.com,아파트,서울특별시 성동구 난계로 100,위탁관리,혼합식,20170728,029300747,713,60136.99,562.0,151.0,0.0,0.0,43699.15,20,20,4,17,04711,37.560680599542,127.024489937553
A10027289,센트라스,1120010200,서울특별시,성동구,하왕십리동,,서울특별시 성동구 하왕십리동 1070 센트라스,혼합,개별난방,459952.03,30,2097.0,"포스코,SK,현대",왕십리뉴타운3구역주택재개발정비사업조합,0233957961,,아파트,서울특별시 성동구 왕십리로 410,위탁관리,계단식,20161129,0233957966,2529,242190.52,778.0,1148.0,171.0,0.0,338631.76,28,28,5,73,04701,37.5663313038338,127.028440866987
A10027432,서울 왕십리 KCC스위첸아파트,1120010200,서울특별시,성동구,하왕십리동,,서울특별시 성동구 하왕십리동 1002 서울 왕십리 KCC스위첸아파트,분양,개별난방,38150.93,3,272.0,KCC건설,(주)광희리츠,0222823814,,아파트,서울특별시 성동구 무학봉길 35,위탁관리,계단식,20160428,0222979321,272,7624.0,42.0,230.0,0.0,0.0,19597.018,18,18,3,10,04711,37.5608432938815,127.02668707042
A10027454,왕십리모노퍼스,1120010200,서울특별시,성동구,하왕십리동,,서울특별시 성동구 하왕십리동 286-2 왕십리모노퍼스,임대,개별난방,13956.75,2,69.0,KT건설(보증사 한양),sh공사,0222925757,,주상복합,서울특별시 성동구 청계천로 474,위탁관리,혼합식,20091130,0222925758,105,6882.872,32.0,0.0,37.0,0.0,4987.407,25,24,0,0,04702,37.5695566465793,127.029347424555
A10027920,텐즈힐1단지,1120010200,서울특별시,성동구,하왕십리동,,서울특별시 성동구 하왕십리동 1066 텐즈힐1단지,분양,개별난방,252495.0,18,1369.0,"gs건설,삼성건설,대림,현대산업",조합,0222913391,,아파트,서울특별시 성동구 무학로 33,위탁관리,계단식,20150424,0222913394,1369,164363.52,172.0,857.0,204.0,136.0,129089.76,25,25,3,41,04702,37.5684498209013,127.028040516397
A10027969,왕십리텐즈힐1단지(임대),1120010200,서울특별시,성동구,하왕십리동,,서울특별시 성동구 하왕십리동 1066 왕십리텐즈힐1단지(임대),임대,개별난방,29365.605,3,333.0,대림산업,에스에치공사,0222919950,,아파트,서울특별시 성동구 무학로 33,위탁관리,계단식,20150424,0222919951,333,29365.605,333.0,0.0,0.0,0.0,12141.18,14,25,2,6,04702,37.5684498209013,127.028040516397
A13302001,청계벽산,1120010200,서울특별시,성동구,하왕십리동,,서울특별시 성동구 하왕십리동 258 청계벽산,분양,개별난방,106825.74,7,822.0,벽산건설(주),하왕3구역 재개발조합,0222982632,http://emaul.co.kr/,아파트,서울특별시 성동구 무학로 50,위탁관리,계단식,19960607,0222982637,822,105004.95,0.0,426.0,396.0,0.0,80285.7,21,21,4,23,04703,37.5687121152751,127.03188805913
A13302201,한진해모로,1120010200,서울특별시,성동구,하왕십리동,,서울특별시 성동구 하왕십리동 1050 한진해모로,분양,개별난방,34885.79,3,246.0,한진중공업,한진중공업,0222965333,,아파트,서울특별시 성동구 왕십리로31길 20,위탁관리,혼합식,20010618,0222965334,246,27381.76,66.0,111.0,69.0,0.0,21120.66,21,21,2,4,04710,37.5631010729763,127.026812152825
