kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10025140,동소문현대아파트,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 630 동소문현대아파트,분양,,16504.0,2,141.0,현대건설(주),현대건설직장주택조합외,029289773,dsmhd.aptner.com,아파트,서울특별시 성북구 아리랑로5길 50-8,위탁관리,계단식,19940718,029289773,141,16066.22,0.0,141.0,0.0,0.0,11764.32,15,15,1,5,02826,37.5980630802955,127.012648783809
A10027227,돈암코오롱하늘채아파트,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 644 돈암코오롱하늘채아파트,혼합,개별난방,98373.0,10,629.0,돈암정릉구역주택재개발정비사업조합,코오롱건설,029277650,admin.aptner.com/,아파트,서울특별시 성북구 아리랑로 75,위탁관리,혼합식,20161229,029277652,629,60662.92,246.0,367.0,16.0,0.0,45971.603,16,16,5,22,02826,37.5992700563333,127.012569607103
A10027350,대성유니드아파트,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 641 대성유니드아파트,분양,개별난방,14148.0,2,81.0,대성산업,성북구청,029280025,,아파트,서울특별시 성북구 동소문로31길 6-1,위탁관리,계단식,20090727,029210600,81,9907.73,0.0,55.0,26.0,0.0,7642.4,14,14,2,2,02829,37.5973189457117,127.020925811003
A10028001,금호어울림센터힐아파트,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 643 금호어울림센터힐아파트,혼합,개별난방,66866.9,6,490.0,금호건설,돈암제5구역 주택재개발정비사업조합,029278914,www.jalsalda.com,아파트,서울특별시 성북구 동소문로34길 73,위탁관리,기타,20141031,029278903,490,44141.2,260.0,190.0,40.0,0.0,34301.02,23,23,4,11,02807,37.6003766616613,127.022750193302
A13606002,돈암포스코더샵,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 603 돈암포스코더샵,분양,개별난방,48965.0,8,339.0,포스코건설(주),상록주택조합,0264064848,www.donamposco.co.kr,아파트,서울특별시 성북구 아리랑로5길 85,위탁관리,계단식,20060331,0264064847,339,35861.453,0.0,339.0,0.0,0.0,28746.489,20,20,3,11,02825,37.5976209472385,127.010006432046
A13606003,돈암일신건영휴먼빌,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 524 돈암일신건영휴먼빌,분양,개별난방,115090.42,11,689.0,일신건영,아리랑재건축조합,029214821,,아파트,서울특별시 성북구 아리랑로 89,위탁관리,계단식,20050601,029214820,689,85634.03,15.0,295.0,271.0,108.0,73211.34,20,20,3,22,02826,37.6007329051266,127.012568720788
A13606004,돈암한신한진아파트,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 609-1 돈암한신한진아파트,분양,중앙난방,659930.0,30,3929.0,"한신공영(주), 한진중공업(주)","한신공영(주),한진중공업(주)",029268472,한신한진.한국/,아파트,서울특별시 성북구 성북로4길 52,위탁관리,혼합식,19980701,029268474,3929,492386.66,684.0,1493.0,1488.0,264.0,387754.77,21,21,0,94,02831,37.5941783218836,127.010321322145
A13606005,동소문한진임대,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 609-1 동소문한진임대,임대,중앙난방,26523.4,1,580.0,한진,한신공영,029216985,,아파트,서울특별시 성북구 성북로4길 52,위탁관리,복도식,19980701,029216986,580,24925.5,580.0,0.0,0.0,0.0,18844.2,20,20,0,0,02831,37.5941783218836,127.010321322145
A13606101,돈암풍림,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 632 돈암풍림,분양,개별난방,65330.86,5,460.0,풍림건설(주),주택관리조합,029283950,www.aptner.com,아파트,서울특별시 성북구 북악산로 913,위탁관리,혼합식,19990511,029283951,460,51898.855,84.0,243.0,133.0,0.0,40803.53,18,18,3,14,02808,37.5958567117629,127.02340512447
A13606102,돈암범양,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 631 돈암범양,분양,개별난방,65563.01,5,499.0,범양건영(주),범양재건축조합,0262232655,,아파트,서울특별시 성북구 정릉로 402-16,위탁관리,혼합식,19981209,0262232656,499,52509.086,202.0,179.0,118.0,0.0,40840,20,20,3,11,02801,37.6033317626866,127.028043185355
A13606105,돈암풍림임대,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 632-1 돈암풍림임대,임대,개별난방,16723.0,1,309.0,풍림산업(주),SH공사,029276550,,아파트,서울특별시 성북구 북악산로 898,위탁관리,복도식,19990511,0262216550,309,15322.383,309.0,0.0,0.0,0.0,9959.07,17,17,1,4,02840,37.5969804996669,127.022099523003
A13606106,돈암삼성임대,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 15-2 돈암삼성임대,임대,개별난방,39152.0,2,736.0,삼성물산(주),삼성물산(주),029215115,,아파트,서울특별시 성북구 동소문로34길 24,위탁관리,복도식,19990430,029215116,736,34062.816,736.0,0.0,0.0,0.0,23912.64,23,23,2,8,02807,37.599182593603,127.024476053709
A13606107,돈암삼성,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 15-1 돈암삼성,분양,개별난방,174732.31,7,1278.0,삼성물산,돈암3-2지구 재개발조합,029214844,,아파트,서울특별시 성북구 동소문로34길 24,위탁관리,혼합식,19990430,029255568,1278,139342.7,298.0,585.0,395.0,0.0,112477.05,26,26,3,29,02807,37.5994822164406,127.023373194038
A13606201,브라운스톤돈암,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 636 브라운스톤돈암,분양,개별난방,523572.16,16,1074.0,이수건설주식회사,정릉돈암 재건축조합,0262298989,https://dabrown.aptner.com/v2,아파트,서울특별시 성북구 북악산로 844,위탁관리,계단식,20041218,0262298990,1074,106528.21,514.0,482.0,78.0,0.0,80428.48,19,19,5,30,02828,37.5980217244898,127.017576773103
A13679902,돈암힐스테이트,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 639 돈암힐스테이트,분양,개별난방,29669.0,6,200.0,현대건설(주),돈암제1구역주택재개발조합,029276237,,아파트,서울특별시 성북구 아리랑로 68,위탁관리,계단식,20070418,029276238,200,19450.88,88.0,72.0,40.0,0.0,15826.88,12,12,3,9,02827,37.5986117692027,127.015075015956
A13679903,돈암신일해피트리,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 642 돈암신일해피트리,분양,개별난방,39815.05,6,192.0,신화종합건설,한국토지신탁,029278823,,아파트,서울특별시 성북구 아리랑로5길 92,위탁관리,계단식,20130115,029278824,192,26169.97,0.0,96.0,63.0,33.0,21046.86,11,11,3,6,02826,37.597995429021,127.011645485702
A13681303,돈암동부센트레빌,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 633 돈암동부센트레빌,분양,개별난방,84708.06,9,540.0,동부건설(주),동부건설(주),029213812,,아파트,서울특별시 성북구 정릉로 388,위탁관리,계단식,20030918,029213813,540,65117.76,0.0,398.0,142.0,0.0,48580.22,23,23,0,19,02806,37.6019579683172,127.026323062958
A13681304,돈암현대,1129010300,서울특별시,성북구,돈암동,,서울특별시 성북구 돈암동 1 돈암현대,분양,개별난방,536020.3,6,619.0,현대산업개발,주택개량재개발조함,029277858,,아파트,서울특별시 성북구 정릉로 404,위탁관리,혼합식,19910613,029277859,619,53602.31,284.0,335.0,0.0,0.0,39755.03,15,15,0,18,02801,37.6032350599381,127.026198036694
