kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10023070,잠실 센트럴파크,1171010100,서울특별시,송파구,잠실동,,서울특별시 송파구 잠실동 187-10 잠실 센트럴파크,임대,개별난방,14219.95,1,217.0,한일개발,제이제이앤주식회사,024126008,,도시형 생활주택(아파트),서울특별시 송파구 백제고분로7길 42,위탁관리,복도식,20230802,024126009,217,8153.553,217.0,0.0,0.0,0.0,5805.5371,15,15,4,3,05559,37.5105455244799,127.083543016569
A10023599,잠실엘타워,1171010100,서울특별시,송파구,잠실동,,서울특별시 송파구 잠실동 208-4 잠실엘타워,임대,개별난방,15521.0,2,298.0,한양산업개발,금강개발,024218878,,주상복합,서울특별시 송파구 석촌호수로 74,위탁관리,복도식,20221013,024218879,298,13504.778,298.0,0.0,0.0,0.0,5575.35,25,25,3,5,05559,37.5097918378467,127.085427739362
A10027523,월드메르디앙주상복합아파트,1171010100,서울특별시,송파구,잠실동,,서울특별시 송파구 잠실동 175-4 월드메르디앙주상복합아파트,분양,개별난방,11617.82,2,96.0,월드건설,(주)시우개발,0222021286,,주상복합,서울특별시 송파구 올림픽로 74,위탁관리,계단식,20050829,0222031286,96,8996.1,52.0,44.0,0.0,0.0,6666.94,15,15,3,3,05556,37.511340114419,127.07883210332
A13822001,잠실레이크팰리스,1171010100,서울특별시,송파구,잠실동,,서울특별시 송파구 잠실동 44 잠실레이크팰리스,분양,지역난방,492205.06,35,2678.0,"삼성, gs","삼성물산건설부문, GS건설",0221471000,lakepalace.kr,아파트,서울특별시 송파구 잠실로 88,위탁관리,계단식,20061228,0221471005,2678,335910.3,536.0,1012.0,678.0,452.0,258281.7,32,32,2,56,05607,37.506656678178786,127.0895952809169
A13822002,잠실동트리지움,1171010100,서울특별시,송파구,잠실동,,서울특별시 송파구 잠실동 35 잠실동트리지움,분양,지역난방,597873.0,46,3696.0,"GS건설,현대건설,현대산업개발",잠실3단지 재건축조합,024257157,jamsil3zium.com,아파트,서울특별시 송파구 잠실로 62,위탁관리,계단식,20070824,024257161,3696,410089.22,740.0,2402.0,330.0,224.0,319527.2,32,32,2,75,05555,37.5080150494419,127.090283544652
A13822003,잠실리센츠,1171010100,서울특별시,송파구,잠실동,,서울특별시 송파구 잠실동 22 잠실리센츠,분양,지역난방,935053.0,65,5563.0,"우방,삼성,대우,대림","우방,삼성,대우,대림",024190035,www.movill.net/05502,아파트,서울특별시 송파구 올림픽로 135,위탁관리,혼합식,20080731,024190039,5563,581999.06,1113.0,3590.0,860.0,0.0,447329.99,33,33,2,119,05502,37.516733284228,127.089889095677
A13822004,잠실엘스아파트,1171010100,서울특별시,송파구,잠실동,,서울특별시 송파구 잠실동 19 잠실엘스아파트,분양,지역난방,935380.4,72,5678.0,"대림,삼성,현대,현산",잠실1단지재건축조합,024162883,www.jsls.co.kr,아파트,서울특별시 송파구 올림픽로 99,위탁관리,계단식,20080930,024162280,5678,618665.75,1150.0,4042.0,486.0,0.0,470139.94,34,34,2,117,05501,37.5151252476966,127.078130036923
A13822301,갤러리아팰리스,1171010100,서울특별시,송파구,잠실동,,서울특별시 송파구 잠실동 40 갤러리아팰리스,분양,지역난방,265791.62,3,741.0,"삼성물산,한화건설",한화건설,0221454900,www.cvnet.co.kr,주상복합,서울특별시 송파구 올림픽로 212,위탁관리,혼합식,20050111,0221454901,741,142343.81,0.0,48.0,137.0,556.0,109302.774,46,46,5,22,05553,37.5107067799275,127.094231575378
A13822701,잠실아시아선수촌,1171010100,서울특별시,송파구,잠실동,,서울특별시 송파구 잠실동 86 잠실아시아선수촌,분양,지역난방,236718.0,18,1356.0,"신성, 우성건설",서울특별시,0222020086,www.yesvill.com/asia86/,아파트,서울특별시 송파구 올림픽로4길 15,위탁관리,계단식,19860614,024165032,1356,236425.2,0.0,0.0,636.0,720.0,189531.564,18,18,1,52,05572,37.5086743363441,127.074777283239
A13822702,"잠실우성1,2,3차",1171010100,서울특별시,송파구,잠실동,,"서울특별시 송파구 잠실동 101-1 잠실우성1,2,3차",분양,지역난방,233187.0,26,1842.0,우성,우성,024180332,woosung123.apti.co.kr,아파트,서울특별시 송파구 올림픽로4길 42,위탁관리,혼합식,19811208,024254712,1842,219002.52,0.0,345.0,1230.0,267.0,201359.49,15,15,0,64,05571,37.5083255540399,127.072027874321
A13822902,잠실우성4차,1171010100,서울특별시,송파구,잠실동,,서울특별시 송파구 잠실동 320 잠실우성4차,분양,지역난방,63326.89,7,555.0,우성건설,우성,024188104,,아파트,서울특별시 송파구 백제고분로18길 30,위탁관리,혼합식,19830831,024188105,555,61443.42,0.0,106.0,449.0,0.0,54654.67,15,15,0,17,05580,37.5026914276423,127.082183474009
A13879102,잠실5단지아파트,1171010100,서울특별시,송파구,잠실동,,서울특별시 송파구 잠실동 27 잠실5단지아파트,분양,지역난방,455033.0,30,3930.0,LH공사,LH,024224005,https://xn--5-4t8e822brse23c.apti.co.kr/aptHome/,아파트,서울특별시 송파구 송파대로 567,자치관리,복도식,19780415,024127452,3930,451636.44,0.0,3930.0,0.0,0.0,310408.5,15,15,0,55,05503,37.5131381759342,127.09304868009
A13886701,잠실현대,1171010100,서울특별시,송파구,잠실동,,서울특별시 송파구 잠실동 331 잠실현대,분양,지역난방,34058.15,3,336.0,현대,현대,024211979,잠실현대.apti.co.kr,아파트,서울특별시 송파구 백제고분로18길 7,위탁관리,계단식,19900817,0222031134,336,27595.66,0.0,336.0,0.0,0.0,27595.51,15,15,0,12,05577,37.5042791756217,127.085489428416
A10020230,잠실르엘,1171010200,서울특별시,송파구,신천동,,서울특별시 송파구 신천동 17-6 잠실르엘,혼합,지역난방,328719.47,13,1865.0,롯데건설,잠실미성크로바아파트주택재건축정비사업조합,0269566338,,아파트,서울특별시 송파구 올림픽로 333,위탁관리,계단식,20251230,0269566339,1865,189445.53,0.0,717.0,926.0,222.0,189445.5385,35,0,3,39,,37.5164308610724,127.10801293491
A10020294,잠실래미안아이파크,1171010200,서울특별시,송파구,신천동,,서울특별시 송파구 신천동 20-4 잠실래미안아이파크,혼합,지역난방,524431.94,23,2678.0,삼성물산/현대산업개발,잠실진주아파트주택재건축정비사업조합,024247510,,아파트,서울특별시 송파구 올림픽로 393,위탁관리,혼합식,20251230,024247510,2678,217428.0,941.0,1145.0,461.0,131.0,217428,35,0,4,88,,37.5167779465002,127.109265730032
A10023169,현대타워아파트,1171010200,서울특별시,송파구,신천동,,서울특별시 송파구 신천동 7-28 현대타워아파트,분양,개별난방,30818.14,1,55.0,현대건설,모름,024193722,,주상복합,서울특별시 송파구 올림픽로 293-19,위탁관리,계단식,19961230,024190467,55,13345.95,0.0,0.0,15.0,40.0,8628.1,30,30,7,1,05510,37.5151260924891,127.102480310867
A13824001,포스코더샵스타리버,1171010200,서울특별시,송파구,신천동,,서울특별시 송파구 신천동 11-8 포스코더샵스타리버,분양,개별난방,76448.64,2,189.0,포스코,프리즘,024151925,,주상복합,서울특별시 송파구 올림픽로35길 93,자치관리,계단식,20060929,024151926,189,53091.27,0.0,0.0,11.0,178.0,29694.4,39,39,4,6,05510,37.5177732771804,127.10439265685
A13824002,잠실더샵스타파크,1171010200,서울특별시,송파구,신천동,,서울특별시 송파구 신천동 7-14 잠실더샵스타파크,분양,개별난방,99828.45,3,213.0,포스코건설,포스코건설,024182730,www.jsthesharp.co.kr,아파트,서울특별시 송파구 올림픽로35가길 10,자치관리,계단식,20080912,024182727,213,46066.12,0.0,0.0,0.0,213.0,38108.61,39,39,4,7,05510,37.516940130045,127.102633008407
A13824003,한신코아,1171010200,서울특별시,송파구,신천동,,서울특별시 송파구 신천동 11-9 한신코아,분양,중앙난방,34949.773,1,493.0,한신공영,한신공영,024162203,cafe.naver.com/hanshincore,주상복합,서울특별시 송파구 올림픽로35가길 11,위탁관리,복도식,19881230,024144056,493,34937.41,452.0,41.0,0.0,0.0,23856.36,15,15,2,3,05510,37.5163298028991,127.104060465697
