kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021466,목동3차우성아파트,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 338- 목동3차우성아파트,분양,지역난방,20547.0,1,142.0,우성건설주식회사,우성건설주식회사,0226472537,,아파트,서울특별시 양천구 목동남로4길 20,위탁관리,계단식,19990731,,142,15325.2,57.0,50.0,35.0,0.0,11659.98,19,19,2,0,,37.5083581328631,126.865636280342
A10022222,신정대성유니드1차아파트,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1198-23 신정대성유니드1차아파트,분양,개별난방,11123.0,1,111.0,대성산업,대성산업,0226915578,,아파트,서울특별시 양천구 중앙로29길 102,위탁관리,계단식,20040421,0226945578,111,8955.59,85.0,26.0,0.0,0.0,7084.09,15,15,1,0,,37.5204476486187,126.849100951709
A10023593,신정동 보람쉬움아파트,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 921-11 신정동 보람쉬움아파트,분양,,16748.0,1,125.0,"대경,우양,평화 재건축 주택조합",보람건설,0226085649,,아파트,서울특별시 양천구 오목로35길 5,위탁관리,계단식,20030110,0226085622,125,11916.18,32.0,93.0,0.0,0.0,9360.3054,15,15,2,6,07943,37.5255797492425,126.855508826158
A10023886,호반써밋목동아파트,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1327 호반써밋목동아파트,혼합,개별난방,60134.633,7,407.0,호반건설(주),신정재2정비촉진구역2지구주택개발정비사업조합,0220659511,,아파트,서울특별시 양천구 중앙로29길 11,위탁관리(직영+위탁),계단식,20221213,0220659511,407,38518.348,180.0,227.0,0.0,0.0,29155.67,19,19,3,14,08076,37.516494329205,126.853038393761
A10024398,래미안 목동아델리체,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1326 래미안 목동아델리체,혼합,지역난방,244199.0,23,1497.0,삼성물산(주),신정2재정비촉진구역1지구 주택재개발정비사업조합,0226948400,,아파트,서울특별시 양천구 중앙로43길 14,위탁관리,혼합식,20210128,0226948402,1497,153036.5,550.0,848.0,99.0,0.0,113066.45,27,27,3,46,08072,37.5191734678965,126.851674813154
A10025649,신정이든채,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1320-8 신정이든채,임대,지역난방,37895.188,4,499.0,금호산업(주),(주)서울리츠임대,0226980912,,아파트,서울특별시 양천구 신정로7길 75,위탁관리,복도식,20190222,0226990912,503,36929.496,499.0,0.0,0.0,0.0,18485.61,15,15,2,9,08049,37.5128875042998,126.834109896291
A10025729,목동파크자이아파트,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 171-61 목동파크자이아파트,분양,지역난방,57998.25,8,356.0,GS건설,(주)엠피씨라이프,0269495278,,아파트,서울특별시 양천구 목동남로4길 80,위탁관리,계단식,20190207,0269495279,356,39075.395,0.0,347.0,9.0,0.0,30332.881,15,15,2,15,08102,37.5085223374261,126.868475195505
A10027375,목동힐스테이트,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1323 목동힐스테이트,혼합,개별난방,170226.0,15,1081.0,현대건설,신정제4구역주택재개발정비사업조합,0226550934,목동힐스테이트.apti.co.kr,아파트,서울특별시 양천구 중앙로36길 15,위탁관리,기타,20160519,0226550936,1081,109381.0,347.0,577.0,154.0,3.0,83559.26,22,22,2,32,08083,37.5203061709519,126.856457667129
A10027396,신정숲속마을아파트,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 831 신정숲속마을아파트,혼합,지역난방,64358.0,7,560.0,(주)한일건설,sh공사,0220608101,,아파트,,위탁관리,혼합식,20160810,0220608103,561,45835.62,420.0,140.0,0.0,0.0,30991.92,20,20,1,0,,,
A15807001,경남아너스빌,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1307 경남아너스빌,분양,지역난방,49998.98,4,292.0,경남기업,"뉴서울,삼화,서일,재건축",0226435135,,아파트,서울특별시 양천구 목동동로10길 16-6,위탁관리,계단식,20040630,0226435136,292,33765.285,0.0,147.0,145.0,0.0,26721.87,19,19,2,7,08014,37.5181333331182,126.871496196265
A15807002,신트리1단지,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1259 신트리1단지,분양,지역난방,90537.9,9,997.0,진흥기업,SH공사,0226941583,newtree1.com,아파트,서울특별시 양천구 신정로 293,위탁관리,복도식,19990521,0226941584,997,53781.816,997.0,0.0,0.0,0.0,54010.76,15,15,1,13,08078,37.5137367146629,126.853687850909
A15807003,신정이펜하우스5단지,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1318 신정이펜하우스5단지,혼합,지역난방,38511.87,7,238.0,금호건설,sh공사,0226020293,,아파트,서울특별시 양천구 신정이펜1로 27,위탁관리,계단식,20110418,0226020294,238,24671.389,154.0,0.0,84.0,0.0,18859.92,15,15,2,0,08051,37.5107564536211,126.833279666286
A15807004,신정이펜하우스4단지,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1317 신정이펜하우스4단지,혼합,지역난방,79821.82,12,546.0,SH공사,SH공사,0226041286,,아파트,서울특별시 양천구 신정이펜1로 51,위탁관리,혼합식,20110629,0226041287,547,53856.03,223.0,287.0,36.0,0.0,41024.98,13,13,3,18,08051,37.5107541400778,126.829825083522
A15807005,신정도시마을,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1289-2 신정도시마을,임대,개별난방,9688.52,1,92.0,창일산업,SH공사,0226080123,,도시형 생활주택(아파트),서울특별시 양천구 신정로13가길 6,위탁관리,복도식,20140613,0226080122,92,5778.5107,92.0,0.0,0.0,0.0,3632.03,8,7,2,2,08080,37.5114472376531,126.843475044691
A15807101,목동9단지,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 312 목동9단지,분양,지역난방,250049.66,32,2030.0,"극동건설, 삼익건설",서울시,0226482250,목동9단지.apti.co.kr,아파트,서울특별시 양천구 목동서로 340,위탁관리,혼합식,19870730,07081340755,2030,245122.27,240.0,621.0,994.0,175.0,196593.82,15,15,0,43,08089,37.5185420579875,126.862404579736
A15807202,신정명지해드는터,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1300 신정명지해드는터,분양,지역난방,22710.54,2,205.0,(주)명지건설,(주)명지건설,0226435484,,아파트,서울특별시 양천구 신목로 43,위탁관리,계단식,20031119,0226435483,205,22710.54,18.0,153.0,34.0,0.0,18007.32,22,22,1,6,08014,37.5188046279167,126.872538105438
A15807204,신정현대,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1252 신정현대,분양,지역난방,28670.72,1,217.0,현대산업개발,현대산업개발,0226531851,,아파트,서울특별시 양천구 신목로 23,위탁관리,복도식,19950731,0226490672,217,18410.28,0.0,217.0,0.0,0.0,18398.68,20,20,2,2,08017,37.5171420982147,126.874473736299
A15807205,롯데캐슬,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1309 롯데캐슬,분양,지역난방,40695.008,4,230.0,롯데건설,동일 대흥 유진재건축조합,0226434047,,아파트,서울특별시 양천구 신목로12길 22,위탁관리,계단식,20041130,0226430480,230,20551.56,10.0,182.0,38.0,0.0,20553.26,15,15,2,11,08015,37.5198451036704,126.874810716113
A15807208,목동삼성래미안,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1278 목동삼성래미안,분양,지역난방,57653.15,4,420.0,삼성건설,신정제6지구 제2지구 주택개량재개발조합,0226515085,없음,아파트,서울특별시 양천구 신목로 7,위탁관리,계단식,19960910,0226535085,420,40187.72,0.0,268.0,152.0,0.0,40187.72,22,22,2,10,08016,37.5157650231026,126.876370125698
A15807210,신정동아이파크,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1296 신정동아이파크,분양,지역난방,99985.18,7,590.0,현대산업개발,신세계아파트재건축조합/현대산업개발,0226513890,cafe.daum.net/sjipark,아파트,서울특별시 양천구 목동동로 180,위탁관리,혼합식,20020730,0226513891,590,68680.44,95.0,262.0,233.0,0.0,54656.948,19,19,2,17,08010,37.5216476033758,126.872160531588
A15807211,목동현대아파트,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1279 목동현대아파트,분양,지역난방,134119.0,6,972.0,현대건설,신정제6-1구역,0226447692,,아파트,서울특별시 양천구 목동동로12길 60,위탁관리,계단식,19970716,0226519782,972,110997.41,0.0,660.0,312.0,0.0,88275.78,20,20,2,25,08008,37.5203887008316,126.877235446867
A15807306,신정e-편한세상,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1303 신정e-편한세상,분양,개별난방,63170.55,6,391.0,(주)삼호,(주)삼호,0226921223,,아파트,서울특별시 양천구 신정로13길 38,위탁관리,계단식,20040110,0263461223,391,44981.96,32.0,254.0,105.0,0.0,34950.896,24,24,2,11,08080,37.5125446630066,126.843002221826
A15807311,신트리3단지,1147010100,서울특별시,양천구,신정동,,서울특별시 양천구 신정동 1276 신트리3단지,분양,지역난방,84726.98,8,537.0,서울시도시개발공사,진흥기업,0226958606,신트리3단지.apti.co.kr,아파트,서울특별시 양천구 신정로 290,위탁관리,혼합식,20001011,0226958607,537,60595.76,0.0,537.0,0.0,0.0,45494.35,18,18,3,18,08107,37.5118997336939,126.852950017333
