kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020526,DMC SK VIEW 2단지,1138010100,서울특별시,은평구,수색동,,서울특별시 은평구 수색동 418- DMC SK VIEW 2단지,혼합,개별난방,24698.44,2,109.0,SK에코플랜트,수색9재정비촉진구역주택재개발정비사업조합,023049996,,주상복합,서울특별시 은평구 수색로 216,위탁관리,계단식,20230824,023030137,109,22159.39,4.0,105.0,0.0,0.0,9164.3918,22,30,5,4,,37.5798457128547,126.899932768477
A10023076,DMC SKVIEW 아이파크포레,1138010100,서울특별시,은평구,수색동,,서울특별시 은평구 수색동 191 DMC SKVIEW 아이파크포레,혼합,개별난방,237912.0,21,1482.0,"sk에코플랜트, 현대산업개발",수색13 재정비촉진구역 주택재개발 정비조합,0220391680,,아파트,서울특별시 은평구 수색로 322,위탁관리,혼합식,20230731,0220391681,1486,132976.19,878.0,505.0,99.0,0.0,98880.28,19,19,5,51,03488,37.5873678307971,126.892550386685
A10023079,DMC파인시티자이,1138010100,서울특별시,은평구,수색동,,서울특별시 은평구 수색동 190 DMC파인시티자이,혼합,개별난방,117305.0,15,1223.0,GS건설(주),수색6재정비촉진구역 주택재개발정비사업조합,0269514206,,아파트,서울특별시 은평구 은평터널로 15,위탁관리,계단식,20230731,0269514207,1223,116343.32,523.0,700.0,0.0,0.0,84479.47,30,30,3,34,03489,37.5846837509466,126.894019845962
A10023126,DMC아트포레자이아파트,1138010100,서울특별시,은평구,수색동,,서울특별시 은평구 수색동 189 DMC아트포레자이아파트,혼합,개별난방,100531.83,8,672.0,GS건설주식회사,수색7재정비축진구역 주택재개발조합,0269524486,,주상복합,서울특별시 은평구 은평터널로 27,위탁관리,기타,20230630,0269524487,672,62906.96,308.0,364.0,0.0,0.0,47086.26,22,22,3,27,03490,37.5850745829803,126.897053085386
A10024086,DMC SK VIEW,1138010100,서울특별시,은평구,수색동,,서울특별시 은평구 수색동 30 DMC SK VIEW,혼합,개별난방,101631.45,6,644.0,에스케이건설(주),수색9재정비촉진구역 주택재개발정비사업조합,023030134,,아파트,서울특별시 은평구 수색로 216,위탁관리,계단식,20230824,023030135,644,63877.117,333.0,261.0,50.0,0.0,45605.81,30,30,4,2,03505,37.5798457128547,126.899932768477
A10024828,DMC롯데캐슬더퍼스트,1138010100,서울특별시,은평구,수색동,,서울특별시 은평구 수색동 417 DMC롯데캐슬더퍼스트,혼합,개별난방,178408.55,15,1192.0,롯데건설,수색4재정비촉진구역주택재개발정비사업조합,023038182,dmccastle.aptner.com,아파트,서울특별시 은평구 수색로 300,위탁관리(직영+위탁),혼합식,20211209,023038183,1192,115809.27,621.0,472.0,99.0,0.0,84056.95,25,25,3,34,03488,37.5850903459468,126.890441915048
A12209001,DMC청구아파트,1138010100,서울특별시,은평구,수색동,,서울특별시 은평구 수색동 413 DMC청구아파트,분양,개별난방,26638.91,3,196.0,청구,(주)한국토지신탁,023720171,,아파트,서울특별시 은평구 증산로1길 26,위탁관리,계단식,20000316,023080171,196,20013.37,80.0,94.0,22.0,0.0,15548.96,18,18,0,8,03505,37.580495569898,126.900966083211
A12275501,디엠씨자이1단지(DMC자이1),1138010100,서울특별시,은평구,수색동,,서울특별시 은평구 수색동 75 디엠씨자이1단지(DMC자이1),분양,개별난방,82068.92,1,209.0,지에스 건설,지에스 건설,023099252,,주상복합,서울특별시 은평구 수색로 217,위탁관리,계단식,20090924,023099250,209,26424.58,0.0,0.0,200.0,9.0,26424.58,19,19,4,7,03504,37.5796932759305,126.898678379239
A12287202,DMC진흥아파트,1138010100,서울특별시,은평구,수색동,,서울특별시 은평구 수색동 416-1 DMC진흥아파트,분양,개별난방,37869.08,6,280.0,진흥기업,한국토지신탁,023029482,,아파트,서울특별시 은평구 은평터널로 60,위탁관리,계단식,20030725,0263829482,280,26802.361,112.0,112.0,56.0,0.0,21168.0112,16,16,2,10,03492,37.585169461977,126.899674297901
A12287203,수색대림한숲타운제2,1138010100,서울특별시,은평구,수색동,,서울특별시 은평구 수색동 415-4 수색대림한숲타운제2,임대,개별난방,28675.86,3,464.0,대림건설,sh공사,023089854,,아파트,서울특별시 은평구 은평터널로 66,위탁관리,복도식,20030710,023089855,464,28675.2,464.0,0.0,0.0,0.0,15209.92,15,15,2,6,03492,37.5868473003911,126.901612877648
A12287204,이편한세상 수색 에코포레,1138010100,서울특별시,은평구,수색동,,서울특별시 은평구 수색동 415-1 이편한세상 수색 에코포레,분양,개별난방,133684.27,12,976.0,대림산업주식회사,수색2-1구역 재개발조합,023082094,수색대림한숲.apti.co.kr,아파트,서울특별시 은평구 은평터널로 65,위탁관리,혼합식,20030710,023082095,976,108555.35,256.0,445.0,275.0,0.0,84543.465,15,15,2,29,03491,37.586899476029,126.89916689751
A10024774,해주드림빌아파트,1138010200,서울특별시,은평구,녹번동,,서울특별시 은평구 녹번동 279-1 해주드림빌아파트,분양,개별난방,20768.91,2,111.0,해주개발주식회사,해주개발주식회사,023858712,,아파트,서울특별시 은평구 응암로 366,위탁관리,계단식,20011114,023858742,111,9295.1,11.0,72.0,28.0,0.0,9295.1,15,15,5,4,03459,37.6040535103323,126.922919259174
A10025836,힐스테이트녹번,1138010200,서울특별시,은평구,녹번동,,서울특별시 은평구 녹번동 282 힐스테이트녹번,혼합,개별난방,128603.0,13,952.0,현대힐스테이트,녹번제1구역제1지구 주택재개발정비사업조합,023897578,,아파트,서울특별시 은평구 통일로 610,위탁관리,혼합식,20181010,,952,82015.76,652.0,296.0,4.0,0.0,121910.557,20,20,0,29,03373,37.6019824456298,126.935947829509
A10025846,래미안베라힐즈,1138010200,서울특별시,은평구,녹번동,,서울특별시 은평구 녹번동 21-134 래미안베라힐즈,혼합,개별난방,187941.0,20,1305.0,삼성물산,녹번1-2 주택재개발정비사업,0231578878,,아파트,서울특별시 은평구 통일로 630,위탁관리,계단식,20181227,0231578880,1305,126582.34,589.0,704.0,12.0,0.0,184189.82,20,20,3,54,03372,37.6028959898733,126.936003442364
A10027816,북한산 푸르지오,1138010200,서울특별시,은평구,녹번동,,서울특별시 은평구 녹번동 281 북한산 푸르지오,혼합,개별난방,194596.11,22,1230.0,대우건설,서울시은평구녹번1구역3지구 조합,023897394,www.bhsprugio.com,아파트,서울특별시 은평구 통일로 660,위탁관리,계단식,20150722,023897395,1230,128596.49,327.0,728.0,175.0,0.0,97932,20,20,4,42,03370,37.6059008670873,126.936142883261
A12283601,녹번2차현대아파트(녹번2현대),1138010200,서울특별시,은평구,녹번동,,서울특별시 은평구 녹번동 278-1 녹번2차현대아파트(녹번2현대),분양,개별난방,24502.0,2,192.0,현대산업개발(주),현대산업개발(주),023542781,,아파트,서울특별시 은평구 서오릉로 46,위탁관리,계단식,20010524,023562781,192,24500.04,0.0,132.0,60.0,0.0,18253.08,17,17,0,8,03379,37.6051317980921,126.924990368761
