kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021295,경희궁의아침4단지,1111011800,서울특별시,종로구,내수동,,서울특별시 종로구 내수동 73- 경희궁의아침4단지,분양,개별난방,27557.0,1,120.0,쌍용건설,군인공제회,027324975,,주상복합,서울특별시 종로구 새문안로3길 23,위탁관리,계단식,20040517,027324976,120,27557.1,0.0,0.0,75.0,45.0,16020.9,1,16,1,8,,37.5726144754613,126.97227295596
A10021652,경희궁파크팰리스,1111011800,서울특별시,종로구,내수동,,서울특별시 종로구 내수동 95- 경희궁파크팰리스,분양,개별난방,41113.0,1,142.0,삼성물산,확인불가,027375271,,주상복합,서울특별시 종로구 사직로8길 20,위탁관리,계단식,20031119,027375272,142,34454.14,0.0,0.0,57.0,85.0,18805.07,1,16,4,0,,37.5741702549538,126.97054356305
A11007001,경희궁의아침3단지,1111011800,서울특별시,종로구,내수동,,서울특별시 종로구 내수동 72 경희궁의아침3단지,분양,개별난방,38391.6,1,150.0,쌍용건설,군인공제조합,027224433,,주상복합,서울특별시 종로구 사직로8길 34,위탁관리,계단식,20040517,027340253,150,38391.6,0.0,0.0,30.0,120.0,22444.8,16,16,3,0,03174,37.573660668544,126.972093823848
A11087101,경희궁의아침2단지,1111011800,서울특별시,종로구,내수동,,서울특별시 종로구 내수동 71 경희궁의아침2단지,분양,개별난방,47470.58,1,90.0,쌍용건설,쌍용건설,027340258,,주상복합,서울특별시 종로구 사직로8길 24,위탁관리(총액관리제),혼합식,20040515,027340252,90,15742.81,0.0,0.0,30.0,60.0,13185,16,16,5,0,03174,37.5739639296009,126.971284886893
A11005401,광화문스페이스본 아파트,1111012100,서울특별시,종로구,신문로2가,,서울특별시 종로구 신문로2가 1-434 광화문스페이스본 아파트,분양,개별난방,163862.1,6,744.0,풍림산업(주),사직1구역 도심 재개발조합,027373388,www.spacebon.kr,아파트,서울특별시 종로구 사직로8길 4,위탁관리,복도식,20080711,027373399,744,94981.45,0.0,28.0,335.0,381.0,94981.45,14,14,4,21,03168,37.5737272330998,126.968441141952
A11014001,로얄팰리스스위트,1111012400,서울특별시,종로구,수송동,,서울특별시 종로구 수송동 85 로얄팰리스스위트,분양,중앙난방,51195.18,1,23.0,,,0267308058,www.somersetpalace.co.kr/,아파트,서울특별시 종로구 율곡로2길 7,기타,복도식,,0267308089,28,2800.0,19.0,1.0,3.0,0.0,1191.14,18,18,0,8,03143,37.5750964069721,126.981224701828
A11034001,현대뜨레비앙,1111013300,서울특별시,종로구,익선동,,서울특별시 종로구 익선동 55 현대뜨레비앙,분양,개별난방,22846.92,1,291.0,현대건설,팬퍼시픽,027430416,hd7430416@gmail.com,주상복합,서울특별시 종로구 돈화문로11가길 59,위탁관리,복도식,20031129,027430417,291,22846.92,291.0,0.0,0.0,0.0,13245.16,9,9,3,2,03132,37.5751135191087,126.990058389295
A10020992,낙원아파트,1111013700,서울특별시,종로구,낙원동,,서울특별시 종로구 낙원동 288- 낙원아파트,분양,개별난방,15416.0,1,149.0,대일건설,대일건설,027420653,,주상복합,서울특별시 종로구 삼일대로 428,위탁관리,복도식,19680915,027664602,149,12664.71,0.0,93.0,53.0,3.0,12664.7,1,15,0,0,,37.5722169531009,126.987644585034
A11041001,효성주얼리시티아파트,1111015700,서울특별시,종로구,인의동,,서울특별시 종로구 인의동 48-2 효성주얼리시티아파트,분양,개별난방,89808.14,2,298.0,(주)효성건설,태승플레이,0262603500,,주상복합,서울특별시 종로구 종로 183,위탁관리,계단식,20061027,0262603502,298,36383.08,0.0,140.0,144.0,14.0,28511.84,19,19,5,8,03130,37.5714829206881,126.998666645245
A10027162,포레스트힐시티,1111016200,서울특별시,종로구,효제동,,서울특별시 종로구 효제동 65-2 포레스트힐시티,분양,개별난방,6996.68,1,152.0,신홍선건설,마르코통상,027437430,,주상복합,서울특별시 종로구 대학로 33,위탁관리,기타,20170120,027437431,152,3777.7683,152.0,0.0,0.0,0.0,2705.2634,14,14,3,2,03128,37.5742170733379,127.001834547682
