kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020414,남대문(양동) 단지,1114011800,서울특별시,중구,남대문로5가,,서울특별시 중구 남대문로5가 548- 남대문(양동) 단지,임대,중앙난방,4814.64,1,182.0,두양종합건설,주식회사한마루,023185425,,도시형 생활주택(아파트),서울특별시 중구 후암로60길 21,위탁관리,복도식,20250812,023185428,182,2638.22,182.0,0.0,0.0,0.0,2638.22,18,18,4,3,,37.5549477813112,126.974456830446
A10088101,남산SK리더스뷰,1114012100,서울특별시,중구,회현동1가,,서울특별시 중구 회현동1가 206 남산SK리더스뷰,분양,개별난방,71341.93,2,233.0,SK건설,마커스홀딩스,0264018522,,주상복합,서울특별시 중구 퇴계로 72,위탁관리,계단식,20100111,0263298522,233,45521.02,0.0,0.0,49.0,184.0,36856.07,30,30,7,6,04632,37.5591253443035,126.980603849217
A10088102,남산롯데캐슬아이리스,1114012100,서울특별시,중구,회현동1가,,서울특별시 중구 회현동1가 208 남산롯데캐슬아이리스,분양,중앙난방,99538.88,2,386.0,(주)롯데건설,군인공제회,023884114,,주상복합,서울특별시 중구 소공로 35,위탁관리,복도식,20111118,0237897785,386,46271.02,81.0,0.0,216.0,89.0,46271.02,32,32,7,10,04632,37.5582247092319,126.981744459746
A10072501,쌍용남산플래티넘,1114012200,서울특별시,중구,회현동2가,,서울특별시 중구 회현동2가 87 쌍용남산플래티넘,분양,개별난방,74074.85,2,236.0,쌍용건설(주),(주)해창,023180285,,주상복합,서울특별시 중구 소공로 46,위탁관리,계단식,20100805,023180286,236,46796.69,0.0,0.0,0.0,236.0,38196.84,33,33,7,3,04631,37.5594079371846,126.983218671611
A10071301,남산센트럴자이,1114013200,서울특별시,중구,충무로4가,,서울특별시 중구 충무로4가 306 남산센트럴자이,분양,개별난방,62049.402,2,273.0,GS건설(주),휴먼넥스(주),0222640070,,주상복합,서울특별시 중구 퇴계로 235,위탁관리,복도식,20091221,0222640040,273,62046.9,0.0,60.0,111.0,102.0,31863.915,32,32,7,6,04558,37.562514395202,126.997824376224
A10086301,충무로진양,1114013200,서울특별시,중구,충무로4가,,서울특별시 중구 충무로4가 120-3 충무로진양,분양,개별난방,32476.18,2,286.0,알수 없음,알수 없음,0222795300,,주상복합,서울특별시 중구 퇴계로 217,자치관리,복도식,19700523,0222795305,288,32476.18,0.0,165.0,118.0,3.0,24702.49,16,16,1,3,04558,37.5624227137843,126.995931151636
A10025223,충무로엘크루메트로시티2,1114013300,서울특별시,중구,충무로5가,,서울특별시 중구 충무로5가 36-2 충무로엘크루메트로시티2,분양,개별난방,22952.06,1,171.0,대우조선해양건설,대우조선해양건설,0222614506,,주상복합,서울특별시 중구 퇴계로49길 14,자치관리,복도식,20160610,0222614507,171,9898.24,171.0,0.0,0.0,0.0,4377.03,20,20,5,3,04559,37.5633945987251,126.999994227546
A10023352,세운푸르지오헤리시티,1114013400,서울특별시,중구,인현동2가,,서울특별시 중구 인현동2가 240 세운푸르지오헤리시티,혼합,개별난방,51129.0,1,614.0,대우건설(주),한호건설(주),0222756340,,주상복합,서울특별시 중구 마른내로 79,위탁관리,복도식,20230116,0222756341,614,18236.21,614.0,0.0,0.0,0.0,18236.2114,26,26,9,3,04548,37.5645661166031,126.996645245993
A10028201,인현신성,1114013400,서울특별시,중구,인현동2가,,서울특별시 중구 인현동2가 192-30 인현신성,분양,개별난방,10808.8,1,180.0,오래되서 모름,오래되서 모름,0222677087,인현동신성.apti.co.kr,주상복합,서울특별시 중구 마른내로 72,자치관리,복도식,19680530,0222687087,180,10573.74,134.0,22.0,22.0,2.0,10573.7,10,10,5,2,04558,37.563546252348,126.995814962096
A10022761,힐스테이트 남산,1114013600,서울특별시,중구,묵정동,,서울특별시 중구 묵정동 35 힐스테이트 남산,분양,중앙난방,32569.34,2,282.0,현대건설(주),파빌리온충무로피에프브이(주),0222799332,,주상복합,서울특별시 중구 퇴계로46길 26,위탁관리,복도식,20240129,0222799333,282,15920.03,282.0,0.0,0.0,0.0,11058.39,9,9,3,6,04619,37.5616472044826,126.999403300614
