kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10023365,수루배마을9단지,3611010100,세종특별자치시,,반곡동,,세종특별자치시  반곡동 873 수루배마을9단지,임대,지역난방,58816.7,16,326.0,계룡건설(주),(주)계룡코크렙제1호위탁관리투자회사,0448680774,,주상복합,세종특별자치시  시청대로 547,위탁관리,계단식,20221216,0448680775,326,52884.492,0.0,326.0,0.0,0.0,25793.5069,18,18,3,16,30146,36.498815755525,127.317671436055
A10023366,수루배마을7단지아파트,3611010100,세종특별자치시,,반곡동,,세종특별자치시  반곡동 861 수루배마을7단지아파트,임대,지역난방,33596.0,12,210.0,계룡건설,(주)계룡코크렙제1호위탁관리부동산투자회사,0448668995,,아파트,세종특별자치시  반곡로 72,위탁관리,계단식,20221220,0448668996,210,30103.283,132.0,78.0,0.0,0.0,14477.3909,15,15,2,13,30146,36.4986648855249,127.314172445394
A10023375,수루배마을8단지아파트,3611010100,세종특별자치시,,반곡동,,세종특별자치시  반곡동 858 수루배마을8단지아파트,임대,지역난방,88936.12,6,1032.0,극동건설주식회사,한국토지주택공사,0448642266,surub8.aptner.com,아파트,세종특별자치시  시청대로 546,위탁관리,복도식,20230220,0448642277,1032,88452.59,1032.0,0.0,0.0,0.0,38103.8,26,26,1,20,30146,36.4985040710063,127.316882715023
A10024397,세종 펠리스,3611010100,세종특별자치시,,반곡동,,세종특별자치시  반곡동 4121-1002 세종 펠리스,분양,지역난방,17867.0,1,170.0,DL 종합건설,(주)월목,0448641943,,주상복합,세종특별자치시  한누리대로 1940,관리방식미정,복도식,20200220,0448641944,170,7888.5005,170.0,0.0,0.0,0.0,4379.9582,6,6,3,0,30147,36.4911402669013,127.30322529544
A10025230,수루배마을4단지,3611010100,세종특별자치시,,반곡동,,세종특별자치시  반곡동 59-7 수루배마을4단지,분양,지역난방,175813.97,21,1092.0,포스코건설,금성백조예미지,0447157013,,아파트,세종특별자치시  시청대로 500,위탁관리,혼합식,20190927,0447157014,1092,120826.625,305.0,436.0,351.0,0.0,89751.47,29,29,1,47,30146,36.4988957058191,127.313816875865
A10025330,수루배마을1단지아파트,3611010100,세종특별자치시,,반곡동,,세종특별자치시  반곡동  수루배마을1단지아파트,분양,지역난방,206412.34,17,1111.0,"롯데, 신동아","롯데, 신동아",0448686396,수루배마을1단지.apti.co.kr,아파트,세종특별자치시  반곡로 14,위탁관리,계단식,20190826,0448686397,1111,141225.4,0.0,440.0,657.0,14.0,104167.151,28,28,2,39,30146,36.4971084211225,127.305598809854
A10025346,수루배마을6단지아파트,3611010100,세종특별자치시,,반곡동,,세종특별자치시  반곡동  수루배마을6단지아파트,분양,지역난방,112011.57,20,812.0,금성백조주택,포스코건설,0448689768,srb6.aptstory.com/,아파트,세종특별자치시  시청대로 598,위탁관리,계단식,20190607,0448689769,812,73299.2,481.0,331.0,0.0,0.0,52944.45,20,20,1,32,30145,36.493940941487,127.318320399076
A10025383,수루배마을2단지아파트,3611010100,세종특별자치시,,반곡동,,세종특별자치시  반곡동  수루배마을2단지아파트,분양,지역난방,91878.03,14,592.0,"신동아건설, 롯데건설","신동아건설, 롯데건설",0448681461,https://수루배마을2단지.apti.co.kr,아파트,세종특별자치시  반곡1길 9,위탁관리,계단식,20190226,0448681463,592,53897.637,350.0,242.0,0.0,0.0,37750.808,17,17,2,32,30145,36.4970957309575,127.311032667327
A10025486,수루배마을3단지,3611010100,세종특별자치시,,반곡동,,세종특별자치시  반곡동  수루배마을3단지,분양,지역난방,141373.53,24,784.0,"(주)계룡건설,(주)한양","(주)계룡건설,(주)보성",0448626728,,아파트,세종특별자치시  반곡로 15,위탁관리,계단식,20190524,0448626729,784,71965.23,0.0,477.0,307.0,0.0,71965.2287,29,29,2,31,30146,36.4990715360244,127.308315566006
A10025816,수루배마을5단지,3611010100,세종특별자치시,,반곡동,,세종특별자치시  반곡동 4101-3 수루배마을5단지,분양,지역난방,56003.062,13,362.0,(주)한양,계룡건설,0448624835,,아파트,세종특별자치시  반곡2길 9,위탁관리,혼합식,20181228,0448624836,362,34731.703,237.0,125.0,0.0,0.0,24713.0982,17,17,2,20,30145,36.4966131547244,127.311933127624
A10023940,새샘마을4단지아파트,3611010200,세종특별자치시,,소담동,,세종특별자치시  소담동 545 새샘마을4단지아파트,임대,지역난방,83865.945,4,1100.0,정인건설,LH주택공사,0448639955,,아파트,세종특별자치시  소담3로 21,위탁관리,복도식,20220208,0448639954,1101,83865.945,1100.0,0.0,0.0,0.0,40660.92,20,20,1,0,30151,36.4865948937413,127.297111956133
