kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10024277,빌리브울산,3111010100,울산광역시,중구,학성동,,울산광역시 중구 학성동 349-15 빌리브울산,임대,개별난방,56174.043,4,405.0,신세계건설(주),(주)신세계하나제1호기업형임대위탁관리부동산주식회사,0522949210,,아파트,울산광역시 중구 구교로 59,위탁관리,혼합식,20210510,0522949209,405,56163.09,185.0,220.0,0.0,0.0,25200.977,29,29,5,12,44521,35.5558457915106,129.330947790549
A10025723,학성파크디아채,3111010100,울산광역시,중구,학성동,,울산광역시 중구 학성동 356 학성파크디아채,분양,개별난방,41866.99,1,209.0,(주)신한,(주)하나자산신탁,0522913210,,아파트,울산광역시 중구 학성로 218,위탁관리,계단식,20190131,0522913211,209,22752.88,0.0,209.0,0.0,0.0,16859.6709,20,20,4,0,44521,35.5563355427854,129.335163076616
A68172801,남운학성타운,3111010100,울산광역시,중구,학성동,,울산광역시 중구 학성동 379 남운학성타운,분양,개별난방,39960.94,3,274.0,남운건설,남운개발,0522980401,,아파트,울산광역시 중구 학성4길 61,자치관리,혼합식,19910919,0522980410,274,39191.73,0.0,88.0,90.0,96.0,30477.27,12,12,1,9,44517,35.5580866605194,129.332054620095
A10020743,정림탑스빌 아파트,3111010200,울산광역시,중구,학산동,,울산광역시 중구 학산동 93-3 정림탑스빌 아파트,분양,개별난방,15781.369,1,113.0,(주)정림건설,(주)정림건설,022450337,,주상복합,울산광역시 중구 장춘로 164,자치관리,계단식,20040120,0522450337,113,13077.43,2.0,111.0,0.0,0.0,9066.2214,1,15,0,4,,35.5585253254265,129.326263036182
A10021667,동덕현대아파트(101.102동),3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 677-9 동덕현대아파트(101.102동),분양,개별난방,0.0,2,102.0,현대건설,현대건설,0522984600,,아파트,울산광역시 중구 손골2길 17-6,위탁관리,계단식,19890711,,103,3296.0,0.0,102.0,0.0,0.0,8319.24,6,6,0,0,,35.5654110594646,129.325617079405
A10022270,번영로 서한이다음 프레스티지,3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 828- 번영로 서한이다음 프레스티지,분양,개별난방,21668.0,3,109.0,서한,다안개발,0522910997,,주상복합,울산광역시 중구 화합로 459,위탁관리,계단식,20240118,0522910998,109,9068.0,0.0,109.0,0.0,0.0,9138.9693,10,10,2,0,,35.5650314278079,129.333834100603
A10022294,번영로센트리지 1단지,3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 460-72 번영로센트리지 1단지,분양,개별난방,20274.0,3,134.0,중구B-05구역주택재개발정비사업조합,현대엔지니어링,0522441718,,아파트,울산광역시 중구 복산1길 1,위탁관리,계단식,20230925,0522441728,134,13070.531,43.0,91.0,0.0,0.0,9981.772,10,25,2,6,,35.5602341850597,129.327406105468
A10022626,동덕현대아파트104동,3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 319 동덕현대아파트104동,분양,개별난방,10608.23,1,122.0,현대건설,현대건설,0522889789,,아파트,울산광역시 중구 손골2길 5,위탁관리,혼합식,19910919,0522889790,122,1586.0,0.0,122.0,0.0,0.0,8227.07,15,15,0,2,44430,35.5650411191275,129.327048149019
A10022936,번영로 센트리지4단지,3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 460-72 번영로 센트리지4단지,혼합,개별난방+기타,74986.59,5,564.0,효성중공업(주),중구B-05구역주택재개발정비사업조합,0522441721,,아파트,울산광역시 중구 복산1길 1,위탁관리,혼합식,20230925,022441731,564,50575.113,260.0,304.0,0.0,0.0,37045.876,25,25,3,12,44469,35.5602341850597,129.327406105468
A10022976,번영로센트리지5단지 아파트,3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 460-72 번영로센트리지5단지 아파트,분양,개별난방,104486.0,7,683.0,롯데건설,주택조합,0522481722,,아파트,울산광역시 중구 복산1길 1,위탁관리,계단식,20230925,0522481732,683,71553.79,123.0,560.0,0.0,0.0,54219.064,24,25,3,19,44469,35.5602341850597,129.327406105468
A10022992,번영로센트리지2단지,3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 460-72 번영로센트리지2단지,분양,개별난방,89525.28,8,611.0,현대엔지니어링,B-05구역 주택재개발정비사업조합,0522451719,,아파트,울산광역시 중구 복산1길 1,위탁관리,계단식,20230925,0522451729,611,60289.5,136.0,475.0,0.0,0.0,45711.978,20,25,3,17,44469,35.5602341850597,129.327406105468
A10022994,번영로 센트리지 3단지 아파트,3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 460-72 번영로 센트리지 3단지 아파트,분양,개별난방,94516.78,6,633.0,(주)효성중공업,중구B-05구역 주택 재개발 정비사업조합,0522441720,https://cafe.naver.com/centrige3,아파트,울산광역시 중구 복산1길 1,위탁관리,계단식,20230925,0522441730,633,64966.32,140.0,493.0,0.0,0.0,48959.361,25,25,3,18,44469,35.5602341850597,129.327406105468
A10024461,성지아파트,3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 186-1 성지아파트,분양,개별난방,39425.0,3,390.0,성지건설,성지아파트입주자대표회의,0522978840,,아파트,울산광역시 중구 도화골길 30,위탁관리,계단식,20210112,0529948840,390,36793.35,150.0,240.0,0.0,0.0,36793.35,15,15,1,13,44476,35.5672140905459,129.330112283693
A10025400,번영로 서한이다음(1단지),3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 94 번영로 서한이다음(1단지),분양,개별난방,31468.623,6,208.0,서한건설,서한건설,0529940505,seohan1.aptner.com,아파트,울산광역시 중구 번영로 463,위탁관리,계단식,20181114,0529940506,208,22321.941,0.0,208.0,0.0,0.0,17118.3661,11,11,1,10,44478,35.5638507221379,129.333729822895
A10026959,복산 IPARK,3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 776 복산 IPARK,분양,개별난방,59627.0,7,419.0,현대산업개발,복산동지역주택조합,0522855030,apt.dozn.co.kr/index.aspx,아파트,울산광역시 중구 계변로 96,위탁관리,계단식,20170630,0522855031,419,42394.13,149.0,270.0,0.0,0.0,31822.21,15,15,3,16,44478,35.5639640743179,129.329287239899
A10027526,번영로드림파크,3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 40-9 번영로드림파크,분양,개별난방,21809.344,1,260.0,드림종합건설,에스타운건설,0522812233,,주상복합,울산광역시 중구 계변로 54,위탁관리,복도식,20160613,0522813344,260,12189.777,260.0,0.0,0.0,0.0,8505.096,13,13,4,0,44511,35.5609789139681,129.331931358742
A10027840,효성해링턴플레이스2단지,3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 56 효성해링턴플레이스2단지,분양,개별난방,27287.33,4,205.0,효성(주),국제신탁(거명/거명건설),0522939955,www.hebibi.com/4894,아파트,울산광역시 중구 번영로 445,위탁관리,계단식,20151104,0522939952,206,19125.592,86.0,119.0,0.0,0.0,14312.712,14,14,2,8,44478,35.5626771306648,129.332699676279
A10027843,번영로효성해링턴플레이스1단지,3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 21 번영로효성해링턴플레이스1단지,분양,개별난방,22136.0,4,207.0,(주)효성,국제신탁(거명/거명건설),0522939944,없음,아파트,울산광역시 중구 번영로 436,위탁관리,계단식,20151104,0522939946,207,22134.89,0.0,207.0,0.0,0.0,16779.2292,16,16,2,0,44511,35.5616260737186,129.332484275252
A68122001,신한그린맨션,3111010300,울산광역시,중구,복산동,,울산광역시 중구 복산동 671 신한그린맨션,분양,개별난방,17524.0,1,198.0,신한주택건설,신한주택건설,0522922139,cafe.naver.com/sinhangreenapt,아파트,울산광역시 중구 손골9길 38,자치관리,계단식,19910131,0522922141,198,17373.96,48.0,150.0,0.0,0.0,13801.32,15,15,0,7,44430,35.5648859645005,129.324162563487
