kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020459,제일풍경채계양위너스카이A블럭,2824510100,인천광역시,계양구,효성동,,인천광역시 계양구 효성동 690- 제일풍경채계양위너스카이A블럭,분양,개별난방,145129.0,5,777.0,제일건설,피에프브이(주),025552346,,주상복합,인천광역시 계양구 마장로544번길 10,위탁관리,계단식,20250818,0325552347,777,78954.45,125.0,652.0,0.0,0.0,58163.3436,0,35,0,22,,37.5258138870392,126.705784583334
A10020473,제일풍경채계양위너스카이2단지,2824510100,인천광역시,계양구,효성동,,인천광역시 계양구 효성동 691- 제일풍경채계양위너스카이2단지,분양,개별난방,86891.91,4,566.0,제일건설(주),(주)인천계양효성피에프브이,0325568372,,아파트,인천광역시 계양구 안남로489번길 17,위탁관리,계단식,20250818,0325568373,566,60255.742,0.0,566.0,0.0,0.0,46155.2999,35,35,2,0,,37.526224709435,126.708605873155
A10021385,중앙아파트,2824510100,인천광역시,계양구,효성동,,인천광역시 계양구 효성동 293-1 중앙아파트,분양,개별난방,272812000.0,4,168.0,중앙건설,중앙건설,0325422203,,아파트,인천광역시 계양구 봉오대로628번길 8,자치관리,계단식,19891107,0325422203,168,8865.48,168.0,0.0,0.0,0.0,8865.48,1,6,0,0,,37.5292865467621,126.717532184122
A10021530,미도아파트,2824510100,인천광역시,계양구,효성동,,인천광역시 계양구 효성동 228-1 미도아파트,분양,개별난방,17268.03,3,205.0,가나안미도,가나안미도,01087938912,,아파트,인천광역시 계양구 효서로 115,자치관리,계단식,19850130,0325488912,205,14529.15,10.0,190.0,5.0,0.0,14529.15,1,5,1,0,,37.5283163191449,126.708216934757
A10021655,계양동도 센트리움 골든베이,2824510100,인천광역시,계양구,효성동,,인천광역시 계양구 효성동 151- 계양동도 센트리움 골든베이,분양,개별난방,16151.0,2,131.0,동도건설,동도건설,0325493982,,아파트,인천광역시 계양구 봉오대로 552,위탁관리,계단식,20240429,0325493983,131,11251.99,86.0,45.0,0.0,0.0,8389.477,1,25,2,3,,37.5299453541912,126.710131498701
A10021803,새사미2차아파트,2824510100,인천광역시,계양구,효성동,,인천광역시 계양구 효성동 623-16 새사미2차아파트,분양,개별난방,20925.0,1,280.0,우창건설,우창건설,0325480624,,아파트,인천광역시 계양구 봉오대로 441,위탁관리,계단식,19850121,0325480629,280,19107.8,280.0,0.0,0.0,0.0,14947.8,1,5,0,0,,37.5274074659743,126.697855110983
A10023133,계양서해그랑블더테라스,2824510100,인천광역시,계양구,효성동,,인천광역시 계양구 효성동 24-15 계양서해그랑블더테라스,분양,개별난방,19077.389,2,124.0,서해종합건설,한국자산신탁(주),0325425505,,아파트,인천광역시 계양구 안남로572번길 23,위탁관리,계단식,20230629,0325425506,124,10498.195,0.0,124.0,0.0,0.0,10498.1956,23,23,1,4,21094,37.5346735206934,126.713156594718
A10024114,e편한세상 계양 더프리미어아파트,2824510100,인천광역시,계양구,효성동,,인천광역시 계양구 효성동 677 e편한세상 계양 더프리미어아파트,혼합,개별난방,212989.17,12,1646.0,"DL건설,DL이앤씨",효성1구역주택재개발정비사업조합,0325431102,v2admin.aptner.com,아파트,인천광역시 계양구 효서로 145,위탁관리,혼합식,20211013,0325431103,1646,141115.97,1088.0,558.0,0.0,0.0,107176.933,33,33,2,31,21109,37.5283576329517,126.713053847459
A40704001,효성 금호어울림 아파트,2824510100,인천광역시,계양구,효성동,,인천광역시 계양구 효성동 675 효성 금호어울림 아파트,분양,개별난방,56874.28,9,410.0,금호건설,금호건설,0325544966,,아파트,인천광역시 계양구 아나지로198번길 11,위탁관리,계단식,20050819,0325544967,410,43019.42,147.0,197.0,66.0,0.0,33451.79,11,11,1,21,21113,37.5244614701328,126.715972719529
A40704002,효성 두산아파트,2824510100,인천광역시,계양구,효성동,,인천광역시 계양구 효성동 33-2 효성 두산아파트,분양,개별난방,116673.43,9,957.0,두산건설(주),두산개발(주),0325444620,,아파트,인천광역시 계양구 안남로573번길 18,위탁관리,계단식,19970919,0322974622,957,96630.69,405.0,456.0,96.0,0.0,73933.26,18,18,1,14,21093,37.5373325919298,126.708904580835
A40704205,효성 풍림 아파트,2824510100,인천광역시,계양구,효성동,,인천광역시 계양구 효성동 225-1 효성 풍림 아파트,분양,개별난방,46987.0,2,342.0,풍림산업,풍림산업,0325519430,,아파트,인천광역시 계양구 아나지로213번길 22,위탁관리,계단식,19970729,0325532544,342,36081.26,130.0,156.0,46.0,10.0,28062.15,23,23,2,8,21112,37.5273433909872,126.71630367347
A40771807,효성 뉴서울6차 아파트,2824510100,인천광역시,계양구,효성동,,인천광역시 계양구 효성동 301-1 효성 뉴서울6차 아파트,분양,개별난방,40516.0,2,370.0,뉴서울주택건설,뉴서울주택건설,0325465976,,아파트,인천광역시 계양구 아나지로198번길 8,위탁관리,계단식,19950530,0325460144,370,33546.266,224.0,146.0,0.0,0.0,25613.84,21,21,1,9,21113,37.5248986661569,126.713115175238
