kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021096,구월 뷰그리안 아파트,2820010100,인천광역시,남동구,구월동,,인천광역시 남동구 구월동 1610- 구월 뷰그리안 아파트,분양,개별난방,11203.984,1,120.0,기성건설,우정아파트1동2동 가로주택정비사업조합,0324736661,,주상복합,인천광역시 남동구 구월로265번길 6,위탁관리,계단식,20220907,0324736662,120,6720.0,120.0,0.0,0.0,0.0,6757.296,1,28,0,0,,37.456220997407,126.720737116848
A10021357,구월성문아파트,2820010100,인천광역시,남동구,구월동,,인천광역시 남동구 구월동 1291-7 구월성문아파트,분양,개별난방,9436.0,1,103.0,(주) 성문건설,문화연립재건축주택조합,0324723313,,아파트,인천광역시 남동구 호구포로744번길 26,위탁관리,복도식,19961021,0324623213,103,8563.513,103.0,0.0,0.0,0.0,6165.58,14,14,1,2,,37.448323822457,126.720662052763
A10021432,나이스뷰,2820010100,인천광역시,남동구,구월동,,인천광역시 남동구 구월동 1142-21 나이스뷰,분양,개별난방,8957.0,1,144.0,우평코리아(주),나이스글로벌(주),0324273711,,도시형 생활주택(아파트),인천광역시 남동구 구월남로 150,위탁관리,복도식,20150206,0324273712,144,4744.602,144.0,0.0,0.0,0.0,2363.22,1,15,3,1,,37.4527568253768,126.70614659103
A10021852,대우재한신휴플러스,2820010100,인천광역시,남동구,구월동,,인천광역시 남동구 구월동 1476- 대우재한신휴플러스,분양,개별난방,19750.0,3,120.0,한신공영,LH,0324420086,,아파트,인천광역시 남동구 문화로 161,위탁관리,계단식,20111206,0324420087,120,19682.246,0.0,120.0,0.0,0.0,10170.3,15,15,2,4,,37.4539973786195,126.699534254003
A10022888,한화포레나 인천구월,2820010100,인천광역시,남동구,구월동,,인천광역시 남동구 구월동 70-16 한화포레나 인천구월,혼합,개별난방,153460.9,11,1115.0,한화건설,간석초교주변다복마을 주택재개발정비사업 조합,0327107081,,아파트,인천광역시 남동구 용천로105번길 8,위탁관리,계단식,20231129,0327107082,1115,100314.484,769.0,346.0,0.0,0.0,72990.7994,35,35,3,0,21548,37.4600065488978,126.714162949266
A10023325,동남아파트,2820010100,인천광역시,남동구,구월동,,인천광역시 남동구 구월동 287 동남아파트,분양,개별난방,13918.0,3,168.0,동남건설,미확인,0324626017,https://xn--2e0bj5d99cw8zczb623a1qa.apti.co.kr/aptHome/Default.asp?,아파트,인천광역시 남동구 인주대로676번길 19,자치관리,계단식,19910506,0324626017,168,13752.0,48.0,120.0,0.0,0.0,11022.12,6,6,1,0,21579,37.4483208521688,126.712695097876
A10023364,구월아시아드선수촌7지,2820010100,인천광역시,남동구,구월동,,인천광역시 남동구 구월동 1551 구월아시아드선수촌7지,임대,개별난방,89743.73,6,1109.0,디엘건설 주식회사,인천도시공사,0324625700,,아파트,인천광역시 남동구 선수촌로 7,위탁관리,복도식,20230203,0324625800,1109,89386.29,1109.0,0.0,0.0,0.0,37818.2862,1,29,2,18,21583,37.4401598072544,126.713643289856
A10024475,구월지웰시티푸르지오,2820010100,인천광역시,남동구,구월동,,인천광역시 남동구 구월동 1608 구월지웰시티푸르지오,분양,개별난방,67039.17,3,376.0,대우건설,(주)신영,0324299270,,주상복합,인천광역시 남동구 남동대로799번길 34,위탁관리,계단식,20201230,0324299271,376,44425.066,0.0,324.0,52.0,0.0,64519.2954,43,43,6,10,21555,37.4541882013899,126.70710290623
A10026348,구월프라움아트,2820010100,인천광역시,남동구,구월동,,인천광역시 남동구 구월동 1131-18 구월프라움아트,분양,개별난방,10717.275,1,244.0,(주)태남건설,(주)태남건설,0328620588,,도시형 생활주택(주상복합),인천광역시 남동구 예술로204번길 19,위탁관리,복도식,20160727,0324339033,244,7970.563,244.0,0.0,0.0,0.0,4047.24,18,18,3,3,21558,37.4525605332303,126.702703255589
A10026349,구월프라움시티,2820010100,인천광역시,남동구,구월동,,인천광역시 남동구 구월동 1135-15 구월프라움시티,분양,개별난방,12226.902,2,240.0,(주)태남건설,(주)태남건설,0324370531,,도시형 생활주택(주상복합),인천광역시 남동구 예술로226번길 17,위탁관리,복도식,20150630,0324370532,240,8668.191,240.0,0.0,0.0,0.0,4010.04,13,13,4,3,21557,37.4543502672188,126.702941200001
