kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A40101001,만석 비치타운주공 아파트,2814010100,인천광역시,동구,만석동,,인천광역시 동구 만석동 122 만석 비치타운주공 아파트,분양,개별난방,140995.0,15,1273.0,대한주택공사,대한주택공사,0327722985,,아파트,인천광역시 동구 화도진로 187,위탁관리,계단식,20021030,0327722847,1273,139742.9,1121.0,152.0,0.0,0.0,78110.17,23,23,1,30,22505,37.4852163934292,126.621236800492
A40170201,만석 웰카운티,2814010100,인천광역시,동구,만석동,,인천광역시 동구 만석동 127 만석 웰카운티,혼합,개별난방,26222.713,3,178.0,인천도시공사,인천도시공사,0327648717,,아파트,인천광역시 동구 화도진로 142,위탁관리,계단식,20140623,0327648718,178,13664.23,28.0,150.0,0.0,0.0,13664.7491,26,26,3,5,22511,37.4836267463488,126.627354820323
A40102001,화수 영풍 아파트,2814010200,인천광역시,동구,화수동,,인천광역시 동구 화수동 79-4 화수 영풍 아파트,분양,개별난방,44473.0,5,359.0,영풍산업주식회사,영풍산업주식회사,0327656725,,아파트,인천광역시 동구 화도진로 132,위탁관리,계단식,20010806,0327656726,359,37262.4,141.0,218.0,0.0,0.0,26980.0457,24,24,2,12,22511,37.483272258154,126.628574617021
A40102002,인천화도진그린빌,2814010200,인천광역시,동구,화수동,,인천광역시 동구 화수동 321 인천화도진그린빌,분양,개별난방,41217.0,5,365.0,대한주택공사,삼호건설,0327629797,,아파트,인천광역시 동구 화도진로 113,위탁관리,혼합식,20011022,0327629796,366,39551.992,235.0,130.0,0.0,0.0,24400.09,21,21,0,7,22510,37.481191147045,126.627553014173
A40180401,미륭,2814010200,인천광역시,동구,화수동,,인천광역시 동구 화수동 2-7 미륭,분양,개별난방,30319.865,14,560.0,동부건설,인천광역시건설종합본부,0327640759,,아파트,인천광역시 동구 화수로 44,자치관리,계단식,19900625,0322310759,560,28860.2,560.0,0.0,0.0,0.0,23645.1,5,5,1,0,22515,37.4836117309657,126.633500165692
A40104001,송현 삼두1차아파트,2814010300,인천광역시,동구,송현동,,인천광역시 동구 송현동 66-51 송현 삼두1차아파트,분양,개별난방,22321.31,2,264.0,삼두건설,삼두건설,0327624075,,아파트,인천광역시 동구 수문통로 33,자치관리,복도식,19841018,0327721169,264,21278.4,168.0,96.0,0.0,0.0,15029.28,12,12,1,4,22520,37.4796153450172,126.633505891943
A40104002,솔빛주공2차1단지아파트,2814010300,인천광역시,동구,송현동,,인천광역시 동구 송현동 165 솔빛주공2차1단지아파트,분양,개별난방,37330.992,3,386.0,요진산업(주),한국토지주택공사,0327779081,솔빛주공2차1단지.apti.co.kr/,아파트,인천광역시 동구 송현로 39,위탁관리,계단식,20031225,0327779082,386,37321.9,294.0,92.0,0.0,0.0,25391.4,23,23,0,10,22546,37.4795453819099,126.635267454046
A40104003,송현2차 아파트,2814010300,인천광역시,동구,송현동,,인천광역시 동구 송현동 1-9 송현2차 아파트,분양,개별난방,20935.0,11,400.0,라이프주택,라이프주택,0327652330,,아파트,인천광역시 동구 인중로 635,위탁관리,계단식,19840418,0322512330,400,20822.4,270.0,130.0,0.0,0.0,20822.4,5,5,0,0,22533,37.4819920807402,126.643331684935
A40104004,송현1차 아파트,2814010300,인천광역시,동구,송현동,,인천광역시 동구 송현동 1-57 송현1차 아파트,분양,개별난방,20594.7,11,500.0,재개발조합,라이프 주택,0327613360,,아파트,인천광역시 동구 인중로 621,자치관리,계단식,19821214,0322393361,500,20198.357,500.0,0.0,0.0,0.0,20594.7,5,5,0,0,22533,37.4816563673925,126.641605024266
A40104005,송현주공아파트,2814010300,인천광역시,동구,송현동,,인천광역시 동구 송현동 6-26 송현주공아파트,분양,개별난방,43136.0,8,575.0,주택공사,주택공사,0327611682,,아파트,인천광역시 동구 인중로 653,위탁관리,혼합식,19930502,0327646210,575,41166.35,397.0,178.0,0.0,0.0,30368.37,15,15,1,9,22533,37.4815840945494,126.644314204793
