kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020240,숭의현대아파트,2817710100,인천광역시,미추홀구,숭의동,,인천광역시 미추홀구 숭의동 129-96 숭의현대아파트,분양,개별난방,12334.26,2,134.0,현대산업개발,현대산업개발,0328847203,,아파트,인천광역시 미추홀구 독정이로 117,자치관리,복도식,19860831,0328847203,134,11423.82,0.0,54.0,80.0,0.0,11423.82,10,0,1,0,,37.4656443398765,126.648932588997
A10020565,두산위브더제니스센트럴여의,2817710100,인천광역시,미추홀구,숭의동,,인천광역시 미추홀구 숭의동 0 두산위브더제니스센트럴여의,분양,지역난방,183770.11,10,1115.0,두산건설,여의 주택재개발 정비조합,0328870241,,아파트,인천광역시 미추홀구 독정이로 82,위탁관리,계단식,20250626,0328870242,1115,107031.63,54.0,315.0,688.0,58.0,107031.6312,35,0,4,22,,37.4635776599082,126.651720406568
A10020903,힐스테이트 숭의역,2817710100,인천광역시,미추홀구,숭의동,,인천광역시 미추홀구 숭의동 362-19 힐스테이트 숭의역,분양,개별난방,101266.08,4,748.0,현대건설,숭의1구역지역주택조합,0328875002,,주상복합,인천광역시 미추홀구 인주대로 5,위탁관리,계단식,20250124,0328875003,748,68335.55,584.0,164.0,0.0,0.0,47322.4722,47,47,4,0,,37.4613538747455,126.638869847842
A10022349,광해리드빌,2817710100,인천광역시,미추홀구,숭의동,,인천광역시 미추홀구 숭의동 159-1 광해리드빌,분양,개별난방,0.0,2,117.0,(주)광해건설,(주)광해건설,0328820228,,,인천광역시 미추홀구 미추로 61,자치관리,계단식,20031222,0328820265,117,12550.2,0.0,117.0,0.0,0.0,8736.871,0,15,0,0,,37.4654705164517,126.645335546243
A10023098,인천 석정 한신 더 휴,2817710100,인천광역시,미추홀구,숭의동,,인천광역시 미추홀구 숭의동 85-16 인천 석정 한신 더 휴,혼합,개별난방,17967.725,4,293.0,조합,한신더휴,0328868775,,아파트,인천광역시 미추홀구 석정로126번길 30,자치관리,계단식,20230322,0328868776,293,17967.725,255.0,38.0,0.0,0.0,12942.16,20,20,3,7,22103,37.4673219313175,126.649116911949
A10023846,스타디움센트럴시티 아파트,2817710100,인천광역시,미추홀구,숭의동,,인천광역시 미추홀구 숭의동 462 스타디움센트럴시티 아파트,분양,개별난방,147394.56,6,992.0,서희건설,인천 도원역 지역주택조합,0328868586,scc.aptstory.com/,아파트,인천광역시 미추홀구 참외전로 268,위탁관리,계단식,20220414,0328868588,992,102207.67,257.0,735.0,0.0,0.0,74775.0684,47,47,5,2,,37.4676423328736,126.643011577667
A40281301,숭의 한화꿈에그린아파트,2817710100,인천광역시,미추홀구,숭의동,,인천광역시 미추홀구 숭의동 86-1 숭의 한화꿈에그린아파트,분양,개별난방,49766.0,9,405.0,한화,한화,0328850386,꿈;에그린.aptgate.co.kr,아파트,인천광역시 미추홀구 석정로126번길 23,위탁관리,계단식,20070208,0328850387,405,38550.227,156.0,249.0,0.0,0.0,30121.323,15,15,0,15,22103,37.467091840806,126.649794076453
A10022254,용현삼화아파트,2817710200,인천광역시,미추홀구,용현동,,인천광역시 미추홀구 용현동 646- 용현삼화아파트,분양,개별난방,8311.496,1,114.0,서해건설,서해건설,0328746607,,아파트,인천광역시 미추홀구 한나루로489번길 49,자치관리,복도식,19940426,0328746607,114,8311.496,114.0,0.0,0.0,0.0,6648.48,1,8,2,2,,37.4509711167583,126.664904566971
A10022902,용현자이크레스트아파트,2817710200,인천광역시,미추홀구,용현동,,인천광역시 미추홀구 용현동  용현자이크레스트아파트,분양,지역난방,338761.16,17,2277.0,"GS건설(주),금호건설(주),(주)태영건설, (주신성건설",한국토지주택공사,0327138140,,아파트,인천광역시 미추홀구 낙섬동로 134,위탁관리,계단식,20231129,0327138141,2277,228500.38,757.0,1520.0,0.0,0.0,167451.78,34,34,2,0,22184,37.4566093650166,126.646474064899
A10023168,용현오션뷰경남아너스빌아파트,2817710200,인천광역시,미추홀구,용현동,,인천광역시 미추홀구 용현동 627-108 용현오션뷰경남아너스빌아파트,분양,개별난방,37670.62,3,303.0,경남기업(주),용현지역주택조합,0328818991,,아파트,인천광역시 미추홀구 아암대로 118,위탁관리,계단식,20230504,0328818992,304,26273.396,232.0,71.0,0.0,0.0,19202.104,37,37,3,5,22191,37.4524049359515,126.631097954471
A10025803,용현엘크루윈드포레,2817710200,인천광역시,미추홀구,용현동,,인천광역시 미추홀구 용현동  용현엘크루윈드포레,분양,지역난방,112917.0,8,870.0,대우조선해양,한국주택토지공사,0328895744,,아파트,인천광역시 미추홀구 낙섬동로 135,위탁관리,혼합식,20181122,0328895743,870,112587.44,312.0,558.0,0.0,0.0,59004.17,29,29,2,19,22176,37.456575301717,126.644729705471
A10025857,인천LH미추홀3단지아파트,2817710200,인천광역시,미추홀구,용현동,,인천광역시 미추홀구 용현동  인천LH미추홀3단지아파트,임대,지역난방,84146.0,5,1500.0,"(주)동양,동일건설(주)",한국토지주택공사,0328879007,,아파트,인천광역시 미추홀구 낙섬중로 129,위탁관리,복도식,20181203,0328879005,1500,81570.805,1500.0,0.0,0.0,0.0,37613.23,29,29,2,20,22176,37.4582400997372,126.642729066205
A10027496,인천에스케이스카이뷰,2817710200,인천광역시,미추홀구,용현동,,인천광역시 미추홀구 용현동 664 인천에스케이스카이뷰,분양,지역난방,647609.0,26,3971.0,(주)SK건설,(주)인포트,0328816611,https://link.zigbang.com/33269,아파트,인천광역시 미추홀구 용정공원로 33,위탁관리,계단식,20160623,0328816612,3971,465688.3,800.0,2282.0,889.0,0.0,334818.0013,40,40,2,98,22188,37.4520149469249,126.64506286268
A40202001,용현신창미션힐아파트,2817710200,인천광역시,미추홀구,용현동,,인천광역시 미추홀구 용현동 627-534 용현신창미션힐아파트,분양,개별난방,89623.0,8,821.0,주식회사 신창건설,주식회사 신창건설,0328910565,용현신창미션힐.apti.co.kr,아파트,인천광역시 미추홀구 매소홀로 171,위탁관리,계단식,20040430,0328915696,821,77247.016,433.0,388.0,0.0,0.0,58759.2174,23,23,0,19,22189,37.4451535911787,126.642197906331
A40202203,용현성원상떼빌,2817710200,인천광역시,미추홀구,용현동,,인천광역시 미추홀구 용현동 649 용현성원상떼빌,분양,개별난방,75472.76,7,550.0,성원건설,주택조합,0328810792,,아파트,인천광역시 미추홀구 낙섬동로 104,위탁관리,계단식,20090331,0328810793,550,58688.85,0.0,550.0,0.0,0.0,46711.335,25,25,0,18,22185,37.4539789496921,126.644937510651
