kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020695,부평하우스토리어반그린,2823710100,인천광역시,부평구,부평동,,인천광역시 부평구 부평동 1026- 부평하우스토리어반그린,분양,개별난방,26271.133,3,160.0,남광토건(주),창휘연립재건축조합,0323302451,,아파트,인천광역시 부평구 동수북로50번길 32,위탁관리,계단식,20250327,0323302452,211,12898.128,160.0,0.0,0.0,0.0,9583.952,20,20,2,7,,37.4852440775846,126.712028227485
A10020841,미도 4차 아파트,2823710100,인천광역시,부평구,부평동,,인천광역시 부평구 부평동 799-5 미도 4차 아파트,분양,개별난방,11346.3,1,140.0,가나안 건설,가나안 건설,0325049038,,아파트,인천광역시 부평구 부평대로165번길 40,자치관리(직영),계단식,19860228,,140,11112.9,130.0,10.0,0.0,0.0,8337.6,1,5,1,0,,37.5049915101161,126.719306738184
A10021106,부평역 해링턴플레이스,2823710100,인천광역시,부평구,부평동,,인천광역시 부평구 부평동 665-2 부평역 해링턴플레이스,혼합,지역난방,251522.88,13,1909.0,진흥기업(주),부평4구역주택재개발정비사업조합,0325255505,https://xn--om2bn5ag1fqygcuedvcf50a90ef9cw3a.apti.co.kr,아파트,인천광역시 부평구 동수로 36,위탁관리,혼합식,20241129,0325255506,1909,179137.92,663.0,1246.0,0.0,0.0,133323.058,45,45,3,0,,37.4847251078475,126.723036651917
A10021147,e편한세상부평역센트럴파크,2823710100,인천광역시,부평구,부평동,,인천광역시 부평구 부평동 760-700 e편한세상부평역센트럴파크,혼합,지역난방,191490.95,13,1500.0,DL건설,부평2구역주택재개발정비사업조합,0323307890,,아파트,인천광역시 부평구 부영로 35,위탁관리,계단식,20241129,0323307891,1500,129595.23,1046.0,454.0,0.0,0.0,96559.6511,30,30,2,32,,37.4882700971426,126.717135135567
A10021910,건영캐스빌,2823710100,인천광역시,부평구,부평동,,인천광역시 부평구 부평동 252-29 건영캐스빌,분양,개별난방,30244.0,1,142.0,건영건설,건영건설,0325280303,,주상복합,인천광역시 부평구 부흥로304번길 17,자치관리,복도식,20020615,0325280303,142,13635.44,78.0,64.0,0.0,0.0,9918.28,15,15,3,4,,37.4975167699985,126.726248428347
A10022301,유진마젤란주상복합,2823710100,인천광역시,부평구,부평동,,인천광역시 부평구 부평동 126-9 유진마젤란주상복합,분양,개별난방,10379.0,1,110.0,유진기업(주),일영산업개발(주),0323617258,,주상복합,,위탁관리,계단식,20050323,0323617259,110,10378.6455,0.0,110.0,0.0,0.0,7712.86,15,15,3,4,,37.4989008900282,126.73119129876
A10023081,인천부평우미린 더센트럴,2823710100,인천광역시,부평구,부평동,,인천광역시 부평구 부평동 1002 인천부평우미린 더센트럴,분양,지역난방,69030.0,5,438.0,우미건설,부평아파트주택재건축정비사업조합,0323308837,,주상복합,인천광역시 부평구 부흥북로 89,위탁관리,계단식,20230724,0323308838,438,39579.656,273.0,165.0,0.0,0.0,29773.9796,29,29,3,0,21352,37.5016946080913,126.732013752648
A10023419,중앙하이츠프리미어부평아파트,2823710100,인천광역시,부평구,부평동,,인천광역시 부평구 부평동 758-31 중앙하이츠프리미어부평아파트,분양,개별난방,57175.16,6,413.0,중앙하이츠,한마음주택조합,0325010967,v2admin.aptner.com,아파트,인천광역시 부평구 안남로15번길 24,위탁관리,계단식,20230724,0325010968,413,39317.105,158.0,255.0,0.0,0.0,29561.5399,20,20,3,0,21410,37.4857860180276,126.714920231287
A10023431,부평역 한라비발디 트레비앙 아파트,2823710100,인천광역시,부평구,부평동,,인천광역시 부평구 부평동 608-3 부평역 한라비발디 트레비앙 아파트,혼합,개별난방,49483.934,4,385.0,한라건설,부평목련아파트주변구역주택재개발 정비사업조합,0323620342,bptrebien.aptner.com/v2,아파트,인천광역시 부평구 동수북로 188,위탁관리,혼합식,20230717,0323620343,385,33125.07,249.0,136.0,0.0,0.0,24277.367,29,29,2,9,21406,37.4884650293377,126.727426542465
A10023452,부평 SK 뷰 해모로,2823710100,인천광역시,부평구,부평동,,인천광역시 부평구 부평동 955-172 부평 SK 뷰 해모로,혼합,개별난방,213087.0,17,1559.0,"SK, 한진중공업",부개서초교북측구역주택재개발정비사업조합,0323309709,https://xn--sk-qj9i09e65ejtam73jy1c.apti.co.kr/,아파트,인천광역시 부평구 동수천로 71,위탁관리,계단식,20230224,0323309710,1559,137708.12,870.0,689.0,0.0,0.0,101576.1381,25,25,2,38,21400,37.4920223385604,126.733691100222
