kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10023127,검암역 로열파크씨티푸르지오2단지,2826010100,인천광역시,서구,백석동,,인천광역시 서구 백석동 132-5 검암역 로열파크씨티푸르지오2단지,분양,개별난방,365631.6,12,2426.0,대우건설,DK아시아,0325631108,,아파트,인천광역시 서구 한들로 73,위탁관리,계단식,20230629,0325631109,2426,252132.1,514.0,1668.0,233.0,11.0,188897.0674,40,40,2,71,22687,37.5780524279041,126.669139597591
A10023138,검암역 로열파크씨티푸르지오1단지,2826010100,인천광역시,서구,백석동,,인천광역시 서구 백석동 173-3 검암역 로열파크씨티푸르지오1단지,분양,개별난방,352074.44,13,2379.0,대우건설,DK ASIA,0325621107,,아파트,인천광역시 서구 한들로 33,위탁관리,계단식,20230629,0325621108,2379,242300.12,684.0,1493.0,191.0,11.0,181071.6857,40,40,2,72,22687,37.578766073094,126.664595660918
A40470703,검암1차신명스카이뷰,2826010300,인천광역시,서구,검암동,,인천광역시 서구 검암동 629-1 검암1차신명스카이뷰,분양,개별난방,34260.07,4,268.0,신명종합건설(주),신명주택건설(주),0325685520,,아파트,인천광역시 서구 승학로 447,위탁관리,계단식,20030721,0325685521,268,28384.842,30.0,238.0,0.0,0.0,22018.338,15,15,0,9,22697,37.5613465557094,126.672938527111
A40479811,은빛마을풍림1차,2826010300,인천광역시,서구,검암동,,인천광역시 서구 검암동 511 은빛마을풍림1차,분양,개별난방,36770.94,4,280.0,풍림건설,풍림건설,0325625410,,아파트,인천광역시 서구 검암로20번길 47,위탁관리,계단식,20030906,0325625412,280,30108.96,0.0,210.0,70.0,0.0,24043.7052,19,19,2,8,22703,37.5684744880944,126.684021857656
A40484701,검암마젤란21,2826010300,인천광역시,서구,검암동,,인천광역시 서구 검암동 595-5 검암마젤란21,분양,개별난방,26258.373,2,176.0,(주)유진기업,(주)크레오건설,0325642290,검암마젤란21.apti.co.kr,아파트,인천광역시 서구 도요지로189번길 104,위탁관리,계단식,20060602,0322612290,176,20833.057,0.0,138.0,38.0,0.0,16209.84,19,19,1,6,22695,37.5653420802662,126.672574704585
A40484702,검암1차삼보해피하임,2826010300,인천광역시,서구,검암동,,인천광역시 서구 검암동 628 검암1차삼보해피하임,분양,개별난방,31270.988,3,252.0,삼보공영개발(주),(주)삼보종합건걸,0325652984,,아파트,인천광역시 서구 승학로 457,위탁관리,계단식,20030801,0325652988,252,25474.08,0.0,252.0,0.0,0.0,19737.3128,16,16,2,8,22697,37.5623393360022,126.672962483004
A40484704,검암해들마을신명3차,2826010300,인천광역시,서구,검암동,,인천광역시 서구 검암동 605-1 검암해들마을신명3차,분양,개별난방,36045.0,4,282.0,신명종합건설,신명종합건설,0325683385,,아파트,인천광역시 서구 승학로471번길 7,위탁관리,계단식,20040519,0322933385,282,29105.24,62.0,220.0,0.0,0.0,22405.1358,17,17,0,0,22697,37.5637369996532,126.673075897096
A40484705,검암2차삼보해피하임,2826010300,인천광역시,서구,검암동,,인천광역시 서구 검암동 512-1 검암2차삼보해피하임,분양,개별난방,34283.45,3,288.0,삼보공영개발(주),삼보공영개발(주),0325651954,,아파트,인천광역시 서구 검암로20번길 52,위탁관리,계단식,20030801,0325651956,288,29630.68,0.0,288.0,0.0,0.0,22975.1896,19,19,1,8,22703,37.5674708858688,126.685545234906
A40484706,검암신명4차,2826010300,인천광역시,서구,검암동,,인천광역시 서구 검암동 535-2 검암신명4차,분양,개별난방,41452.742,8,311.0,신명종합건설,신명산업개발(주),0325662533,www.skyviewgold.com,아파트,인천광역시 서구 검암로10번길 36,위탁관리,계단식,20040825,0322922533,311,34764.297,0.0,311.0,0.0,0.0,26307.1168,15,15,1,11,22703,37.5652852216022,126.685193353469
A40484707,검암신명2차,2826010300,인천광역시,서구,검암동,,인천광역시 서구 검암동 535-1 검암신명2차,분양,개별난방,41576.0,6,325.0,신명종합건설,신명릿시건설,0325617851,,아파트,인천광역시 서구 검암로10번길 54,위탁관리,계단식,20031024,0325617852,325,35576.45,0.0,325.0,0.0,0.0,27613.95,19,19,0,10,22703,37.5661936066379,126.686108626812
A40484708,검암풍림3차,2826010300,인천광역시,서구,검암동,,인천광역시 서구 검암동 512-2 검암풍림3차,분양,개별난방,44607.63,6,341.0,풍림산업(주),풍림산업(주),0322813294,검암풍림3차.apti.co.kr,아파트,인천광역시 서구 검암로10번길 39,위탁관리,계단식,20040722,0325693297,341,32618.19,154.0,187.0,0.0,0.0,25092.9668,18,18,2,11,22703,37.5662908830283,126.684339861897
A40484709,검암2차풍림아이원,2826010300,인천광역시,서구,검암동,,인천광역시 서구 검암동 501-1 검암2차풍림아이원,분양,개별난방,87276.2,13,718.0,풍림산업(주),일주건설(주),0325612467,,아파트,인천광역시 서구 검암로 53,위탁관리,계단식,20040528,0325612468,718,73134.68,128.0,590.0,0.0,0.0,55632.63,19,19,1,23,22704,37.5687000539776,126.681324422148
A40484710,검암서해그랑블,2826010300,인천광역시,서구,검암동,,인천광역시 서구 검암동 595-3 검암서해그랑블,분양,개별난방,113694.15,11,950.0,서해종합건설,서해종합건설,0325614174,검암서해.apti.co.kr,아파트,인천광역시 서구 승학로495번길 7,위탁관리,계단식,20030901,0322724174,950,93482.96,0.0,950.0,0.0,0.0,73247.9516,19,19,0,26,22695,37.5670552932704,126.675044491772
A10023917,북청라하우스토리,2826010400,인천광역시,서구,경서동,,인천광역시 서구 경서동 1032 북청라하우스토리,분양,개별난방,50383.816,6,430.0,남광토건(주),대승종합관리(주),0325687822,,아파트,인천광역시 서구 경서로31번길 15,위탁관리,계단식,20220225,0325687823,430,34197.785,430.0,0.0,0.0,0.0,25769.2642,20,20,2,0,22692,37.5556411957986,126.651827361104
A10026618,아시아드 대광로제비앙,2826010400,인천광역시,서구,경서동,,인천광역시 서구 경서동 994 아시아드 대광로제비앙,분양,개별난방,113201.625,13,720.0,(주)대광건영,(주)대광에이엠씨,0325644780,http://아시아드대광로제비앙.com,아파트,인천광역시 서구 모월곶로 41,위탁관리,계단식,20171218,0325644786,720,82383.195,0.0,587.0,133.0,0.0,62941.0566,15,15,2,26,22700,37.5568926786863,126.666880833525
A40417001,경서우정에쉐르,2826010400,인천광역시,서구,경서동,,인천광역시 서구 경서동 719-3 경서우정에쉐르,분양,개별난방,35601.03,5,292.0,우정건설주식회사,우정건설주식회사,0325662977,,아파트,인천광역시 서구 경서로 99,위탁관리,계단식,20060519,0322072977,292,29976.963,72.0,220.0,0.0,0.0,22918.1536,19,19,0,8,22691,37.5609974953078,126.652312092097
A40470903,태평샹베르1차아파트,2826010400,인천광역시,서구,경서동,,인천광역시 서구 경서동 722-1 태평샹베르1차아파트,분양,개별난방,79692.06,10,572.0,(주)태평주택,(주)태평주택,0325690064,,아파트,인천광역시 서구 도요지로 15,위탁관리,계단식,20050203,0325690065,572,60376.85,132.0,376.0,64.0,0.0,47001.334,19,19,2,17,22691,37.5600658822058,126.653235667598
A40471902,가이아샹베르2차아파트,2826010400,인천광역시,서구,경서동,,인천광역시 서구 경서동 727-1 가이아샹베르2차아파트,분양,개별난방,71557.04,10,560.0,"가이아 건설(주),세계건설(주)",가이아건설(주),0325690302,,아파트,인천광역시 서구 경서로31번길 47,위탁관리,계단식,20050331,0325690336,560,44148.848,128.0,432.0,0.0,0.0,44149.1968,18,18,1,17,22692,37.5573676792338,126.651125447793
A40420001,공촌 경남 아파트,2826010500,인천광역시,서구,공촌동,,인천광역시 서구 공촌동 314 공촌 경남 아파트,분양,개별난방,27553.37,3,232.0,경남기업,경남기업,0325676634,,아파트,인천광역시 서구 경명대로694번길 10,위탁관리,계단식,19981102,0325676635,232,23026.85,72.0,160.0,0.0,0.0,17899.52,18,18,1,9,22709,37.5510954752552,126.685025694442
A40420002,연희18차광명아파트,2826010500,인천광역시,서구,공촌동,,인천광역시 서구 공촌동 318-1 연희18차광명아파트,분양,개별난방,42258.83,4,299.0,광명주택,광명주택,0325674956,,아파트,인천광역시 서구 심곡로 170,위탁관리,계단식,19981022,0325654956,299,31227.2,65.0,212.0,22.0,0.0,24747.06,20,20,3,6,22709,37.5481465570572,126.682181897728
A10020987,연희2차한국아파트,2826010600,인천광역시,서구,연희동,,인천광역시 서구 연희동 682-14 연희2차한국아파트,분양,개별난방,12987.75,1,120.0,한국종합건설(주),한국종합건설(주),0322644483,,아파트,인천광역시 서구 서곶로369번길 6,자치관리,혼합식,19971129,0322644483,120,3206.731,80.0,40.0,0.0,0.0,8172.19,1,21,1,3,,37.5508804776379,126.675994255215
A40483603,연희중앙,2826010600,인천광역시,서구,연희동,,인천광역시 서구 연희동 682 연희중앙,분양,개별난방,16406.87,1,294.0,중앙공영(주),중앙공영(주),0325671405,,아파트,인천광역시 서구 승학로 334,위탁관리,혼합식,19970826,0322731405,294,13279.14,294.0,0.0,0.0,0.0,9752.995,15,15,1,6,22720,37.5515279270453,126.674028232014
A40483604,연희한국1차,2826010600,인천광역시,서구,연희동,,인천광역시 서구 연희동 682-12 연희한국1차,분양,개별난방,43800.71,5,356.0,한국종합건설(주),한국종합건설(주),0325614483,,아파트,인천광역시 서구 서곶로369번길 18,위탁관리,혼합식,19940831,0325663861,356,38284.04,148.0,164.0,44.0,0.0,28256.52,22,22,1,7,22720,37.550805738362,126.674895511837
A40483605,연희태영데시앙,2826010600,인천광역시,서구,연희동,,인천광역시 서구 연희동 690 연희태영데시앙,분양,개별난방,42357.934,4,390.0,태영,태영,0325651751,연희태영데시앙.apti.co.kr,아파트,인천광역시 서구 대평로 10,위탁관리,혼합식,19961115,0322771751,390,27476.0,220.0,170.0,0.0,0.0,27476,20,20,2,8,22722,37.5474059991404,126.67593879546
A40483701,연희해드림,2826010600,인천광역시,서구,연희동,,인천광역시 서구 연희동 701-1 연희해드림,임대,개별난방,19379.08,7,250.0,영동건설,인천도시공사,0325639791,,아파트,인천광역시 서구 간촌로 40,위탁관리,복도식,20070928,0325679550,250,10199.1,250.0,0.0,0.0,0.0,10199.1,5,5,1,0,22712,37.5489204721493,126.680531184302
A40483806,연희우성,2826010600,인천광역시,서구,연희동,,인천광역시 서구 연희동 729-1 연희우성,분양,개별난방,44231.195,4,410.0,(주)우성건설,(주)우성건설,0325654464,,아파트,인천광역시 서구 대평로56번길 32,위탁관리,복도식,19970610,0325654464,410,39051.56,168.0,242.0,0.0,0.0,30563.536,18,18,0,12,22718,37.5498867060293,126.671115057355
A10022955,가정2지구1단지행복주택,2826010700,인천광역시,서구,심곡동,,인천광역시 서구 심곡동 0 가정2지구1단지행복주택,임대,지역난방,36442.17,5,510.0,태평양개발,한국토지주택공사,0325671291,,아파트,인천광역시 서구 행복2로 40,위탁관리,복도식,20231026,0325671292,518,36442.17,510.0,0.0,0.0,0.0,16614.3,19,19,1,10,22732,37.5383869821008,126.664531758977
A40479104,연희극동늘푸른 아파트,2826010700,인천광역시,서구,심곡동,,인천광역시 서구 심곡동 259-2 연희극동늘푸른 아파트,분양,개별난방,112597.11,8,998.0,극동건설,극동건설,0325670697,cafe.daum.net/kd998,아파트,인천광역시 서구 승학로 198,위탁관리,계단식,19970826,0325670698,998,95274.83,480.0,518.0,0.0,0.0,72659.08,24,24,2,25,22730,37.5408517003195,126.673190330793
A40479205,연희 대동주택 아파트,2826010700,인천광역시,서구,심곡동,,인천광역시 서구 심곡동 285 연희 대동주택 아파트,분양,개별난방,119978.9,8,1048.0,대동주택,대동주택,0325616001,,아파트,인천광역시 서구 심곡로 135,위탁관리,혼합식,19950518,0322726001,1048,99431.12,576.0,472.0,0.0,0.0,73757.44,24,24,2,19,22714,37.5451537346761,126.679952051569
A40483401,심곡 한국 아파트,2826010700,인천광역시,서구,심곡동,,인천광역시 서구 심곡동 302 심곡 한국 아파트,분양,개별난방,46112.0,2,392.0,한국종합건설,한국종합건설,0325613562,,아파트,인천광역시 서구 탁옥로74번길 3,위탁관리,혼합식,19950228,0325620627,392,41970.438,152.0,164.0,76.0,0.0,32630.34,21,21,0,8,22711,37.5432084250658,126.678536885344
