kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A40003703,항동연안아파트,2811011800,인천광역시,중구,항동7가,,인천광역시 중구 항동7가 91-2 항동연안아파트,분양,개별난방,43636.9,16,694.0,태흥건설 주식회사,태흥건설 주식회사,0328828469,,아파트,인천광역시 중구 축항대로 234,자치관리,계단식,19830702,0328883256,694,41328.902,692.0,2.0,0.0,0.0,37295.4,5,5,0,0,22338,37.4484203806816,126.620055410737
A40080101,비취맨션1단지아파트,2811011800,인천광역시,중구,항동7가,,인천광역시 중구 항동7가 27-107 비취맨션1단지아파트,분양,개별난방,54946.14,3,546.0,라이프개발(주),라이프개발(주),0328874204,,아파트,인천광역시 중구 축항대로86번길 47,위탁관리,복도식,19800105,0328828139,546,51484.496,0.0,266.0,280.0,0.0,47637.61,14,14,1,5,22351,37.4517673879313,126.60497770554
A40080102,비취맨션3단지 아파트,2811011800,인천광역시,중구,항동7가,,인천광역시 중구 항동7가 27-107 비취맨션3단지 아파트,분양,개별난방,74806.16,8,608.0,라이프개발(주),라이프개발(주),0328823466,,아파트,인천광역시 중구 축항대로86번길 47,위탁관리,계단식,19900627,0328837634,608,74806.16,0.0,404.0,144.0,60.0,62156.96,15,15,1,24,22351,37.4517673879313,126.60497770554
A40080104,비취맨션2단지 아파트,2811011800,인천광역시,중구,항동7가,,인천광역시 중구 항동7가 27-107 비취맨션2단지 아파트,분양,개별난방,76984.0,5,854.0,라이프주택건설,라이프주택건설,0328840812,,아파트,인천광역시 중구 축항대로86번길 47,위탁관리,혼합식,19811007,0328859845,854,72542.13,434.0,224.0,196.0,0.0,58910.18,14,14,1,12,22351,37.4517673879313,126.60497770554
A40007001,신생 삼성 아파트,2811012300,인천광역시,중구,신생동,,인천광역시 중구 신생동 38-5 신생 삼성 아파트,분양,개별난방,41111.902,3,270.0,삼성중공업,한국산업개발,0328913881,,아파트,인천광역시 중구 인중로 111,위탁관리,계단식,20010620,0322563100,270,30641.26,128.0,48.0,94.0,0.0,23894.65,24,24,3,6,22325,37.4651529060412,126.629966114715
A40009001,답동 로얄 아파트,2811012500,인천광역시,중구,답동,,인천광역시 중구 답동 8-1 답동 로얄 아파트,분양,개별난방,20468.12,2,166.0,대책위원회장 이중길(부도때문),대책위원회(부도때문),0327659753,,아파트,인천광역시 중구 제물량로 132-3,자치관리,혼합식,20021203,0327659753,166,16747.5,79.0,46.0,41.0,0.0,13136.42,16,16,2,4,22321,37.4699689498751,126.62978897545
A40010101,신흥 대림 아파트,2811012600,인천광역시,중구,신흥동1가,,인천광역시 중구 신흥동1가 34-2 신흥 대림 아파트,분양,개별난방,30726.201,3,240.0,대림산업(주),대한주택보증(주),0327778044,,아파트,인천광역시 중구 인중로 114,위탁관리,계단식,20021207,0327778044,240,25819.2,0.0,240.0,0.0,0.0,20388.72,24,24,1,5,22324,37.4669237973871,126.630616743846
A40010102,신흥 풍림 아파트,2811012600,인천광역시,중구,신흥동1가,,인천광역시 중구 신흥동1가 34-8 신흥 풍림 아파트,분양,개별난방,36669.0,2,299.0,풍림건설,아주건설,0328849316,무,아파트,인천광역시 중구 인중로 109,위탁관리,계단식,19961221,0322569316,299,29467.533,135.0,160.0,0.0,4.0,22273.98,24,24,2,2,22325,37.4650948802397,126.631956519717
A40010103,신흥 경남아너스빌 아파트,2811012600,인천광역시,중구,신흥동1가,,인천광역시 중구 신흥동1가 34-1 신흥 경남아너스빌 아파트,분양,개별난방,55473.355,8,408.0,경남기업,경남기업,0327621929,xn--289a97eiiy66b38egk06lzz9b.apti.co.kr/aptHome/,아파트,인천광역시 중구 서해대로 439,위탁관리,계단식,20050421,0322521929,408,43833.16,94.0,314.0,0.0,0.0,32284.8,29,29,0,8,22324,37.4664412533284,126.632999142363
A10026143,인천 신흥 누리타워,2811012700,인천광역시,중구,신흥동2가,,인천광역시 중구 신흥동2가 50-10 인천 신흥 누리타워,분양,개별난방,19089.99,1,95.0,대호종합건설,누리건설,0327772331,,주상복합,인천광역시 중구 인중로 96,위탁관리,복도식,19941119,0327653443,95,10488.0,38.0,38.0,19.0,0.0,7286.31,25,25,4,3,22324,37.4656084628078,126.632625329946
A40010201,신흥 삼익 아파트,2811012700,인천광역시,중구,신흥동2가,,인천광역시 중구 신흥동2가 54-5 신흥 삼익 아파트,분양,개별난방,53135.6,2,434.0,삼익건설,삼익건설,0328820749,,아파트,인천광역시 중구 인중로 97,위탁관리,복도식,19790528,0328840749,434,40492.2,98.0,196.0,140.0,0.0,36525.57,14,14,1,4,22325,37.4647649610067,126.632631944075
A10023248,인천유림노르웨이숲,2811012800,인천광역시,중구,신흥동3가,,인천광역시 중구 신흥동3가 31-13 인천유림노르웨이숲,분양,개별난방,65537.53,3,520.0,(주)유림 E 앤 C,(주)사이마케팅,0328917075,,주상복합,인천광역시 중구 서해대로 278,위탁관리,기타,20230428,0328917076,520,43686.543,416.0,104.0,0.0,0.0,31327.348,39,39,4,1,22334,37.4517965380348,126.627209788159
A40010301,신흥 항운 아파트,2811012800,인천광역시,중구,신흥동3가,,인천광역시 중구 신흥동3가 53-4 신흥 항운 아파트,분양,개별난방,27115.0,15,497.0,우전건설,우전건설,0328841367,,아파트,인천광역시 중구 서해대로 220,자치관리,계단식,19821214,0322131367,510,27027.0,497.0,0.0,0.0,0.0,23903.645,5,5,0,0,22339,37.447201875308,126.624827972792
A40010302,신흥아이파크 아파트,2811012800,인천광역시,중구,신흥동3가,,인천광역시 중구 신흥동3가 7-235 신흥아이파크 아파트,분양,개별난방,170597.0,9,1330.0,현대산업개발,안국아파트재건축조합,0328820091,,아파트,인천광역시 중구 인항로 30,위탁관리,혼합식,20021029,0328820092,1330,140554.34,458.0,642.0,230.0,0.0,108418.504,25,25,1,30,22333,37.4573695075725,126.633216519398
A40014001,뉴월드아파트,2811013200,인천광역시,중구,도원동,,인천광역시 중구 도원동 41-25 뉴월드아파트,분양,개별난방,13766.0,1,165.0,뉴월드건설,뉴월드건설(주),0328817761,,아파트,인천광역시 중구 도원로26번길 33-8,위탁관리,복도식,19941119,0322037761,165,13765.44,143.0,22.0,0.0,0.0,9846.29,11,11,1,2,22327,37.4657428402491,126.63859813382
A10021200,북성동 선광아파트,2811013900,인천광역시,중구,북성동2가,,인천광역시 중구 북성동2가 5-1 북성동 선광아파트,분양,개별난방,10392.98,1,102.0,선광개발(주),(주)선광공사,0327645273,,주상복합,인천광역시 중구 제물량로 288,위탁관리,복도식,19961014,0327665273,102,9331.98,102.0,0.0,0.0,0.0,6120,1,16,2,2,,37.4774252673292,126.617694432686
A40022101,송월 아파트,2811014200,인천광역시,중구,송월동1가,,인천광역시 중구 송월동1가 10-1 송월 아파트,분양,개별난방,23484.0,11,340.0,반도건업,.,0327622465,,아파트,인천광역시 중구 참외전로 13,위탁관리,계단식,19800725,0322562465,340,23338.6,220.0,120.0,0.0,0.0,18341.403,5,5,1,0,22308,37.4800792864522,126.621816607564
A10020390,송월남경포브아파트,2811014300,인천광역시,중구,송월동2가,,인천광역시 중구 송월동2가 2-5 송월남경포브아파트,분양,개별난방,13698.0,2,142.0,남경포브건설,남경포브건설,0327615866,,아파트,인천광역시 중구 제물량로 317,위탁관리,계단식,20060915,0327615866,142,13690.873,62.0,80.0,0.0,0.0,10511.132,20,20,1,4,,37.4795864063409,126.619142212554
A10020866,영종국제도시 서희스타힐스,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1880-1 영종국제도시 서희스타힐스,분양,개별난방,79757.98,9,514.0,(주)서희건설,lh,0327521112,,아파트,인천광역시 중구 은하수로 350,위탁관리,계단식,20250124,0327521119,514,42016.0,0.0,514.0,0.0,0.0,42354.26,20,20,1,0,,37.4936470267838,126.55412838248
A10020867,영종국제도시 화성파크드림 오션브릿지,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1911-3 영종국제도시 화성파크드림 오션브릿지,분양,개별난방,104729.66,9,675.0,HS화성,한국토지주택공사,0327528774,,아파트,인천광역시 중구 은하수로 183,위탁관리,계단식,20250124,0327528775,675,78073.86,0.0,675.0,0.0,0.0,56609.1,25,25,1,22,,37.5014342367878,126.565041720218
A10021036,영종국제도시수자인아파트,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1872-3 영종국제도시수자인아파트,분양,개별난방,71618.7,8,447.0,한양건설,LH한국토지주택공사,0327519914,,아파트,인천광역시 중구 하늘중앙로 271,위탁관리,계단식,20241218,0327519915,447,48932.625,0.0,447.0,0.0,0.0,37920.09,19,19,1,18,,37.4846357599863,126.555515549139
A10022564,하늘도시 서한이다음아파트,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1889-1 하늘도시 서한이다음아파트,분양,개별난방,143690.81,9,930.0,(주)서한,(주)서한+한국토지주택공사LH,0327529122,,아파트,인천광역시 중구 하늘별빛로 142,위탁관리,계단식,20240517,0327529121,943,98645.016,0.0,930.0,0.0,0.0,73603.45,29,29,2,18,22391,37.4947406006495,126.556842266019
A10022804,영종하늘도시 한신더휴2차,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1880-2 영종하늘도시 한신더휴2차,분양,개별난방,133615.0,12,870.0,한신공영(주) 외 2개사,"한국토지주택공사,한신공영컨소시엄",0327519317,yjskythehue.aptstory.com,아파트,인천광역시 중구 은하수로 306,위탁관리,계단식,20240117,0327519319,870,92565.375,0.0,870.0,0.0,0.0,70953.41,22,22,1,0,22390,37.4968158091065,126.557377894939
A10023306,e편한세상 영종국제도시 센텀베뉴,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1871-1 e편한세상 영종국제도시 센텀베뉴,분양,개별난방,235474.58,16,1409.0,DL이앤씨,주식회사영종하늘도시2차주택위탁관리부동산투자회사,0327513874,,아파트,인천광역시 중구 하늘달빛로 139,위탁관리,계단식,20230323,0327523874,1409,170777.86,0.0,862.0,547.0,0.0,126881.5637,29,29,1,0,22406,37.489996426937,126.551790348911
A10023554,동원로얄듀크마리나포레,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1871-4 동원로얄듀크마리나포레,분양,개별난방,68481.41,6,412.0,(주)동원개발,(주)동원종합개발,0327513013,,아파트,인천광역시 중구 하늘중앙로 272,위탁관리,계단식,20221027,027513014,412,45117.934,0.0,412.0,0.0,0.0,34205.6596,20,20,2,13,22407,37.4846391493973,126.554215048874
A10023718,호반써밋스카이센트럴,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1888-1 호반써밋스카이센트럴,분양,개별난방,81184.0,6,534.0,호반건설,호반건설,0327527516,yjhbsmsc.aptstory.com,아파트,인천광역시 중구 두미포로 113,위탁관리,계단식,20220704,0327527517,534,57040.31,0.0,534.0,0.0,0.0,43317.1555,25,25,1,13,22394,37.4943422835256,126.568011631253
A10023814,영종LH67단지,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1913-1 영종LH67단지,임대,개별난방,34119.24,3,457.0,진흥기업,한국토지주택공사,0327521067,,아파트,인천광역시 중구 두미포로 244,위탁관리,복도식,20220316,0327521069,461,33966.09,457.0,0.0,0.0,0.0,17390.77,20,20,1,8,22392,37.5020681404191,126.567607943119
A10024993,영종49단지 행복주택 아파트,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1887-5 영종49단지 행복주택 아파트,임대,개별난방,26282.14,2,450.0,에스티엑스건설 주식회사,(주)국민행복주택제2호 위탁과니부동산투자회사,0327465201,,아파트,인천광역시 중구 두미포로 140,위탁관리,복도식,20200212,0327465203,450,26156.55,450.0,0.0,0.0,0.0,13302.1,25,25,1,7,22394,37.4945850057305,126.570084357915
A10025246,영종하늘도시KCC스위첸,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1876-1 영종하늘도시KCC스위첸,분양,개별난방,117020.84,12,752.0,(주)KCC건설,(주)KCC건설,0327519115,kccswitzen.com,아파트,인천광역시 중구 은하수로 380,위탁관리,계단식,20190927,0327519117,752,80374.82,0.0,752.0,0.0,0.0,60985.58,21,21,1,23,22389,37.4925902871188,126.552781126165
A10025256,영종국제도시 화성파크드림,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1889-2 영종국제도시 화성파크드림,분양,개별난방,100638.46,5,657.0,화성산업(주),화성산업(주),0327528970,yj-parkdream.aptner.com,아파트,인천광역시 중구 하늘별빛로 112,위탁관리,계단식,20190925,0327528971,657,70825.055,0.0,657.0,0.0,0.0,54064.6467,38,38,2,11,22391,37.4932055623879,126.559587722537
A10025604,영종한신더휴스카이파크아파트,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1911-2 영종한신더휴스카이파크아파트,분양,개별난방,69148.52,4,562.0,한신공영,엠비엔홀딩스,0327198249,https://yjhsthehue.aptner.com/,아파트,인천광역시 중구 은하수로 229,위탁관리,계단식,20190320,0327198253,562,46168.707,562.0,0.0,0.0,0.0,33687.234,29,29,2,12,22391,37.5009129852009,126.562911637664
A10025799,e편한세상 영종국제도시 오션하임,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1887-4 e편한세상 영종국제도시 오션하임,분양,개별난방,229547.95,18,1520.0,(주)영종하늘도시주택위탁관리부동산투자회사,대림산업(주),0327463727,oceanheim.kr,아파트,인천광역시 중구 두미포로 112,위탁관리,복도식,20181227,0327463729,1520,165322.7,0.0,1520.0,0.0,0.0,126261.284,28,28,1,37,22394,37.4942660103241,126.566596194252
A10026144,스카이시티자이 아파트,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1881-2 스카이시티자이 아파트,분양,개별난방,175962.75,10,1034.0,GS건설,(주)영종주택위탁관리부동산투자회사,0327529608,skycxi.xisnd.co.kr/,아파트,인천광역시 중구 하늘별빛로 111,위탁관리,계단식,20180719,0327529609,1034,129254.14,0.0,0.0,1034.0,0.0,99702.2486,31,31,2,21,22398,37.4921945842548,126.558944823086
A40084101,영종동보노빌리티,2811014500,인천광역시,중구,중산동,,인천광역시 중구 중산동 1872-2 영종동보노빌리티,분양,지역난방,93590.055,8,585.0,(주)동보주택건설,(주)동보주택건설,0327518812,yjnobility.com,아파트,인천광역시 중구 하늘달빛로 65,위탁관리,계단식,20120808,0327518813,585,64580.85,0.0,585.0,0.0,0.0,49589.986,30,30,2,16,22403,37.4847517664153,126.558652662522
