kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10024632,고흥남계 LH1단지 아파트,4677025024,전라남도,고흥군,고흥읍,등암리,전라남도 고흥군 고흥읍 등암리 1680 고흥남계 LH1단지 아파트,임대,개별난방,26862.0,4,362.0,경일건설(주),한국토지주택공사,0618358496,,아파트,전라남도 고흥군 터미널길 17-35,위탁관리,복도식,20200908,0618358497,365,26767.81,362.0,0.0,0.0,0.0,13629.94,15,15,1,8,59542,34.6065597805167,127.277339968732
A10021154,고흥승원팰리체 하이엔드 아파트,4677025026,전라남도,고흥군,고흥읍,남계리,전라남도 고흥군 고흥읍 남계리 1043- 고흥승원팰리체 하이엔드 아파트,분양,개별난방,30231.617,4,183.0,승원건설,라옴주택,0618359002,,아파트,전라남도 고흥군 터미널길 17-17,위탁관리,계단식,20240613,0618359003,183,16590.0,0.0,154.0,29.0,0.0,16732.7169,15,15,1,7,,34.6064848709791,127.279040048483
A10023900,고흥 승원팰리체 더퍼스트,4677025026,전라남도,고흥군,고흥읍,남계리,전라남도 고흥군 고흥읍 남계리 1044 고흥 승원팰리체 더퍼스트,분양,개별난방,32373.0,4,220.0,승원종합건설(주),라온주택(주),0618345567,승원팰리체더퍼스트.apti.co.kr,아파트,전라남도 고흥군 고흥군청로 31,위탁관리,계단식,20220113,0618345568,220,23926.799,0.0,220.0,0.0,0.0,18698.6036,14,14,1,8,59543,34.6051652206161,127.278976544298
A54880201,고흥남계주공아파트자치회,4677025026,전라남도,고흥군,고흥읍,남계리,전라남도 고흥군 고흥읍 남계리 647-4 고흥남계주공아파트자치회,분양,개별난방,22332.527,4,362.0,흥인건설,대한주택공사,0618350013,www.namgejugong.co.kr,아파트,전라남도 고흥군 봉동주공길 37-5,자치관리,복도식,19981030,0618350014,362,22331.27,362.0,0.0,0.0,0.0,17023.84,15,15,0,4,59543,34.6066061770218,127.290333002347
A10025759,고흥중해마루힐아파트,4677025029,전라남도,고흥군,고흥읍,행정리,전라남도 고흥군 고흥읍 행정리 237 고흥중해마루힐아파트,임대,개별난방,15580.238,5,154.0,주)중해건설,유)늘푸른건설산업,0618331156,,아파트,전라남도 고흥군 흥양길 89,위탁관리,계단식,20180115,0618331157,154,15288.005,0.0,154.0,0.0,0.0,11660.8914,12,12,1,8,59534,34.6121105153892,127.2794152919
A10022184,고흥녹동오션뷰아파트,4677025324,전라남도,고흥군,도양읍,봉암리,전라남도 고흥군 도양읍 봉암리 3212- 고흥녹동오션뷰아파트,분양,개별난방,13944.0,1,105.0,뉴월드종합건설(주),다와건설(주),0618449120,,주상복합,전라남도 고흥군 녹동2길 2,자치관리,계단식,20180329,0618449121,105,11807.795,90.0,15.0,0.0,0.0,6309.978,18,18,0,3,,34.5243643572386,127.139934320777
A10022861,녹동승원팰리체시그니처,4677025324,전라남도,고흥군,도양읍,봉암리,전라남도 고흥군 도양읍 봉암리 3955 녹동승원팰리체시그니처,분양,개별난방,26965.0,4,192.0,승원종합건설(주),센트럴개발(주),0618433599,,아파트,전라남도 고흥군 도양읍 번영1길 14,위탁관리,계단식,20231115,0618433588,192,20934.932,0.0,192.0,0.0,0.0,16309.248,12,12,1,4,,34.533188013814,127.137820190051
A54870101,이-그린,4677025324,전라남도,고흥군,도양읍,봉암리,전라남도 고흥군 도양읍 봉암리 3948 이-그린,분양,개별난방,18694.0,2,150.0,삼보건설(주),경보건설(주),0618449950,,아파트,전라남도 고흥군 천마로 163,자치관리,계단식,20131114,0618449951,150,18276.9,0.0,150.0,0.0,0.0,12730.5,15,15,1,5,59554,34.5283879002868,127.14624490274
A54890402,녹동주공아파트,4677025324,전라남도,고흥군,도양읍,봉암리,전라남도 고흥군 도양읍 봉암리 1514 녹동주공아파트,분양,개별난방,22332.68,4,365.0,대한주택공사,대한주택공사,0618420013,,아파트,전라남도 고흥군 천마로 145-4,자치관리,복도식,19980526,0618420014,365,21752.0,365.0,0.0,0.0,0.0,16787.38,15,15,0,5,59554,34.5291534018878,127.144817282164
A54890501,녹동 프라자 아파트,4677025324,전라남도,고흥군,도양읍,봉암리,전라남도 고흥군 도양읍 봉암리 3380 녹동 프라자 아파트,분양,개별난방,19539.0,3,266.0,신흥토건 주식회사,동국무역주식회사,0618429966,,아파트,전라남도 고흥군 녹동신항8길 45,자치관리,복도식,19961113,0618429966,266,19206.604,266.0,0.0,0.0,0.0,13903.94,11,11,1,3,59560,34.527568051861,127.145773585331
