kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022532,더샵 광양베이센트,4623010100,전라남도,광양시,황금동,,전라남도 광양시 황금동 1129- 더샵 광양베이센트,분양,개별난방,139844.0,5,727.0,포스코이엔씨,지평디엔피,027957708,,아파트,전라남도 광양시 황금1로 66,위탁관리,혼합식,20240625,0617957709,727,93301.25,0.0,434.0,285.0,8.0,71181.3588,33,33,3,15,,34.914926596627,127.636208810134
A10022614,광양 한라비발디 센트럴마크,4623010100,전라남도,광양시,황금동,,전라남도 광양시 황금동 1370 광양 한라비발디 센트럴마크,분양,개별난방,121045.84,6,772.0,에이치엘디앤아이한라,한라비발디 광양 황금택지지구 26-1블럭 지역주택조합,0617959096,halla9096.aptsaram.co.kr,,전라남도 광양시 황금4로 54,위탁관리,계단식,20240501,027969097,772,82969.0,0.0,772.0,0.0,0.0,63878.4618,29,29,2,18,57770,34.9126893104686,127.641963813124
A10022910,황금 푸르지오 더센트럴,4623010100,전라남도,광양시,황금동,,전라남도 광양시 황금동  황금 푸르지오 더센트럴,분양,개별난방,107265.6,6,565.0,(주)대우건설,(주)미래지구개발,0617950565,,아파트,전라남도 광양시 황금4로 53,위탁관리,계단식,20231121,0617950567,565,75778.08,0.0,166.0,399.0,0.0,60902.4223,29,29,2,15,57770,34.9148869142803,127.642005981381
A10022610,광양더샵프리모성황아파트,4623010400,전라남도,광양시,성황동,,전라남도 광양시 성황동 1862 광양더샵프리모성황아파트,임대,개별난방,78912.0,8,486.0,포스코이앤씨,미금산업개발(주),0617923407,,아파트,전라남도 광양시 성황수동로 21,위탁관리,계단식,20240513,0617923408,486,53380.184,0.0,486.0,0.0,0.0,41265.3278,22,22,2,13,57767,34.9392040519778,127.678229050279
A10023671,광양센트럴자이,4623010400,전라남도,광양시,성황동,,전라남도 광양시 성황동 1860 광양센트럴자이,분양,개별난방,117200.0,9,704.0,GS건설,우리자산신탁(예성디앤피),0618182007,myapt.xi.co.kr,아파트,전라남도 광양시 성황수동로 21,위탁관리,계단식,20220825,0618182008,704,57856.0,0.0,704.0,0.0,0.0,58553.8668,22,22,2,20,57767,34.9392040519778,127.678229050279
A10024081,광양 푸르지오 더 퍼스트,4623010400,전라남도,광양시,성황동,,전라남도 광양시 성황동  광양 푸르지오 더 퍼스트,분양,개별난방,176270.0,12,1140.0,대우건설,지평디앤피,0617941146,www.gyprugio.com,아파트,전라남도 광양시 성황수동로 22,위탁관리,계단식,20211022,0617941147,1140,118196.016,171.0,969.0,0.0,0.0,90213.9514,25,25,2,27,57767,34.9426469323046,127.679260418604
A10022160,중마동진아리채1차아파트,4623010600,전라남도,광양시,중동,,전라남도 광양시 중동 1696-2 중마동진아리채1차아파트,분양,개별난방,0.0,3,140.0,진아건설(주),진아건설(주),0617911483,,,전라남도 광양시 중마중앙1길 65,자치관리,계단식,20111209,0617911484,140,11001.587,0.0,140.0,0.0,0.0,11001.5869,15,15,0,5,,34.9490549998463,127.696772301975
A10022168,광양수하임1차아파트,4623010600,전라남도,광양시,중동,,전라남도 광양시 중동 1324-5 광양수하임1차아파트,임대,개별난방,13705.0,1,105.0,(주)ES종합건설,와이지개발(주),0617951137,,아파트,전라남도 광양시 오류로 56,위탁관리,계단식,20211215,,114,8026.5586,105.0,0.0,0.0,0.0,6162.9419,20,20,3,3,,34.9435951264156,127.695406396792
A10022361,광양산이고운 마린파크,4623010600,전라남도,광양시,중동,,전라남도 광양시 중동 1815-1 광양산이고운 마린파크,임대,개별난방,55809.0,6,526.0,산이건설주식회사,온드림씨맨케이(주),0617958488,,아파트,전라남도 광양시 항만10로 30,위탁관리,계단식,20240730,0617958489,526,55034.523,0.0,526.0,0.0,0.0,42614.058,29,29,2,12,,34.9246097414213,127.692123524499
A10023399,광양수하임2차아파트,4623010600,전라남도,광양시,중동,,전라남도 광양시 중동 1324-1 광양수하임2차아파트,임대,개별난방,33183.0,2,176.0,중해건설(주),(유)와이지개발,0617951137,,,,위탁관리,계단식,20221031,0617951138,178,19833.46,9.0,167.0,0.0,0.0,14618.0712,28,28,1,4,57785,34.9439690911545,127.695991036773
