kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A54003001,옥천현대아파트,4615010400,전라남도,순천시,옥천동,,전라남도 순천시 옥천동 231-1 옥천현대아파트,분양,개별난방,17361.67,3,168.0,현대건설,현대건설,0617524261,,아파트,전라남도 순천시 옥천1길 3,자치관리,계단식,19901116,0617524268,168,16760.412,0.0,168.0,0.0,0.0,13180,10,10,1,9,57941,34.9517595899544,127.476429493626
A10024614,신매곡서한이다음,4615010700,전라남도,순천시,매곡동,,전라남도 순천시 매곡동 572 신매곡서한이다음,분양,개별난방,139026.4,11,928.0,(주)서한건설,매곡동주공아파트제1단지재건축정비사업조합,0617512990,https://sinseohan.aptner.com/v2,아파트,전라남도 순천시 삼산초등길 20,위탁관리,계단식,20200716,0617512991,928,98817.25,80.0,842.0,6.0,0.0,75631.2397,24,24,2,28,57939,34.9651949040799,127.486211297081
A54007001,삼풍그린2차,4615010700,전라남도,순천시,매곡동,,전라남도 순천시 매곡동 179-1 삼풍그린2차,분양,개별난방,19247.0,2,182.0,삼풍건설,삼풍건설,0617519656,,아파트,전라남도 순천시 매산길 90,자치관리,계단식,19911026,0617539656,182,18939.828,0.0,169.0,13.0,0.0,15631.96,15,15,0,7,57940,34.9612778729922,127.481506243528
A54007002,순천매곡2단지,4615010700,전라남도,순천시,매곡동,,전라남도 순천시 매곡동 407 순천매곡2단지,분양,개별난방,25662.0,13,470.0,대한주택공사,대한주택공사,0617527520,,아파트,전라남도 순천시 북정3길 28,자치관리,계단식,19821226,0617517530,470,23785.95,470.0,0.0,0.0,0.0,21473.94,5,5,0,0,57940,34.966240413994,127.481482170222
A10021092,향림현대2차아파트,4615010800,전라남도,순천시,석현동,,전라남도 순천시 석현동 525- 향림현대2차아파트,분양,개별난방,14130900.0,1,137.0,현대건설주식회사,서진산업개발주식회사,0617511285,,아파트,전라남도 순천시 석현길 57,자치관리,계단식,19930924,0617511286,137,14130762.0,0.0,137.0,0.0,0.0,11377.44,15,15,0,0,,34.9735699096439,127.475386551296
A54010001,석현동중흥파크맨션,4615010800,전라남도,순천시,석현동,,전라남도 순천시 석현동 235 석현동중흥파크맨션,분양,개별난방,22530.0,1,213.0,(합)중흥주택,금호산업개발,0617538424,,아파트,전라남도 순천시 석현북길 7,자치관리,계단식,19960817,0617538424,213,20353.713,137.0,57.0,19.0,0.0,15521.36,19,19,2,6,57922,34.9734693272752,127.476579482334
A54010002,순천향림현대1차아파트,4615010800,전라남도,순천시,석현동,,전라남도 순천시 석현동 896 순천향림현대1차아파트,분양,개별난방,57113.47,8,510.0,현대건설,서진산업개발(주),0617522153,,아파트,전라남도 순천시 석현길 70,자치관리,계단식,19911214,0619022153,510,54611.555,0.0,450.0,60.0,0.0,45243.39,15,15,1,17,57922,34.9746957549347,127.475149619794
A10021376,순천가곡대주아파트,4615010900,전라남도,순천시,가곡동,,전라남도 순천시 가곡동 429- 순천가곡대주아파트,분양,개별난방,12205.0,1,144.0,대주건설,대주건설,0617510603,대주건설,아파트,전라남도 순천시 조비길 14,자치관리,계단식,19960824,0617510608,144,12204.956,106.0,38.0,0.0,0.0,9578.59,1,19,0,0,,34.971002117864,127.481482436755
A10022004,드라마시티 목련마을,4615010900,전라남도,순천시,가곡동,,전라남도 순천시 가곡동 980-1 드라마시티 목련마을,혼합,개별난방,8868.0,1,130.0,(주)시티밸리주택산업,(주)시티밸리주택산업,0617525522,,아파트,전라남도 순천시 가곡길 163,위탁관리,복도식,20030317,,130,8868.0,130.0,0.0,0.0,0.0,4577.473,1,4,2,2,,34.9786249755801,127.48118449224
A10023179,대광로제비앙 리버팰리스,4615010900,전라남도,순천시,가곡동,,전라남도 순천시 가곡동 1081 대광로제비앙 리버팰리스,임대,개별난방,109142.516,11,727.0,(주)대광건영,(주)디케이원,0617559780,,아파트,전라남도 순천시 중앙로 530,위탁관리,계단식,20230427,0617559781,727,75199.46,181.0,542.0,4.0,0.0,56521.886,18,18,1,21,57925,34.989588943705,127.492423455108
