kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022777,여수블루써밋,4613010200,전라남도,여수시,수정동,,전라남도 여수시 수정동 230 여수블루써밋,분양,개별난방,18536.63,1,272.0,샘코건설주식회사,(주)골든써밋,0618059205,,주상복합,전라남도 여수시 오동도로 80,위탁관리,복도식,20230825,0618059206,272,9392.53,272.0,0.0,0.0,0.0,5436.58,25,25,1,3,59745,34.7428280883568,127.750394419344
A10025802,여수수정 행복주택,4613010200,전라남도,여수시,수정동,,전라남도 여수시 수정동 167-1 여수수정 행복주택,임대,개별난방,9713.57,1,200.0,한솔공영,LH공사,0616611201,,아파트,전라남도 여수시 이순신광장로 260,위탁관리,복도식,20181205,0616611202,203,9591.126,200.0,0.0,0.0,0.0,5200.57,9,9,0,3,59745,34.7429202426092,127.749217973137
A10020410,더로제아델리움해양공원,4613010400,전라남도,여수시,관문동,,전라남도 여수시 관문동 232- 더로제아델리움해양공원,분양,개별난방,28085.436,2,184.0,(주)대유산업,(주)대유산업,0616667775,,주상복합,전라남도 여수시 하멜로 15,위탁관리,혼합식,20250917,,184,18781.633,0.0,184.0,0.0,0.0,13576.9482,29,29,3,4,,34.7411737289133,127.742013425553
A10024364,여수관문행복주택,4613010400,전라남도,여수시,관문동,,전라남도 여수시 관문동 251-2 여수관문행복주택,임대,개별난방,14115.42,1,200.0,(주)트래콘건설,한국토지주택공사,0616611256,,주상복합,전라남도 여수시 관문1길 14,위탁관리,복도식,20201218,0616621256,216,13310.224,200.0,0.0,0.0,0.0,6245.56,15,15,0,3,59741,34.741536419538,127.741826118375
A10025320,여수엑스포 골드클래스아파트,4613010400,전라남도,여수시,관문동,,전라남도 여수시 관문동 8-7 여수엑스포 골드클래스아파트,분양,개별난방,31864.693,5,286.0,보광종합건설(주),골드종합건설(주),0616644429,cafe.daum.net/goldclass-yeosu,아파트,전라남도 여수시 관문6길 10,위탁관리,계단식,20190830,0616644430,286,30770.914,0.0,286.0,0.0,0.0,23550.3367,18,18,1,14,59742,34.7434305693465,127.7423507225
A55005001,한신아파트,4613010500,전라남도,여수시,고소동,,전라남도 여수시 고소동 42 한신아파트,분양,개별난방,42713.57,5,433.0,한신공영,한국토지신탁,0616643344,,아파트,전라남도 여수시 고소5길 74,자치관리,계단식,19990205,0616661299,433,40489.58,239.0,194.0,0.0,0.0,30802.08,20,20,1,17,59739,34.738331272779,127.74171677628
A55005002,여수고소시영,4613010500,전라남도,여수시,고소동,,전라남도 여수시 고소동 51 여수고소시영,분양,개별난방,12211.51,3,130.0,엘씨안전연구소(주),엘씨안전연구소(주),0616644471,,아파트,,자치관리,계단식,19920229,0616644473,130,7546.1,130.0,0.0,0.0,0.0,6045.9,5,5,0,0,,34.7386390402421,127.742614043135
A10023351,메트하임,4613011100,전라남도,여수시,연등동,,전라남도 여수시 연등동 845 메트하임,분양,개별난방,18615.48,1,269.0,(주)대한종건,(주)에이치케이건설자산관리,0616425535,,주상복합,전라남도 여수시 좌수영로 101,관리방식미정,복도식,20221219,0616435535,275,10826.106,269.0,0.0,0.0,0.0,6899.96,20,20,2,1,59718,34.7491555451332,127.727602975597
A10020854,브리온 오션프랑 테라스,4613011200,전라남도,여수시,광무동,,전라남도 여수시 광무동 504- 브리온 오션프랑 테라스,분양,개별난방,31344.096,18,274.0,브리온건설(주),주식회사 해덕,0616412220,,다세대,전라남도 여수시 광무남2길 2-8,위탁관리,계단식,20250210,0616412221,274,29500.203,0.0,238.0,36.0,0.0,24156.5622,0,5,0,0,,34.743787326675,127.724768988697
A55015001,럭키광무아파트,4613011200,전라남도,여수시,광무동,,전라남도 여수시 광무동 928-14 럭키광무아파트,분양,개별난방,42867.0,5,400.0,럭키개발(주),럭키개발(주),0616429495,www.여수럭키광무apti.co.kr,아파트,전라남도 여수시 좌수영로 205,자치관리,계단식,19910226,0616420066,400,40392.0,0.0,400.0,0.0,0.0,33480.8,14,14,1,16,59717,34.754420022811,127.723371315425
A10023097,중해마루힐아너스,4613011300,전라남도,여수시,서교동,,전라남도 여수시 서교동 30 중해마루힐아너스,임대,개별난방,40383.9,3,230.0,(주)중해건설,(주)에스케이마루힐,0618102727,,주상복합,전라남도 여수시 좌수영로 54,자치관리(직영),계단식,20230714,0618102728,248,25789.852,0.0,230.0,0.0,0.0,19548.5964,31,31,3,0,59752,34.7452869888397,127.72889062377
A10023194,여수서교LH1단지행복주택,4613011300,전라남도,여수시,서교동,,전라남도 여수시 서교동 153-4 여수서교LH1단지행복주택,임대,개별난방,16646.0,1,200.0,"(유)신호건설산업(60%),(주)유탑엔지니어링(40%)",한국토지주택공사,0616430677,,주상복합,,위탁관리,복도식,20230504,0616440677,200,15651.72,200.0,0.0,0.0,0.0,5395.8,23,23,1,2,59752,34.7438803276745,127.728911246475
A55016001,해태동백,4613011400,전라남도,여수시,봉강동,,전라남도 여수시 봉강동 471 해태동백,분양,개별난방,49022.848,4,408.0,해태제과(주),해태제과(주),0616426955,,아파트,전라남도 여수시 봉강서1길 38,자치관리,계단식,20000421,0616426956,408,41318.75,178.0,162.0,68.0,0.0,32360.41,19,19,3,12,59749,34.7413692487694,127.720651101515
A55018001,국동대주아파트,4613011700,전라남도,여수시,국동,,전라남도 여수시 국동 543 국동대주아파트,분양,개별난방,25289.0,2,252.0,대주건설,대주건설,0616429834,,아파트,전라남도 여수시 신월로 686,자치관리,계단식,19940408,0616429835,252,24026.94,90.0,162.0,0.0,0.0,19127.52,18,18,1,0,59761,34.7316759087961,127.718817587259
A55018002,국동경남아파트,4613011700,전라남도,여수시,국동,,전라남도 여수시 국동 1104 국동경남아파트,분양,개별난방,25426.0,12,357.0,경남기업,경남기업,0616424930,,아파트,전라남도 여수시 구봉길 29,자치관리,계단식,19960217,0616434931,357,24237.807,357.0,0.0,0.0,0.0,19991.322,6,6,0,0,59759,34.7299293718289,127.711615406672
