kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022367,영광힐스테이트아파트,4687025022,전라남도,영광군,영광읍,백학리,전라남도 영광군 영광읍 백학리 393- 영광힐스테이트아파트,분양,개별난방,78311.0,8,493.0,현대엔지니어링,지오파트너스,0613518884,,아파트,전라남도 영광군 백산길1길 11-11,위탁관리,계단식,20240903,0613518886,493,44186.848,0.0,414.0,79.0,0.0,44186.8473,20,20,1,14,,35.2826012910785,126.504504169282
A10021133,영광숲안애2차아파트,4687025023,전라남도,영광군,영광읍,남천리,전라남도 영광군 영광읍 남천리 624- 영광숲안애2차아파트,분양,지역난방,18777.055,2,111.0,온누리종합건설(주),(유)와이종합건설,0613512250,,아파트,전라남도 영광군 천년로13길 2-14,위탁관리,계단식,20141007,0613522252,111,12331.308,0.0,99.0,12.0,0.0,9070.9514,15,15,2,0,,35.2725099579144,126.505068457048
A51380301,영광장산,4687025023,전라남도,영광군,영광읍,남천리,전라남도 영광군 영광읍 남천리 182 영광장산,분양,개별난방,14804.969,2,174.0,장산개발,장산개발,0613523167,,아파트,전라남도 영광군 신남로 246-6,위탁관리,복도식,19930324,0613523167,174,12957.42,65.0,101.0,8.0,0.0,12962.37,18,18,1,2,57045,35.2741708511311,126.508630859439
A10024308,동우아스트로아파트,4687025024,전라남도,영광군,영광읍,도동리,전라남도 영광군 영광읍 도동리 370 동우아스트로아파트,분양,개별난방,7155.0,1,61.0,동우건설,근홍주택,0613537855,,,전라남도 영광군 중앙로2길 12-7,위탁관리,복도식,20170517,0613537855,61,5178.922,0.0,61.0,0.0,0.0,5178.9221,14,0,0,2,57047,35.2710984208585,126.513567469226
A51380007,영광도동휴먼시아,4687025024,전라남도,영광군,영광읍,도동리,전라남도 영광군 영광읍 도동리 360 영광도동휴먼시아,임대,개별난방,40787.0,6,531.0,(주)제일건설,한국토지주택공사,0613510987,,아파트,전라남도 영광군 물무로 227,위탁관리,복도식,20100402,0613518766,531,40591.68,531.0,0.0,0.0,0.0,24702.79,15,15,1,0,57051,35.2702480510231,126.515013619994
A10020546,영광미르채센텀시티,4687025028,전라남도,영광군,영광읍,단주리,전라남도 영광군 영광읍 단주리 583-5 영광미르채센텀시티,임대,개별난방,29920.998,2,153.0,(주)미르채센텀시티,(주)미르채센텀시티,0613515668,,주상복합,전라남도 영광군 옥당로 166,위탁관리,계단식,20250630,0613515669,153,26132.967,0.0,153.0,0.0,0.0,12984.6407,26,26,1,0,,35.2768287268422,126.501040900563
A10021938,사직스카이102동,4687025028,전라남도,영광군,영광읍,단주리,전라남도 영광군 영광읍 단주리 370-13 사직스카이102동,혼합,,7400.0,1,120.0,대성건설주식회사,대성건설주식회사,0613513588,대성건설주식회사,아파트,전라남도 영광군 옥당로 233-11,위탁관리,복도식,19991209,,120,7399.2,120.0,0.0,0.0,0.0,4795.2,12,12,0,2,,35.2827905664608,126.499053995387
A10022443,영광단주행복주택,4687025028,전라남도,영광군,영광읍,단주리,전라남도 영광군 영광읍 단주리 687- 영광단주행복주택,임대,개별난방,22590.0,2,300.0,"남진건설(주), 남양건설(주), (주)예진종합건설  공동도급",한국토지주택공사,0613523300,한국토지주택공사,아파트,전라남도 영광군 옥당로1길 34,위탁관리,복도식,20240621,,301,22528.617,300.0,0.0,0.0,0.0,9730.2,15,15,3,0,,35.2829797830042,126.49678042122
A10023178,영광성화누리안아파트,4687025028,전라남도,영광군,영광읍,단주리,전라남도 영광군 영광읍 단주리 686 영광성화누리안아파트,임대,개별난방,27890.18,4,198.0,(합자)성화종합건설,(주)신화종합건설,0613537666,,아파트,전라남도 영광군 옥당로1길 7,위탁관리,계단식,20220905,0613538666,198,20035.326,61.0,137.0,0.0,0.0,15279.6654,18,18,2,6,57035,35.2817365680593,126.499406404794
A10026081,지엘리베라움아파트,4687025028,전라남도,영광군,영광읍,단주리,전라남도 영광군 영광읍 단주리 683 지엘리베라움아파트,분양,개별난방,19412.0,2,170.0,지엘건설,아성산업개발(주),0613513391,,아파트,전라남도 영광군 옥당로 222-17,위탁관리,계단식,20180703,0613513391,170,19006.37,0.0,170.0,0.0,0.0,14036.5002,16,16,0,6,57036,35.2809099725385,126.501067968168
A51380004,옥당마을,4687025028,전라남도,영광군,영광읍,단주리,전라남도 영광군 영광읍 단주리 336 옥당마을,분양,개별난방,21818.62,3,159.0,(주)수복건설,(주)천영건설,0613538271,,아파트,전라남도 영광군 백산길 43,위탁관리,계단식,20040521,0613538270,159,18396.697,0.0,159.0,0.0,0.0,13493.1852,15,15,0,6,57036,35.2805519812184,126.502122192228
A51380506,사직스카이 아파트,4687025028,전라남도,영광군,영광읍,단주리,전라남도 영광군 영광읍 단주리 370-12 사직스카이 아파트,분양,개별난방,21630.865,1,289.0,대성건설,대성건설,0613513681,,아파트,전라남도 영광군 옥당로 233-12,위탁관리,복도식,19970829,0613513681,289,21182.68,289.0,0.0,0.0,0.0,15628.44,17,17,1,3,57035,35.2829482109966,126.499686062606
A51380005,근형퍼스트빌,4687025036,전라남도,영광군,영광읍,녹사리,전라남도 영광군 영광읍 녹사리 259-1 근형퍼스트빌,분양,개별난방,15050.0,1,157.0,청미래건설,청미래주택,0613510440,,아파트,전라남도 영광군 중앙로 97,자치관리,계단식,20020408,0613525885,157,15049.96,99.0,58.0,0.0,0.0,10846.44,15,15,1,6,57048,35.2680198665709,126.510180685153
A51380006,영광영진행복아파트,4687025036,전라남도,영광군,영광읍,녹사리,전라남도 영광군 영광읍 녹사리 26-4 영광영진행복아파트,분양,개별난방,11846.89,1,152.0,2023-12-13,영진건설,0613511189,영광영진.apti.co.kr,아파트,전라남도 영광군 옥당로 94,위탁관리,복도식,19941008,0613511189,152,10944.0,152.0,0.0,0.0,0.0,7584.8,20,20,1,2,57048,35.2721275255494,126.504760735766
A51380008,모두원웰리스,4687025036,전라남도,영광군,영광읍,녹사리,전라남도 영광군 영광읍 녹사리 47 모두원웰리스,분양,개별난방,20545.611,2,150.0,모두원웰리스,(주)모두원건설,0613534996,,아파트,전라남도 영광군 천년로 1440-26,위탁관리,계단식,20130318,0613522582,150,12743.805,0.0,150.0,0.0,0.0,12744.054,16,16,0,5,57049,35.2709852393176,126.502775982355
A51380402,영광국제,4687025036,전라남도,영광군,영광읍,녹사리,전라남도 영광군 영광읍 녹사리 19-2 영광국제,분양,개별난방,17935.17,2,234.0,국제종합건설,국제종합건설,0613514437,,아파트,전라남도 영광군 옥당로 85-8,위탁관리,혼합식,19971211,0613514457,234,17935.137,198.0,36.0,0.0,0.0,13066.92,18,18,1,5,57049,35.2706159748759,126.504646402328
A51380404,녹사주공,4687025036,전라남도,영광군,영광읍,녹사리,전라남도 영광군 영광읍 녹사리 38 녹사주공,분양,개별난방,20728.771,5,274.0,대한주택공사,대한주택공사,0613522003,ns0019@hanmail.net,아파트,전라남도 영광군 천년로 1440-12,위탁관리,계단식,20040809,0613522034,274,20630.82,274.0,0.0,0.0,0.0,15123.44,13,13,0,12,57049,35.2715403494021,126.501631984278
