kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A52680201,영암무등파크맨션,4683025022,전라남도,영암군,영암읍,교동리,전라남도 영암군 영암읍 교동리 45 영암무등파크맨션,분양,개별난방,22605.62,2,242.0,무등건설,영암군,0614739874,,아파트,전라남도 영암군 성밖로 18,위탁관리,계단식,19940101,0614739874,242,22466.191,104.0,120.0,18.0,0.0,18370.88,15,15,1,9,58418,34.7959226697556,126.696413531925
A10021624,영암남풍LH2단지,4683025025,전라남도,영암군,영암읍,남풍리,전라남도 영암군 영암읍 남풍리 2-3 영암남풍LH2단지,임대,개별난방,9444.0,1,100.0,경일건설(주),한국토지주택공사광주전남지역본부,0614739887,,아파트,전라남도 영암군 잠곡동길 81,위탁관리,복도식,20230411,,107,7265.752,100.0,0.0,0.0,0.0,3088.2,12,12,1,3,,34.7983274882436,126.704152879099
A10023335,영암남풍LH1단지,4683025025,전라남도,영암군,영암읍,남풍리,전라남도 영암군 영암읍 남풍리 268 영암남풍LH1단지,임대,개별난방,8081.424,4,150.0,경일건설(주),한국토지주택공사,0614739887,,아파트,,위탁관리,복도식,20221104,0614719881,150,8081.424,150.0,0.0,0.0,0.0,4770.6,6,6,1,3,58411,34.8004419101462,126.704444200854
A10021625,영암청송2차드림빌,4683025026,전라남도,영암군,영암읍,역리,전라남도 영암군 영암읍 역리 500- 영암청송2차드림빌,분양,개별난방,0.0,3,130.0,청송건설,모름,0614738911,,아파트,전라남도 영암군 역몰길 24,위탁관리,계단식,20130821,0614738900,130,14022.437,0.0,130.0,0.0,0.0,10200.931,1,15,0,5,,34.8055008915819,126.697150730414
A10022305,영암영신아파트,4683025026,전라남도,영암군,영암읍,역리,전라남도 영암군 영암읍 역리 304- 영암영신아파트,분양,개별난방,9902.0,2,102.0,영신건설,영신건설,0614734555,,아파트,전라남도 영암군 백년동길 15,위탁관리,계단식,19990422,,102,9400.95,54.0,48.0,0.0,0.0,7292.64,12,12,0,0,,34.8019172961294,126.694247810412
A10023139,대불렉시안파크타운,4683025326,전라남도,영암군,삼호읍,용앙리,전라남도 영암군 삼호읍 용앙리 1665-2 대불렉시안파크타운,임대,개별난방,56603.0,6,626.0,NS종합건설,NS종합건설,024649803,,아파트,전라남도 영암군 대불주거8로 16,위탁관리,계단식,20230315,0614649804,626,41074.0,0.0,626.0,0.0,0.0,41558.0866,25,25,0,15,58455,34.7552543462307,126.457365670941
A10025080,영암용앙3LH,4683025326,전라남도,영암군,삼호읍,용앙리,전라남도 영암군 삼호읍 용앙리 1668-1 영암용앙3LH,임대,개별난방,10850.74,2,250.0,"이엔에스건설,동광건설,덕흥건설",한국토지주택공사,0614618823,,아파트,전라남도 영암군 대불주거6로 62,위탁관리,복도식,20191112,0614618824,254,10850.712,250.0,0.0,0.0,0.0,6728.74,19,19,0,4,58455,34.7564506308031,126.462269417631
A10025338,영암삼호대불산단 중흥S-클래스 리버티아파트,4683025326,전라남도,영암군,삼호읍,용앙리,전라남도 영암군 삼호읍 용앙리 1669-1 영암삼호대불산단 중흥S-클래스 리버티아파트,임대,개별난방,183111.52,16,1360.0,중흥에스클래스,중흥에스클래스,0614615558,삼호중흥s클래스리버티.apti.co.kr/,아파트,전라남도 영암군 대불주거6로 16,위탁관리,계단식,20190705,0614615559,1360,127127.85,768.0,592.0,0.0,0.0,93808.1012,25,25,3,37,58455,34.7542438736935,126.456961956774
A10027550,영암 대불렉시안파크뷰,4683025326,전라남도,영암군,삼호읍,용앙리,전라남도 영암군 삼호읍 용앙리 1666 영암 대불렉시안파크뷰,임대,개별난방,24261.79,4,190.0,(주)보배건설,(주)보배건설,0614646481,,아파트,전라남도 영암군 대불주거8로 55,위탁관리,계단식,20160504,0614646483,190,18152.486,0.0,190.0,0.0,0.0,13276.82,25,25,1,0,58454,34.7586062704353,126.460337945326
A52670301,삼호빌라트,4683025326,전라남도,영암군,삼호읍,용앙리,전라남도 영암군 삼호읍 용앙리 166-4 삼호빌라트,분양,개별난방,7234.08,1,139.0,태안건설,.,0614640477,,아파트,,자치관리,복도식,19990401,0614645703,139,7228.0,139.0,0.0,0.0,0.0,5537.76,14,14,0,2,,34.7450854829677,126.472193492624
