kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10023175,장성수산LH1단지,4688025021,전라남도,장성군,장성읍,수산리,전라남도 장성군 장성읍 수산리 504 장성수산LH1단지,임대,개별난방,8086.09,3,150.0,우탑,한국토지개발공사,0613958846,,아파트,전라남도 장성군 수산3길 7,위탁관리,복도식,20221123,0613958847,150,8086.0728,150.0,0.0,0.0,0.0,4936.84,8,8,0,0,57213,35.32488051375,126.801713258204
A10028015,부강2차아트빌,4688025023,전라남도,장성군,장성읍,유탕리,전라남도 장성군 장성읍 유탕리 1422 부강2차아트빌,혼합,개별난방,13348.82,1,132.0,부강건설,부강건설,0613930199,,아파트,전라남도 장성군 수산길 14,위탁관리,계단식,20040414,0613930199,132,13348.794,45.0,87.0,0.0,0.0,10052.0295,15,15,0,0,57213,35.3221430885423,126.799535603274
A10020798,대광로제비앙 장성 센텀 스카이,4688025024,전라남도,장성군,장성읍,영천리,전라남도 장성군 장성읍 영천리 1671- 대광로제비앙 장성 센텀 스카이,임대,개별난방,125695.96,9,793.0,(주)유니텍솔루션,(주)대광건영,0618788700,,아파트,전라남도 장성군 단풍로 30,위탁관리,계단식,20250221,0618788701,793,123971.04,0.0,793.0,0.0,0.0,67315.3504,36,36,2,0,,35.305979161664,126.790380262335
A10021634,장성 엘리젠아파트,4688025024,전라남도,장성군,장성읍,영천리,전라남도 장성군 장성읍 영천리 1664- 장성 엘리젠아파트,분양,개별난방,15169.0,2,116.0,(주)한주토건,대흥주택,0613921237,,아파트,전라남도 장성군 문화로 21-158,위탁관리,계단식,20201217,,116,12674.172,0.0,116.0,0.0,0.0,9857.4712,16,16,1,4,,35.2932650280137,126.774996852889
A10022026,해주그린아파트,4688025024,전라남도,장성군,장성읍,영천리,전라남도 장성군 장성읍 영천리 429- 해주그린아파트,분양,개별난방,10190.0,1,124.0,(주)마룡종합건설,(주)해주산업개발,0613934648,,아파트,전라남도 장성군 방울샘길 46,위탁관리(직영+위탁),계단식,19950504,0613937530,124,9284.996,124.0,0.0,0.0,0.0,7433.18,1,13,0,0,,35.3040166147835,126.792799082897
A10022048,부강아트빌,4688025024,전라남도,장성군,장성읍,영천리,전라남도 장성군 장성읍 영천리 845-1 부강아트빌,혼합,개별난방,0.0,1,113.0,부강종합건설,부강종합건설,023927501,,아파트,,위탁관리(직영+위탁),복도식,20010509,,113,11676.742,113.0,0.0,0.0,0.0,6729.15,15,15,1,0,,35.3038027503325,126.791239864562
A10022250,장성청담웰피아아파트,4688025024,전라남도,장성군,장성읍,영천리,전라남도 장성군 장성읍 영천리 1662- 장성청담웰피아아파트,임대,개별난방,15302.0,2,143.0,해오름종합건설(주),청담웰피아(주),0613958883,,,전라남도 장성군 역전로 191,위탁관리,혼합식,20180723,,143,8197.133,39.0,104.0,0.0,0.0,8196.1971,14,14,1,0,,35.3055508394998,126.78564535025
A10025234,장성해광샹그릴라아파트,4688025024,전라남도,장성군,장성읍,영천리,전라남도 장성군 장성읍 영천리 1663 장성해광샹그릴라아파트,임대,개별난방,28267.111,4,225.0,해광건설,"해광건설,(유)대흥주택산업",0613921457,,아파트,전라남도 장성군 문화로 21-142,위탁관리,계단식,20190809,0613921458,225,24003.904,0.0,225.0,0.0,0.0,18674.865,16,16,1,7,57221,35.2938013786988,126.775074853269
A10025777,장성영천지구 공공실버주택,4688025024,전라남도,장성군,장성읍,영천리,전라남도 장성군 장성읍 영천리 1475-5 장성영천지구 공공실버주택,임대,개별난방,8710.55,1,150.0,군장건설(주),장성군청,0613936712,,아파트,전라남도 장성군 청운11길 11,위탁관리,복도식,20181228,0613936713,151,7940.37,150.0,0.0,0.0,0.0,3847.6002,10,10,0,2,57220,35.3042524225467,126.782441489727
A51580001,영천주공아파트,4688025024,전라남도,장성군,장성읍,영천리,전라남도 장성군 장성읍 영천리 1654 영천주공아파트,임대,개별난방,25843.27,4,330.0,새천년종합건설,한국토지주택공사,0613953395,장성영천주공.apti.co.kr,아파트,전라남도 장성군 문화로 23,위탁관리,혼합식,20061123,0613953396,330,25722.43,330.0,0.0,0.0,0.0,18567.9,15,15,1,10,57221,35.2989613879741,126.775142374878
