kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020246,해남해리2단지,4682025021,전라남도,해남군,해남읍,해리,전라남도 해남군 해남읍 해리 696- 해남해리2단지,임대,개별난방,31821.19,3,400.0,이테크건설(주),한국토지주택공사 광주전남지방본부,0615370800,,아파트,전라남도 해남군 교육청길 87-24,위탁관리,복도식,20251231,0615370801,402,31725.504,400.0,0.0,0.0,0.0,15533.68,20,20,1,6,,34.5665905601286,126.609421996654
A10021549,해남성화누리안아파트,4682025021,전라남도,해남군,해남읍,해리,전라남도 해남군 해남읍 해리 690- 해남성화누리안아파트,분양,개별난방,12418.0,2,102.0,(합)성화종합건설,(합)성화종합건설,0615330156,,아파트,전라남도 해남군 해리3길 6,위탁관리,계단식,20120316,0623636044,102,9724.05,0.0,102.0,0.0,0.0,7482.0878,14,14,0,4,,34.5725063828753,126.608307272055
A10021597,해남백두4차아파트,4682025021,전라남도,해남군,해남읍,해리,전라남도 해남군 해남읍 해리 176- 해남백두4차아파트,분양,개별난방,16059.0,1,135.0,부건종합건설(주),(주)백두건설,07073640274,band.us@backdoo4,아파트,전라남도 해남군 해남로 35,위탁관리,계단식,20030905,07073640274,135,14345.26,0.0,135.0,0.0,0.0,11106.9483,16,16,1,3,,34.571437968313,126.610721767999
A10021783,백두3차아파트,4682025021,전라남도,해남군,해남읍,해리,전라남도 해남군 해남읍 해리 214- 백두3차아파트,분양,개별난방,15277.0,1,117.0,대연건축,대연건축,0615331168,,아파트,전라남도 해남군 교육청길 23,위탁관리,계단식,20011107,,118,12705.0,0.0,112.0,5.0,0.0,10013.6087,1,20,0,4,,34.5698761735131,126.609830655826
A10023184,해남코아루더베스트1단지아파트,4682025021,전라남도,해남군,해남읍,해리,전라남도 해남군 해남읍 해리 705 해남코아루더베스트1단지아파트,분양,개별난방,52832.062,5,313.0,파인건설,한국토지신탁,0615335293,해남코아루더베스트.apti.co.kr/aptHome/,아파트,전라남도 해남군 영빈로 81-17,위탁관리,계단식,20190930,0615335294,313,37184.21,0.0,200.0,113.0,0.0,30179.4302,20,20,2,0,59038,34.5656944194628,126.610488204998
A10025247,해남코아루더베스트아파트,4682025021,전라남도,해남군,해남읍,해리,전라남도 해남군 해남읍 해리 706 해남코아루더베스트아파트,분양,개별난방,63324.312,6,380.0,파인건설(주),한국토지신탁,0615335293,https://해남코아루더베스트.apti.co.kr/aptHome,아파트,전라남도 해남군 영빈로 81-17,위탁관리,계단식,20190930,0615335294,380,44220.164,0.0,267.0,113.0,0.0,35870.0706,20,20,2,9,59038,34.5656944194628,126.610488204998
A10025567,해남 정하에코하임,4682025021,전라남도,해남군,해남읍,해리,전라남도 해남군 해남읍 해리 704 해남 정하에코하임,임대,개별난방,43031.0,5,293.0,(주)정하종합건설,(주)정하종합건설,0615376565,,아파트,전라남도 해남군 영빈로 79-18,위탁관리,계단식,20190527,0615376566,293,42339.906,0.0,293.0,0.0,0.0,24896.2686,18,18,1,10,59038,34.5659578868941,126.609916191543
A53680004,해남해리LH1단지,4682025021,전라남도,해남군,해남읍,해리,전라남도 해남군 해남읍 해리 695 해남해리LH1단지,임대,개별난방,21152.527,2,304.0,진명종합건설주식회사,한국토지주택공사,0615353560,soriv07080@naver.com,아파트,전라남도 해남군 교육청길 41,위탁관리,복도식,20140217,0615353560,304,21152.527,304.0,0.0,0.0,0.0,11551.52,20,20,2,4,59038,34.5677146728323,126.610075805317
A53680902,해남명지,4682025021,전라남도,해남군,해남읍,해리,전라남도 해남군 해남읍 해리 684 해남명지,분양,개별난방,22846.56,1,230.0,명지건설,명지건설,0615366640,,아파트,전라남도 해남군 교육청길 26,위탁관리,계단식,19970905,0615362017,230,20191.62,111.0,111.0,8.0,0.0,16931.16,20,20,1,1,59038,34.568854743715,126.608589093586
A10025191,해남파크사이드2차아파트,4682025036,전라남도,해남군,해남읍,구교리,전라남도 해남군 해남읍 구교리 1006 해남파크사이드2차아파트,분양,개별난방,50926.0,6,323.0,일레븐건설,일레븐건설,0615365201,,아파트,전라남도 해남군 구교3길 36-15,위탁관리,계단식,20190807,0615365202,323,28952.0,0.0,219.0,104.0,0.0,29183.3231,22,22,2,9,59023,34.5803075691534,126.592489440455
A10027829,해남파크사이드아파트,4682025036,전라남도,해남군,해남읍,구교리,전라남도 해남군 해남읍 구교리 1005 해남파크사이드아파트,분양,개별난방,32788.46,4,263.0,(주)일레븐건설,(주)일레븐건설,0615337401,,아파트,전라남도 해남군 구교3길 36-23,위탁관리,복도식,20150828,0615365017,263,23909.33,119.0,144.0,0.0,0.0,18044.5256,15,15,15,8,59023,34.5801406485316,126.593118573578
A53680001,해남우진아트빌,4682025036,전라남도,해남군,해남읍,구교리,전라남도 해남군 해남읍 구교리 567 해남우진아트빌,분양,개별난방,24795.422,2,221.0,우진건설,우진건설,0615360049,,아파트,전라남도 해남군 구교3길 35,위탁관리,계단식,20041118,0615370049,221,23153.725,119.0,102.0,0.0,0.0,15773.3497,15,15,0,7,59023,34.5789272719223,126.589632765218
