kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021209,화순한국아델리움더숲,4679025021,전라남도,화순군,화순읍,교리,전라남도 화순군 화순읍 교리 409- 화순한국아델리움더숲,임대,개별난방,18054.736,3,134.0,삼호산업개발,씨에스건설,0623710311,,도시형 생활주택(아파트),전라남도 화순군 교동길 49,위탁관리,계단식,20210723,0613710611,134,13019.801,0.0,134.0,0.0,0.0,10220.0783,23,23,2,2,,35.0678093276056,126.984520483406
A10024232,힐스테이트 화순,4679025021,전라남도,화순군,화순읍,교리,전라남도 화순군 화순읍 교리 405 힐스테이트 화순,분양,개별난방,103293.7,6,604.0,현대엔지니어링,지오그룹,0613712323,힐스테이트화순.apti.co.kr,아파트,전라남도 화순군 칠충로 141-7,위탁관리,계단식,20210712,0613712288,604,69310.01,0.0,546.0,52.0,6.0,53229.033,30,30,2,0,58120,35.0611415349641,126.983387234764
A51975106,공간아파트,4679025021,전라남도,화순군,화순읍,교리,전라남도 화순군 화순읍 교리 70-1 공간아파트,분양,개별난방,33685.53,3,302.0,(주)공간주택,0,0613741669,,아파트,전라남도 화순군 진각로 181-19,위탁관리,계단식,19920612,0613752468,302,32795.44,0.0,302.0,0.0,0.0,24753.42,13,13,1,14,58112,35.0670304164724,126.984253565211
A51975117,서라2차,4679025021,전라남도,화순군,화순읍,교리,전라남도 화순군 화순읍 교리 70-5 서라2차,분양,개별난방,16532.0,2,196.0,서라건설,서라건설,0613746727,,아파트,전라남도 화순군 진각로 181-20,자치관리,계단식,19950906,0613746727,196,15550.444,196.0,0.0,0.0,0.0,11756.472,18,18,1,4,58112,35.0678702249938,126.985700241448
A51975109,금호아파트,4679025023,전라남도,화순군,화순읍,만연리,전라남도 화순군 화순읍 만연리 237-1 금호아파트,분양,개별난방,56754.0,6,506.0,금호건설,금호건설,0613737456,화순광덕금호타운.apti.co.kr,아파트,전라남도 화순군 광덕로 203,위탁관리,계단식,19971219,0613755630,506,50269.16,0.0,506.0,0.0,0.0,40889.27,15,15,1,17,58117,35.0623023000693,126.990771651578
A51975110,화순부영1차아파트,4679025023,전라남도,화순군,화순읍,만연리,전라남도 화순군 화순읍 만연리 231 화순부영1차아파트,임대,개별난방,60562.305,6,840.0,(주)부영,(주)부영,0613742465,화순부영1차.apti.co.kr,아파트,전라남도 화순군 광덕로 170,위탁관리,복도식,19931126,0613742492,840,56420.28,840.0,0.0,0.0,0.0,41764.8,15,15,0,12,58126,35.0602118933832,126.993031009593
A51975112,화순부영3차아파트,4679025023,전라남도,화순군,화순읍,만연리,전라남도 화순군 화순읍 만연리 243 화순부영3차아파트,임대,개별난방,95788.25,6,1244.0,(주)부영,(주)부영,0613747760,https://xn--3-282f31j8zebsjj0p.apti.co.kr/aptHome/,아파트,전라남도 화순군 광덕로 180,위탁관리,복도식,19971220,0613747761,1244,80741.82,1244.0,0.0,0.0,0.0,59237.76,15,15,1,16,58116,35.0608447465003,126.992998178111
A51975115,화순부영5차,4679025023,전라남도,화순군,화순읍,만연리,전라남도 화순군 화순읍 만연리 244 화순부영5차,임대,개별난방,79808.24,6,1026.0,(주)부영,(주)부영,0613743010,https://화순부영5차.apti.co.kr/,아파트,전라남도 화순군 광덕로 202,위탁관리,복도식,19971231,0613743016,1026,70468.14,1026.0,0.0,0.0,0.0,51217.92,14,14,0,16,58116,35.0622387252887,126.993057695797
A51980602,유창2차,4679025023,전라남도,화순군,화순읍,만연리,전라남도 화순군 화순읍 만연리 230 유창2차,분양,개별난방,15157.04,2,180.0,유창건설,유창건설,0613746140,khmais.net,아파트,전라남도 화순군 광덕로 165,자치관리,계단식,19931221,0613755960,180,14063.58,180.0,0.0,0.0,0.0,10751.4,12,12,1,8,58125,35.0598226890487,126.991741327336
A51975111,화순부영6차,4679025024,전라남도,화순군,화순읍,신기리,전라남도 화순군 화순읍 신기리 405-3 화순부영6차,임대,개별난방,118387.1,8,1485.0,(주)부영,부영(주) 화순6차(11B/L),0613749348,https://화순부영6차.apti.co.kr,아파트,전라남도 화순군 광덕로 215,위탁관리,복도식,19981022,0613749343,1485,106225.16,1485.0,0.0,0.0,0.0,77968.8,15,15,1,22,58114,35.0647517866865,126.99080777296
