kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021714,성산아파트,5279025021,전북특별자치도,고창군,고창읍,읍내리,전북특별자치도 고창군 고창읍 읍내리 56-2 성산아파트,분양,개별난방,11.0,3,165.0,성산,성산,0632260990,,아파트,전북특별자치도 고창군 동리로 172-14,위탁관리,복도식,19980720,0632261833,165,9386.7,165.0,0.0,0.0,0.0,7713.705,1,5,0,0,,35.4305982539198,126.709086019928
A58570001,읍내휴먼시아주공,5279025021,전북특별자치도,고창군,고창읍,읍내리,전북특별자치도 고창군 고창읍 읍내리 1222 읍내휴먼시아주공,임대,개별난방,40858.36,9,586.0,중흥건설,중흥건설,0635622230,,아파트,전북특별자치도 고창군 성산로 19,위탁관리,복도식,20090930,0635622249,586,40291.78,586.0,0.0,0.0,0.0,26017.06,15,15,1,13,56435,35.4387928244655,126.693172373483
A58580701,고창 상원모양맨션,5279025021,전북특별자치도,고창군,고창읍,읍내리,전북특별자치도 고창군 고창읍 읍내리 410-9 고창 상원모양맨션,분양,개별난방,15728.49,1,158.0,동서종합건축,상원건설,0635648823,,아파트,전북특별자치도 고창군 중거리당산로 108,자치관리,복도식,19950306,0635648829,158,14117.987,115.0,43.0,0.0,0.0,10519.4,11,11,1,3,56440,35.4291170940212,126.699251289122
A58580603,고창월곡주공,5279025023,전북특별자치도,고창군,고창읍,월곡리,전북특별자치도 고창군 고창읍 월곡리 585 고창월곡주공,분양,개별난방,28292.0,4,392.0,한국건설,대한주택공사,0635610397,고창월곡주공.ma-um.co.kr,아파트,전북특별자치도 고창군 월곡1길 43,위탁관리,복도식,20000229,0635610398,392,28020.469,392.0,0.0,0.0,0.0,18581.53,18,18,0,8,56429,35.4387286452812,126.710206791769
A58580604,고창 온천마을 제일,5279025023,전북특별자치도,고창군,고창읍,월곡리,전북특별자치도 고창군 고창읍 월곡리 586 고창 온천마을 제일,분양,개별난방,48717.266,4,590.0,제일건설,제일건설,0635615056,,아파트,전북특별자치도 고창군 월곡로 83,위탁관리,계단식,19991223,0635615015,590,44859.527,590.0,0.0,0.0,0.0,35348.094,15,15,0,20,56429,35.4389156618135,126.71114457412
A10026811,리안채아파트,5279025030,전북특별자치도,고창군,고창읍,덕산리,전북특별자치도 고창군 고창읍 덕산리 989 리안채아파트,분양,개별난방,18257.293,7,160.0,윤진종합건설(주),가은건설(주),0635614024,www.sapt.co.kr/,아파트,전북특별자치도 고창군 보릿골로 57-15,위탁관리,계단식,20170706,0635614023,160,13583.648,0.0,160.0,0.0,0.0,13583.648,6,6,0,17,56439,35.4303248611023,126.692772706517
A10021939,고창율계고령자복지아파트,5279025036,전북특별자치도,고창군,고창읍,율계리,전북특별자치도 고창군 고창읍 율계리 118- 고창율계고령자복지아파트,임대,개별난방,8658.0,1,128.0,이수건설,한국토지주택공사,0635649776,,아파트,전북특별자치도 고창군 전봉준로 88-52,위탁관리,복도식,20231117,0635649777,128,8657.1,128.0,0.0,0.0,0.0,4131.44,11,11,1,2,,35.4454899492248,126.682233883816
A10020517,고창광신프로그레스아파트,5279025037,전북특별자치도,고창군,고창읍,석교리,전북특별자치도 고창군 고창읍 석교리 351- 고창광신프로그레스아파트,분양,개별난방,29902.273,4,206.0,광신종합건설,광신주택,0635625695,,아파트,전북특별자치도 고창군 고인돌대로 1810,위탁관리,복도식,20250730,0635625696,206,22357.693,0.0,206.0,0.0,0.0,17453.4336,18,18,2,4,,35.4417725563074,126.693452051242
A10026225,선운프라자,5279025037,전북특별자치도,고창군,고창읍,석교리,전북특별자치도 고창군 고창읍 석교리 10-3 선운프라자,분양,개별난방,17271.0,3,135.0,(주)유림건설,유림건설,0635648998,,아파트,전북특별자치도 고창군 보릿골로 191,위탁관리,계단식,20090610,0635638633,135,14779.8,0.0,135.0,0.0,0.0,11472.3945,15,15,1,5,56434,35.4422769569479,126.694600316431
A58580302,고창성산현대,5279025037,전북특별자치도,고창군,고창읍,석교리,전북특별자치도 고창군 고창읍 석교리 10-8 고창성산현대,분양,개별난방,27496.62,2,306.0,고려산업개발,성산건설,0635611866,,아파트,전북특별자치도 고창군 보릿골로 195,위탁관리,계단식,19950825,0635631867,306,26956.121,136.0,153.0,17.0,0.0,22017.72,17,17,3,9,56434,35.4422477222117,126.693414014188
A10022920,고창황산국민임대아파트,5279031022,전북특별자치도,고창군,고수면,황산리,전북특별자치도 고창군 고수면 황산리 457 고창황산국민임대아파트,임대,개별난방,8587.7,3,150.0,한국토지주택공사,이수건설,0635649306,,아파트,전북특별자치도 고창군 고수면 고수로 15,위탁관리,복도식,20230908,0635649307,150,8587.683,150.0,0.0,0.0,0.0,5193.5,5,5,0,3,56447,35.4092961826519,126.678888137683
A10021950,고창무장국민임대아파트,5279033021,전북특별자치도,고창군,무장면,무장리,전북특별자치도 고창군 무장면 무장리 736- 고창무장국민임대아파트,임대,개별난방,7491.0,3,120.0,이수건설,한국토지주택공사,0635649621,,아파트,전북특별자치도 고창군 청보리로 1548,위탁관리,복도식,20231013,0635649623,120,7490.32,120.0,0.0,0.0,0.0,4268.88,8,8,1,3,,35.4125242338482,126.562777286364
