kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022661,익산역 유블레스퍼스트,5214010100,전북특별자치도,익산시,창인동1가,,전북특별자치도 익산시 창인동1가 290 익산역 유블레스퍼스트,분양,개별난방,40088.176,1,202.0,(주) 유탑건설,한국투자부동산신탁주식회사,0638417778,,주상복합,전북특별자치도 익산시 중앙로5길 16,위탁관리,복도식,20230830,0638417779,202,35074.516,0.0,196.0,4.0,2.0,15622.114,27,27,2,0,54594,35.940495728856,126.951650632265
A10026433,익산역 시그니처-S,5214010100,전북특별자치도,익산시,창인동1가,,전북특별자치도 익산시 창인동1가 151 익산역 시그니처-S,분양,개별난방,23195.0,1,299.0,성지건설,한국자산신탁(주),0638430960,signatures.apti.co.kr,주상복합,전북특별자치도 익산시 중앙로5길 17,위탁관리,기타,20180202,0638430961,299,12095.59,299.0,0.0,0.0,0.0,8412.5847,20,20,1,2,54593,35.9409544558389,126.950750328215
A10020726,익산역하늘채더퍼스트,5214010600,전북특별자치도,익산시,평화동,,전북특별자치도 익산시 평화동 395- 익산역하늘채더퍼스트,혼합,개별난방,208399.73,11,1382.0,코오롱,한국토지주택공사,0638419020,,아파트,전북특별자치도 익산시 익산대로8길 9,위탁관리,혼합식,20250319,0638429021,1382,147166.03,288.0,1094.0,0.0,0.0,109593.43,29,29,2,0,,35.9347059680492,126.946763201182
A10026052,평화제일 오투그란데 에버아파트,5214010600,전북특별자치도,익산시,평화동,,전북특별자치도 익산시 평화동 393 평화제일 오투그란데 에버아파트,분양,개별난방,19139.941,3,171.0,(주)제일건설,(주)에버종합건설,0638423999,,아파트,전북특별자치도 익산시 번영로10길 31,위탁관리,계단식,20180914,0638424999,171,18065.826,0.0,171.0,0.0,0.0,14100.1704,15,15,0,0,54672,35.9329268704767,126.93873635674
A57001001,평화동제일아파트,5214010600,전북특별자치도,익산시,평화동,,전북특별자치도 익산시 평화동 370 평화동제일아파트,분양,개별난방,50027.477,4,458.0,(주)제일건설,(주)제일건설,0638526590,pj65900.apti.co.kr,아파트,전북특별자치도 익산시 번영로8길 223,위탁관리,계단식,20020125,0638526591,458,48786.16,0.0,458.0,0.0,0.0,38848.0638,15,15,0,17,54672,35.9323730578861,126.941080407091
A57071001,클래시움,5214010600,전북특별자치도,익산시,평화동,,전북특별자치도 익산시 평화동 382 클래시움,분양,개별난방,17572.957,3,172.0,정인종합건설(주),신라건설(주),0638527499,,아파트,전북특별자치도 익산시 평동로 530-7,위탁관리,계단식,20061019,0638585700,172,17011.64,60.0,112.0,0.0,0.0,13100.472,15,15,0,6,54672,35.9340379627719,126.93828491688
A57004001,주현동 쌍방울한양,5214010800,전북특별자치도,익산시,주현동,,전북특별자치도 익산시 주현동 202 주현동 쌍방울한양,분양,개별난방,34765.0,4,304.0,(주)한양,(주)쌍방울 개발,0638570837,주현동쌍방울한양.ma-um.co.kr,아파트,전북특별자치도 익산시 주현로 40,자치관리,계단식,19901027,0638410463,304,33551.35,0.0,232.0,72.0,0.0,27152.16,12,12,1,13,54599,35.9336719756478,126.956879571661
A10026507,익산인화 행복주택,5214011000,전북특별자치도,익산시,인화동2가,,전북특별자치도 익산시 인화동2가 174 익산인화 행복주택,임대,개별난방,32741.98,4,612.0,LH,동림건설,0638526481,익산인화 행복주택,아파트,전북특별자치도 익산시 목천로 320,위탁관리,복도식,20171031,0638546689,616,32538.316,612.0,0.0,0.0,0.0,16039.44,20,20,1,8,54677,35.927113153662,126.9546311919
A57098501,인화동 제이파크,5214011000,전북특별자치도,익산시,인화동2가,,전북특별자치도 익산시 인화동2가 54 인화동 제이파크,분양,개별난방,22978.35,3,138.0,(주)제일건설,(주)제일건설,0638411590,인화동제이파크.ma-um.co.kr,주상복합,전북특별자치도 익산시 서동로 31,위탁관리,계단식,20060609,0638411590,150,16406.28,0.0,108.0,30.0,0.0,12601.854,15,15,0,5,54605,35.9309879598619,126.956321867171
A10020266,동산한성아파트,5214011100,전북특별자치도,익산시,동산동,,전북특별자치도 익산시 동산동 1061 동산한성아파트,분양,개별난방,11267.12,5,190.0,(주)한성,(주)한성,0638514379,,아파트,전북특별자치도 익산시 동천로7길 45,자치관리,계단식,19880816,0638514379,190,3323.1,190.0,0.0,0.0,0.0,3323.1,5,0,0,0,,35.9326653552061,126.968394267127
