kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020252,거성고속맨션1차아파트,5211310200,전북특별자치도,전주덕진구,진북동,,전북특별자치도 전주덕진구 진북동 1168-2 거성고속맨션1차아파트,분양,개별난방,14700.82,1,104.0,거성건설(주),거성건설(주),0632750079,,아파트,전북특별자치도 전주시 덕진구 전주천동로 453,자치관리,복도식,19881126,0632750079,104,11310.0,0.0,52.0,26.0,26.0,11097.84,13,13,1,2,,35.8334484122653,127.126781409657
A56183702,진북동 우성,5211310200,전북특별자치도,전주덕진구,진북동,,전북특별자치도 전주덕진구 진북동 416 진북동 우성,분양,중앙난방,251174.0,18,2102.0,우성건설,우성건설,0632524059,woosung4059.apti.co.kr,아파트,전북특별자치도 전주시 덕진구 태진로 101,위탁관리,혼합식,19951021,0632744264,2102,228271.02,884.0,750.0,320.0,148.0,182995.04,20,20,0,43,54937,35.8305112211971,127.135686797158
A56185601,진북동 동국해성,5211310200,전북특별자치도,전주덕진구,진북동,,전북특별자치도 전주덕진구 진북동 1034-1 진북동 동국해성,분양,개별난방,69989.0,7,642.0,동국건설,동국건설,0632730998,진북동동국해성.ma-um.co.kr,아파트,전북특별자치도 전주시 덕진구 진북로 15,자치관리,혼합식,19951014,0639010745,642,64113.84,273.0,273.0,96.0,0.0,51016.344,18,18,0,14,54990,35.8259125944218,127.133796309595
A10022600,동진아파트,5211310300,전북특별자치도,전주덕진구,인후동1가,,전북특별자치도 전주덕진구 인후동1가 226-150 동진아파트,분양,개별난방,12716.823,1,190.0,동진건설,동진건설,0632435700,,아파트,전북특별자치도 전주시 덕진구 인후3길 40-25,자치관리(직영),계단식,19811231,0632445774,1,12384.188,0.0,190.0,0.0,0.0,13664.7,5,5,0,0,55009,35.8328310635828,127.156309385385
A10023230,전주 인후2차현대아파트,5211310300,전북특별자치도,전주덕진구,인후동1가,,전북특별자치도 전주덕진구 인후동1가 751 전주 인후2차현대아파트,분양,개별난방,1522937.0,3,148.0,현대산업개발(주),현대산업개발(주),0632428648,,,,위탁관리,계단식,19900423,0639018648,148,15218.66,0.0,148.0,0.0,0.0,11936.93,11,11,1,7,54913,35.8419285961704,127.156469245851
A10024384,하누리홈타운,5211310300,전북특별자치도,전주덕진구,인후동1가,,전북특별자치도 전주덕진구 인후동1가 780-2 하누리홈타운,분양,개별난방,13902.83,1,98.0,(주)종합건설유림,(주)종합건설유림,0632416488,,아파트,전북특별자치도 전주시 덕진구 팽나무4길 21,위탁관리,복도식,20060724,0632446487,98,8933.1,74.0,20.0,4.0,0.0,6461.78,13,13,2,2,55008,35.8350657539278,127.155040071539
A10024593,더샵인후센트럴아파트,5211310300,전북특별자치도,전주덕진구,인후동1가,,전북특별자치도 전주덕진구 인후동1가 1043 더샵인후센트럴아파트,분양,개별난방,65239.0,5,478.0,포스코(주),이너시티개발(주),0632461006,,아파트,전북특별자치도 전주시 덕진구 진버들5길 21,위탁관리,계단식,20200814,0632461012,478,47958.215,107.0,371.0,0.0,0.0,34955.579,25,25,0,12,55014,35.8370842961438,127.163343935632
A56123109,인후휴먼시아,5211310300,전북특별자치도,전주덕진구,인후동1가,,전북특별자치도 전주덕진구 인후동1가 1035 인후휴먼시아,분양,개별난방,44172.67,6,423.0,범양건영,한국토지주택공사,0632444022,,아파트,전북특별자치도 전주시 덕진구 팽나무2길 7,위탁관리,계단식,20080222,0639054022,423,27980.6,273.0,150.0,0.0,0.0,27980.6,20,20,1,0,55008,35.8350509061813,127.152415063059
A56170801,인후동 한신휴플러스,5211310300,전북특별자치도,전주덕진구,인후동1가,,전북특별자치도 전주덕진구 인후동1가 1029 인후동 한신휴플러스,분양,개별난방,182718.73,15,1236.0,한신공영(주),인후주공1단지 재건축조합,0632475230,인후한신휴.apti.co.kr,아파트,전북특별자치도 전주시 덕진구 안덕원로 251,위탁관리,계단식,20061117,0632475240,1236,147121.23,218.0,654.0,284.0,80.0,113824.609,20,20,2,37,54920,35.8377203318409,127.153766073532
A56170802,전주부영6차,5211310300,전북특별자치도,전주덕진구,인후동1가,,전북특별자치도 전주덕진구 인후동1가 918-1 전주부영6차,분양,개별난방,86804.516,8,800.0,주)부영주택,주)부영주택,0632460373,,아파트,전북특별자치도 전주시 덕진구 무삼지로 10,위탁관리,계단식,20030927,0632460374,800,80378.28,106.0,694.0,0.0,0.0,65226.8944,15,15,0,31,55021,35.8273338464259,127.167542636874
