kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10026958,뉴캐슬아파트,5218010100,전북특별자치도,정읍시,수성동,,전북특별자치도 정읍시 수성동 940 뉴캐슬아파트,분양,개별난방,17897.0,2,170.0,(주)송원건설,(주)송원건설,0635375670,없음,아파트,전북특별자치도 정읍시 수성택지2길 65,위탁관리,계단식,20160701,0635374670,170,14019.537,170.0,0.0,0.0,0.0,10191.6374,15,15,1,6,56178,35.5784976304436,126.858025390079
A58001001,수성주공3단지,5218010100,전북특별자치도,정읍시,수성동,,전북특별자치도 정읍시 수성동 917 수성주공3단지,분양,개별난방,30787.04,4,399.0,주택공사,주택공사,0635375965,수성주공3단지.ma-um.co.kr,아파트,전북특별자치도 정읍시 수성3로 9,위탁관리,복도식,19960423,0635375964,399,30702.898,399.0,0.0,0.0,0.0,22152.91,15,15,1,6,56175,35.5850564599767,126.855531183915
A58001002,제일아파트,5218010100,전북특별자치도,정읍시,수성동,,전북특별자치도 정읍시 수성동 918-4 제일아파트,분양,개별난방,44633.88,4,495.0,(주)제일건설,(주)제일건설,0635310151,,아파트,전북특별자치도 정읍시 수성3로 26,자치관리,계단식,19951002,0635314077,495,44387.0,299.0,196.0,0.0,0.0,34530.41,15,15,0,17,56175,35.5833204167122,126.854657936512
A58001003,수성주공2단지,5218010100,전북특별자치도,정읍시,수성동,,전북특별자치도 정읍시 수성동 918-1 수성주공2단지,분양,개별난방,50841.0,7,654.0,기산(주),대한주택공사,0635320371,수성주공2단지.ma-um.co.kr,아파트,전북특별자치도 정읍시 수성2로 13-11,자치관리(직영),복도식,19950515,0635320344,654,49369.73,654.0,0.0,0.0,0.0,36201.73,15,15,1,8,56175,35.5830808934362,126.853204310803
A58075301,수성부영2차,5218010100,전북특별자치도,정읍시,수성동,,전북특별자치도 정읍시 수성동 1027 수성부영2차,분양,개별난방,114480.01,10,1260.0,(주)부영주택,(주)부영주택,0635326731,정읍2차부영.apti.co.kr,아파트,전북특별자치도 정읍시 샘골로 158,자치관리,복도식,20001125,0635326732,1260,94214.87,1260.0,0.0,0.0,0.0,66626.79,15,15,1,20,56173,35.5815961915072,126.861664875442
A58075302,수성주공1단지,5218010100,전북특별자치도,정읍시,수성동,,전북특별자치도 정읍시 수성동 918-1 수성주공1단지,임대,중앙난방,34937.0,5,925.0,한국토지주택공사,(주)한성,0635315136,kohom.or.kr,아파트,전북특별자치도 정읍시 수성2로 13-12,위탁관리,복도식,19941209,0635317166,935,25129.8,925.0,0.0,0.0,0.0,25129.8,15,15,0,12,56175,35.5825419176228,126.85424317564
A58080404,수성부영1차,5218010100,전북특별자치도,정읍시,수성동,,전북특별자치도 정읍시 수성동 952-1 수성부영1차,분양,개별난방,117653.34,12,1277.0,부영건설,부영건설,0635326560,,아파트,전북특별자치도 정읍시 수성택지2길 17,자치관리,혼합식,20000530,0635326561,1277,103918.23,1083.0,194.0,0.0,0.0,75624.224,15,15,0,10,56178,35.5763559859299,126.857656721401
A10022317,상동오투그란데,5218010300,전북특별자치도,정읍시,상동,,전북특별자치도 정읍시 상동 975- 상동오투그란데,분양,개별난방,14431.0,3,120.0,(주)제일건설,(주)제일건설,0635376481,,아파트,전북특별자치도 정읍시 상신경1길 38,위탁관리,계단식,20200512,0635376482,120,13897.8,0.0,93.0,27.0,0.0,10914.8793,15,15,1,5,,35.5559620537868,126.875677596626
A10023177,상동1차 영무예다음,5218010300,전북특별자치도,정읍시,상동,,전북특별자치도 정읍시 상동 976 상동1차 영무예다음,분양,개별난방,79010.0,6,386.0,(주)와이엠건영,(주)와이엠개발,0635389923,xn--1-wt8enyi9s68gqoipb25o05q.apti.co.kr/aptHome/,아파트,전북특별자치도 정읍시 학산로 89-96,위탁관리,계단식,20230607,0635389924,386,53832.28,0.0,135.0,214.0,37.0,42155.7159,15,15,1,14,56194,35.5596340430368,126.877620585298
A10028035,정읍대광로제비앙아파트,5218010300,전북특별자치도,정읍시,상동,,전북특별자치도 정읍시 상동 970 정읍대광로제비앙아파트,분양,개별난방,49655.0,6,450.0,(주)대광건영,(주)한국토지신탁,0635388993,,아파트,전북특별자치도 정읍시 학산로 89-11,위탁관리,계단식,20141107,0635388994,450,42858.785,240.0,210.0,0.0,0.0,32167.74,15,15,2,16,56192,35.5602275903966,126.875985585866
