kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021039,디자인 뷰,5013010200,제주특별자치도,서귀포시,법환동,,제주특별자치도 서귀포시 법환동 212- 디자인 뷰,분양,개별난방,12340.966,7,112.0,디자인주택건설,디자인주택건설,0647387128,,연립주택,제주특별자치도 서귀포시 법환로 12,자치관리,계단식,20200116,0647387128,112,11052.855,1.0,111.0,0.0,0.0,8546.4391,5,5,0,14,,33.2365723701342,126.514345740587
A10021152,삼주연립주택,5013010200,제주특별자치도,서귀포시,법환동,,제주특별자치도 서귀포시 법환동 749- 삼주연립주택,분양,개별난방,18078.66,8,258.0,삼주주식회사,삼주주식회사,0647395411,,연립주택,제주특별자치도 서귀포시 김정문화로 66,자치관리,계단식,19920217,0647385411,258,17329.86,258.0,0.0,0.0,0.0,15472.26,1,3,0,0,,33.2505762417266,126.511824133901
A10021368,민우아파트,5013010200,제주특별자치도,서귀포시,법환동,,제주특별자치도 서귀포시 법환동 748- 민우아파트,분양,개별난방,11049.0,1,124.0,한라종합건설주식회사,한라종합건설주식회사,0647394973,,연립주택,제주특별자치도 서귀포시 김정문화로 52,자치관리,계단식,19950127,0647394973,144,10077.702,100.0,24.0,0.0,0.0,8002.73,1,3,1,0,,33.2509551303199,126.510133632632
A10021601,현대1차연립주택,5013010200,제주특별자치도,서귀포시,법환동,,제주특별자치도 서귀포시 법환동 749-1 현대1차연립주택,분양,개별난방,13609.0,9,156.0,현대산업개발,현대산업개발,0647391023,,연립주택,제주특별자치도 서귀포시 신서귀로 10,자치관리,혼합식,19921221,,156,13608.741,0.0,156.0,0.0,0.0,12526.47,3,3,0,0,,33.2494314255029,126.511773197279
A10021781,동남서호연립,5013010200,제주특별자치도,서귀포시,법환동,,제주특별자치도 서귀포시 법환동 748-1 동남서호연립,분양,개별난방,0.0,1,143.0,동남종합건설,동남종합건설,0647393612,,연립주택,제주특별자치도 서귀포시 신서귀로 9,자치관리,계단식,19950118,0647393612,143,11062.6,83.0,60.0,0.0,0.0,9994.711,1,3,0,0,,33.2502046456686,126.509432164195
A10025613,제주 서귀포 혁신도시 LH3단지,5013010300,제주특별자치도,서귀포시,서호동,,제주특별자치도 서귀포시 서호동 1615-3 제주 서귀포 혁신도시 LH3단지,임대,개별난방,10048.19,2,200.0,양우종합건설(주),한국토지주택공사,0647385133,,아파트,제주특별자치도 서귀포시 서호중앙로 56-13,위탁관리,복도식,20190107,0647385134,202,9976.168,200.0,0.0,0.0,0.0,5358.18,10,10,2,4,63568,33.2522001236093,126.521112998735
A10027562,서귀포 HausD 블루오션,5013010300,제주특별자치도,서귀포시,서호동,,제주특별자치도 서귀포시 서호동 1545 서귀포 HausD 블루오션,분양,개별난방,65797.56,9,548.0,대보실업(주),한국토지주택공사,0647382828,cafe.naver.com/sgplh2,아파트,제주특별자치도 서귀포시 서호남로 92-15,위탁관리,계단식,20150901,0647382829,548,65633.41,0.0,548.0,0.0,0.0,45304.52,13,13,1,1,63568,33.2496038223265,126.523655529521
A10027600,서귀포혁신사랑으로부영아파트,5013010300,제주특별자치도,서귀포시,서호동,,제주특별자치도 서귀포시 서호동 1534 서귀포혁신사랑으로부영아파트,혼합,,105108.06,14,716.0,(주)부영주택,(주)부영주택,0647398863,,아파트,제주특별자치도 서귀포시 서호남로 92-15,위탁관리,계단식,20160411,0647398864,716,93523.56,0.0,608.0,0.0,108.0,66936.8336,13,13,1,30,63568,33.2496038223265,126.523655529521
A69781301,제주서귀포혁신도시LH1단지,5013010300,제주특별자치도,서귀포시,서호동,,제주특별자치도 서귀포시 서호동 1540 제주서귀포혁신도시LH1단지,혼합,개별난방,48374.84,7,450.0,LH,남해건설(주),0647395499,없음,아파트,제주특별자치도 서귀포시 서호남로 92-15,위탁관리,계단식,20131227,0647395099,450,48160.31,236.0,214.0,0.0,0.0,31810.88,13,13,2,18,63568,33.2496038223265,126.523655529521
A10021362,동홍세기아파트,5013010500,제주특별자치도,서귀포시,동홍동,,제주특별자치도 서귀포시 동홍동 139-1 동홍세기아파트,분양,개별난방,18990.0,6,170.0,세기건설주식회사,세기건설주식회사,0647334791,,아파트,제주특별자치도 서귀포시 태평로 551,자치관리,계단식,19900125,,170,15427.62,0.0,130.0,40.0,0.0,15274.02,1,5,1,0,,33.2528865003015,126.575413364617
