kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10023769,e편한세상 금산센터하임,4471025022,충청남도,금산군,금산읍,중도리,충청남도 금산군 금산읍 중도리 684 e편한세상 금산센터하임,분양,개별난방,67482.914,6,461.0,대림건설,한국토지신탁,0417532233,geumsan.apt.co.kr,아파트,충청남도 금산군 금산로 1554,위탁관리,계단식,20220527,0417532234,461,67335.3,0.0,461.0,0.0,0.0,37196.2192,20,20,2,0,32725,36.1124944382064,127.49535770062
A31280604,낙원아파트,4471025022,충청남도,금산군,금산읍,중도리,충청남도 금산군 금산읍 중도리 21-21 낙원아파트,분양,개별난방,13552.0,2,180.0,영락건설,영락건설,0417537009,금산낙원.apti.co.kr/,아파트,충청남도 금산군 약초로 18,위탁관리,복도식,19991119,0417537559,180,11603.34,180.0,0.0,0.0,0.0,8937.468,10,10,0,3,32748,36.0981913885012,127.495855232301
A31280403,금산대원산마루,4471025023,충청남도,금산군,금산읍,하옥리,충청남도 금산군 금산읍 하옥리 306 금산대원산마루,혼합,개별난방,11974.57,1,174.0,대원종합건설,대원종합건설,0417546750,금산산마루.apti.co.kr,아파트,충청남도 금산군 동산3길 27,위탁관리,복도식,20000522,0417546749,174,11974.472,174.0,0.0,0.0,0.0,7248.84,13,13,1,2,32748,36.0979491841744,127.492699349196
A31280201,금산한진타운,4471025024,충청남도,금산군,금산읍,상리,충청남도 금산군 금산읍 상리 292 금산한진타운,분양,개별난방,28379.0,2,281.0,한진건설(주),한진건설(주),0417510913,금산한진.apti.co.kr,아파트,충청남도 금산군 비단로 332,위탁관리,계단식,19941108,0417510911,281,27548.18,101.0,142.0,38.0,0.0,22002.63,20,20,10,8,32731,36.1111573013519,127.486565013253
A31280206,삼호,4471025024,충청남도,금산군,금산읍,상리,충청남도 금산군 금산읍 상리 306-8 삼호,분양,개별난방,23334.94,2,320.0,(주)삼호,(주)예앤미,0417548870,samho.apti.co.kr,아파트,충청남도 금산군 비호산로 57,위탁관리,혼합식,19970912,0417548999,320,22501.04,320.0,0.0,0.0,0.0,16668.96,18,18,0,5,32731,36.1117843473512,127.48681244682
A31280207,금산상리주공2단지,4471025024,충청남도,금산군,금산읍,상리,충청남도 금산군 금산읍 상리 312 금산상리주공2단지,임대,개별난방,39287.29,7,571.0,(주)신동아건설,(한국토지주택공사,0417540014,금산상리주공2단지.apti.co.kr/,아파트,충청남도 금산군 비단로 338,위탁관리,복도식,20090410,0417547014,571,39164.184,571.0,0.0,0.0,0.0,25914.12,15,15,0,14,32730,36.1110205355018,127.48450992908
A31280208,금산상리주공 아파트,4471025024,충청남도,금산군,금산읍,상리,충청남도 금산군 금산읍 상리 274 금산상리주공 아파트,분양,개별난방,63311.0,10,891.0,한신공영,LH공사,0417540810,상리주공.apti.co.kr,아파트,충청남도 금산군 비호산로 5,위탁관리,혼합식,20000409,0417540811,891,58327.91,891.0,0.0,0.0,0.0,43700.49,15,15,1,8,32726,36.1109621609518,127.488322063055
A10027862,금산대원칸타빌아파트,4471025025,충청남도,금산군,금산읍,아인리,충청남도 금산군 금산읍 아인리 630 금산대원칸타빌아파트,분양,개별난방,74748.8,7,563.0,"(주)대원, 성지건설(주)",(주)칸타빌,0417548811,,아파트,충청남도 금산군 사직로 100,위탁관리,계단식,20151019,0417548817,563,43158.28,142.0,421.0,0.0,0.0,43158.28,20,20,1,0,32742,36.1104433178109,127.479828399747
A10023416,e편한세상 금산프라임포레,4471025028,충청남도,금산군,금산읍,양지리,충청남도 금산군 금산읍 양지리 468 e편한세상 금산프라임포레,분양,개별난방,80728.33,7,597.0,대림건설,지에쓰씨,0417517713,smarthome.apt.co.kr/,아파트,충청남도 금산군 진악로 869,위탁관리,혼합식,20221206,0417517714,597,43197.047,223.0,374.0,0.0,0.0,43197.0457,20,20,1,17,32743,36.1026544926727,127.464796297046
A31294101,금산 나이스타운아파트,4471039023,충청남도,금산군,추부면,마전리,충청남도 금산군 추부면 마전리 712-8 금산 나이스타운아파트,분양,개별난방,12201.0,1,248.0,성하건설(주),성하건설(주),0417512288,,아파트,충청남도 금산군 대학로 173,위탁관리,복도식,20000203,0417520023,248,10996.641,248.0,0.0,0.0,0.0,7745.04,10,10,0,3,32713,36.192973580057,127.455715111921
