kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A32380606,부여동남아파트,4476025028,충청남도,부여군,부여읍,동남리,충청남도 부여군 부여읍 동남리 41 부여동남아파트,분양,개별난방,23734.0,20,480.0,한국주택공사,111,0418328587,https://부여동남아파트.api.co.kr,아파트,충청남도 부여군 금성로 20,위탁관리,계단식,19860626,0418338587,480,23353.45,480.0,0.0,0.0,0.0,20665.38,5,5,0,0,33166,36.2737306943357,126.918528634302
A32380803,부여쌍북주공1단지,4476025031,충청남도,부여군,부여읍,쌍북리,충청남도 부여군 부여읍 쌍북리 113 부여쌍북주공1단지,분양,개별난방,21631.5,9,390.0,한국토지주택공사,한국토지주택공사,0418359174,,아파트,충청남도 부여군 성왕로328번길 15,위탁관리,계단식,19911125,0418369174,390,18605.1,390.0,0.0,0.0,0.0,16323.6,5,5,0,0,33158,36.2820884682319,126.924197613675
A32380804,부여홍선금동아파트,4476025031,충청남도,부여군,부여읍,쌍북리,충청남도 부여군 부여읍 쌍북리 734 부여홍선금동아파트,분양,개별난방,57354.0,8,406.0,홍선건설(주),홍선건설(주),0418359059,https:홍선금.apti.co.kr,아파트,충청남도 부여군 성왕로328번길 18-7,위탁관리,계단식,20011207,0418359058,406,49199.703,60.0,306.0,40.0,0.0,34712.3268,10,10,0,21,33157,36.2822848139336,126.922334694555
A32380805,부여쌍북왕궁,4476025031,충청남도,부여군,부여읍,쌍북리,충청남도 부여군 부여읍 쌍북리 727 부여쌍북왕궁,분양,개별난방,39081.0,17,459.0,대한주택공사,신성건설,0418352380,부여왕궁아파트.apti.co.kr/,아파트,충청남도 부여군 성왕로352번길 11,위탁관리,계단식,20000920,0418352381,459,38783.477,160.0,299.0,0.0,0.0,34778.65,5,5,0,0,33159,36.2826826224384,126.928588360874
A32380807,부여쌍북주공2단지,4476025031,충청남도,부여군,부여읍,쌍북리,충청남도 부여군 부여읍 쌍북리 113 부여쌍북주공2단지,임대,개별난방,17860.43,8,390.0,풍산종합건설 외,한국토지주택공사,0418352867,www.kohom.or.kr,아파트,충청남도 부여군 성왕로328번길 15,위탁관리,계단식,19911125,0418362722,390,17561.7,390.0,0.0,0.0,0.0,15280.2,5,5,0,0,33158,36.2820884682319,126.924197613675
A10026258,부여센트럴휴엔하임아파트,4476031021,충청남도,부여군,규암면,반산리,충청남도 부여군 규암면 반산리 81-8 부여센트럴휴엔하임아파트,분양,개별난방,75944.0,11,611.0,신구건설,대한토지신탁,0418379221,부여센트럴휴엔하임.apti.co.kr/aptHome/,아파트,충청남도 부여군 흥수로 878,위탁관리,계단식,20180430,0418379222,611,62511.48,42.0,569.0,0.0,0.0,93236.8044,20,20,1,22,33125,36.274054199347,126.877497807595
A32381302,부여무지개아파트,4476031021,충청남도,부여군,규암면,반산리,충청남도 부여군 규암면 반산리 321 부여무지개아파트,혼합,개별난방,26915.623,4,300.0,원건설,원건설,0418359799,무지개.apti.co.kr,아파트,충청남도 부여군 흥수로 771-5,위탁관리,계단식,20020222,0418359798,300,25689.0,240.0,60.0,0.0,0.0,18794.208,15,15,1,10,33121,36.2735113417121,126.865762276034
A32381303,대동황토방,4476031021,충청남도,부여군,규암면,반산리,충청남도 부여군 규암면 반산리 307 대동황토방,분양,개별난방,46270.38,9,420.0,대동건설,대동건설,0418355456,부여대동황토방.apti.co.kr,아파트,충청남도 부여군 호수로 32,위탁관리,계단식,20020803,0418356456,420,43806.0,60.0,300.0,60.0,0.0,34896.6,15,15,0,14,33121,36.2726154960354,126.86237836941
A10026334,부여코아루더퍼스트아파트,4476031033,충청남도,부여군,규암면,외리,충청남도 부여군 규암면 외리 108 부여코아루더퍼스트아파트,분양,개별난방,52371.223,6,416.0,서희건설,한국토지신탁,0418378905,,아파트,충청남도 부여군 수북로 14-16,위탁관리,혼합식,20180417,0418378907,416,40710.84,244.0,152.0,20.0,0.0,29542.2328,20,20,1,12,33126,36.2695512404035,126.886381942135
A10027407,부여규암LH천년나무1단지아파트,4476031034,충청남도,부여군,규암면,내리,충청남도 부여군 규암면 내리 839 부여규암LH천년나무1단지아파트,임대,개별난방,22232.69,5,396.0,서희건설,LH,0418330202,,아파트,,위탁관리,복도식,20160720,0418333727,396,20667.193,396.0,0.0,0.0,0.0,13636.96,12,12,0,8,33125,36.2694564945605,126.882159323978
A32381601,부여강산,4476031035,충청남도,부여군,규암면,합송리,충청남도 부여군 규암면 합송리 500 부여강산,분양,개별난방,30873.0,3,263.0,강산건설,강산건설,0418355477,gangsan54.apti.co.kr,아파트,충청남도 부여군 흥수로 646,위탁관리,계단식,20010502,0418355478,263,23848.47,86.0,177.0,0.0,0.0,20187.3,15,15,0,0,33120,36.2683968087748,126.854143255457
