kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10026295,서산읍내양우내안애퍼스트힐,4421010100,충청남도,서산시,읍내동,,충청남도 서산시 읍내동 593-13 서산읍내양우내안애퍼스트힐,분양,개별난방,129291.18,15,943.0,(주)양우건설,(주)광문개발,0416662914,cafe.naver.com/yangwoo0502,아파트,충청남도 서산시 안견로 457,위탁관리,계단식,20180921,0416662915,943,93493.69,278.0,665.0,0.0,0.0,69117.842,23,23,2,26,31987,36.7842352658061,126.440097179703
A10026344,서산푸르밸리아파트,4421010100,충청남도,서산시,읍내동,,충청남도 서산시 읍내동 76-1 서산푸르밸리아파트,분양,개별난방,7962.0,1,155.0,다인종합건설,다인종합건설,0416661832,,도시형 생활주택(아파트),충청남도 서산시 안견로 322,위탁관리,복도식,20170927,07073011833,181,7961.229,155.0,0.0,0.0,0.0,3912.5885,15,15,2,2,31984,36.7776678987891,126.44789794002
A35680504,서산 읍내현대아파트,4421010100,충청남도,서산시,읍내동,,충청남도 서산시 읍내동 55 서산 읍내현대아파트,분양,개별난방,107755.01,12,915.0,(주)현대산업개발,(주)현대산업개발,0416814969,hd.seosan.com,아파트,충청남도 서산시 호수공원6로 19,위탁관리,계단식,20000524,0416814963,915,79197.65,132.0,577.0,206.0,0.0,79193.905,22,22,1,0,31989,36.7761607618689,126.445873757353
A35680601,동신아파트,4421010100,충청남도,서산시,읍내동,,충청남도 서산시 읍내동 624-6 동신아파트,분양,개별난방,34595.664,4,352.0,동신주택,동신주택,0416662500,서산동신.apti.co.kr,아파트,충청남도 서산시 문화로 131,자치관리,복도식,19941209,0416660349,352,29885.328,0.0,352.0,0.0,0.0,25708.32,15,15,1,6,31971,36.7848820754482,126.440958902311
A35680602,서산 대림동신아파트,4421010100,충청남도,서산시,읍내동,,충청남도 서산시 읍내동 624-1 서산 대림동신아파트,분양,개별난방,51902.0,4,360.0,"대림산업,동신주택","대림산업,동신주택",0416672719,,아파트,충청남도 서산시 부춘2로 47,위탁관리,계단식,19941216,0416682719,360,47008.26,0.0,0.0,360.0,0.0,39151.8,15,15,1,12,31971,36.7860411776791,126.442978676613
A35680603,서산롯데캐슬아파트,4421010100,충청남도,서산시,읍내동,,충청남도 서산시 읍내동 438-6 서산롯데캐슬아파트,분양,개별난방,114776.67,14,790.0,롯데건설,태양건설,0416695501,sslottecastle.aptner.com,아파트,충청남도 서산시 안견로 365-10,위탁관리,계단식,20061019,0416695502,791,92766.7,114.0,556.0,0.0,120.0,70281.2652,15,15,1,30,31987,36.7789825051004,126.439971840012
A35680605,서산부영아파트,4421010100,충청남도,서산시,읍내동,,충청남도 서산시 읍내동 624-5 서산부영아파트,분양,개별난방,83913.0,6,1093.0,동광주택,(주)부영,0416652997,sby.aptner.com,아파트,충청남도 서산시 부춘1로 19,위탁관리,복도식,19960215,0416652998,1093,70025.234,1093.0,0.0,0.0,0.0,54343.96,15,15,1,14,31971,36.7843701214888,126.444297127071
A10020876,영진훼미리아파트,4421010200,충청남도,서산시,동문동,,충청남도 서산시 동문동 550-1 영진훼미리아파트,분양,개별난방,10691.175,1,115.0,영진건설,영진건설,0416661809,,아파트,충청남도 서산시 서령로 107,자치관리(직영),계단식,19910406,0416651809,115,9127.275,0.0,115.0,0.0,0.0,9127.275,15,15,1,4,,36.7910405529766,126.459218062528
A10023590,하트리움,4421010200,충청남도,서산시,동문동,,충청남도 서산시 동문동 259-7 하트리움,분양,개별난방,7154.56,1,164.0,두진건설,참시티디앤엠,0416660965,,도시형 생활주택(아파트),,위탁관리(직영+위탁),혼합식,20150414,0416663637,173,6204.14,164.0,0.0,0.0,0.0,3690.06,16,16,1,1,31991,36.7777585863953,126.459939132589
A10026078,서산동문 꿈에그린 아파트,4421010200,충청남도,서산시,동문동,,충청남도 서산시 동문동 1274 서산동문 꿈에그린 아파트,분양,개별난방,67914.0,8,471.0,아시아신탁,한화건설,0416662630,cafe.naver.com/seosandreamland,아파트,충청남도 서산시 서령로 157-27,위탁관리,혼합식,20180823,0416662631,471,47700.887,119.0,352.0,0.0,0.0,35145.7408,23,23,2,14,31965,36.7955882352894,126.460487713302
