kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10024750,장항 이테크 더리브아파트,4477025022,충청남도,서천군,장항읍,창선2리,충청남도 서천군 장항읍 창선2리 640 장항 이테크 더리브아파트,분양,개별난방,51452.004,7,347.0,이테크,코람코 자산,0419567589,,아파트,충청남도 서천군 성화로 156,위탁관리,계단식,20200629,0419568589,347,38988.086,0.0,347.0,0.0,0.0,29245.3783,20,20,1,9,33674,36.0158700304932,126.700028002381
A10022023,장항성주LH천년나무아파트,4477025023,충청남도,서천군,장항읍,성주리,충청남도 서천군 장항읍 성주리 682- 장항성주LH천년나무아파트,임대,개별난방,4849.0,2,100.0,(주)승원종합건설,한국토지주택공사,0419570314,,아파트,충청남도 서천군 성주새길 8,위탁관리,복도식,20221201,0419570313,100,4848.508,100.0,0.0,0.0,0.0,2673.84,1,8,0,2,,36.0100348629307,126.702893843145
A32590101,장항 금강아파트,4477025023,충청남도,서천군,장항읍,성주리,충청남도 서천군 장항읍 성주리 278-2 장항 금강아파트,분양,개별난방,24291.0,2,240.0,대한방직(주),대한방직(주),0419567159,,아파트,충청남도 서천군 성화로 194,위탁관리,계단식,19961109,0419560383,240,23603.68,104.0,108.0,28.0,0.0,18469.72,16,16,0,4,33675,36.0148831077205,126.705047320981
A32590802,서천 신흥아파트,4477025026,충청남도,서천군,장항읍,화천리,충청남도 서천군 장항읍 화천리 303-7 서천 신흥아파트,분양,개별난방,24291.3,1,252.0,(유)신흥주택,(유)신흥주택,0419563807,,아파트,충청남도 서천군 신창서로 81,위탁관리,혼합식,19950923,0419566185,252,21883.271,192.0,60.0,0.0,0.0,16550.88,15,15,0,6,33665,36.0167001530106,126.686324829504
A10024324,서천장항 LH1단지,4477025028,충청남도,서천군,장항읍,옥남리,충청남도 서천군 장항읍 옥남리 722 서천장항 LH1단지,임대,개별난방,33147.47,3,460.0,LH한국토지주택공사,LH한국토지주택공사,0419571007,,아파트,충청남도 서천군 장항산단1길 60,위탁관리,복도식,20210308,0419561006,460,33029.094,460.0,0.0,0.0,0.0,17718.56,18,18,0,7,33658,36.039699254573,126.670699056559
A10021023,장항천산스카이빌아파트,4477025030,충청남도,서천군,장항읍,원수리,충청남도 서천군 장항읍 원수리 1028- 장항천산스카이빌아파트,분양,개별난방,7876.2827,2,70.0,(주)천산이엔씨,(주)천산이엔씨,0419561115,,아파트,충청남도 서천군 장산로 407,위탁관리,계단식,20140717,0419562749,70,7548.0396,12.0,58.0,0.0,0.0,5625.4786,1,15,0,3,,36.0087764182041,126.704584789562
A32590102,장항원수휴먼시아,4477025030,충청남도,서천군,장항읍,원수리,충청남도 서천군 장항읍 원수리 907 장항원수휴먼시아,임대,개별난방,19693.717,3,277.0,남영건설(주),한국토지주택공사,0419570746,장항원수휴먼시아.apti.co.kr,아파트,충청남도 서천군 장항로 285,위탁관리,복도식,20100512,0419562772,277,12811.51,277.0,0.0,0.0,0.0,12811.51,15,15,0,6,33676,36.0070496503572,126.707041317166
A10025164,서천코아루천년가아파트,4477025322,충청남도,서천군,서천읍,사곡리,충청남도 서천군 서천읍 사곡리 394 서천코아루천년가아파트,분양,개별난방,48662.543,5,328.0,새천년종합건설,한국토지신탁,0419511405,,아파트,충청남도 서천군 대백제로 1042-41,위탁관리,계단식,20191122,0419511406,328,37009.18,12.0,299.0,17.0,0.0,28013.5137,20,20,2,9,33635,36.0857559481382,126.684858823927
A10026854,천산스카이빌3차아파트,4477025322,충청남도,서천군,서천읍,사곡리,충청남도 서천군 서천읍 사곡리 393 천산스카이빌3차아파트,분양,개별난방,8640.0,1,72.0,천산개발(주),천산이엔씨(주),0419523556,,아파트,충청남도 서천군 사곡로 8,위탁관리,계단식,20151113,0419513302,72,8376.718,0.0,72.0,0.0,0.0,6104.2248,18,18,1,2,33640,36.0833347812116,126.683506866371
A32570101,서천 천산스카이빌,4477025322,충청남도,서천군,서천읍,사곡리,충청남도 서천군 서천읍 사곡리 386 서천 천산스카이빌,분양,개별난방,51453.3,8,324.0,천산건설,천산E&C,0419523240,csskyvill@hanmail.net,아파트,충청남도 서천군 서천로143번길 51,위탁관리,계단식,20091211,0419523244,325,40330.574,0.0,208.0,116.0,0.0,32179.742,15,15,1,11,33640,36.0822865559225,126.683875005283
