kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022679,아산칸타빌센트럴시티아파트,4420010100,충청남도,아산시,온천동,,충청남도 아산시 온천동 260-28 아산칸타빌센트럴시티아파트,분양,개별난방,39273.945,3,299.0,(주)대원,(주)하은,0415422990,,주상복합,충청남도 아산시 아산로17번길 5,위탁관리,기타,20240330,0415482990,299,26219.75,272.0,27.0,0.0,0.0,18438.5707,41,41,2,6,31506,36.7841364822927,126.997819469051
A10022814,삼일파라뷰 시그니처,4420010100,충청남도,아산시,온천동,,충청남도 아산시 온천동 3149 삼일파라뷰 시그니처,임대,개별난방,71109.47,4,444.0,삼일건설,파라뷰골든클래스,0415317396,,아파트,충청남도 아산시 문화공원로 42,위탁관리,계단식,20240103,0415327396,444,44103.74,198.0,246.0,0.0,0.0,31548.8518,29,29,3,10,31509,36.7926540947153,126.99825764538
A10026233,갤러리휴리움 아산,4420010100,충청남도,아산시,온천동,,충청남도 아산시 온천동 79-14 갤러리휴리움 아산,분양,개별난방,11659.96,1,256.0,(주)다우건설,(주)두영개발,0419107991,huerium1.apti.co.kr,주상복합,충청남도 아산시 온천대로 1532-5,위탁관리,복도식,20180516,0419107992,266,8614.4,256.0,0.0,0.0,0.0,11854.32,15,15,1,2,31520,36.7800377675456,127.008178235977
A10027131,아산온천미소지움아파트,4420010100,충청남도,아산시,온천동,,충청남도 아산시 온천동 1935 아산온천미소지움아파트,분양,개별난방,73187.49,7,586.0,SG신성건설(주),SG신성건설(주),0415473773,아산미소지움.apti.co.kr,아파트,충청남도 아산시 아산로 116-20,위탁관리,계단식,20170221,0415473774,586,51996.445,336.0,250.0,0.0,0.0,38707.7542,20,20,2,14,31509,36.7921660668528,126.995439722982
A10027179,올리브힐,4420010100,충청남도,아산시,온천동,,충청남도 아산시 온천동 307-41 올리브힐,혼합,개별난방,14062.625,1,212.0,(주)레자미종합건설,수안건설,0415349700,아산올리브힐.apti.co.kr,주상복합,충청남도 아산시 청운로84번길 15,위탁관리,혼합식,20160425,0415349720,220,9432.346,212.0,0.0,0.0,0.0,6590.966,13,13,2,3,31520,36.781271719039,127.008691552473
A10027531,아산 반도유보라 아파트,4420010100,충청남도,아산시,온천동,,충청남도 아산시 온천동 1928 아산 반도유보라 아파트,분양,개별난방,80743.055,8,650.0,반도건설,반도종합건설,0415419600,,아파트,충청남도 아산시 아산로 116-21,위탁관리,계단식,20160325,0415419605,650,53533.516,650.0,0.0,0.0,0.0,38991.8786,25,25,2,17,31509,36.7922190889616,126.996523265351
A33601001,아산 경남아너스빌아파트,4420010100,충청남도,아산시,온천동,,충청남도 아산시 온천동 1052 아산 경남아너스빌아파트,분양,개별난방,41169.91,4,370.0,대아건설(주),(주)대아건설,0415484861,,아파트,충청남도 아산시 문화로 115,위탁관리,계단식,19960404,0415413861,370,33838.03,152.0,186.0,32.0,0.0,28792.14,16,16,1,12,31509,36.7914976055319,126.99829430853
A33601002,온양일성아파트,4420010100,충청남도,아산시,온천동,,충청남도 아산시 온천동 1235 온양일성아파트,분양,개별난방,40610.0,5,400.0,일성건설(주),일성건설(주),0415437530,,아파트,충청남도 아산시 시민로 485,위탁관리,계단식,19951120,0415437532,400,34155.387,251.0,134.0,15.0,0.0,27882.58,19,19,1,5,31509,36.7919137512769,126.999522372434
A33601003,모노팰리스,4420010100,충청남도,아산시,온천동,,충청남도 아산시 온천동 74-5 모노팰리스,임대,개별난방,8208.0,1,156.0,우덕산업개발(주),우덕산업개발(주),0415323010,,도시형 생활주택(주상복합),충청남도 아산시 온천대로 1555,자치관리,계단식,20140327,0415450545,156,7378.513,156.0,0.0,0.0,0.0,5056.08,14,14,1,2,31521,36.7802950206624,127.01065073025
A33601201,아산 삼정하이츠아파트,4420010100,충청남도,아산시,온천동,,충청남도 아산시 온천동 617-1 아산 삼정하이츠아파트,분양,개별난방,25588.246,6,300.0,삼정건설,삼정건설,0415446888,온천동삼정하이츠.apti.co.kr,아파트,충청남도 아산시 어의정로 41,자치관리,계단식,19910411,0415446888,300,24924.979,110.0,190.0,0.0,0.0,21279.18215,5,5,0,0,31570,36.7756797912854,127.001466969599
A33676001,온양힐스테이트아파트,4420010100,충청남도,아산시,온천동,,충청남도 아산시 온천동 1910 온양힐스테이트아파트,분양,개별난방,84224.23,7,533.0,(주) 현대건설,삼광하이텍 (주),0415333884,온양힐스테이트.apt.co.kr,아파트,충청남도 아산시 남산로 126,위탁관리,계단식,20060317,0415333886,533,65842.18,0.0,428.0,105.0,0.0,49752.815,15,15,0,16,31574,36.7786674672631,127.007779855874
A33602001,온양벽산아파트,4420010200,충청남도,아산시,실옥동,,충청남도 아산시 실옥동 186 온양벽산아파트,분양,개별난방,39546.0,6,350.0,벽산건설,벽산건설,0415452013,아산벽산블루밍.apti.co.kr/,아파트,충청남도 아산시 문화로 33-10,위탁관리,계단식,19961231,0415452062,350,32366.68,132.0,218.0,0.0,0.0,26389.18,23,23,2,0,31502,36.7889777689635,126.989964041859
