kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10026401,태안 동문이테크코아루아파트,4482525021,충청남도,태안군,태안읍,동문리,충청남도 태안군 태안읍 동문리 936 태안 동문이테크코아루아파트,분양,개별난방,59703.4,5,409.0,이테크건설,한국토지신탁,0416723655,동문코아루.apti.co.kr,아파트,충청남도 태안군 동평로 45,위탁관리,계단식,20180130,0416723656,409,46321.28,0.0,409.0,0.0,0.0,34655.3334,20,20,1,13,32140,36.7506936573887,126.308002392946
A10027960,새빛마을아파트,4482525021,충청남도,태안군,태안읍,동문리,충청남도 태안군 태안읍 동문리 932 새빛마을아파트,사택 및 관사 등,개별난방,85586.75,5,623.0,롯데건설,한국서부발전(주),0416742301,,아파트,충청남도 태안군 동평로 16,자치관리(직영),계단식,20150723,0416742302,628,58459.09,184.0,424.0,15.0,0.0,41655.89,23,23,1,18,32147,36.7475578129316,126.309318918377
A35790502,태안대림,4482525021,충청남도,태안군,태안읍,동문리,충청남도 태안군 태안읍 동문리 413-1 태안대림,분양,개별난방,21423.97,1,203.0,대림개발(주),대림개발(주),0416753898,,아파트,충청남도 태안군 한양길 61-30,위탁관리,복도식,19911023,0416753890,203,21423.81,0.0,203.0,0.0,0.0,15143.45,13,13,0,4,32141,36.7569780189963,126.301662353073
A35790506,태안동문2주공아파트,4482525021,충청남도,태안군,태안읍,동문리,충청남도 태안군 태안읍 동문리 92-1 태안동문2주공아파트,분양,개별난방,32841.465,4,358.0,대한주택공사,대한주택공사,0416721064,xodkswnrhd2@hanmail.net,아파트,충청남도 태안군 동문7길 20,위탁관리,계단식,20011203,0416721065,358,32145.463,209.0,149.0,0.0,0.0,25047.81,15,15,1,0,32147,36.7480359096132,126.307887299746
A35790508,태안동문주공1단지,4482525021,충청남도,태안군,태안읍,동문리,충청남도 태안군 태안읍 동문리 92-1 태안동문주공1단지,분양,개별난방,40940.0,5,566.0,금호아시아나,LH,0416746068,,아파트,충청남도 태안군 동문7길 20,위탁관리,복도식,20000106,0416746069,566,40396.566,566.0,0.0,0.0,0.0,25761.38,15,15,0,10,32147,36.7480359096132,126.307887299746
A10024868,태안코아루3차아파트,4482525022,충청남도,태안군,태안읍,남문리,충청남도 태안군 태안읍 남문리 808 태안코아루3차아파트,분양,개별난방,31378.266,4,252.0,일군토건,한국토지신탁,0416753980,태안코아루3차.apti.co.kr,아파트,충청남도 태안군 서해로 1643,위탁관리,계단식,20200525,0416723982,252,23977.285,47.0,205.0,0.0,0.0,18186.2933,20,20,2,8,32144,36.7466496248429,126.295688417025
A10025535,태안남문미소지움아파트,4482525022,충청남도,태안군,태안읍,남문리,충청남도 태안군 태안읍 남문리 594-4 태안남문미소지움아파트,분양,개별난방,62910.11,8,498.0,sg신성건설,(주)코람코자산신닥,0416749655,태안남문미소지움.apti.co.kr,아파트,충청남도 태안군 환동로 43-12,위탁관리,계단식,20190501,0416749656,498,51375.617,106.0,392.0,0.0,0.0,38635.5818,20,20,0,12,32142,36.7522218845354,126.291443943212
A35771103,태안남문코아루,4482525022,충청남도,태안군,태안읍,남문리,충청남도 태안군 태안읍 남문리 135 태안남문코아루,분양,개별난방,57527.52,4,430.0,(주)흥한건설,한국토지신탁,0416739888,HTTPS://태안남문코아루.APTI.CO.KR,아파트,충청남도 태안군 후곡로 16,위탁관리,계단식,20140926,0416739880,430,31032.436,217.0,213.0,0.0,0.0,31032.435,23,23,2,10,32144,36.7511177426525,126.295354978242
A35790103,태안남문리삼성,4482525022,충청남도,태안군,태안읍,남문리,충청남도 태안군 태안읍 남문리 645 태안남문리삼성,분양,개별난방,26791.0,2,296.0,삼성물산(주),(주)화인개발,0416746330,,주상복합,충청남도 태안군 환동로 18-3,위탁관리,계단식,19960828,0416756330,296,25990.58,146.0,150.0,0.0,0.0,21474.72,15,15,0,10,32144,36.7492507069608,126.293797000378
A35790107,태안 진흥W-Park아파트,4482525022,충청남도,태안군,태안읍,남문리,충청남도 태안군 태안읍 남문리 90-10 태안 진흥W-Park아파트,분양,개별난방,53298.47,5,385.0,진흥,진흥,0416732061,,아파트,충청남도 태안군 군청10길 14,위탁관리,계단식,20060228,0416732065,385,39309.6,116.0,216.0,53.0,0.0,31764.516,15,15,1,14,32144,36.7461100572666,126.296436836876
A35790701,태안장산혜성1차,4482525023,충청남도,태안군,태안읍,장산리,충청남도 태안군 태안읍 장산리 646-3 태안장산혜성1차,분양,개별난방,8409.72,1,156.0,혜성종합건설,혜성종합건설,0416736455,,아파트,충청남도 태안군 근흥로 64,자치관리,복도식,19990210,0416734739,156,8409.72,156.0,0.0,0.0,0.0,6261.84,12,12,1,2,32145,36.756325042525,126.269303990169
A10023050,태안평천LH3단지,4482525027,충청남도,태안군,태안읍,평천리,충청남도 태안군 태안읍 평천리 738 태안평천LH3단지,임대,개별난방,45703.65,7,746.0,에이치중공업,한국토지주택공사,0416741014,,아파트,충청남도 태안군 동평로 32,위탁관리,복도식,20231031,0416741013,746,45339.984,746.0,0.0,0.0,0.0,24054.86,17,17,2,15,32140,36.7495684263304,126.311041681247
A35771101,평천휴먼시아,4482525027,충청남도,태안군,태안읍,평천리,충청남도 태안군 태안읍 평천리 737 평천휴먼시아,임대,개별난방,36872.0,7,531.0,대우해양조선건설,한국토지주택공사,0416723883,,아파트,충청남도 태안군 동평로 42,위탁관리,복도식,20101130,0416723472,531,33335.684,531.0,0.0,0.0,0.0,21465.15,14,14,1,0,32140,36.7505031378388,126.310870284478
A35771102,해송마을,4482525033,충청남도,태안군,태안읍,삭선리,충청남도 태안군 태안읍 삭선리 281-1 해송마을,분양,개별난방,49361.598,14,674.0,정의개발주식회사,부경주택,0416731771,해송마을아파트.apti.co.kr/aptHome/,아파트,충청남도 태안군 원이로 302,위탁관리,복도식,19990622,0416731770,774,47574.76,633.0,41.0,0.0,0.0,32326.743,11,11,0,11,32134,36.7832515321737,126.278072717475
A35790704,태안삼호,4482525033,충청남도,태안군,태안읍,삭선리,충청남도 태안군 태안읍 삭선리 765-2 태안삼호,분양,개별난방,22122.0,5,296.0,대호건설,삼호건설,0416723374,,아파트,충청남도 태안군 백교길 53-4,자치관리,복도식,19980115,0416721497,296,20751.09,296.0,0.0,0.0,0.0,14717.23,7,7,0,6,32134,36.7763337524797,126.275718968402
A35790705,태안신동아,4482525033,충청남도,태안군,태안읍,삭선리,충청남도 태안군 태안읍 삭선리 420-4 태안신동아,분양,개별난방,30098.62,4,300.0,신동아건설(주),신동아건설(주),0416759854,,아파트,충청남도 태안군 진벌로 34-3,자치관리,계단식,19960601,0416753258,300,28761.0,120.0,120.0,60.0,0.0,25147.8,15,15,0,10,32134,36.7755245188911,126.285710713792
A10022171,카밀리아하우스,4482533027,충청남도,태안군,근흥면,정죽리,충청남도 태안군 근흥면 정죽리 2262-3 카밀리아하우스,분양,개별난방,14480.89,2,126.0,(주)윈드종합건설,태안비치골프텔(주),0416750335,,아파트,충청남도 태안군 갈음이길 77,위탁관리,계단식,20080130,0416750334,126,14477.4,0.0,126.0,0.0,0.0,10707.48,11,11,1,6,,36.6888113765431,126.154609933144
A35791101,한국서부발전(주) 사택 이화마을,4482535021,충청남도,태안군,원북면,반계리,충청남도 태안군 원북면 반계리 238 한국서부발전(주) 사택 이화마을,사택 및 관사 등,개별난방,45299.453,24,480.0,한국서부발전(주),한국서부발전(주),0416741788,,아파트,충청남도 태안군 원이로 820-32,위탁관리,계단식,19951208,0416728733,480,30387.031,264.0,152.0,64.0,0.0,31296.272,5,5,0,1,32109,36.8206176543098,126.262260637831
