kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10023475,진영허브시티아파트,4374025021,충청북도,영동군,영동읍,계산리,충청북도 영동군 영동읍 계산리 664-2 진영허브시티아파트,분양,개별난방,12361.668,1,75.0,진영토건,진영토건,0437447211,,아파트,,위탁관리,계단식,20150909,0437447266,83,10072.359,0.0,72.0,3.0,0.0,6477.07,15,15,2,2,29144,36.1733341008448,127.782061075501
A10020237,미드림아파트,4374025022,충청북도,영동군,영동읍,동정리,충청북도 영동군 영동읍 동정리 65-3 미드림아파트,분양,개별난방,14244.008,2,111.0,드림월드종합건설,드림월드종합건설,0437448741,,아파트,충청북도 영동군 동정로 39-30,위탁관리,혼합식,20080418,0437440113,111,14244.008,0.0,0.0,74.0,37.0,14244.0079,10,0,1,4,,36.1761290023335,127.785739367473
A10022054,이든팰리스아파트,4374025022,충청북도,영동군,영동읍,동정리,충청북도 영동군 영동읍 동정리 93- 이든팰리스아파트,분양,개별난방,0.0,1,141.0,(주)리움,(주)리움토건,0437454330,,아파트,충청북도 영동군 동정로 56-12,위탁관리,계단식,20151211,0437454331,141,15117.107,0.0,141.0,0.0,0.0,11269.2296,1,20,1,5,,36.1733858701748,127.786017864122
A37070201,영동가마실1,4374025022,충청북도,영동군,영동읍,동정리,충청북도 영동군 영동읍 동정리 143 영동가마실1,임대,개별난방,19655.42,4,313.0,대동이엔씨,LH,0437444248,www.kohom.or.kr,아파트,충청북도 영동군 동정로 47,위탁관리,계단식,20081022,0437444258,313,12960.982,313.0,0.0,0.0,0.0,12947.45,13,13,0,0,29140,36.175272906009,127.787353982093
A37080301,영동현대,4374025022,충청북도,영동군,영동읍,동정리,충청북도 영동군 영동읍 동정리 68-1 영동현대,분양,개별난방,21277.84,2,222.0,현대건설(주),현대건설(주),0437433960,영동현대아파트.apti.co.kr,아파트,충청북도 영동군 동정로 39-27,위탁관리,혼합식,19960124,0437433961,222,20131.26,102.0,120.0,0.0,0.0,16293.12,15,15,1,6,29140,36.1761002301173,127.784822616652
A10022179,조한드림플러스아파트,4374025027,충청북도,영동군,영동읍,매천리,충청북도 영동군 영동읍 매천리 81-1 조한드림플러스아파트,분양,개별난방,13796.86,1,119.0,(주)조한도시개발,(주)조한도시개발,0437448228,,아파트,,자치관리,혼합식,20011120,0437448229,119,11115.82,45.0,74.0,0.0,0.0,8978.92,1,15,0,0,,36.1690309505769,127.78712249016
A10021922,지평더웰2차 아파트,4374025028,충청북도,영동군,영동읍,부용리,충청북도 영동군 영동읍 부용리 416-1 지평더웰2차 아파트,분양,개별난방,15067.0,1,132.0,지평건설,지평건설,0437445990,,아파트,충청북도 영동군 상부용로 20,위탁관리,계단식,20090604,0437445991,132,12345.03,59.0,73.0,0.0,0.0,9287.2223,15,15,1,5,,36.179095338334,127.772025507347
A10023479,영동부용고령지복지주택,4374025028,충청북도,영동군,영동읍,부용리,충청북도 영동군 영동읍 부용리 890 영동부용고령지복지주택,임대,개별난방,11813.0,2,208.0,우일건설주식회사,한국토지주택공사,0437455562,,아파트,,위탁관리,복도식,20221215,0437455563,208,11812.784,208.0,0.0,0.0,0.0,6011.92,15,15,1,0,29152,36.1686089719405,127.770644717958
A10027000,금강아파트,4374025031,충청북도,영동군,영동읍,설계리,충청북도 영동군 영동읍 설계리 693 금강아파트,분양,개별난방,28506.389,7,376.0,새한주택,새한주택,0437441680,,아파트,충청북도 영동군 눈어치1로 5,자치관리,복도식,19941221,0437442633,376,23794.66,376.0,0.0,0.0,0.0,18820.68,6,6,0,0,29134,36.1850863761042,127.778706161319
A37070203,영동훼미리타운,4374025031,충청북도,영동군,영동읍,설계리,충청북도 영동군 영동읍 설계리 621-1 영동훼미리타운,분양,개별난방,10548.34,1,169.0,풍년종합건설주식회사,원건설주식회사,0437455579,,아파트,충청북도 영동군 눈어치로 6-9,위탁관리,계단식,19980924,0437455579,169,8188.184,142.0,27.0,0.0,0.0,6530.75,10,10,1,3,29130,36.1880268185777,127.780936117764
A37080602,설계주공,4374025031,충청북도,영동군,영동읍,설계리,충청북도 영동군 영동읍 설계리 886 설계주공,분양,개별난방,25815.686,6,393.0,중흥건설,주택토지공사,0437439448,www.raybol.net/D40005,아파트,충청북도 영동군 눈어치로 22-10,위탁관리,복도식,20020708,0437439449,393,25720.36,393.0,0.0,0.0,0.0,17982.81,15,15,0,3,29130,36.1884067279314,127.780194152657
A10024020,영동용산행복주택,4374031021,충청북도,영동군,용산면,구촌리,충청북도 영동군 용산면 구촌리 576 영동용산행복주택,임대,개별난방,9846.3,2,200.0,정인건설,LH,0437434894,,아파트,,위탁관리,복도식,20210927,0437434895,200,9749.777,200.0,0.0,0.0,0.0,5979.82,13,13,2,4,29110,36.2617472975895,127.827926143182
