kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10027737,증평송산 LH천년나무3단지,4374525021,충청북도,증평군,증평읍,증평리,충청북도 증평군 증평읍 증평리 14 증평송산 LH천년나무3단지,임대,개별난방,40866.9,5,640.0,성지건설(주),한국토지주택공사,0438381180,,아파트,충청북도 증평군 송산로4길 9,위탁관리,복도식,20160112,0438381181,640,40675.355,640.0,0.0,0.0,0.0,24130.2,15,15,1,12,27917,36.7819473077706,127.582343096563
A36890702,증평주공2단지아파트,4374525025,충청북도,증평군,증평읍,신동리,충청북도 증평군 증평읍 신동리 545 증평주공2단지아파트,분양,개별난방,23392.36,4,296.0,대한주택공사,대한주택공사,0438385480,,아파트,충청북도 증평군 창신로 85,위탁관리,복도식,19950926,0438385470,296,23390.46,296.0,0.0,0.0,0.0,17209.44,15,15,0,4,27944,36.778623213122,127.581075206796
A36890712,괴산증평3,4374525025,충청북도,증평군,증평읍,신동리,충청북도 증평군 증평읍 신동리 545 괴산증평3,임대,중앙난방,14558.269,1,358.0,제일건설,주택공사,0438385826,kohom.co.kr,아파트,충청북도 증평군 창신로 86,자치관리,복도식,19950926,0438387826,358,9440.46,358.0,0.0,0.0,0.0,9440.46,15,15,0,4,27944,36.778623213122,127.581075206796
A10022089,영우아파트,4374525026,충청북도,증평군,증평읍,창동리,충청북도 증평군 증평읍 창동리 282- 영우아파트,분양,개별난방,12148.0,1,140.0,영우주택,영우주택,0438384801,,아파트,충청북도 증평군 역전로 28,위탁관리,복도식,19921210,,140,11571.0,140.0,0.0,0.0,0.0,8386,13,13,1,2,,36.7834931338742,127.578967900398
A36890804,증평주공1단지아파트,4374525026,충청북도,증평군,증평읍,창동리,충청북도 증평군 증평읍 창동리 544 증평주공1단지아파트,분양,개별난방,16340.0,7,330.0,대한주택공사,대한주택공사,0438361252,,아파트,충청북도 증평군 삼보로1길 21,위탁관리,계단식,19881120,0438361207,330,15933.63,330.0,0.0,0.0,0.0,14001,5,5,0,0,27928,36.7840839154344,127.575696332651
A36890806,증평파라디아1차아파트,4374525026,충청북도,증평군,증평읍,창동리,충청북도 증평군 증평읍 창동리 822 증평파라디아1차아파트,분양,개별난방,59959.984,5,421.0,(주)파라다이스글로벌,(주)미르알앤디,0438385562,,아파트,충청북도 증평군 충청대로 1746,위탁관리,계단식,20070731,0438385563,421,48883.434,0.0,361.0,60.0,0.0,37913.386,15,15,1,12,27927,36.7851929094338,127.579961276011
A10027982,증평 대성베르힐 아파트,4374525027,충청북도,증평군,증평읍,장동리,충청북도 증평군 증평읍 장동리 930 증평 대성베르힐 아파트,혼합,개별난방,131641.83,13,989.0,대성베르힐(주),대성건설(주),0438387154,,아파트,충청북도 증평군 북부두름길 4,위탁관리,계단식,20150522,0438387155,989,95396.82,422.0,567.0,0.0,0.0,71050.209,18,18,1,25,27920,36.7899099449289,127.589139498049
A36890107,증평장동관리사무소,4374525027,충청북도,증평군,증평읍,장동리,충청북도 증평군 증평읍 장동리 925 증평장동관리사무소,임대,개별난방,44807.895,7,558.0,(주)한양,한국토지주택공사,0438368006,,아파트,충청북도 증평군 증평로 31-11,위탁관리,혼합식,20080318,0438360078,558,41807.883,558.0,0.0,0.0,0.0,29145.92,15,15,0,15,27923,36.7878582998596,127.589361523521
A36890108,증평4단지주공아파트,4374525027,충청북도,증평군,증평읍,장동리,충청북도 증평군 증평읍 장동리 921 증평4단지주공아파트,분양,개별난방,47596.457,7,627.0,"서희건설,경남기업",대한주택공사,0438381856,증평4단지주공아파트.apti.co.kr/apthome,아파트,충청북도 증평군 문화로 97,위탁관리,계단식,20030710,0438381857,627,47211.562,627.0,0.0,0.0,0.0,33939.15,15,15,0,16,27921,36.7884736193613,127.591820106831
A36890109,증평삼일아파트,4374525027,충청북도,증평군,증평읍,장동리,충청북도 증평군 증평읍 장동리 255 증평삼일아파트,분양,개별난방,102608.0,8,942.0,삼일주택공사,삼일주택공사,0438388382,,아파트,충청북도 증평군 장뜰로 110,자치관리,혼합식,19921224,0438388352,944,92651.81,404.0,480.0,0.0,58.0,74377.4,15,15,1,23,27924,36.786278222325,127.587648801578
A10022159,한성아파트,4374525028,충청북도,증평군,증평읍,증천리,충청북도 증평군 증평읍 증천리 728- 한성아파트,분양,개별난방,0.0,3,210.0,(주)한성주택,홍수건축사,0438360026,,아파트,충청북도 증평군 삼일로8길 33,자치관리,계단식,19880507,0438383470,210,10240.0,210.0,0.0,0.0,0.0,8937.8,5,5,0,0,,36.7807143938004,127.589683325482
A10022133,파라디아2차아파트,4374525030,충청북도,증평군,증평읍,초중리,충청북도 증평군 증평읍 초중리 45-4 파라디아2차아파트,분양,개별난방,0.0,2,112.0,(주)미르R&D,파라디아건설,0438369868,,아파트,충청북도 증평군 창신로 8-1,자치관리,계단식,20071227,0438369878,112,19695.76,0.0,0.0,0.0,112.0,16746.3184,0,15,0,4,,36.7832352027955,127.574160157127
A36870201,증평한라비발디아파트,4374525030,충청북도,증평군,증평읍,초중리,충청북도 증평군 증평읍 초중리 533-1 증평한라비발디아파트,분양,개별난방,82537.29,7,540.0,(주)한라건설,sk 하우징,0438361980,https://증평한라비발디.apti.co.kr,아파트,충청북도 증평군 초중6길 8,위탁관리,계단식,20061002,0438361950,540,64606.004,0.0,420.0,120.0,0.0,51005.448,15,15,1,18,27942,36.7754283724382,127.568538608775
A36891001,증평일진뜨리에,4374525030,충청북도,증평군,증평읍,초중리,충청북도 증평군 증평읍 초중리 114 증평일진뜨리에,분양,개별난방,18032.85,2,220.0,일진건설산업(주),일진건설산업(주),0438365506,,아파트,충청북도 증평군 가장골길 16-13,위탁관리,계단식,20050915,0438365507,220,16559.994,220.0,0.0,0.0,0.0,13128.5,15,15,1,9,27943,36.7766197258036,127.576197790171
A10022932,송산칸타빌 더센트럴 아파트,4374525032,충청북도,증평군,증평읍,송산리,충청북도 증평군 증평읍 송산리 722-1 송산칸타빌 더센트럴 아파트,분양,개별난방,55175.0,5,330.0,DW대원(주),(주)칸타빌,0438388520,admin.aptner.com,아파트,충청북도 증평군 송산로 36,위탁관리,계단식,20231030,0438388521,330,36640.99,0.0,330.0,0.0,0.0,28048.581,25,25,2,8,27918,36.7883664349984,127.575466100138
A10023714,증평 송산 5단지,4374525032,충청북도,증평군,증평읍,송산리,충청북도 증평군 증평읍 송산리 722 증평 송산 5단지,임대,개별난방,47464.01,4,605.0,kp산업,한국토지주택공사,0438362600,,아파트,충청북도 증평군 송산로 30,위탁관리,복도식,20220708,0438362601,606,47129.316,605.0,0.0,0.0,0.0,22761.54,24,24,1,0,27918,36.7879325299488,127.574464530613
A10025577,증평송산대광로제비앙아파트,4374525032,충청북도,증평군,증평읍,송산리,충청북도 증평군 증평읍 송산리 762 증평송산대광로제비앙아파트,임대,개별난방,93737.516,7,702.0,(주)대광건영,(주)대광에이엠씨,0438380946,증평송산대광로제비앙.apti.co.kr,아파트,충청북도 증평군 송산로 105,위탁관리,계단식,20190328,0438380947,702,93737.45,0.0,702.0,0.0,0.0,52727.658,20,20,1,19,27917,36.7930126253427,127.581077428189
A36870203,증평송산휴먼시아2단지,4374525032,충청북도,증평군,증평읍,송산리,충청북도 증평군 증평읍 송산리 717 증평송산휴먼시아2단지,임대,개별난방,35303.28,6,514.0,한국토지주택공사,계룡건설(주),0438382342,송산2단지.apti.co.kr/,아파트,충청북도 증평군 송산로 53,위탁관리,복도식,20100615,0438382343,514,35303.21,514.0,0.0,0.0,0.0,20568.98,15,15,1,13,27918,36.790800674847,127.57658159605
A36870204,증평송산휴먼시아1단지,4374525032,충청북도,증평군,증평읍,송산리,충청북도 증평군 증평읍 송산리 720 증평송산휴먼시아1단지,임대,개별난방,33118.97,6,504.0,신한종합건설(주),LH한국토지주택공사,0438385628,,아파트,충청북도 증평군 송산로 35,위탁관리,복도식,20110818,0438385629,504,33118.97,504.0,0.0,0.0,0.0,19945.04,15,15,0,0,27918,36.7899441621142,127.574816216324
A36870205,증평송산지평더웰,4374525032,충청북도,증평군,증평읍,송산리,충청북도 증평군 증평읍 송산리 721 증평송산지평더웰,분양,개별난방,39692.0,5,372.0,지평건설(주),지평건설(주),0438382435,증평지평더웰.apti.co.kr,아파트,충청북도 증평군 송산로 11,위탁관리,계단식,20141205,0438382434,372,30752.533,372.0,0.0,0.0,0.0,22305.1854,15,15,1,13,27918,36.789319794952,127.57348954072
A10024058,증평코아루휴티스아파트,4374525033,충청북도,증평군,증평읍,미암리,충청북도 증평군 증평읍 미암리 1073 증평코아루휴티스아파트,분양,개별난방,97331.62,12,770.0,금강종합건설(주),(주)한국토지신탁,0438389321,xn--2s2b21pt5bgtg9qiqxfksbd5n.apti.co.kr/aptHome/,아파트,충청북도 증평군 미암로 59,위탁관리,계단식,20211103,0438389322,770,68477.375,566.0,204.0,0.0,0.0,50535.3162,18,18,2,20,27916,36.7943329736607,127.589671394112
A36890303,증평서호이타운아파트,4374525035,충청북도,증평군,증평읍,용강리,충청북도 증평군 증평읍 용강리 35 증평서호이타운아파트,분양,개별난방,17330.852,1,298.0,서호건설주식회사,예당건설,0438380206,,아파트,충청북도 증평군 광장로 534,위탁관리,복도식,20010922,0438380226,300,13384.48,298.0,0.0,0.0,0.0,10381.78,15,15,1,3,27909,36.7728117661796,127.627117571105
