kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A36110001,사직쌍용아파트,4311210100,충청북도,청주서원구,사직동,,충청북도 청주서원구 사직동 147-23 사직쌍용아파트,분양,개별난방,19103.79,3,180.0,쌍용건설,쌍용건설,0432652981,사직쌍용.apti.co.kr,아파트,충청북도 청주시 서원구 호국로38번길 23,위탁관리,계단식,19891229,0432682982,180,19008.0,0.0,180.0,0.0,0.0,15250.22,8,8,1,12,28653,36.6314943194586,127.476870898167
A36170101,두산위브더제니스,4311210100,충청북도,청주서원구,사직동,,충청북도 청주서원구 사직동 265-5 두산위브더제니스,분양,개별난방,95710.28,2,576.0,두산건설,(주)모닝랜드,0432667800,,아파트,충청북도 청주시 서원구 사운로 93,위탁관리,기타,20090729,0432667801,576,95710.28,0.0,0.0,426.0,150.0,72481.6,41,41,4,12,28555,36.6370792323612,127.478267998886
A36171701,청주푸르지오.캐슬아파트,4311210100,충청북도,청주서원구,사직동,,충청북도 청주서원구 사직동 928 청주푸르지오.캐슬아파트,분양,지역난방,602522.0,41,3599.0,롯데건설대우건설,사직주공재건축조합,0432661481,www.cpcapt..com,아파트,충청북도 청주시 서원구 예체로 68,위탁관리,계단식,20101119,0432661483,3599,433088.62,230.0,2157.0,988.0,224.0,335234.16,25,25,2,84,28650,36.6337498856983,127.469715557505
A36182601,사직덕희아파트,4311210100,충청북도,청주서원구,사직동,,충청북도 청주서원구 사직동 358-5 사직덕희아파트,분양,개별난방,7654.27,1,203.0,덕희건설(주),덕희건설(주),0432765067,없음,아파트,충청북도 청주시 서원구 남사로 14,위탁관리,복도식,19940218,07081039682,203,7650.2783,203.0,0.0,0.0,0.0,4506.6,12,12,1,2,28656,36.6297575522928,127.478157570097
A10023163,청주센트럴리슈빌DS,4311210200,충청북도,청주서원구,사창동,,충청북도 청주서원구 사창동 180-1 청주센트럴리슈빌DS,분양,개별난방,17264.0,1,298.0,동성건설(주),코리아신탁(주),0432637273,,주상복합,충청북도 청주시 서원구 1순환로 627,위탁관리,계단식,20230424,0432637939,298,17263.744,298.0,0.0,0.0,0.0,11072.6862,33,33,3,2,28562,36.6374205470356,127.459805418743
A10024622,청주개신행복주택,4311210200,충청북도,청주서원구,사창동,,충청북도 청주서원구 사창동 570 청주개신행복주택,임대,개별난방,5878.76,1,150.0,이엔에스건설,한국토지주택공사,0432636691,,아파트,충청북도 청주시 서원구 충대로 1,위탁관리,복도식,20200814,0432636692,150,5674.6807,150.0,0.0,0.0,0.0,2701.08,11,11,1,4,28644,36.6300443933522,127.455076764458
A36177501,두진하트리움에덴,4311210200,충청북도,청주서원구,사창동,,충청북도 청주서원구 사창동 304-1 두진하트리움에덴,분양,개별난방,25176.75,1,298.0,(주)두진건설,(주)두진건설,0432602599,두진하트리움에덴.apt.co.kr,주상복합,충청북도 청주시 서원구 사직대로 160,위탁관리,복도식,20141112,0432602799,298,25175.75,297.0,0.0,1.0,0.0,14567.8534,20,20,2,6,28648,36.634815776559,127.465043619258
A36183201,사창현대아파트,4311210200,충청북도,청주서원구,사창동,,충청북도 청주서원구 사창동 227-2 사창현대아파트,분양,중앙난방,25921.5,2,229.0,현대산업개발(주),현대산업개발(주),0432664236,사창현대.apti.co.kr,아파트,충청북도 청주시 서원구 사직대로157번길 18,위탁관리,계단식,19881206,0432722279,229,25920.996,0.0,174.0,55.0,0.0,20857.87,14,14,0,9,28567,36.6364491354341,127.464750532249
A36183302,사창대원칸타빌,4311210200,충청북도,청주서원구,사창동,,충청북도 청주서원구 사창동 285-3 사창대원칸타빌,분양,지역난방,123558.98,11,810.0,(주)대원,사직주공1차 주택 재건축조합,0432776539,www.cjcantavil.com,아파트,충청북도 청주시 서원구 예체로67번길 87,위탁관리,계단식,20080613,0432776540,810,92039.68,296.0,247.0,267.0,0.0,69495.763,25,25,2,20,28663,36.6329093469038,127.461846849006
A10020417,한화포레나 청주매봉아파트,4311210300,충청북도,청주서원구,모충동,,충청북도 청주서원구 모충동 62-10 한화포레나 청주매봉아파트,분양,개별난방,313516.0,21,1849.0,한화건설,씨에스에프,0432968520,,아파트,충청북도 청주시 서원구 매봉로 131,위탁관리,계단식,20250924,0432978520,1849,215385.3,0.0,1557.0,292.0,0.0,159838.0364,0,29,0,48,,36.6206363011298,127.478429785518
