kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020612,청주우암행복주택,4311410100,충청북도,청주청원구,우암동,,충청북도 청주청원구 우암동 1213- 청주우암행복주택,임대,개별난방,9125.24,1,120.0,LH공사,한국토지주택공사,0432505553,,도시형 생활주택(주상복합),충청북도 청주시 청원구 직지대로 864,위탁관리,복도식,20230322,07070394533,120,9125.237,120.0,0.0,0.0,0.0,3534.2,1,15,2,2,,36.6499965852343,127.486444475926
A10026664,우암 라임미소가,4311410100,충청북도,청주청원구,우암동,,충청북도 청주청원구 우암동 372-6 우암 라임미소가,분양,개별난방,27039.2,1,284.0,(주)라임종합건설,(주)오마주,0432259541,,아파트,충청북도 청주시 청원구 향군로 110,위탁관리,복도식,20171124,0432259542,284,22390.326,284.0,0.0,0.0,0.0,13738.068,21,21,2,1,28480,36.654760085604,127.482041100743
A10027331,우암 삼일 브리제하임 아파트,4311410100,충청북도,청주청원구,우암동,,충청북도 청주청원구 우암동 1210 우암 삼일 브리제하임 아파트,분양,개별난방,21925.854,3,181.0,(주)삼일건설,대한토지신탁(주),0432223136,wsb.aptner.com,아파트,충청북도 청주시 청원구 향군로 123,위탁관리,계단식,20161028,0432223137,181,21925.854,133.0,48.0,0.0,0.0,11628.7299,25,25,1,4,28485,36.6552861510493,127.480728461069
A10027900,캠퍼스타워,4311410100,충청북도,청주청원구,우암동,,충청북도 청주청원구 우암동 237-13 캠퍼스타워,분양,개별난방,12055.0,1,299.0,일진건설,대윤아이앤디,0432220250,캠퍼스타워.apti.co.kr/,주상복합,충청북도 청주시 청원구 상당로 248,위탁관리,복도식,20150916,0432220210,299,8998.63,299.0,0.0,0.0,0.0,5262.82,20,20,3,2,28505,36.6505864179462,127.489205788413
A36081401,우암세원아파트,4311410100,충청북도,청주청원구,우암동,,충청북도 청주청원구 우암동 328-12 우암세원아파트,분양,개별난방,14496.0,1,236.0,(주)세원건설,(주)세원건설,0432505737,,아파트,충청북도 청주시 청원구 사북로149번길 7,위탁관리,복도식,19991105,0432505737,236,11811.58,236.0,0.0,0.0,0.0,9511.307,13,13,1,0,28538,36.6457488290965,127.487046341447
A36081402,우암덕일한마음아파트,4311410100,충청북도,청주청원구,우암동,,충청북도 청주청원구 우암동 353-2 우암덕일한마음아파트,분양,개별난방,29446.0,3,345.0,덕일건설,덕일건설,0432581535,,아파트,충청북도 청주시 청원구 향군로74번길 26,자치관리,혼합식,19961129,0432581535,345,24581.9,179.0,163.0,0.0,3.0,18988.96,15,15,1,2,28488,36.6521894636717,127.485320670046
A10020495,롯데삼성아파트,4311410200,충청북도,청주청원구,내덕동,,충청북도 청주청원구 내덕동 106-10 롯데삼성아파트,분양,개별난방,15205.5,5,252.0,삼성,삼성,0432158343,,아파트,충청북도 청주시 청원구 덕벌로23번길 18,자치관리,계단식,19861118,0432158343,252,12173.76,252.0,0.0,0.0,0.0,12173.76,5,5,0,0,,36.6553895331432,127.494697701681
A10021244,내덕신라아파트,4311410200,충청북도,청주청원구,내덕동,,충청북도 청주청원구 내덕동 422- 내덕신라아파트,분양,개별난방,13854.0,1,120.0,신라건설,신라건설,0432132293,,아파트,충청북도 청주시 청원구 1순환로197번길 31,자치관리,계단식,19881226,0432132293,120,13803.2,0.0,100.0,0.0,20.0,11852.4,1,5,0,0,,36.6632495988604,127.491321514269
A10021392,삼일맨션아파트,4311410200,충청북도,청주청원구,내덕동,,충청북도 청주청원구 내덕동 697-1 삼일맨션아파트,분양,개별난방,16996.0,4,200.0,삼일건설,삼일건설,0432583737,,아파트,충청북도 청주시 청원구 1순환로341번길 50,자치관리(직영),계단식,19891110,,200,16996.0,0.0,200.0,0.0,0.0,16996,1,6,0,0,,36.656364281379,127.477653906048
A10024561,청주 힐즈파크 푸르지오,4311410200,충청북도,청주청원구,내덕동,,충청북도 청주청원구 내덕동 857 청주 힐즈파크 푸르지오,분양,개별난방,120492.0,9,777.0,대우건설,아시아신탁,0432119911,hppg.aptner.com/v2,아파트,충청북도 청주시 청원구 1순환로 123,위탁관리,계단식,20201110,0432119922,777,84922.71,0.0,727.0,50.0,0.0,65248.127,25,25,2,17,28495,36.6609063331276,127.497719813389
