kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10027360,거성하모니아파트,4311310400,충청북도,청주흥덕구,운천동,,충청북도 청주흥덕구 운천동 556-3 거성하모니아파트,분양,개별난방,5178.56,1,164.0,직지건설(주),주)거성하모니,0432741676,거성하모니.apti.co.kr,아파트,충청북도 청주시 흥덕구 사운로 294-2,위탁관리,복도식,20160128,07072041677,164,5178.5547,164.0,0.0,0.0,0.0,3719.3148,10,10,1,2,28467,36.6538978547569,127.472241440098
A36179801,운천진양아파트,4311310400,충청북도,청주흥덕구,운천동,,충청북도 청주흥덕구 운천동 677-1 운천진양아파트,분양,개별난방,28960.0,9,420.0,진양건설,진양건설,0432756824,www.raybol.net/A40088,아파트,충청북도 청주시 흥덕구 사운로 257,위탁관리,계단식,19860925,0432756825,420,28959.6,420.0,0.0,0.0,0.0,23902.2,5,5,0,0,28473,36.6500840025231,127.47369770667
A36179902,운천무지개삼일아파트,4311310400,충청북도,청주흥덕구,운천동,,충청북도 청주흥덕구 운천동 577 운천무지개삼일아파트,분양,개별난방,69800.61,5,639.0,삼일주택공사,삼일주택공사,0432768213,운천무지개삼일.apti.co.kr,아파트,충청북도 청주시 흥덕구 사운로 278,위탁관리,혼합식,19940822,0439008213,639,54095.91,236.0,381.0,22.0,0.0,43025.47,15,15,2,19,28467,36.6523073189182,127.47352466968
A36179503,신봉삼정백조아파트,4311310500,충청북도,청주흥덕구,신봉동,,충청북도 청주흥덕구 신봉동 310 신봉삼정백조아파트,분양,개별난방,69138.01,7,564.0,삼정건설,삼정건설,0432748512,https://cafe.naver.com/sbsjbj,아파트,충청북도 청주시 흥덕구 1순환로513번길 33,위탁관리,계단식,19950706,0432658512,564,59038.066,264.0,220.0,40.0,40.0,46987.56,11,11,0,26,28476,36.6466021331746,127.467747133639
A36179604,신봉삼성아파트,4311310500,충청북도,청주흥덕구,신봉동,,충청북도 청주흥덕구 신봉동 159 신봉삼성아파트,분양,개별난방,64768.9,7,570.0,삼성물산,삼성물산,0432727461,신봉삼성.apti.co.kr,아파트,충청북도 청주시 흥덕구 사운로 335,위탁관리,계단식,19921104,0432727462,570,51595.56,0.0,480.0,90.0,0.0,51595.56,15,15,1,20,28457,36.6565453496085,127.468181613877
A36183901,신봉두진백로아파트,4311310500,충청북도,청주흥덕구,신봉동,,충청북도 청주흥덕구 신봉동 35-1 신봉두진백로아파트,분양,개별난방,25678.0,3,244.0,두진공영(주),두진공영(주),0432625720,,아파트,충청북도 청주시 흥덕구 사운로324번길 14,위탁관리,혼합식,19931115,0439055720,244,21747.72,162.0,82.0,0.0,0.0,16223.36,15,15,1,6,28456,36.655655679282,127.471012972632
A36183902,(주)일택 신봉우림필유아파트,4311310500,충청북도,청주흥덕구,신봉동,,충청북도 청주흥덕구 신봉동 177 (주)일택 신봉우림필유아파트,분양,개별난방,74205.0,8,427.0,우림건설,우림건설,0432605276,신봉우림필유.apti.co.kr/,아파트,충청북도 청주시 흥덕구 사운로359번길 13,위탁관리,계단식,20071029,0432605277,427,57359.77,0.0,173.0,254.0,0.0,46145.7,15,15,1,15,28457,36.6575257788579,127.466917895956
A10020644,힐스테이트청주센트럴2차,4311311300,충청북도,청주흥덕구,가경동,,충청북도 청주흥덕구 가경동 1416-1 힐스테이트청주센트럴2차,분양,개별난방,52485.62,2,258.0,(주)현대엔지니어링,(주)우민,0432398800,,주상복합,충청북도 청주시 흥덕구 2순환로1219번길 30,위탁관리,계단식,20250430,0432366601,258,33649.31,0.0,212.0,42.0,4.0,23254.331,49,48,6,2,,36.6276029341546,127.431368540204
A10023877,청주가경아이파크4단지,4311311300,충청북도,청주흥덕구,가경동,,충청북도 청주흥덕구 가경동 2251 청주가경아이파크4단지,분양,지역난방,355582016.0,2,201.0,(주)HDC현대산업개발,(주)HDC현대산업개발,0432340941,cjggipark4.aptner.com/v2,아파트,충청북도 청주시 흥덕구 홍골로 82,위탁관리,계단식,20220321,0432310942,201,22029.71,0.0,201.0,0.0,0.0,17047.4805,27,27,2,0,28382,36.6146150777644,127.432416576818
A10024286,청주가경아이파크3단지,4311311300,충청북도,청주흥덕구,가경동,,충청북도 청주흥덕구 가경동 2276 청주가경아이파크3단지,분양,지역난방,170240.39,8,983.0,현대산업개발(주),(주)하나자산,0437161213,http://v2admin.aptner.com,아파트,충청북도 청주시 흥덕구 서현로 62,위탁관리,계단식,20210527,0437161214,983,117334.46,0.0,635.0,335.0,13.0,91173.59,29,29,3,24,28382,36.614893115141,127.428740143748
