kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A38002001,성서현대타운,4313010300,충청북도,충주시,성서동,,충청북도 충주시 성서동 161 성서현대타운,분양,개별난방,37934.0,2,276.0,현대종합건설,현대,0438454610,,주상복합,충청북도 충주시 성서1길 50,자치관리,혼합식,19890131,0438454610,276,22386.0,72.0,180.0,24.0,0.0,16305.6,12,12,0,5,27387,36.9715853339722,127.930910252858
A10021437,남산아파트1단지,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 1061- 남산아파트1단지,분양,개별난방,14000.0,24,250.0,lh 주택공사,lh,0438440201,,아파트,충청북도 충주시 남산4길 35,자치관리(직영),계단식,19840101,0438440201,250,14000.0,250.0,0.0,0.0,0.0,12559.36,1,5,0,0,,36.9654323561918,127.943710136826
A38006001,중흥S클래스아파트,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 1358 중흥S클래스아파트,분양,개별난방,87304.87,6,516.0,중흥종합건설(주),중흥에스클래스개발(주),0438545577,중흥s클래스.apti.co.kr/,아파트,충청북도 충주시 금봉8길 23,위탁관리,계단식,20081121,0438545578,516,63878.605,0.0,439.0,77.0,0.0,47188.591,15,15,1,18,27392,36.9678710822996,127.941482472691
A38095001,교현충일아파트,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 155 교현충일아파트,분양,개별난방,24350.64,6,360.0,충일건설,충일건설,0438439615,,아파트,충청북도 충주시 만리산9길 54,자치관리,계단식,19860825,0438459615,358,22446.6,360.0,0.0,0.0,0.0,16135.2,5,5,0,0,27381,36.9732831885275,127.94395339587
A38095002,교현동아아파트,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 397 교현동아아파트,분양,개별난방,38724.67,3,392.0,동아건설(주),동아건설(주),0438482601,,아파트,충청북도 충주시 봉현로 313,자치관리(직영),계단식,19901217,0438542528,392,38724.56,0.0,392.0,0.0,0.0,31257.52,14,14,0,14,27374,36.9782754847094,127.938097070779
A38095003,남산주공2.3차 아파트,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 1060 남산주공2.3차 아파트,분양,개별난방,33290.0,19,720.0,LH 공사,LH 공사,0438471317,,아파트,충청북도 충주시 남산4길 42,자치관리,계단식,19860424,0438561317,720,32980.88,720.0,0.0,0.0,0.0,28994.94,5,5,0,0,27396,36.9657700944667,127.945315564701
A38095103,교현주공아파트,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 518 교현주공아파트,분양,개별난방,32199.0,17,720.0,대한주택공사,대한주택공사,0438476670,,아파트,충청북도 충주시 예성로 273,자치관리,계단식,19790101,0438538565,720,31606.6,720.0,0.0,0.0,0.0,26299.81,5,5,0,0,27370,36.9806430020186,127.932985833513
A38095401,교현성원아파트,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 1309 교현성원아파트,분양,개별난방,31111.75,2,360.0,(주)성원,(주)성원,0438548296,,아파트,충청북도 충주시 삼원로 175,위탁관리,복도식,19950915,0438523986,360,27630.3,360.0,0.0,0.0,0.0,20124.9,12,12,1,4,27363,36.9809990631555,127.923460218627
A38095402,교현부강아파트,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 1087 교현부강아파트,분양,개별난방,37342.21,3,400.0,부강건설,부강건설,0438454011,cafe.daum.net/bugang4011,아파트,충청북도 충주시 예성로 279,자치관리,복도식,19900419,0438454011,400,37274.19,0.0,400.0,0.0,0.0,27992.61,14,14,1,4,27370,36.9821422718829,127.933374329417
A10020168,충주용산세중참사랑아파트,4313010600,충청북도,충주시,용산동,,충청북도 충주시 용산동 339 충주용산세중참사랑아파트,분양,개별난방,0.0,,0.0,,,043-855-4526,,아파트,충청북도 충주시 용정7길 12,,,20071116,,0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,,36.9656332751342,127.937136910431
A10026280,충주3차푸르지오아파트,4313010600,충청북도,충주시,용산동,,충청북도 충주시 용산동 2628 충주3차푸르지오아파트,분양,개별난방,74565.0,8,474.0,대우건설,(주)지앤인,0438461152,충주3차푸르지오.apti.co.kr,아파트,충청북도 충주시 염밭로 13,위탁관리,계단식,20180426,0438461153,474,53936.777,0.0,474.0,0.0,0.0,40273.0656,24,24,2,16,27403,36.9586607757541,127.942255288347
A38009002,남산동일하이빌아파트,4313010600,충청북도,충주시,용산동,,충청북도 충주시 용산동 2627 남산동일하이빌아파트,분양,개별난방,123455.28,11,669.0,동일토건,주리산업개발,0438462080,동일하이빌.apti.co.kr,아파트,충청북도 충주시 염밭로 22,위탁관리,계단식,20080404,0438462081,669,90268.96,0.0,351.0,288.0,30.0,69459.234,15,15,2,23,27404,36.9599600901318,127.944410939365
A38076104,용산주공2단지아파트,4313010600,충청북도,충주시,용산동,,충청북도 충주시 용산동 1678 용산주공2단지아파트,분양,개별난방,68207.195,8,780.0,LH,(주)한양,0438518837,,아파트,충청북도 충주시 남산로 125,위탁관리,혼합식,19990612,0438518838,780,55892.64,780.0,0.0,0.0,0.0,41669.88,15,15,1,20,27397,36.9629006379916,127.945989508606
A38077306,충주용산3주공아파트,4313010600,충청북도,충주시,용산동,,충청북도 충주시 용산동 1680 충주용산3주공아파트,분양,개별난방,79206.38,9,980.0,계룡건설,한국토지주택공사,0438578525,용산주공3단지.apti.co.kr/aptHome/,아파트,충청북도 충주시 남산로 114,위탁관리,혼합식,20030718,0438578526,980,78717.92,980.0,0.0,0.0,0.0,52185.32,15,15,1,26,27404,36.9611409109216,127.946675234622
A38077401,영진보람아파트,4313010600,충청북도,충주시,용산동,,충청북도 충주시 용산동 335 영진보람아파트,분양,개별난방,57643.0,6,630.0,영진건설주식회사,영진건설주식회사,0438541991,,아파트,충청북도 충주시 용산로 33,자치관리,계단식,19960417,0438548118,629,53936.29,450.0,180.0,0.0,0.0,41562.6,15,15,1,21,27394,36.9664991321669,127.937189633786
A10023383,충주호암제일풍경채아파트,4313010700,충청북도,충주시,호암동,,충청북도 충주시 호암동 1068 충주호암제일풍경채아파트,임대,개별난방,135794.22,10,874.0,제일건설 주식회사,제일하나제1호위탁관리부동산투자회사,0438554539,호암제일풍경채.apti.co.kr,아파트,충청북도 충주시 호암수청1로 60,위탁관리,계단식,20221230,0438554549,874,93355.914,0.0,874.0,0.0,0.0,71190.7596,25,25,2,23,27480,36.9582071293637,127.927430077523
A10024137,충주힐스테이트호암아파트,4313010700,충청북도,충주시,호암동,,충청북도 충주시 호암동 1050 충주힐스테이트호암아파트,분양,개별난방,77550.4,7,639.0,현대건설,주택도시보증공사,0438522255,www.apthome.co.kr/,아파트,충청북도 충주시 호암수청1로 29,위탁관리,계단식,20210917,0438522256,639,52487.66,639.0,0.0,0.0,0.0,38315.52,25,25,2,17,27502,36.9557498069236,127.924721828394
A10024600,충주호암1단지,4313010700,충청북도,충주시,호암동,,충청북도 충주시 호암동 1066 충주호암1단지,임대,개별난방,46199.5,3,591.0,동부건설,한국토지주택공사,0438451066,,아파트,충청북도 충주시 호암수청2로 56,위탁관리,복도식,20201015,0438451067,591,45992.05,591.0,0.0,0.0,0.0,21191.31,25,25,1,10,27480,36.9554420254722,127.9270766727
A10024757,충주호암 LH행복주택,4313010700,충청북도,충주시,호암동,,충청북도 충주시 호암동 1067 충주호암 LH행복주택,임대,개별난방,32142.64,2,550.0,동양,LH한국토지주택공사,0438578825,,아파트,충청북도 충주시 호암수청1로 30,위탁관리,복도식,20200717,0438578826,554,31986.348,550.0,0.0,0.0,0.0,15610.7,25,25,1,7,27480,36.955539592284,127.926062773804
A10025229,호암두진하트리움아파트,4313010700,충청북도,충주시,호암동,,충청북도 충주시 호암동 1063 호암두진하트리움아파트,분양,개별난방,131000.7,12,851.0,주식회사두진건설,(주)두진,0438577601,,아파트,충청북도 충주시 호암수청2로 78,위탁관리,계단식,20191024,0438577602,851,130233.85,0.0,851.0,0.0,0.0,66299.499,25,25,2,22,27480,36.9537424117147,127.928523475128
A10025240,충주호암더휴NHF7단지,4313010700,충청북도,충주시,호암동,,충청북도 충주시 호암동 1220 충주호암더휴NHF7단지,임대,개별난방,71224.33,5,455.0,한신공영,(주)NHF 제 11호,0438450941,호암더휴.apti.co.kr,아파트,충청북도 충주시 호암토성2로 10,위탁관리,계단식,20191018,0438450940,455,71029.805,0.0,455.0,0.0,0.0,37599.14,25,25,2,10,27480,36.9552227862983,127.935064729425
A10025269,충주호암힐데스하임아파트,4313010700,충청북도,충주시,호암동,,충청북도 충주시 호암동 1191 충주호암힐데스하임아파트,분양,개별난방,154630.6,11,870.0,원건설,키움건설,0438579823,www.raybol.net,아파트,충청북도 충주시 호암토성2로 1,위탁관리,계단식,20190927,0438579824,870,103866.32,0.0,493.0,377.0,0.0,81873.98,25,25,2,22,27480,36.9547411279707,127.933329482108
A10025335,호암우미린에듀시티아파트,4313010700,충청북도,충주시,호암동,,충청북도 충주시 호암동 1052 호암우미린에듀시티아파트,분양,개별난방,144913.0,9,892.0,우미건설,우미개발,0438458302,,아파트,충청북도 충주시 호암수청1로 13,위탁관리,계단식,20190821,0438458303,892,104487.69,0.0,529.0,363.0,0.0,81253.2919,25,25,2,19,27502,36.9553467348558,127.922339080105
A38076301,호암부강아파트,4313010700,충청북도,충주시,호암동,,충청북도 충주시 호암동 152 호암부강아파트,분양,개별난방,14080.025,1,312.0,부강건설(주),부강건설(주),0438475373,,아파트,충청북도 충주시 호암중앙2로 31,위탁관리,복도식,19950929,0438455373,316,12394.512,312.0,0.0,0.0,0.0,8297.64,15,15,1,3,27481,36.9559942472051,127.940327665243
A38076302,충주세경1차,4313010700,충청북도,충주시,호암동,,충청북도 충주시 호암동 542-1 충주세경1차,혼합,개별난방,43901.023,10,664.0,세경건설주식회사,세경건설주식회사,0438475441,,아파트,충청북도 충주시 신촌1길 6,자치관리,계단식,19891215,0438485440,664,43901.023,664.0,0.0,0.0,0.0,37768.32,6,12,1,0,27415,36.958778039192,127.9290666351
A38076303,충주세경2차,4313010700,충청북도,충주시,호암동,,충청북도 충주시 호암동 542-1 충주세경2차,임대,개별난방,12553.2,1,339.0,세경건설주식회사,세경건설주식회사,0438526753,,아파트,충청북도 충주시 호암대로 17,자치관리,복도식,19940625,0438485440,146,10419.839,339.0,0.0,0.0,0.0,9225.34,12,12,3,2,27415,36.9589447313786,127.928260578663
A38076304,충주세경3차,4313010700,충청북도,충주시,호암동,,충청북도 충주시 호암동 542-18 충주세경3차,혼합,개별난방,34875.1,3,616.0,세경건설(주),세경건설(주),0438544708,,아파트,충청북도 충주시 신촌2길 2,자치관리,복도식,19980716,0438485440,616,34396.75,616.0,0.0,0.0,0.0,27004.53,15,15,2,5,27415,36.9577342005252,127.929833503295
A38096601,호암진도,4313010700,충청북도,충주시,호암동,,충청북도 충주시 호암동 135 호암진도,분양,개별난방,17291.53,2,163.0,진도종합건설,삼기건설,0438428534,,아파트,충청북도 충주시 호암중앙2로 27,자치관리,혼합식,19941017,0438548533,163,14542.195,79.0,84.0,0.0,0.0,11141.34,12,12,1,6,27481,36.9557967740716,127.939924525487
A38096702,호암수채,4313010700,충청북도,충주시,호암동,,충청북도 충주시 호암동 905 호암수채,분양,개별난방,34354.33,5,222.0,대선건설,대선건설,0438576771,수채패밀리 apti.co.kr.//,아파트,충청북도 충주시 호암중앙1로 47,자치관리,계단식,20070905,0438576772,224,25692.562,0.0,208.0,5.0,9.0,19649.7557,15,15,1,11,27481,36.956870744193,127.938146791411
