date,close_krw,close_usd
2013-12-27,2002.28,2002.28
2013-12-20,1983.35,1983.35
2013-12-13,1962.91,1962.91
2013-12-06,1980.41,1980.41
2013-11-29,2044.87,2044.87
2013-11-22,2006.23,2006.23
2013-11-15,2005.64,2005.64
2013-11-08,1984.87,1984.87
2013-11-01,2039.42,2039.42
2013-10-25,2034.39,2034.39
2013-10-18,2052.4,2052.4
2013-10-11,2024.9,2024.9
2013-10-04,1996.98,1996.98
2013-09-27,2011.8,2011.8
2013-09-17,2005.58,2005.58
2013-09-13,1994.32,1994.32
2013-09-06,1955.31,1955.31
2013-08-30,1926.36,1926.36
2013-08-23,1870.16,1870.16
2013-08-16,1920.11,1920.11
2013-08-09,1880.71,1880.71
2013-08-02,1923.38,1923.38
2013-07-26,1910.81,1910.81
2013-07-19,1871.41,1871.41
2013-07-12,1869.98,1869.98
2013-07-05,1833.31,1833.31
2013-06-28,1863.32,1863.32
2013-06-21,1822.83,1822.83
2013-06-14,1889.24,1889.24
2013-06-07,1923.85,1923.85
2013-05-31,2001.05,2001.05
2013-05-24,1973.45,1973.45
2013-05-16,1986.81,1986.81
2013-05-10,1944.75,1944.75
2013-05-03,1965.71,1965.71
2013-04-26,1944.56,1944.56
2013-04-19,1906.75,1906.75
2013-04-12,1924.23,1924.23
2013-04-05,1927.23,1927.23
2013-03-29,2004.89,2004.89
2013-03-22,1948.71,1948.71
2013-03-15,1986.5,1986.5
2013-03-08,2006.01,2006.01
2013-02-28,2026.49,2026.49
2013-02-22,2018.89,2018.89
2013-02-15,1981.18,1981.18
2013-02-08,1950.9,1950.9
2013-02-01,1957.79,1957.79
2013-01-25,1946.69,1946.69
2013-01-18,1987.85,1987.85
2013-01-11,1996.67,1996.67
2013-01-04,2011.94,2011.94
