date,close_krw,close_usd
2005-12-25,3.75,3.75
2005-12-18,3.75,3.75
2005-12-11,3.75,3.75
2005-12-04,3.75,3.75
2005-11-27,3.5,3.5
2005-11-20,3.5,3.5
2005-11-13,3.5,3.5
2005-11-06,3.5,3.5
2005-10-30,3.5,3.5
2005-10-23,3.5,3.5
2005-10-16,3.5,3.5
2005-10-09,3.5,3.5
2005-10-02,3.5,3.5
2005-09-25,3.25,3.25
2005-09-18,3.25,3.25
2005-09-11,3.25,3.25
2005-09-04,3.25,3.25
2005-08-28,3.25,3.25
2005-08-21,3.25,3.25
2005-08-14,3.25,3.25
2005-08-07,3.25,3.25
2005-07-31,3.25,3.25
2005-07-24,3.25,3.25
2005-07-17,3.25,3.25
2005-07-10,3.25,3.25
2005-07-03,3.25,3.25
2005-06-26,3.25,3.25
2005-06-19,3.25,3.25
2005-06-12,3.25,3.25
2005-06-05,3.25,3.25
2005-05-29,3.25,3.25
2005-05-22,3.25,3.25
2005-05-15,3.25,3.25
2005-05-08,3.25,3.25
2005-05-01,3.25,3.25
2005-04-24,3.25,3.25
2005-04-17,3.25,3.25
2005-04-10,3.25,3.25
2005-04-03,3.25,3.25
2005-03-27,3.25,3.25
2005-03-20,3.25,3.25
2005-03-13,3.25,3.25
2005-03-06,3.25,3.25
2005-02-27,3.25,3.25
2005-02-20,3.25,3.25
2005-02-13,3.25,3.25
2005-02-06,3.25,3.25
2005-01-30,3.25,3.25
2005-01-23,3.25,3.25
2005-01-16,3.25,3.25
2005-01-09,3.25,3.25
2005-01-02,3.25,3.25
